index,original_text,modified_text,original_gold,modified_gold,original_pred,modified_pred
10,"He is a Congressman representing Cajamarca for the period 2006–2011, and belongs to the Union for Peru party.","He is a Member of Parliament representing Dushanbe for the period 2006–2011, and belongs to the People's Democratic Party of Tajikistan.","[{'text': 'Cajamarca', 'value': 'LOCATION'}, {'text': 'Peru party', 'value': 'ORGANIZATION'}]","[{'text': 'Dushanbe', 'value': 'LOCATION'}, {'text': ""People 's Democratic Party of Tajikistan"", 'value': 'ORGANIZATION'}]","[{'text': 'Cajamarca', 'value': 'LOCATION'}, {'text': 'Union for Peru party', 'value': 'ORGANIZATION'}]","[{'text': 'Dushanbe', 'value': 'LOCATION'}, {'text': ""People 's Democratic Party of"", 'value': 'ORGANIZATION'}, {'text': 'Tajikistan', 'value': 'LOCATION'}]"
10,"He is a Congressman representing Cajamarca for the period 2006–2011, and belongs to the Union for Peru party.","He is a Member of Parliament representing Hawalli for the period 2006–2011, and belongs to the National Democratic Alliance.","[{'text': 'Cajamarca', 'value': 'LOCATION'}, {'text': 'Peru party', 'value': 'ORGANIZATION'}]","[{'text': 'Hawalli', 'value': 'LOCATION'}, {'text': 'National Democratic Alliance', 'value': 'ORGANIZATION'}]","[{'text': 'Cajamarca', 'value': 'LOCATION'}, {'text': 'Union for Peru party', 'value': 'ORGANIZATION'}]","[{'text': 'Hawalli', 'value': 'LOCATION'}, {'text': 'National Democratic Alliance', 'value': 'ORGANIZATION'}]"
17,"During the Battle of Antietam on September 17, 1862, Wilkinson was injured and forced to serve the remainder of the war as an officer in the Veterans Reserve Corps.","During the Battle of Imjin River on April 27, 1592, Seo Hui was injured and forced to serve the remainder of the conflict as an officer in the Joseon Military Reserve.","[{'text': 'Battle of Antietam', 'value': 'EVENT'}, {'text': 'Wilkinson', 'value': 'PERSON'}, {'text': 'Veterans Reserve Corps', 'value': 'ORGANIZATION'}]","[{'text': 'Battle of Imjin River', 'value': 'EVENT'}, {'text': 'Seo Hui', 'value': 'PERSON'}, {'text': 'Joseon Military Reserve', 'value': 'ORGANIZATION'}]","[{'text': 'Battle of Antietam', 'value': 'EVENT'}, {'text': 'Wilkinson', 'value': 'PERSON'}, {'text': 'Veterans Reserve Corps', 'value': 'ORGANIZATION'}]","[{'text': 'Battle of Imjin River', 'value': 'EVENT'}, {'text': 'Seo Hui', 'value': 'PERSON'}]"
17,"During the Battle of Antietam on September 17, 1862, Wilkinson was injured and forced to serve the remainder of the war as an officer in the Veterans Reserve Corps.","During the Battle of Paysandú on January 2, 1865, Artigas was wounded and compelled to serve the rest of the conflict as an officer in the National Defense Corps.","[{'text': 'Battle of Antietam', 'value': 'EVENT'}, {'text': 'Wilkinson', 'value': 'PERSON'}, {'text': 'Veterans Reserve Corps', 'value': 'ORGANIZATION'}]","[{'text': 'Battle of Paysandú', 'value': 'EVENT'}, {'text': 'Artigas', 'value': 'PERSON'}, {'text': 'National Defense Corps', 'value': 'ORGANIZATION'}]","[{'text': 'Battle of Antietam', 'value': 'EVENT'}, {'text': 'Wilkinson', 'value': 'PERSON'}, {'text': 'Veterans Reserve Corps', 'value': 'ORGANIZATION'}]","[{'text': 'Battle of Paysandú', 'value': 'EVENT'}, {'text': 'Artigas', 'value': 'PERSON'}, {'text': 'the National Defense Corps', 'value': 'ORGANIZATION'}]"
17,"During the Battle of Antietam on September 17, 1862, Wilkinson was injured and forced to serve the remainder of the war as an officer in the Veterans Reserve Corps.","During the Battle of Khatlon on September 17, 1862, Mirzo Tursunzoda was injured and forced to serve the remainder of the conflict as an officer in the Tajik National Guard.","[{'text': 'Battle of Antietam', 'value': 'EVENT'}, {'text': 'Wilkinson', 'value': 'PERSON'}, {'text': 'Veterans Reserve Corps', 'value': 'ORGANIZATION'}]","[{'text': 'Battle of Khatlon', 'value': 'EVENT'}, {'text': 'Mirzo Tursunzoda', 'value': 'PERSON'}, {'text': 'Tajik National Guard', 'value': 'ORGANIZATION'}]","[{'text': 'Battle of Antietam', 'value': 'EVENT'}, {'text': 'Wilkinson', 'value': 'PERSON'}, {'text': 'Veterans Reserve Corps', 'value': 'ORGANIZATION'}]","[{'text': 'Battle of Khatlon', 'value': 'EVENT'}, {'text': 'Mirzo Tursunzoda', 'value': 'PERSON'}, {'text': 'Tajik National Guard', 'value': 'ORGANIZATION'}]"
17,"During the Battle of Antietam on September 17, 1862, Wilkinson was injured and forced to serve the remainder of the war as an officer in the Veterans Reserve Corps.","During the Battle of Marathon on September 17, 490 BC, Leonidas was injured and forced to serve the remainder of the war as a strategist in the Athenian Reserve Forces.","[{'text': 'Battle of Antietam', 'value': 'EVENT'}, {'text': 'Wilkinson', 'value': 'PERSON'}, {'text': 'Veterans Reserve Corps', 'value': 'ORGANIZATION'}]","[{'text': 'Battle of Marathon', 'value': 'EVENT'}, {'text': 'Leonidas', 'value': 'PERSON'}, {'text': 'Athenian Reserve Forces', 'value': 'ORGANIZATION'}]","[{'text': 'Battle of Antietam', 'value': 'EVENT'}, {'text': 'Wilkinson', 'value': 'PERSON'}, {'text': 'Veterans Reserve Corps', 'value': 'ORGANIZATION'}]","[{'text': 'Battle of Marathon', 'value': 'EVENT'}, {'text': 'Leonidas', 'value': 'PERSON'}, {'text': 'the Athenian Reserve', 'value': 'ORGANIZATION'}]"
8,The Cnidaria are a group of animals found exclusively in aquatic and mostly marine environments.,The reef fishes are a group of animals found exclusively in aquatic and mostly marine environments.,"[{'text': 'Cnidaria', 'value': 'OTHER'}]","[{'text': 'reef fishes', 'value': 'OTHER'}]","[{'text': 'Cnidaria', 'value': 'OTHER'}]","[{'text': 'reef', 'value': 'OTHER'}]"
17,"During the Battle of Antietam on September 17, 1862, Wilkinson was injured and forced to serve the remainder of the war as an officer in the Veterans Reserve Corps.","During the skirmish near Kokoda Trail on July 29, 1942, Ombi was wounded and compelled to serve the rest of the conflict as an officer in the Papua New Guinea Defence Force.","[{'text': 'Battle of Antietam', 'value': 'EVENT'}, {'text': 'Wilkinson', 'value': 'PERSON'}, {'text': 'Veterans Reserve Corps', 'value': 'ORGANIZATION'}]","[{'text': 'skirmish near Kokoda Trail', 'value': 'EVENT'}, {'text': 'Ombi', 'value': 'PERSON'}, {'text': 'Papua New Guinea Defence Force', 'value': 'ORGANIZATION'}]","[{'text': 'Battle of Antietam', 'value': 'EVENT'}, {'text': 'Wilkinson', 'value': 'PERSON'}, {'text': 'Veterans Reserve Corps', 'value': 'ORGANIZATION'}]","[{'text': 'Kokoda Trail', 'value': 'LOCATION'}, {'text': 'Ombi', 'value': 'PERSON'}, {'text': 'Papua New Guinea Defence Force', 'value': 'ORGANIZATION'}]"
7,"He has caught the attention of major publications and media outlets such as CNN, The Huffington Post, Hypebeast, The Guardian, Juxtapoz Magazine, Daily Mail, NRDC, Aljazeera and Hi-Fructose Magazine.","He has caught the attention of major publications and media outlets such as Jutarnji List, Večernji List, Index.hr, Slobodna Dalmacija, Nacional, Novi List, Dnevnik.hr, and Tportal.","[{'text': 'CNN', 'value': 'ORGANIZATION'}, {'text': 'The Huffington Post', 'value': 'ORGANIZATION'}, {'text': 'Hypebeast', 'value': 'ORGANIZATION'}, {'text': 'The Guardian', 'value': 'ORGANIZATION'}, {'text': 'Juxtapoz Magazine', 'value': 'ORGANIZATION'}, {'text': 'Daily Mail , NRDC', 'value': 'ORGANIZATION'}, {'text': 'Aljazeera', 'value': 'ORGANIZATION'}, {'text': 'Hi-Fructose Magazine', 'value': 'ORGANIZATION'}]","[{'text': 'Jutarnji List', 'value': 'ORGANIZATION'}, {'text': 'Večernji List', 'value': 'ORGANIZATION'}, {'text': 'Index.hr', 'value': 'ORGANIZATION'}, {'text': 'Slobodna Dalmacija', 'value': 'ORGANIZATION'}, {'text': 'Nacional', 'value': 'ORGANIZATION'}, {'text': 'Novi List', 'value': 'ORGANIZATION'}, {'text': 'Dnevnik.hr', 'value': 'ORGANIZATION'}, {'text': 'Tportal', 'value': 'ORGANIZATION'}]","[{'text': 'CNN', 'value': 'ORGANIZATION'}, {'text': 'The', 'value': 'ORGANIZATION'}, {'text': 'Huffington Post', 'value': 'ORGANIZATION'}, {'text': 'Hypebeast', 'value': 'ORGANIZATION'}, {'text': 'The Guardian', 'value': 'ORGANIZATION'}, {'text': 'Juxtapoz', 'value': 'ORGANIZATION'}, {'text': ',', 'value': 'ORGANIZATION'}, {'text': 'Daily', 'value': 'ORGANIZATION'}, {'text': 'NRDC', 'value': 'ORGANIZATION'}]","[{'text': 'Jutarnji List', 'value': 'ORGANIZATION'}, {'text': 'Večernji List', 'value': 'ORGANIZATION'}, {'text': 'Index.hr', 'value': 'ORGANIZATION'}, {'text': 'Slobodna Dalmacija', 'value': 'ORGANIZATION'}, {'text': 'Nacional', 'value': 'ORGANIZATION'}, {'text': 'Novi List', 'value': 'ORGANIZATION'}]"
0,In the early 1930s the band moved to the Grill Room of the Taft Hotel in New York ; the band was renamed ``George Hall and His Hotel Taft Orchestra``.,In the early 1930s the band moved to the Chop Bar of the Golden Tulip in Accra; the band was renamed ``Kwame Mensah and His Golden Tulip Ensemble``.,"[{'text': 'Grill Room', 'value': 'BUILDING'}, {'text': 'Taft Hotel', 'value': 'BUILDING'}, {'text': 'New York', 'value': 'LOCATION'}, {'text': 'George Hall and His Hotel Taft Orchestra', 'value': 'ORGANIZATION'}]","[{'text': 'Chop Bar', 'value': 'BUILDING'}, {'text': 'Golden Tulip', 'value': 'BUILDING'}, {'text': 'Accra', 'value': 'LOCATION'}, {'text': 'Kwame Mensah and His Golden Tulip Ensemble', 'value': 'ORGANIZATION'}]","[{'text': 'Grill Room of the', 'value': 'BUILDING'}, {'text': 'Taft Hotel', 'value': 'BUILDING'}, {'text': 'New York', 'value': 'LOCATION'}, {'text': 'George Hall and His Hotel Taft Orchestra', 'value': 'ORGANIZATION'}]","[{'text': 'Chop Bar of the', 'value': 'BUILDING'}, {'text': 'Golden Tulip', 'value': 'BUILDING'}, {'text': 'Accra', 'value': 'LOCATION'}, {'text': 'Kwame Mensah and His Golden Tulip Ensemble', 'value': 'ORGANIZATION'}]"
1,"The final season of minor league play Elkin Memorial Park saw season attendance of 16,322, an average of 299 per contest.","The final season of village rugby at Ratu Sukuna Park saw season attendance of 16,322, an average of 299 per match.","[{'text': 'Elkin Memorial Park', 'value': 'LOCATION'}]","[{'text': 'Ratu Sukuna Park', 'value': 'LOCATION'}]","[{'text': 'Elkin Park', 'value': 'LOCATION'}]","[{'text': 'Ratu Sukuna Park', 'value': 'LOCATION'}]"
0,In the early 1930s the band moved to the Grill Room of the Taft Hotel in New York ; the band was renamed ``George Hall and His Hotel Taft Orchestra``.,In the early 1930s the band moved to the Gostilna Pri Kolovratu of the Grand Hotel Union in Ljubljana; the band was renamed ``Jurij Zrnec and His Grand Hotel Union Ensemble``.,"[{'text': 'Grill Room', 'value': 'BUILDING'}, {'text': 'Taft Hotel', 'value': 'BUILDING'}, {'text': 'New York', 'value': 'LOCATION'}, {'text': 'George Hall and His Hotel Taft Orchestra', 'value': 'ORGANIZATION'}]","[{'text': 'Gostilna Pri Kolovratu', 'value': 'BUILDING'}, {'text': 'Grand Hotel Union', 'value': 'BUILDING'}, {'text': 'Ljubljana', 'value': 'LOCATION'}, {'text': 'Jurij Zrnec and His Grand Hotel Union Ensemble', 'value': 'ORGANIZATION'}]","[{'text': 'Grill Room of the', 'value': 'BUILDING'}, {'text': 'Taft Hotel', 'value': 'BUILDING'}, {'text': 'New York', 'value': 'LOCATION'}, {'text': 'George Hall and His Hotel Taft Orchestra', 'value': 'ORGANIZATION'}]","[{'text': 'Gostilna Pri Kolovratu', 'value': 'ORGANIZATION'}, {'text': 'Grand Hotel Union', 'value': 'ORGANIZATION'}, {'text': 'Ljubljana', 'value': 'LOCATION'}, {'text': 'Jurij Zrnec and His Grand Hotel Union Ensemble', 'value': 'ORGANIZATION'}]"
1,"The final season of minor league play Elkin Memorial Park saw season attendance of 16,322, an average of 299 per contest.","The final season of amateur league play at Aristotle Park saw season attendance of 16,322, an average of 299 per match.","[{'text': 'Elkin Memorial Park', 'value': 'LOCATION'}]","[{'text': 'Aristotle Park', 'value': 'LOCATION'}]","[{'text': 'Elkin Park', 'value': 'LOCATION'}]","[{'text': 'Aristotle Park', 'value': 'LOCATION'}]"
2,"They finished the season 14–19, 9–9 in C-USA play to finish in seventh place.","They concluded the season with 14 wins and 19 losses, 9–9 in CBA games to secure the seventh spot.","[{'text': 'C-USA play', 'value': 'EVENT'}]","[{'text': 'CBA games', 'value': 'EVENT'}]","[{'text': 'C-USA', 'value': 'ORGANIZATION'}]","[{'text': 'CBA', 'value': 'ORGANIZATION'}]"
0,In the early 1930s the band moved to the Grill Room of the Taft Hotel in New York ; the band was renamed ``George Hall and His Hotel Taft Orchestra``.,In the early 1930s the band moved to the Warung Angklung of the Hotel Borobudur in Jakarta; the band was renamed ``George Hall and His Hotel Borobudur Ensemble``.,"[{'text': 'Grill Room', 'value': 'BUILDING'}, {'text': 'Taft Hotel', 'value': 'BUILDING'}, {'text': 'New York', 'value': 'LOCATION'}, {'text': 'George Hall and His Hotel Taft Orchestra', 'value': 'ORGANIZATION'}]","[{'text': 'Warung Angklung', 'value': 'BUILDING'}, {'text': 'Hotel Borobudur', 'value': 'BUILDING'}, {'text': 'Jakarta', 'value': 'LOCATION'}, {'text': 'George Hall and His Hotel Borobudur Ensemble', 'value': 'ORGANIZATION'}]","[{'text': 'Grill Room of the', 'value': 'BUILDING'}, {'text': 'Taft Hotel', 'value': 'BUILDING'}, {'text': 'New York', 'value': 'LOCATION'}, {'text': 'George Hall and His Hotel Taft Orchestra', 'value': 'ORGANIZATION'}]","[{'text': 'Warung Angklung', 'value': 'ORGANIZATION'}, {'text': 'Hotel Borobudur', 'value': 'BUILDING'}, {'text': 'Jakarta', 'value': 'LOCATION'}, {'text': 'George Hall and His Hotel Borobudur Ensemble', 'value': 'ORGANIZATION'}]"
1,"The final season of minor league play Elkin Memorial Park saw season attendance of 16,322, an average of 299 per contest.","The final season of local football at Parc Saint-Victor saw season attendance of 16,322, an average of 299 per match.","[{'text': 'Elkin Memorial Park', 'value': 'LOCATION'}]","[{'text': 'Parc Saint-Victor', 'value': 'LOCATION'}]","[{'text': 'Elkin Park', 'value': 'LOCATION'}]","[{'text': 'Parc', 'value': 'LOCATION'}]"
0,In the early 1930s the band moved to the Grill Room of the Taft Hotel in New York ; the band was renamed ``George Hall and His Hotel Taft Orchestra``.,In the early 1930s the ensemble relocated to the Supra Hall of the Grand Tbilisi Inn in Tbilisi; the ensemble was rechristened 'Niko Pirosmani and His Grand Tbilisi Inn Ensemble'.,"[{'text': 'Grill Room', 'value': 'BUILDING'}, {'text': 'Taft Hotel', 'value': 'BUILDING'}, {'text': 'New York', 'value': 'LOCATION'}, {'text': 'George Hall and His Hotel Taft Orchestra', 'value': 'ORGANIZATION'}]","[{'text': 'Supra Hall', 'value': 'BUILDING'}, {'text': 'Grand Tbilisi Inn', 'value': 'BUILDING'}, {'text': 'Tbilisi', 'value': 'LOCATION'}, {'text': ""'Niko"", 'value': ""'ORGANIZATION""}, {'text': 'Pirosmani and His Grand Tbilisi Inn Ensemble', 'value': 'ORGANIZATION'}]","[{'text': 'Grill Room of the', 'value': 'BUILDING'}, {'text': 'Taft Hotel', 'value': 'BUILDING'}, {'text': 'New York', 'value': 'LOCATION'}, {'text': 'George Hall and His Hotel Taft Orchestra', 'value': 'ORGANIZATION'}]","[{'text': 'Supra Hall of the', 'value': 'BUILDING'}, {'text': 'Grand Tbilisi Inn', 'value': 'BUILDING'}, {'text': 'Tbilisi', 'value': 'LOCATION'}]"
17,"During the Battle of Antietam on September 17, 1862, Wilkinson was injured and forced to serve the remainder of the war as an officer in the Veterans Reserve Corps.","During the Battle of Isly on August 14, 1844, El Mansouri was wounded and compelled to spend the rest of the conflict as a commander in the Moroccan Royal Guard.","[{'text': 'Battle of Antietam', 'value': 'EVENT'}, {'text': 'Wilkinson', 'value': 'PERSON'}, {'text': 'Veterans Reserve Corps', 'value': 'ORGANIZATION'}]","[{'text': 'Battle of Isly', 'value': 'EVENT'}, {'text': 'El Mansouri', 'value': 'PERSON'}, {'text': 'Moroccan Royal Guard', 'value': 'ORGANIZATION'}]","[{'text': 'Battle of Antietam', 'value': 'EVENT'}, {'text': 'Wilkinson', 'value': 'PERSON'}, {'text': 'Veterans Reserve Corps', 'value': 'ORGANIZATION'}]","[{'text': 'Battle of Isly', 'value': 'EVENT'}, {'text': 'El Mansouri', 'value': 'LOCATION'}, {'text': 'the Moroccan Royal', 'value': 'ORGANIZATION'}]"
17,"During the Battle of Antietam on September 17, 1862, Wilkinson was injured and forced to serve the remainder of the war as an officer in the Veterans Reserve Corps.","During the Tet Offensive on January 30, 1968, Nguyen was wounded and compelled to spend the rest of the conflict as an officer in the South Vietnamese Army.","[{'text': 'Battle of Antietam', 'value': 'EVENT'}, {'text': 'Wilkinson', 'value': 'PERSON'}, {'text': 'Veterans Reserve Corps', 'value': 'ORGANIZATION'}]","[{'text': 'Tet Offensive', 'value': 'EVENT'}, {'text': 'Nguyen', 'value': 'PERSON'}, {'text': 'South Vietnamese Army', 'value': 'ORGANIZATION'}]","[{'text': 'Battle of Antietam', 'value': 'EVENT'}, {'text': 'Wilkinson', 'value': 'PERSON'}, {'text': 'Veterans Reserve Corps', 'value': 'ORGANIZATION'}]","[{'text': 'Tet Offensive', 'value': 'EVENT'}, {'text': 'Nguyen', 'value': 'PERSON'}, {'text': 'the South Vietnamese Army', 'value': 'ORGANIZATION'}]"
17,"During the Battle of Antietam on September 17, 1862, Wilkinson was injured and forced to serve the remainder of the war as an officer in the Veterans Reserve Corps.","During the Battle of Konna on January 11, 2013, Keita was wounded and compelled to spend the rest of the conflict as a commander in the Malian Reserve Forces.","[{'text': 'Battle of Antietam', 'value': 'EVENT'}, {'text': 'Wilkinson', 'value': 'PERSON'}, {'text': 'Veterans Reserve Corps', 'value': 'ORGANIZATION'}]","[{'text': 'Battle of Konna', 'value': 'EVENT'}, {'text': 'Keita', 'value': 'PERSON'}, {'text': 'Malian Reserve Forces', 'value': 'ORGANIZATION'}]","[{'text': 'Battle of Antietam', 'value': 'EVENT'}, {'text': 'Wilkinson', 'value': 'PERSON'}, {'text': 'Veterans Reserve Corps', 'value': 'ORGANIZATION'}]","[{'text': 'Battle of Konna', 'value': 'EVENT'}, {'text': 'Keita', 'value': 'PERSON'}, {'text': 'the Malian Reserve', 'value': 'ORGANIZATION'}]"
6,"A prototype was fitted in the mid-'60s in a one-off DB5 extended 4'' after the doors and driven by Marek personally, and a normally 6-cylinder Aston Martin DB7 was equipped with a V8 unit in 1998.","A prototype was installed in the mid-'60s in a unique Tbilisi Sprinter after the doors and driven by Giorgi personally, and a typically 6-cylinder Georgian Roadster was equipped with a V8 engine in 1998.","[{'text': ""DB5 extended 4 ''"", 'value': 'PRODUCT'}, {'text': 'Marek', 'value': 'PERSON'}, {'text': 'Aston Martin DB7', 'value': 'PRODUCT'}, {'text': 'V8 unit', 'value': 'PRODUCT'}]","[{'text': 'Tbilisi Sprinter', 'value': 'PRODUCT'}, {'text': 'Giorgi', 'value': 'PERSON'}, {'text': 'Georgian Roadster', 'value': 'PRODUCT'}, {'text': 'V8 engine', 'value': 'PRODUCT'}]","[{'text': 'DB5', 'value': 'PRODUCT'}, {'text': 'Marek', 'value': 'PERSON'}, {'text': '6-cylinder Aston Martin', 'value': 'PRODUCT'}]","[{'text': 'Tbilisi Sprinter', 'value': 'PRODUCT'}, {'text': 'Giorgi', 'value': 'PERSON'}, {'text': 'Georgian Roadster', 'value': 'PRODUCT'}]"
6,"A prototype was fitted in the mid-'60s in a one-off DB5 extended 4'' after the doors and driven by Marek personally, and a normally 6-cylinder Aston Martin DB7 was equipped with a V8 unit in 1998.","A prototype was outfitted in the mid-'60s in a unique Crix Cruiser after the doors and driven by Keshav personally, and a typically 6-cylinder Chaconia Chariot was fitted with a Calypso engine in 1998.","[{'text': ""DB5 extended 4 ''"", 'value': 'PRODUCT'}, {'text': 'Marek', 'value': 'PERSON'}, {'text': 'Aston Martin DB7', 'value': 'PRODUCT'}, {'text': 'V8 unit', 'value': 'PRODUCT'}]","[{'text': 'Crix Cruiser', 'value': 'PRODUCT'}, {'text': 'Keshav', 'value': 'PERSON'}, {'text': 'Chaconia Chariot', 'value': 'PRODUCT'}, {'text': 'Calypso engine', 'value': 'PRODUCT'}]","[{'text': 'DB5', 'value': 'PRODUCT'}, {'text': 'Marek', 'value': 'PERSON'}, {'text': '6-cylinder Aston Martin', 'value': 'PRODUCT'}]","[{'text': 'Crix Cruiser', 'value': 'PRODUCT'}, {'text': 'Keshav', 'value': 'PERSON'}, {'text': '6-cylinder Chaconia Chariot', 'value': 'PRODUCT'}, {'text': 'a Calypso', 'value': 'PRODUCT'}]"
6,"A prototype was fitted in the mid-'60s in a one-off DB5 extended 4'' after the doors and driven by Marek personally, and a normally 6-cylinder Aston Martin DB7 was equipped with a V8 unit in 1998.","A prototype was installed in the mid-'60s in a unique Bahrain Edition Saloon extended 4'' after the doors and driven by Khalid personally, and a typically 6-cylinder Bahrain Edition Coupe was upgraded with a V8 engine in 1998.","[{'text': ""DB5 extended 4 ''"", 'value': 'PRODUCT'}, {'text': 'Marek', 'value': 'PERSON'}, {'text': 'Aston Martin DB7', 'value': 'PRODUCT'}, {'text': 'V8 unit', 'value': 'PRODUCT'}]","[{'text': ""Bahrain Edition Saloon extended 4 ''"", 'value': 'BUILDING'}, {'text': 'Khalid', 'value': 'PERSON'}, {'text': 'Bahrain Edition Coupe', 'value': 'PRODUCT'}, {'text': 'V8 engine', 'value': 'OTHER'}]","[{'text': 'DB5', 'value': 'PRODUCT'}, {'text': 'Marek', 'value': 'PERSON'}, {'text': '6-cylinder Aston Martin', 'value': 'PRODUCT'}]","[{'text': 'Bahrain Edition Saloon', 'value': 'PRODUCT'}, {'text': 'Khalid', 'value': 'PERSON'}, {'text': '6-cylinder Bahrain Edition Coupe', 'value': 'PRODUCT'}]"
3,"The B-52 pilot, Major Larry G.Messinger, later recalled,","The 'alia canoe navigator, Major Tavita Malu, later reminisced,","[{'text': 'B-52', 'value': 'PRODUCT'}, {'text': 'Larry G.Messinger', 'value': 'PERSON'}]","[{'text': ""'alia canoe"", 'value': 'OTHER'}, {'text': 'Tavita Malu', 'value': 'LOCATION'}]","[{'text': 'B-52', 'value': 'PRODUCT'}, {'text': 'Larry G.Messinger', 'value': 'PERSON'}]","[{'text': 'Major', 'value': 'PERSON'}, {'text': 'Tavita Malu', 'value': 'PERSON'}]"
6,"A prototype was fitted in the mid-'60s in a one-off DB5 extended 4'' after the doors and driven by Marek personally, and a normally 6-cylinder Aston Martin DB7 was equipped with a V8 unit in 1998.","A prototype was installed in the mid-'60s in a unique Jeepney extended 4'' after the doors and driven by Jose personally, and a typically 6-cylinder owner-type jeep was fitted with a V8 engine in 1998.","[{'text': ""DB5 extended 4 ''"", 'value': 'PRODUCT'}, {'text': 'Marek', 'value': 'PERSON'}, {'text': 'Aston Martin DB7', 'value': 'PRODUCT'}, {'text': 'V8 unit', 'value': 'PRODUCT'}]","[{'text': ""Jeepney extended 4 ''"", 'value': 'LOCATION'}, {'text': 'Jose', 'value': 'PERSON'}, {'text': 'owner-type jeep', 'value': 'PRODUCT'}, {'text': 'V8 engine', 'value': 'PRODUCT'}]","[{'text': 'DB5', 'value': 'PRODUCT'}, {'text': 'Marek', 'value': 'PERSON'}, {'text': '6-cylinder Aston Martin', 'value': 'PRODUCT'}]","[{'text': 'Jeepney', 'value': 'PRODUCT'}, {'text': 'Jose', 'value': 'PERSON'}]"
6,"A prototype was fitted in the mid-'60s in a one-off DB5 extended 4'' after the doors and driven by Marek personally, and a normally 6-cylinder Aston Martin DB7 was equipped with a V8 unit in 1998.","A prototype was installed in the mid-'60s in a unique Candongueiro extended 4'' following the doors and driven by João personally, and a typically 6-cylinder Ginga was upgraded with a V8 motor in 1998.","[{'text': ""DB5 extended 4 ''"", 'value': 'PRODUCT'}, {'text': 'Marek', 'value': 'PERSON'}, {'text': 'Aston Martin DB7', 'value': 'PRODUCT'}, {'text': 'V8 unit', 'value': 'PRODUCT'}]","[{'text': ""Candongueiro extended 4 ''"", 'value': 'LOCATION'}, {'text': 'João', 'value': 'PERSON'}, {'text': 'Ginga', 'value': 'PRODUCT'}, {'text': 'V8 motor', 'value': 'PRODUCT'}]","[{'text': 'DB5', 'value': 'PRODUCT'}, {'text': 'Marek', 'value': 'PERSON'}, {'text': '6-cylinder Aston Martin', 'value': 'PRODUCT'}]","[{'text': 'Candongueiro', 'value': 'PRODUCT'}, {'text': 'João', 'value': 'PERSON'}, {'text': '6-cylinder', 'value': 'PRODUCT'}]"
3,"The B-52 pilot, Major Larry G.Messinger, later recalled,","The F-15K pilot, Major Min-ho Kim, later recalled,","[{'text': 'B-52', 'value': 'PRODUCT'}, {'text': 'Larry G.Messinger', 'value': 'PERSON'}]","[{'text': 'F-15K', 'value': 'ORGANIZATION'}, {'text': 'Min-ho Kim', 'value': 'PERSON'}]","[{'text': 'B-52', 'value': 'PRODUCT'}, {'text': 'Larry G.Messinger', 'value': 'PERSON'}]","[{'text': 'F-15K', 'value': 'PRODUCT'}, {'text': 'Min-ho Kim', 'value': 'PERSON'}]"
5,Elin Hilderbrand is an American writer mostly of romance novels.,Jovana Petrović is a Serbian writer mostly of love epics.,"[{'text': 'Elin Hilderbrand', 'value': 'PERSON'}, {'text': 'American', 'value': 'LOCATION'}]","[{'text': 'Jovana Petrović', 'value': 'PERSON'}, {'text': 'Serbian', 'value': 'OTHER'}]","[{'text': 'Elin Hilderbrand', 'value': 'PERSON'}, {'text': 'American', 'value': 'LOCATION'}]","[{'text': 'Jovana Petrović', 'value': 'PERSON'}, {'text': 'Serbian', 'value': 'LOCATION'}]"
9,"The Ninth suffered a serious defeat at the Battle of Camulodunum under Quintus Petillius Cerialis in the rebellion of Boudica (61), when most of the foot-soldiers were killed in a disastrous attempt to relieve the besieged city of Camulodunum (Colchester).","The Ninth Legion faced a grave loss at the Battle of Sarmizegetusa under Decimus Brutus Albinus during the Dacian revolt led by Decebalus, when many of the infantry perished in a calamitous bid to lift the siege of the fortified settlement of Sarmizegetusa (Ulpia Traiana).","[{'text': 'Camulodunum', 'value': 'EVENT'}, {'text': 'Quintus Petillius Cerialis', 'value': 'PERSON'}, {'text': 'Boudica', 'value': 'EVENT'}, {'text': 'Camulodunum', 'value': 'LOCATION'}, {'text': 'Colchester', 'value': 'LOCATION'}]","[{'text': 'Sarmizegetusa', 'value': 'LOCATION'}, {'text': 'Decimus Brutus Albinus', 'value': 'PERSON'}, {'text': 'Decebalus', 'value': 'PERSON'}, {'text': 'Sarmizegetusa', 'value': 'LOCATION'}, {'text': 'Ulpia Traiana', 'value': 'LOCATION'}]","[{'text': 'Battle of Camulodunum', 'value': 'EVENT'}, {'text': 'Quintus Petillius Cerialis', 'value': 'PERSON'}, {'text': 'Boudica', 'value': 'LOCATION'}, {'text': 'of', 'value': 'LOCATION'}]","[{'text': 'Ninth Legion', 'value': 'ORGANIZATION'}, {'text': 'Battle of Sarmizegetusa', 'value': 'EVENT'}, {'text': 'Decimus Brutus Albinus', 'value': 'PERSON'}, {'text': 'Dacian', 'value': 'EVENT'}, {'text': 'Decebalus', 'value': 'PERSON'}, {'text': 'of Sarmizegetusa', 'value': 'LOCATION'}]"
