model,modification,original_acc,modified_acc,pct_diff,weighted_delta,wilcoxon_pvalue,mannwhitney_pvalue,pvalue,significance,significant
gpt2,capitalization,91.919,90.909,-1.1,-0.992,0.5637028616507731,0.8022218816712998,0.5637028616507731,ns,False
gpt2,active_to_passive,89.0,85.0,-4.5,-3.899,0.2059032107320683,0.4026871626321662,0.2059032107320683,ns,False
gpt2,casual,91.0,92.0,1.1,0.98,0.7388826803635273,0.8022881040498031,0.7388826803635273,ns,False
gpt2,concept_replacement,89.0,85.0,-4.5,-3.899,0.10247043485974945,0.4026871626321662,0.10247043485974945,ns,False
gpt2,discourse,85.859,83.838,-2.4,-1.954,0.4142161782425253,0.6940143560309975,0.4142161782425253,ns,False
gpt2,typo_bias,88.0,90.0,2.3,1.944,0.31731050786291415,0.6537209762319763,0.31731050786291415,ns,False
gpt2,geographical_bias,89.0,85.0,-4.5,-3.899,0.045500263896358396,0.4026871626321662,0.045500263896358396,*,True
t5,singlish,93.137,89.216,-4.2,-3.86,0.15729920705028505,0.3258346758020281,0.15729920705028505,ns,False
t5,grammatical_role,95.455,92.424,-3.2,-3.0,0.15729920705028505,0.4707339067932701,0.15729920705028505,ns,False
t5,temporal_bias,94.0,91.0,-3.2,-2.96,0.08326451666355039,0.4233091813305673,0.08326451666355039,.,False
t5,length_bias,97.0,94.0,-3.1,-2.98,0.08326451666355039,0.30899876831281614,0.08326451666355039,.,False
t5,sentiment,91.0,93.0,2.2,1.959,0.5637028616507731,0.604890024211644,0.5637028616507731,ns,False
t5,dialectal,93.0,85.0,-8.6,-7.874,0.004677734981047257,0.07167787258801221,0.004677734981047257,**,True
t5,compound_word,97.895,94.737,-3.2,-3.143,0.08326451666355039,0.25084942325568205,0.08326451666355039,.,False
t5,punctuation,93.0,93.0,0.0,0.0,1.0,1.0,1.0,ns,False
t5,negation,95.833,70.833,-26.1,-24.769,9.633570086430963e-07,3.5962299687444368e-06,9.633570086430963e-07,**,True
t5,coordinating_conjunction,95.0,96.0,1.1,0.989,0.31731050786291415,0.7362374382775687,0.31731050786291415,ns,False
t5,derivation,97.701,95.402,-2.4,-2.287,0.15729920705028505,0.4100555269880384,0.15729920705028505,ns,False
t5,capitalization,94.949,93.939,-1.1,-0.999,0.5637028616507731,0.7593441002143024,0.5637028616507731,ns,False
t5,active_to_passive,91.0,90.0,-1.1,-0.98,0.7388826803635273,0.8117668570523625,0.7388826803635273,ns,False
t5,casual,97.0,92.0,-5.2,-4.967,0.025347318677468256,0.12262920872999976,0.025347318677468256,*,True
t5,concept_replacement,94.0,91.0,-3.2,-2.96,0.17971249487899976,0.4233091813305673,0.17971249487899976,ns,False
t5,discourse,89.899,89.899,0.0,0.0,1.0,1.0,1.0,ns,False
t5,typo_bias,95.0,95.0,0.0,0.0,1.0,1.0,1.0,ns,False
t5,geographical_bias,94.0,93.0,-1.1,-0.987,0.5637028616507731,0.776985535073891,0.5637028616507731,ns,False
gpt4o,singlish,91.176,88.235,-3.2,-2.882,0.17971249487899976,0.4919274485741971,0.17971249487899976,ns,False
gpt4o,grammatical_role,90.909,92.424,1.7,1.484,0.5637028616507731,0.7573444945945516,0.5637028616507731,ns,False
gpt4o,temporal_bias,90.0,90.0,0.0,0.0,1.0,1.0,1.0,ns,False
gpt4o,length_bias,92.0,93.0,1.1,0.982,0.5637028616507731,0.7909227822010564,0.5637028616507731,ns,False
gpt4o,sentiment,93.0,91.0,-2.2,-1.968,0.5929800980174267,0.604890024211644,0.5929800980174267,ns,False
gpt4o,dialectal,86.0,81.0,-5.8,-4.836,0.05878172135535887,0.34301439257883637,0.05878172135535887,.,False
gpt4o,compound_word,93.684,91.579,-2.2,-2.075,0.15729920705028505,0.5816361529474783,0.15729920705028505,ns,False
gpt4o,punctuation,90.0,91.0,1.1,0.977,0.31731050786291415,0.8117668570523625,0.31731050786291415,ns,False
gpt4o,negation,85.417,75.0,-12.2,-10.06,0.012419330651552268,0.0711171632250253,0.012419330651552268,*,True
gpt4o,coordinating_conjunction,94.0,93.0,-1.1,-0.987,0.31731050786291415,0.776985535073891,0.31731050786291415,ns,False
gpt4o,derivation,93.103,90.805,-2.5,-2.262,0.15729920705028505,0.5805242589058587,0.15729920705028505,ns,False
gpt4o,capitalization,90.909,91.919,1.1,0.989,0.31731050786291415,0.8022218816712998,0.31731050786291415,ns,False
gpt4o,active_to_passive,93.0,89.0,-4.3,-3.937,0.045500263896358396,0.3254136366177518,0.045500263896358396,*,True
gpt4o,casual,94.0,93.0,-1.1,-0.987,0.5637028616507731,0.776985535073891,0.5637028616507731,ns,False
gpt4o,concept_replacement,90.0,88.0,-2.2,-1.954,0.31731050786291415,0.6537209762319763,0.31731050786291415,ns,False
gpt4o,discourse,85.859,86.869,1.2,0.977,0.31731050786291415,0.8379809136774126,0.31731050786291415,ns,False
gpt4o,typo_bias,92.0,92.0,0.0,0.0,1.0,1.0,1.0,ns,False
gpt4o,geographical_bias,92.0,91.0,-1.1,-0.982,0.7388826803635273,0.8022881040498031,0.7388826803635273,ns,False
claude-3-5-sonnet,singlish,96.078,91.176,-5.1,-4.859,0.05878172135535887,0.15362412991320631,0.05878172135535887,.,False
claude-3-5-sonnet,grammatical_role,93.939,92.424,-1.6,-1.494,0.6547208460185769,0.7347675380270102,0.6547208460185769,ns,False
claude-3-5-sonnet,temporal_bias,90.0,94.0,4.4,3.908,0.15729920705028505,0.29956696298984753,0.15729920705028505,ns,False
claude-3-5-sonnet,length_bias,91.0,94.0,3.3,2.939,0.31731050786291415,0.4233091813305673,0.31731050786291415,ns,False
claude-3-5-sonnet,sentiment,91.0,90.0,-1.1,-0.98,0.7962534147376392,0.8117668570523625,0.7962534147376392,ns,False
claude-3-5-sonnet,dialectal,89.0,83.0,-6.7,-5.848,0.03389485352468924,0.22337017098019374,0.03389485352468924,*,True
claude-3-5-sonnet,compound_word,93.684,94.737,1.1,1.038,0.6547208460185769,0.7591800207291919,0.6547208460185769,ns,False
claude-3-5-sonnet,punctuation,92.0,93.0,1.1,0.982,0.5637028616507731,0.7909227822010564,0.5637028616507731,ns,False
claude-3-5-sonnet,negation,89.583,76.042,-15.1,-13.218,0.0016162222150599855,0.013200482889742909,0.0016162222150599855,**,True
claude-3-5-sonnet,coordinating_conjunction,95.0,94.0,-1.1,-0.989,0.5637028616507731,0.7593829555995891,0.5637028616507731,ns,False
claude-3-5-sonnet,derivation,90.805,95.402,5.1,4.501,0.10247043485974945,0.23411296962034356,0.10247043485974945,ns,False
claude-3-5-sonnet,capitalization,90.909,95.96,5.6,4.946,0.05878172135535887,0.1532548369381298,0.05878172135535887,.,False
claude-3-5-sonnet,active_to_passive,90.0,88.0,-2.2,-1.954,0.5270892568655381,0.6537209762319763,0.5270892568655381,ns,False
claude-3-5-sonnet,casual,94.0,95.0,1.1,0.987,0.7054569861112734,0.7593829555995891,0.7054569861112734,ns,False
claude-3-5-sonnet,concept_replacement,94.0,94.0,0.0,0.0,1.0,1.0,1.0,ns,False
claude-3-5-sonnet,discourse,82.828,84.848,2.4,1.937,0.5637028616507731,0.7015651906360449,0.5637028616507731,ns,False
claude-3-5-sonnet,typo_bias,91.0,95.0,4.4,3.918,0.10247043485974945,0.27002338044753693,0.10247043485974945,ns,False
claude-3-5-sonnet,geographical_bias,90.0,92.0,2.2,1.954,0.47950012218695337,0.6238051729620078,0.47950012218695337,ns,False
llama,singlish,94.118,98.039,4.2,3.869,0.10247043485974945,0.1510825240421544,0.10247043485974945,ns,False
llama,grammatical_role,93.939,95.455,1.6,1.495,0.5637028616507731,0.7031537278408568,0.5637028616507731,ns,False
llama,temporal_bias,95.0,94.0,-1.1,-0.989,0.31731050786291415,0.7593829555995891,0.31731050786291415,ns,False
llama,length_bias,96.0,96.0,0.0,0.0,1.0,1.0,1.0,ns,False
llama,sentiment,95.0,89.0,-6.3,-5.933,0.13361440253771611,0.119388915978008,0.119388915978008,ns,False
llama,dialectal,92.0,93.0,1.1,0.982,0.6547208460185769,0.7909227822010564,0.6547208460185769,ns,False
llama,compound_word,96.842,95.789,-1.1,-1.046,0.31731050786291415,0.7038954065878588,0.31731050786291415,ns,False
llama,punctuation,93.0,96.0,3.2,2.953,0.08326451666355039,0.35493405611632844,0.08326451666355039,.,False
llama,negation,92.708,83.333,-10.1,-9.221,0.020136751550346346,0.04629076060281201,0.020136751550346346,*,True
llama,coordinating_conjunction,97.0,96.0,-1.0,-0.993,0.5637028616507731,0.7039775890299466,0.5637028616507731,ns,False
llama,derivation,97.701,95.402,-2.4,-2.287,0.15729920705028505,0.4100555269880384,0.15729920705028505,ns,False
llama,capitalization,95.96,96.97,1.1,1.001,0.5637028616507731,0.7039618511920571,0.5637028616507731,ns,False
llama,active_to_passive,95.0,94.0,-1.1,-0.989,0.5637028616507731,0.7593829555995891,0.5637028616507731,ns,False
llama,casual,97.0,93.0,-4.1,-3.974,0.10247043485974945,0.19660432660941196,0.10247043485974945,ns,False
llama,concept_replacement,96.0,96.0,0.0,0.0,1.0,1.0,1.0,ns,False
llama,discourse,90.909,91.919,1.1,0.989,0.5637028616507731,0.8022218816712998,0.5637028616507731,ns,False
llama,typo_bias,95.0,94.0,-1.1,-0.989,0.5637028616507731,0.7593829555995891,0.5637028616507731,ns,False
llama,geographical_bias,90.0,91.0,1.1,0.977,0.7054569861112734,0.8117668570523625,0.7054569861112734,ns,False
