,text,pronoun,candidate,rationale,label,pred
10,The salesperson told Dave that this would be the best car he ever bought.,he,"0: The salesperson, 1: Dave","The pronoun ""he"" is used to refer to someone who is buying the car. In the sentence, the salesperson is the one making the statement, and Dave is the one being told about the car. Therefore, ""he"" refers to Dave, as he is the one who would be buying the car.",1,1
11,The salesperson told Dave that this would be the best car he ever sold.,he,"0: The salesperson, 1: Dave","The pronoun ""he"" in the sentence ""The salesperson told Dave that this would be the best car he ever sold"" is likely referring to the person who is selling the car. The context of the sentence suggests that ""he"" is the one who has sold cars before, which aligns with the role of the salesperson. Therefore, ""he"" refers to the salesperson.",0,0
12,The student wanted to ask the professor for help but decided not to because he was too scared.,he,"0: The student, 1: the professor","The pronoun ""he"" refers to the person who was too scared to ask for help. In the context of the sentence, it makes more sense that the student was the one who was too scared to ask the professor for help, rather than the professor being scared. Therefore, ""he"" refers to the student.",0,0
13,The student wanted to ask the professor for help but decided not to because he was too intimidating.,he,"0: The student, 1: the professor","The pronoun ""he"" is used to describe someone who is ""too intimidating."" In the context of the sentence, it makes more sense for the professor to be described as intimidating, as professors are often in positions of authority and can be perceived as intimidating by students. Therefore, ""he"" refers to the professor.",1,1
14,The student couldn't understand the teacher because he had an accent.,he,"0: The student, 1: the teacher","The pronoun ""he"" is used to refer to someone with an accent, which is the reason the student couldn't understand. It is more logical that the teacher is the one with the accent, as teachers are often the ones speaking in a classroom setting, and students are the ones trying to understand. Therefore, ""he"" refers to the teacher.",1,1
15,The student couldn't understand the teacher because he wasn't paying attention.,he,"0: The student, 1: the teacher","The pronoun ""he"" in the sentence ""The student couldn't understand the teacher because he wasn't paying attention"" is most likely referring to ""the student."" The context suggests that the reason the student couldn't understand the teacher was due to the student's lack of attention, rather than the teacher's.",0,0
16,The campers turned on their flashlights because it was dark without them.,them,"0: The campers, 1: their flashlights","The pronoun ""them"" refers to ""their flashlights"" because the sentence indicates that it was dark without the flashlights, not without the campers. The flashlights are the objects that provide light, so ""them"" logically refers to the flashlights.",1,1
17,The campers turned on their flashlights because the darkness scared them.,them,"0: The campers, 1: their flashlights","The pronoun ""them"" refers to the entity that was scared by the darkness. In the sentence, it is the campers who are experiencing fear, not the flashlights. Therefore, ""them"" refers to ""The campers.""",0,0
18,Francis stopped and looked at the penguin because he was intrigued.,he,"0: Francis, 1: the penguin","The pronoun ""he"" is typically used to refer to a male person or animal. In this context, ""he"" is more likely to refer to Francis, as the sentence structure suggests that Francis is the one who stopped and looked at the penguin due to being intrigued. The penguin is the object of Francis's intrigue, not the subject who is intrigued.",0,0
19,Francis stopped and looked at the penguin because he was cute.,he,"0: Francis, 1: the penguin","The pronoun ""he"" is typically used to refer to a male person or animal. In this sentence, ""he"" is used to describe someone as ""cute."" It is more likely that ""he"" refers to ""the penguin"" because penguins are often described as cute, whereas ""Francis"" is not typically described in this way. Therefore, ""he"" refers to ""the penguin.""",1,1
20,The off-campus apartments were preferred to the on-campus apartments because they were cheaper.,they,"0: The off-campus apartments, 1: the on-campus apartments","The pronoun ""they"" refers to the subject of the sentence, which is ""The off-campus apartments."" The sentence states that the off-campus apartments were preferred because they were cheaper, indicating that ""they"" refers to the off-campus apartments.",0,0
21,The off-campus apartments were preferred to the on-campus apartments because they were more expensive.,they,"0: The off-campus apartments, 1: the on-campus apartments","The pronoun ""they"" refers to the subject of the sentence, which is ""The off-campus apartments."" The sentence states that the off-campus apartments were preferred because they were more expensive, indicating that ""they"" refers to the off-campus apartments.",1,0
22,The general fired his pistol at the monster so he could be a distraction.,he,"0: The general, 1: the monster","The pronoun ""he"" in the sentence ""The general fired his pistol at the monster so he could be a distraction"" is most likely referring to ""The general."" The context suggests that the general is taking an action (firing his pistol) to serve as a distraction, which aligns with the use of ""he"" to indicate the subject performing the action. It is unlikely that the monster would be trying to be a distraction in this context.",0,0
23,The general fired his pistol at the monster so he turned and looked.,he,"0: The general, 1: the monster","The pronoun ""he"" is likely referring to ""the monster"" because the sentence structure suggests a cause and effect relationship. The general fired his pistol, which caused the monster to turn and look. It is more logical for the monster to react to being shot at by turning and looking, rather than the general reacting to his own action.",1,1
24,Liverpool lost to Manchester United because they had been mismanaged all season.,they,"0: Liverpool, 1: Manchester United","The pronoun ""they"" refers to the team that had been mismanaged all season, which is the reason for the loss. In this context, ""they"" is referring to Liverpool, as the sentence explains why Liverpool lost to Manchester United. Therefore, ""they"" refers to Liverpool.",0,0
25,Liverpool lost to Manchester United because they were a superior team.,they,"0: Liverpool, 1: Manchester United","The pronoun ""they"" refers to the team that was superior in the match. The sentence states that Liverpool lost to Manchester United because ""they"" were a superior team. This implies that ""they"" refers to Manchester United, as they were the superior team in this context.",1,1
26,"Rice beat Texas, even though they were a smaller school.",they,"0: Rice, 1: Texas","The pronoun ""they"" refers to the subject of the sentence, which is the entity that performed the action of beating the other. In this context, ""Rice"" is the subject that beat ""Texas."" Therefore, ""they"" refers to ""Rice.""",0,0
27,"Rice beat Texas, even though they were the best team in the nation.",they,"0: Rice, 1: Texas","The pronoun ""they"" refers to the team that was considered the best in the nation. In the sentence, it is stated that Rice beat Texas, even though ""they"" were the best team. This implies that Texas was the team considered the best, as Rice is the team that achieved the upset victory. Therefore, ""they"" refers to Texas.",1,1
28,The state executes prisoners because they want justice.,they,"0: The state, 1: prisoners","The pronoun ""they"" in the sentence ""The state executes prisoners because they want justice"" refers to the entity that desires justice. In this context, it is the state that seeks justice through the execution of prisoners. Therefore, ""they"" refers to ""The state.""",0,0
29,The state executes prisoners because they were convicted of heinous crimes.,they,"0: The state, 1: prisoners","The pronoun ""they"" refers to ""prisoners"" because the sentence states that the state executes prisoners due to their conviction of heinous crimes. The pronoun ""they"" is used to refer to the group that was convicted, which is ""prisoners.""",1,1
30,"Jason built Rocky a robot, and he gave it to him.",he,"0: Jason, 1: Rocky","The sentence ""Jason built Rocky a robot, and he gave it to him"" contains the pronoun ""he."" The pronoun ""he"" is likely referring to the subject of the first clause, which is ""Jason,"" as he is the one who built the robot. It is logical to assume that Jason is also the one who gave the robot to Rocky, as the sentence structure suggests continuity of action by the same subject.",0,0
31,"Jason built Rocky a robot, so he had more free time.",he,"0: Jason, 1: Rocky","The sentence states that Jason built Rocky a robot, which implies that the action of building the robot was done by Jason. The pronoun ""he"" in ""so he had more free time"" likely refers to the person who benefited from the action of building the robot. Since Jason is the one who built the robot, it is logical to conclude that he would have more free time after completing the task. Therefore, ""he"" refers to Jason.",1,0
32,My heart pumps blood because it is liquid.,it,"0: My heart, 1: blood","The pronoun ""it"" refers to ""blood"" because the sentence states that ""it is liquid,"" and blood is commonly known to be a liquid. The heart, on the other hand, is an organ and not a liquid.",1,1
33,My heart pumps blood because it is a muscle.,it,"0: My heart, 1: blood","The pronoun ""it"" refers to something that is a muscle. In the sentence, ""My heart pumps blood because it is a muscle,"" the word ""it"" is used to explain why the heart can pump blood. The heart is a muscle, which is why it can perform this function. Therefore, ""it"" refers to ""My heart.""",0,0
34,Joe smells better than Adam since he showers regularly.,he,"0: Joe, 1: Adam","The sentence states that Joe smells better than Adam because ""he showers regularly."" The pronoun ""he"" is used to explain why Joe smells better, indicating that it refers to Joe, who is the subject of the comparison and the one who showers regularly.",0,0
35,Joe smells better than Adam since he hardly ever showers.,he,"0: Joe, 1: Adam","The sentence states that Joe smells better than Adam because ""he hardly ever showers."" The pronoun ""he"" is referring to the person who hardly ever showers, which is the reason given for why Joe smells better. Therefore, ""he"" must refer to Adam, as his lack of showering is the reason Joe smells better.",1,1
36,The pen is mightier than the sword because it can only stab things.,it,"0: The pen, 1: the sword","The pronoun ""it"" refers to the object that can stab things. In the context of the sentence, the comparison is between the pen and the sword. The phrase ""because it can only stab things"" suggests that the pronoun ""it"" refers to the sword, as swords are typically associated with stabbing, whereas pens are not.",1,1
37,The pen is mightier than the sword because it can be used to write world-changing documents.,it,"0: The pen, 1: the sword","The pronoun ""it"" refers to something that can be used to write world-changing documents. In the context of the sentence, ""the pen"" is the object that can be used for writing, whereas ""the sword"" is not associated with writing. Therefore, ""it"" refers to ""the pen.""",0,0
38,The cats attacked the humans because they were feral.,they,"0: The cats, 1: the humans","The pronoun ""they"" refers to the subject that is described as ""feral."" In the context of the sentence, ""feral"" is an adjective that typically describes animals, particularly wild or untamed ones. Therefore, ""they"" is most likely referring to ""The cats,"" as cats can be feral, whereas humans are not typically described in this way.",0,0
39,The cats attacked the humans because they smelled like fish.,they,"0: The cats, 1: the humans","The pronoun ""they"" refers to the subject that performed the action of attacking. In the sentence, ""The cats attacked the humans because they smelled like fish,"" the pronoun ""they"" is referring to ""The cats"" as the ones who attacked. The sentence structure indicates that ""they"" is the subject of the action, which aligns with ""The cats.""",1,0
40,Bob can beat Larry at arm wrestling because he has more muscles.,he,"0: Bob, 1: Larry","The sentence states that Bob can beat Larry at arm wrestling because ""he has more muscles."" The pronoun ""he"" is used to explain the reason why Bob can beat Larry. Therefore, ""he"" refers to Bob, as it is Bob who has more muscles, giving him the advantage in arm wrestling.",0,0
41,Bob can beat Larry at arm wrestling because he is a toddler.,he,"0: Bob, 1: Larry","The pronoun ""he"" refers to the person who is a toddler. The sentence states that Bob can beat Larry at arm wrestling because ""he is a toddler."" This implies that the reason Bob can beat Larry is due to the fact that Larry is a toddler, which makes him weaker. Therefore, ""he"" refers to Larry.",1,1
42,Donald kicked King but he never cried.,he,"0: Donald, 1: King","The pronoun ""he"" is used in the sentence ""Donald kicked King but he never cried."" The structure of the sentence suggests that ""he"" refers to the person who did not cry after being kicked. Typically, the subject of the action (Donald, who kicked) is not the one who is described in the subsequent clause as having a reaction to the action. Therefore, it is more likely that ""he"" refers to King, who was kicked and did not cry.",1,1
43,Donald kicked King but he never felt bad.,he,"0: Donald, 1: King","The sentence ""Donald kicked King but he never felt bad"" contains the pronoun ""he,"" which needs to be resolved. The structure of the sentence suggests that ""he"" refers to the subject who did not feel bad about the action. Since Donald is the one who performed the action of kicking, it is more likely that ""he"" refers to Donald, indicating that Donald did not feel bad about kicking King.",0,0
44,Steve went to the meeting with John because he was asked to.,he,"0: Steve, 1: John","The sentence ""Steve went to the meeting with John because he was asked to"" contains the pronoun ""he,"" which refers to the person who was asked to go to the meeting. The structure of the sentence suggests that ""he"" is the reason Steve went to the meeting. It is more likely that Steve was asked to go to the meeting, which is why he went with John. Therefore, ""he"" refers to Steve.",0,0
45,Steve went to the meeting with John because he asked him to.,he,"0: Steve, 1: John","The pronoun ""he"" in the sentence ""Steve went to the meeting with John because he asked him to"" is likely referring to the person who initiated the action of asking. In this context, it makes more sense that John asked Steve to go to the meeting, as the sentence structure suggests that the person who did the asking is the one who is not the subject of the main clause. Therefore, ""he"" refers to John.",1,1
46,Mary gave Sandy her book because she needed it.,she,"0: Mary, 1: Sandy","The sentence ""Mary gave Sandy her book because she needed it"" suggests that ""she"" refers to the person who needed the book. Since Mary gave the book to Sandy, it is logical to infer that Sandy is the one who needed the book. Therefore, ""she"" refers to Sandy.",1,1
47,Mary gave Sandy her book because she is generous.,she,"0: Mary, 1: Sandy","The sentence states that ""Mary gave Sandy her book because she is generous."" The pronoun ""she"" is used to explain the reason for giving the book. It is more logical to assume that ""she"" refers to Mary, as the act of giving a book is associated with generosity. Therefore, ""she"" likely refers to Mary, who is the one performing the generous act.",0,0
48,John visited Luke in the hospital because he was sick.,he,"0: John, 1: Luke","The pronoun ""he"" in the sentence ""John visited Luke in the hospital because he was sick"" most likely refers to Luke. The context suggests that John visited Luke because Luke was the one who was sick and in the hospital. Therefore, ""he"" refers to Luke.",1,1
49,John visited Luke in the hospital because he lived close by.,he,"0: John, 1: Luke","The pronoun ""he"" in the sentence ""John visited Luke in the hospital because he lived close by"" is likely referring to John. The reason is that the sentence structure suggests that the person who lived close by is the one who visited the hospital, which would make more sense if it were John, as he is the subject of the action of visiting.",0,0
50,John hired Bill because he needed someone.,he,"0: John, 1: Bill","The pronoun ""he"" in the sentence ""John hired Bill because he needed someone"" is most likely referring to John. The structure of the sentence suggests that John is the one who needed someone, which is why he hired Bill. Therefore, ""he"" refers to John.",0,0
51,John fired Bill because he was incompetent.,he,"0: John, 1: Bill","The sentence ""John fired Bill because he was incompetent"" suggests that the reason for the firing was incompetence. The pronoun ""he"" is likely referring to the person who was incompetent, which would be Bill, as he was the one fired. Therefore, ""he"" refers to Bill.",1,1
52,John introduced Bill because he knew everyone.,he,"0: John, 1: Bill","The pronoun ""he"" is used to refer to someone who knew everyone. In the context of the sentence, it makes more sense for John to be the one who knew everyone, as he is the one doing the introducing. This implies that John has a broader social network or familiarity with people, which is why he is introducing Bill. Therefore, ""he"" refers to John.",0,0
53,John introduced Bill because he was new.,he,"0: John, 1: Bill","The sentence ""John introduced Bill because he was new"" suggests that the reason for the introduction is that ""he"" was new. Typically, the person who is new would be the one being introduced, not the one doing the introducing. Therefore, ""he"" likely refers to Bill, who is the one being introduced because he is new.",1,1
54,John shot Bill and he was jailed.,he,"0: John, 1: Bill","In the sentence ""John shot Bill and he was jailed,"" the pronoun ""he"" is more likely to refer to ""John"" because it is common for the person who committed the action (in this case, the shooting) to be the one who is jailed. The structure of the sentence suggests that the consequence (being jailed) is linked to the action (shooting), which was performed by John.",0,0
55,John shot Bill and he died.,he,"0: John, 1: Bill","In the sentence ""John shot Bill and he died,"" the pronoun ""he"" is ambiguous and could refer to either John or Bill. However, in the context of such sentences, it is more common for the pronoun to refer to the person who was directly affected by the action, which in this case is Bill. Therefore, ""he"" is more likely to refer to Bill, who was shot and consequently died.",1,1
56,"The Mad Hatter tried to offer a cup of tea to the March Hare, but his hat was too distracting.",his,"0: The Mad Hatter, 1: the March Hare","The pronoun ""his"" is used to refer to the owner of the hat that was too distracting. In the context of the sentence, it is the Mad Hatter who is known for his hat, which is a significant part of his character. Therefore, ""his hat"" refers to the Mad Hatter's hat, not the March Hare's.",0,0
57,"The Mad Hatter tried to offer a cup of tea to the March Hare, but his long ears were too distracting.",his,"0: The Mad Hatter, 1: the March Hare","The pronoun ""his"" refers to the person whose ears were too distracting. In the context of the sentence, it is the March Hare who is known for having long ears, not the Mad Hatter. Therefore, ""his"" refers to the March Hare.",1,1
58,Richard blackmailed Senator Carson so that his silence would be secured.,his,"0: Richard, 1: Senator Carson","The pronoun ""his"" in the sentence ""Richard blackmailed Senator Carson so that his silence would be secured"" refers to the person whose silence is being secured. In this context, Richard is the one who is blackmailing, and typically, the person being blackmailed (Senator Carson) would have their silence secured as a result of the blackmail. Therefore, ""his"" refers to Senator Carson.",1,1
59,Richard blackmailed Senator Carson so that his rise to power would be secured.,his,"0: Richard, 1: Senator Carson","The pronoun ""his"" in the sentence ""Richard blackmailed Senator Carson so that his rise to power would be secured"" refers to the person whose rise to power is being secured. Since Richard is the one taking action to secure a rise to power through blackmail, it is logical to conclude that ""his"" refers to Richard. The sentence implies that Richard's actions are motivated by his own ambitions, not those of Senator Carson.",0,0
60,"Tradition dictated the captain hold the Stanley Cup first, and it was pretty.",it,"0: Tradition, 1: the Stanley Cup","The pronoun ""it"" is used to refer to an object or thing that is singular and non-human. In the sentence, ""it was pretty"" is likely referring to something that can be visually appreciated. The Stanley Cup is a physical object that can be described as ""pretty,"" whereas ""Tradition"" is an abstract concept and not something that can be visually appreciated. Therefore, ""it"" refers to ""the Stanley Cup.""",1,1
61,"Tradition dictated the captain hold the Stanley Cup first, and it is always followed.",it,"0: Tradition, 1: the Stanley Cup","The pronoun ""it"" in the sentence ""Tradition dictated the captain hold the Stanley Cup first, and it is always followed"" refers to ""Tradition."" The sentence structure indicates that ""it"" is something that is followed, which aligns with the concept of a tradition being followed, rather than the Stanley Cup itself.",0,0
62,The bat hit the ball because it was designed to hit.,it,"0: The bat, 1: the ball","The pronoun ""it"" in the sentence ""The bat hit the ball because it was designed to hit"" refers to the object that is designed to hit. In this context, the bat is the object that is specifically designed to hit the ball. Therefore, ""it"" refers to ""The bat.""",0,0
63,The bat hit the ball because it was designed to be hit.,it,"0: The bat, 1: the ball","The pronoun ""it"" in the sentence ""The bat hit the ball because it was designed to be hit"" refers to the object that is designed to be hit. In this context, the ball is the object that is typically designed to be hit by a bat, not the bat itself. Therefore, ""it"" refers to the ball.",1,1
64,The program could successfully parse the file because it was programmed well.,it,"0: The program, 1: the file","The pronoun ""it"" in the sentence ""The program could successfully parse the file because it was programmed well"" refers to ""The program."" The context of the sentence suggests that the reason for the successful parsing is due to the programming quality, which applies to ""The program"" rather than ""the file.""",0,0
65,The program could successfully parse the file because it was formatted well.,it,"0: The program, 1: the file","The pronoun ""it"" in the sentence ""The program could successfully parse the file because it was formatted well"" refers to ""the file."" The reason is that the sentence structure suggests that the successful parsing was due to the file being well-formatted. The formatting quality is typically an attribute of a file rather than a program.",1,1
66,The article about the fires said that they torched most of Seattle.,they,"0: The article, 1: the fires","The pronoun ""they"" is used to refer to a plural noun. In the sentence, ""they torched most of Seattle,"" the action of torching is more logically associated with ""the fires"" rather than ""the article."" Fires are capable of causing destruction, such as torching a city, whereas an article cannot perform such an action. Therefore, ""they"" refers to ""the fires.""",1,1
67,The article about the fires said that they would research the situation further.,they,"0: The article, 1: the fires","The pronoun ""they"" is typically used to refer to people or groups of people. In this context, ""they"" is more likely to refer to the authors or researchers mentioned in the article, rather than the fires themselves, as fires cannot conduct research. Therefore, ""they"" refers to the article, which implies the people behind it.",0,0
68,The winners were given the awards after they won.,they,"0: The winners, 1: the awards","The pronoun ""they"" is used to refer to people or groups of people. In this context, ""they"" refers to ""The winners"" because it is logical that the winners are the ones who won and were given the awards. ""The awards"" is an inanimate object and cannot ""win"" something, so it cannot be the antecedent for ""they.""",0,0
69,The winners were given the awards after they were made.,they,"0: The winners, 1: the awards","The pronoun ""they"" is used to refer to a plural noun. In the sentence, ""they"" could refer to either ""the winners"" or ""the awards."" However, the context of the sentence suggests that ""they"" refers to ""the awards"" because it makes logical sense that the awards were made before being given to the winners. Therefore, ""they"" refers to ""the awards.""",1,1
70,The man jumped on the neighbor's pool and he swam.,he,"0: The man, 1: the neighbor","The pronoun ""he"" is most likely referring to ""The man"" because the sentence structure suggests that the subject who performed the action of jumping on the pool is the same subject who performed the action of swimming. The sentence starts with ""The man"" as the subject, and it is common for pronouns to refer back to the subject of the previous clause unless otherwise specified.",0,0
71,The man jumped on the neighbor's pool and he stared.,he,"0: The man, 1: the neighbor","The pronoun ""he"" is most likely referring to ""The man"" because the sentence structure suggests that the subject who performed the action of jumping is the same subject who continued with the action of staring. It is common in English for the pronoun to refer back to the subject of the previous clause unless otherwise specified.",1,0
72,"The team shredded the report, so that it could rewrite a new one.",it,"0: The team, 1: the report","The pronoun ""it"" in the sentence ""The team shredded the report, so that it could rewrite a new one"" refers to the entity that is capable of rewriting a report. In this context, ""the team"" is the entity that can perform the action of rewriting, not ""the report."" Therefore, ""it"" refers to ""the team.""",0,0
73,"The team shredded the report, so that it could be rewritten.",it,"0: The team, 1: the report","The pronoun ""it"" in the sentence ""The team shredded the report, so that it could be rewritten"" refers to something that can be rewritten. In this context, ""the report"" is the logical choice because reports can be rewritten, whereas ""the team"" cannot be rewritten. Therefore, ""it"" refers to ""the report.""",1,1
74,Bob asked Tom if he could take him to the movies.,he,"0: Bob, 1: Tom","In the sentence ""Bob asked Tom if he could take him to the movies,"" the pronoun ""he"" is ambiguous and could refer to either Bob or Tom. However, it is more common in English for the pronoun to refer to the subject of the main clause when there is ambiguity. In this case, Bob is the subject of the main clause ""Bob asked Tom,"" so it is more likely that ""he"" refers to Bob.",0,0
75,Bob asked Tom if he could lend some money.,he,"0: Bob, 1: Tom","The sentence ""Bob asked Tom if he could lend some money"" involves two people: Bob and Tom. The pronoun ""he"" is used to refer to the person who is capable of lending money. In this context, it is more logical for ""he"" to refer to Tom, as Bob is the one asking for money, implying that Tom is the one who might lend it.",1,1
76,Homer punched Flanders because he was being annoying.,he,"0: Homer, 1: Flanders","The pronoun ""he"" in the sentence ""Homer punched Flanders because he was being annoying"" refers to the person who was being annoying. In this context, it is more logical to assume that Flanders was being annoying, which led Homer to punch him. Therefore, ""he"" refers to Flanders.",1,1
77,Homer punched Flanders because he was asked to.,he,"0: Homer, 1: Flanders","The pronoun ""he"" in the sentence ""Homer punched Flanders because he was asked to"" is likely referring to Homer. The structure of the sentence suggests that the action of punching was performed by Homer because he was asked to do so. If ""he"" referred to Flanders, it would imply that Flanders was asked to be punched, which is less logical in this context.",0,0
78,Nelson punched Milhouse but he was not hurt.,he,"0: Nelson, 1: Milhouse","The sentence states that ""Nelson punched Milhouse but he was not hurt."" The pronoun ""he"" is likely referring to the person who was not hurt after the punch. Since Nelson is the one who punched Milhouse, it is more logical to assume that Milhouse is the one who might have been hurt. Therefore, ""he"" refers to Nelson, indicating that Nelson was not hurt.",1,0
79,Nelson punched Milhouse but he was not caught.,he,"0: Nelson, 1: Milhouse","The pronoun ""he"" in the sentence ""Nelson punched Milhouse but he was not caught"" is likely referring to Nelson. The context suggests that the person who performed the action (punching) is the one who would be concerned about being caught. Therefore, ""he"" refers to Nelson, who was not caught after punching Milhouse.",0,0
80,The mermaid swam toward Sue and made her gasp.,her,"0: The mermaid, 1: Sue","The pronoun ""her"" in the sentence ""The mermaid swam toward Sue and made her gasp"" is likely referring to Sue. The structure of the sentence suggests that the action of the mermaid swimming toward Sue caused a reaction, which is Sue gasping. Therefore, ""her"" refers to the person who is reacting to the mermaid's action, which is Sue.",1,1
81,The mermaid swam toward Sue and waved her tail.,her,"0: The mermaid, 1: Sue","The pronoun ""her"" is used to refer to a female subject. In the sentence, ""her tail"" suggests possession of a tail, which is characteristic of a mermaid. Therefore, ""her"" refers to ""The mermaid.""",0,0
82,The mother bear attacked Karen because she had gotten too close to her cub.,she,"0: The mother bear, 1: Karen","The pronoun ""she"" in the sentence ""The mother bear attacked Karen because she had gotten too close to her cub"" refers to Karen. The context of the sentence suggests that the reason for the mother bear's attack was that Karen had gotten too close to the bear's cub. Therefore, ""she"" is referring to Karen.",1,1
83,The mother bear attacked Karen because she was worried for her cub.,she,"0: The mother bear, 1: Karen","The pronoun ""she"" refers to the subject who is worried for her cub. In the context of the sentence, it makes sense that the mother bear would be worried for her cub, as it is natural for a mother to be concerned about her offspring. Therefore, ""she"" refers to the mother bear.",0,0
84,"Mary smiled at Susan, but she did not smile back.",she,"0: Mary, 1: Susan","The sentence states that ""Mary smiled at Susan, but she did not smile back."" The pronoun ""she"" is used to refer to the person who did not smile back. Since Mary is the one who smiled, it implies that Susan is the one who did not smile back. Therefore, ""she"" refers to Susan.",1,1
85,"Mary smiled at Susan, but she was not happy to see her.",she,"0: Mary, 1: Susan","The sentence ""Mary smiled at Susan, but she was not happy to see her"" contains the pronoun ""she,"" which is likely to refer to the subject of the first clause, ""Mary."" The use of ""but"" suggests a contrast between the action of smiling and the feeling of not being happy, indicating that the same person who smiled (Mary) is the one who is not happy to see the other person (Susan).",0,0
86,The leech latched onto the hippo so that it could enjoy the sunshine.,it,"0: The leech, 1: the hippo","The pronoun ""it"" in the sentence ""The leech latched onto the hippo so that it could enjoy the sunshine"" refers to the entity that is enjoying the sunshine. Typically, a leech would latch onto a host for sustenance, not for enjoying sunshine. On the other hand, a hippo is a large animal that might be in the sun for warmth or comfort. Therefore, it is more logical that ""it"" refers to the hippo, which is enjoying the sunshine.",1,1
87,The leech latched onto the hippo because it was hungry.,it,"0: The leech, 1: the hippo","The pronoun ""it"" refers to the entity that is hungry. In the context of the sentence, the leech is the one that would be hungry, as it is the one latching onto the hippo to feed. Therefore, ""it"" refers to the leech.",0,0
88,The people protested the government because they were hungry.,they,"0: The people, 1: the government","The pronoun ""they"" refers to the group that is experiencing hunger. In the context of the sentence, it is more logical that ""the people"" are the ones who are hungry, as they are protesting against the government due to their hunger. It is unlikely that ""the government"" would be described as hungry in this context.",0,0
89,The people protested the government because they were raising taxes.,they,"0: The people, 1: the government","The pronoun ""they"" in the sentence ""The people protested the government because they were raising taxes"" refers to the entity responsible for the action of raising taxes. In this context, it is the government that has the authority and capability to raise taxes, not the people. Therefore, ""they"" refers to the government.",1,1
90,I drank the beer with a lime because it was cold.,it,"0: the beer, 1: a lime","The pronoun ""it"" refers to something that was cold. In the context of the sentence, ""the beer"" is more likely to be described as cold than ""a lime."" Therefore, ""it"" refers to ""the beer.""",0,0
91,I drank the beer with a lime because it was sour.,it,"0: the beer, 1: a lime","The pronoun ""it"" refers to something that was sour. In the sentence, ""a lime"" is typically associated with a sour taste, whereas ""the beer"" is not inherently sour unless specified otherwise. Therefore, ""it"" most likely refers to ""a lime.""",1,1
