,original_text,modified_text,modified_label,modified_pred,original_pred,modified_pronoun,modified_candidates,original_label,index
13,"George scored against Thomas in the shootout, so he lost the game.","Thomas scored against George in the shootout, so he lost the game.",1,1,1,he,"0: Thomas, 1: George",1,193
14,South Korea does not like North Korea because they are constantly threatening their peace.,North Korea does not like South Korea because they are constantly threatening their peace.,1,0,1,they,"0: North Korea, 1: South Korea",1,358
15,Watson beat Ken at Jeopardy because he is an inferior human.,Ken beat Watson at Jeopardy because he is an inferior human.,1,0,0,he,"0: Ken, 1: Watson",1,247
16,"Wanda asks Regina if she wants to go with him, but Regina does not want to leave Owuor.","Regina asks Wanda if she wants to go with him, but Wanda does not want to leave Owuor.",1,1,1,she,"0: Regina, 1: Wanda",1,1058
17,Kathy paid Jane to leave but she returned several weeks later.,Jane paid Kathy to leave but she returned several weeks later.,1,1,1,she,"0: Jane, 1: Kathy",1,1986
18,"Rice beat Texas, even though they were the best team in the nation.","Texas beat Rice, even though they were the best team in the nation.",1,0,0,they,"0: Texas, 1: Rice",1,27
19,"Theresa almost admits to killing Stephanie, but stops when Logan tells her he is a police officer.","Stephanie almost admits to killing Theresa, but stops when Logan tells her he is a police officer.",0,0,0,her,"0: Stephanie, 1: Theresa",0,1782
20,Ryan Higa sometimes guest stars in videos for Kev Jumbo because he wants his friend's videos to succeed as well.,Kev Jumbo sometimes guest stars in videos for Ryan Higa because he wants his friend's videos to succeed as well.,0,0,0,he,"0: Kev Jumbo, 1: Ryan Higa",0,470
21,Trotsky refused to support Lenin since he was waiting to see whether German workers would rebel and whether German soldiers would refuse to follow orders.,Lenin refused to support Trotsky since he was waiting to see whether German soldiers would rebel and whether German workers would refuse to follow orders.,0,0,0,he,"0: Lenin, 1: Trotsky",1,862
22,Cosby supported Jay because Thea really liked him.,Jay supported Cosby because Thea really liked him.,0,0,1,him,"0: Cosby, 1: Jay",1,250
23,The mother bear attacked Karen because she had gotten too close to her cub.,Karen was attacked by the mother bear because she had gotten too close to her cub.,0,0,0,she,"0: Karen, 1: the mother bear",1,82
24,Battlefield 3 is more fun than Modern Warfare 3 because it is a better game.,Modern Warfare 3 is more fun than Battlefield 3 because it is a better game.,0,0,0,it,"0: Modern Warfare 3, 1: Battlefield 3",0,220
25,"George scored against Thomas in the shootout, so he won the game.","Thomas scored against George in the shootout, so he won the game.",0,0,0,he,"0: Thomas, 1: George",0,192
26,Warren snuck Nige outside and said that if he ever saw him again he would kill him.,Nige snuck Warren outside and said that if he ever saw him again he would kill him.,0,0,0,he,"0: Nige, 1: Warren",0,1790
27,"Nonetheless, Harry remains with Rob until the night he learns that he had a fling with his high school nemesis, Ronnie Harrison.","Nonetheless, Ronnie Harrison remains with Rob until the night he learns that he had a fling with his high school nemesis, Harry.",0,0,1,he,"0: Rob, 1: Ronnie Harrison",1,1147
28,The mother bear attacked Karen because she had gotten too close to her cub.,Karen was attacked by the mother bear because she had gotten too close to her cub.,0,0,0,she,"0: Karen, 1: the mother bear",1,82
29,"Olivia wants to make amends with Emily, but she is apprehensive.","Emily wants to make amends with Olivia, but she is apprehensive.",0,0,0,she,"0: Emily, 1: Olivia",0,208
30,Bob can beat Larry at arm wrestling because he has more muscles.,Larry can beat Bob at arm wrestling because he has more muscles.,0,0,0,he,"0: Larry, 1: Bob",0,40
31,Joe raced against Steven because he thought it would be easy.,Steven raced against Joe because he thought it would be easy.,0,0,0,he,"0: Steven, 1: Joe",0,148
32,"Josie did not like Sarah, but she did not tell her.","Sarah did not like Josie, but she did not tell her.",0,0,0,she,"0: Sarah, 1: Josie",0,183
33,John visited Luke in the hospital because he lived close by.,Luke visited John in the hospital because he lived close by.,0,0,0,he,"0: Luke, 1: John",0,49
34,Battlefield 3 is more fun than Modern Warfare 3 because it is a better game.,Modern Warfare 3 is more fun than Battlefield 3 because it is a better game.,0,0,0,it,"0: Modern Warfare 3, 1: Battlefield 3",0,220
35,Michael Phelps was fined by Judge Louis because he was caught with illegal drugs.,Judge Louis was fined by Michael Phelps because he was caught with illegal drugs.,0,0,0,he,"0: Judge Louis, 1: Michael Phelps",0,402
36,"Tina is scared, but Emma comes after her and protects herself with a gun.","Emma is scared, but Tina comes after her and protects herself with a gun.",0,0,0,her,"0: Emma, 1: Tina",0,1713
37,"When Saul realizes where Javadi is going, he immediately sends Carrie and Quinn there to intercept him.","When Javadi realizes where Saul is going, he immediately sends Carrie and Quinn there to intercept Saul.",0,0,0,he,"0: Javadi, 1: Saul",0,2083
38,Steven Seagal challenged Jean Claude Van Damme to a fight because he wanted to prove he was the stronger man.,Jean Claude Van Damme challenged Steven Seagal to a fight because he wanted to prove he was the stronger man.,0,0,0,he,"0: Jean Claude Van Damme, 1: Steven Seagal",0,98
39,Steven Seagal challenged Jean Claude Van Damme to a fight because he wanted to prove he was the stronger man.,Jean Claude Van Damme challenged Steven Seagal to a fight because he wanted to prove he was the stronger man.,0,0,0,he,"0: Jean Claude Van Damme, 1: Steven Seagal",0,98
40,"Elmeida nearly assassinated Hyrum, but Noa intervened to save his life.","Hyrum was nearly assassinated by Elmeida, but Noa intervened to save his life.",0,0,1,his,"0: Hyrum, 1: Elmeida",1,1617
41,"Emma finally agrees to put Jennifer ashore, but after she has given her sleeping pills.","Jennifer finally agrees to put Emma ashore, but after she has given her sleeping pills.",0,0,0,she,"0: Jennifer, 1: Emma",0,1688
42,"When Saul realizes where Javadi is going, he immediately sends Carrie and Quinn there to intercept him.","When Javadi realizes where Saul is going, he immediately sends Carrie and Quinn there to intercept Saul.",0,0,0,he,"0: Javadi, 1: Saul",0,2083
43,Warren snuck Nige outside and said that if he ever saw him again he would kill him.,Nige snuck Warren outside and said that if he ever saw him again he would kill him.,0,0,0,he,"0: Nige, 1: Warren",0,1790
44,Lakshman asked Vivan to get him some ice cream because he was hot.,Vivan asked Lakshman to get him some ice cream because he was hot.,0,0,0,he,"0: Vivan, 1: Lakshman",0,194
45,John attacked Tim because he was a communist.,Tim was attacked by John because he was a communist.,0,1,0,he,"0: Tim, 1: John",1,223
46,Trotsky refused to support Lenin since he was waiting to see whether German workers would rebel and whether German soldiers would refuse to follow orders.,Lenin refused to support Trotsky since he was waiting to see whether German soldiers would rebel and whether German workers would refuse to follow orders.,0,0,0,he,"0: Lenin, 1: Trotsky",1,862
