,text,pronoun,candidate,label,pred
75,"Sam pulled up a chair to the piano, but it was broken, so he had to sing instead.",it,"0: The chair, 1: The piano",1,1
76,Malware has increased over four hundred percent on the Android platform since they do not need to get vetted to be uploaded.,they,"0: Malware, 1: the Android platform",0,0
77,"Samuel despises Carl, telling Bandini if he wants to win him over, he has to treat him poorly.",he,"0: Samuel, 1: Carl",0,1
78,"Research studies recently revealed that Netflix consumes over 37 percent of the world's internet bandwidth, but they may not be entirely accurate now due to recent changes in Netflix subscribers.",they,"0: Research studies, 1: Netflix",0,0
79,"The team shredded the report, so that it could rewrite a new one.",it,"0: The team, 1: the report",0,0
80,"Amanda pretends to let Alexandra go so she can pursue a new life, warning her to stay away from Nikita.",she,"0: Amanda, 1: Alexandra",0,0
81,Some actors choose to perform their own stunts instead of using stunt doubles since they like to keep it as authentic as possible.,they,"0: Some actors, 1: stunt doubles",0,0
82,"Knabe lost to La Mirada Mayor Wayne R. Grisham, but he carried his home area.",his,"0: Knabe, 1: La Mirada Mayor Wayne R. Grisham",1,0
83,"Sam arrives and tries to speak to Dom again, but he does not want to see him, and asks him to leave.",he,"0: Sam, 1: Dom",1,1
84,Ernie Tagg sacked himself as Ali's manager because he felt that a younger manager should take charge of the club.,he,"0: Ernie Tagg, 1: Ali",0,0
85,"Because the BFG refuses to eat the human, he subsists on a revolting vegetable known as a ` Snozzcumber '.",he,"0: the BFG, 1: the human",0,0
86,"Lynch was quickly signed by the owner of the Denver Broncos, where he had consecutive injury-free Pro Bowl seasons.",he,"0: Lynch, 1: the owner of the Denver Broncos",0,0
87,John asked Bill because he was confused.,he,"0: John, 1: Bill",0,0
88,"Bob soon moved into the boarding house to try to get away from Bradley, but he got a court order and forced him to return home.",he,"0: Bob, 1: Bradley",1,1
89,"Gnumeric was created and developed by Miguel de Icaza, but he has since moved on to other projects.",he,"0: Gnumeric, 1: Miguel de Icaza",0,1
90,"Batman constantly tried to arrest the Joker, but he always manages to get out.",he,"0: Batman, 1: the Joker",1,1
91,The car passed the truck because it needed to go faster.,it,"0: The car, 1: the truck",0,0
92,Fox News is more popular in ratings than CNN since they are more interesting.,they,"0: Fox News, 1: CNN",0,0
93,"Carl borrowed a book from Richard, but the book was never returned to him.",him,"0: Carl, 1: Richard",1,1
94,"Mark still wants to marry Johnny, but at the wedding his cowardice comes out once more.",his,"0: Mark, 1: Johnny",1,0
95,"Montholon is known to have despised and flouted Las Cases, though in later writings he affected to laud his services to Napoleon.",he,"0: Montholon, 1: Las Cases",0,0
96,"Batman constantly tries to arrest the Joker, but he is also a vigilante.",he,"0: Batman, 1: the Joker",0,0
97,Tom stood by Gilly and was relieved when he was found innocent.,he,"0: Tom, 1: Gilly",0,0
98,The public school board of educators initiated a physical education plan on the students since they scored so low on the health and fitness standardized test.,they,"0: The public school board of educators, 1: the students",1,1
99,John killed Bill because he was fighting for his life.,he,"0: John, 1: Bill",0,0
100,"Tania thinks about cancelling on Vanessa, but she later arrives with dessert.",she,"0: Tania, 1: Vanessa",0,0
101,"The elder Mackenzie used to beat Golly, especially after he had been drinking.",he,"0: The elder Mackenzie, 1: Golly",0,0
102,Kara is in love with Tanya but she is too shy to tell her.,her,"0: Kara, 1: Tanya",1,1
103,The people protested the government because they were hungry.,they,"0: The people, 1: the government",0,0
104,"Katie threatens Daniele, telling her she will be put into care if she says anything.",her,"0: Katie, 1: Daniele",1,1
105,"John is unable to find Fred, but Dede discovers him back at their apartment and embraces him.",him,"0: John, 1: Fred",1,1
106,Californians are better than New Yorkers because they have Hollywood.,they,"0: Californians, 1: New Yorkers",0,0
107,"The hotel staff tended to the royal family, however, they felt the service was unsatisfactory.",they,"0: The hotel staff, 1: the royal family",1,1
108,The board of directors reviewed the findings of the scientists to determine funding because they are interested in the potential profits for the company.,they,"0: The board of directors, 1: the scientists",0,0
109,Karl attracts the unwanted attention of Captain Louis but he evades him and throws him into the wall.,he,"0: Karl, 1: Captain Louis",0,0
110,"Tirpitz was recalled by Wilhelm II, and after he returned to Berlin he lost interest in East Asia : he was now developing a battle fleet.",he,"0: Tirpitz, 1: Wilhelm II",0,0
111,"Gabrielle becomes pregnant with a child with Carla, but her miscarriage leads to complications, forcing them to consider adoption.",her,"0: Gabrielle, 1: Carla",0,0
112,"Giuseppe Zangara was the assassin of Chicago mayor Anton Cermak, though United States Presidentelect Franklin D. Roosevelt may have been his intended target.",his,"0: Chicago mayor Anton Cermak, 1: Giuseppe Zangara",0,1
113,Sean is better than Watson at anaphora resolution because he can naturally understand natural language.,he,"0: Sean, 1: Watson",0,0
114,"Vicky repeatedly tires to seduce Emma, but she turns her down.",she,"0: Vicky, 1: Emma",1,1
115,Henry advises Max to find out if Jack is married before he gets involved with him.,he,"0: Henry, 1: Max",1,1
116,"Tyler finds Robbo Slade unconscious, after he was involved in a hit-and-run.",he,"0: Tyler, 1: Robbo Slade",1,1
117,Joe crashed into Mike and he had to pay for the damage.,he,"0: Joe, 1: Mike",1,0
118,"I couldn't find a spoon, so I tried using a pen to stir my coffee. But that turned out to be a bad idea, because it got full of ink.",it,"0: The pen, 1: The coffee",1,0
119,Morris is killed by Dracula when he tries to stake the vampire in his coffin.,he,"0: Morris, 1: Dracula",0,0
120,Rebecca kissed Dina because she is a sweet girl.,she,"0: Rebecca, 1: Dina",1,1
121,The paintball player was mad at the referee because he was called out but shouldn't.,he,"0: The paintball player, 1: the referee",0,0
122,"It was a summer afternoon, and the dog was sitting in the middle of the lawn. After a while, it got up and moved to a spot under the tree, because it was cooler.",it,"0: The dog, 1: The spot under the tree",1,0
123,The employer talked to the employee about being loyal to him.,him,"0: The employer, 1: the employee",0,0
124,"Rick Perry is doing stronger than Mitt Romney in the polls, but he is confident to maintain the lead.",he,"0: Rick Perry, 1: Mitt Romney",0,0
125,"If the con artist has succeeded in fooling Sam, he would have gotten a lot of money.",he,"0: The con artist, 1: Sam",0,0
126,Russell suggests that Sobotka would talk if he approached him and Pearlman gives him the OK.,he,"0: Russell, 1: Sobotka",1,0
127,The next day Golnar finds Abhilasha crying because she is overwhelmed by Siddharth's friends acting wildly inside the apartment.,she,"0: Abhilasha, 1: Golnar",0,0
128,The women find the dancers familiar since they saw the same people perform the first time they saw the show.,they,"0: The women, 1: the dancers",0,0
129,"Nell confesses that after Helen died, she tried to kill herself with a razor.",she,"0: Nell, 1: Helen",0,0
130,"Shary asks Tania accusingly where she was at the time of the accident, and the movie ends as she begins to cry from guilt.",she,"0: Shary, 1: Tania",1,1
131,"Janis is ordered to kill Noelia, but doesn't know if she can go along with this.",she,"0: Janis, 1: Noelia",0,0
132,"Netflix recently split their DVD service to site Qwikster, but they had a short lived life for the site.",they,"0: Netflix, 1: Qwikster",1,0
133,Maggie flirts with Stella but she tells her she is seeing Olivia Falconeri.,she,"0: Maggie, 1: Stella",1,0
134,The table won't fit through the doorway because it is too wide.,it,"0: The table, 1: The doorway",0,0
135,Sutton went on to campaign for Barack Obama after he secured the nomination.,he,"0: Sutton, 1: Barack Obama",0,1
136,The woman held the girl against her chest,her,"0: The woman, 1: The girl",0,0
137,"Intel Performs better than AMD in the processing market, but they are more successful in the graphics market instead.",they,"0: Intel, 1: AMD",1,1
138,"Doherty decided to appear after talking with Noemie, but her appearance was moved to the second episode.",her,"0: Doherty, 1: Noemie",0,0
139,Malebranche was strongly influenced by Descartes but he did not accept his philosophy uncritically.,his,"0: Malebranche, 1: Descartes",1,1
140,Diana becomes jealous of Erica when she finds out she has a date to the Sadie Hawkins dance which she will be chaperoning.,she,"0: Diana, 1: Erica",0,0
141,The spear easily pierced through the armor because it was too sharp.,it,"0: The spear, 1: the armor",0,0
142,"Lisa follows Wendy, finding out where she lives and works.",she,"0: Wendy, 1: Lisa",0,0
143,"Plutarch describes there being many accusers against Trebonius, but no one to defend him.",him,"0: Plutarch, 1: Trebonius",1,1
144,"Matilda tries to flirt with Dee Bliss, but she is not impressed when she learns he is only nineteen.",she,"0: Matilda, 1: Dee Bliss",1,1
145,"Seeing armed cadet, the driver tried to escape, but he and his companions were caught and brought to the military academy.",he,"0: armed cadet, 1: the driver",1,1
146,Sonny supports Simon wholeheartedly until he uses him to his own advantage.,he,"0: Sonny, 1: Simon",1,1
147,Carol believed that Rebecca suspected that she had stolen the watch.,she,"0: Carol, 1: Rebecca",0,0
148,Shan is apparently killed after being strangled by the possessed Pinky but his lucky charm saves him.,his,"0: Shan, 1: the possessed Pinky",0,0
149,"Sophia tries to convince Alice to plead not guilty, but she pleads guilty to murder.",she,"0: Sophia, 1: Alice",1,1
150,Rachel becomes jealous of Jessica when she sees her kissing another girl.,she,"0: Rachel, 1: Jessica",0,0
151,"Horatio doesn't believe Poque and says that if his boat truly has the N word on it, he'll eat his hat.",his,"0: Horatio, 1: Poque",0,0
152,"Houston agrees, but Patrick's parents are appalled when he asked them for permission.",he,"0: Houston, 1: Patrick",0,1
153,"British actor John Cleese was signed up for the role of Michael Simpson, but due to heart problems he was unable to perform in the film.",he,"0: Michael Simpson, 1: British actor John Cleese",0,1
154,"Intel performs better than AMD in the processing market, but they do not do as well in the graphics market.",they,"0: Intel, 1: AMD",0,0
155,"Lauren promises to support Tanya, but struggles to cope with her mother's illness.",her,"0: Lauren, 1: Tanya",1,0
156,"The king planned to arrest Pausanias in the street, but he was warned of this plan and escaped to the temple of Athena of the Brazen House.",he,"0: Pausanias, 1: The king",0,0
157,This book introduced Shakespeare to Ovid; it was a major influence on his writing.,his,"0: Shakespeare, 1: Ovid",0,0
158,Mary gave Sandy her book because she is generous.,she,"0: Mary, 1: Sandy",0,0
159,James Cameron is more successful than Michael Bay because his movies sell more worldwide.,his,"0: James Cameron, 1: Michael Bay",0,0
160,"Paul tried to call George on the phone, but he wasn't available.",he,"0: Paul, 1: George",1,1
161,"While Mark deliberates whether to trust Dimble, he is found by police and arrested for Hingest's murder.",he,"0: Mark, 1: Dimble",0,0
162,Harley hides from Dyna because she is afraid of her.,she,"0: Harley, 1: Dyna",0,0
163,The Military Police threw the army recruits in the brig since they were enforcing the rules of being in the army.,they,"0: The Military Police, 1: the army recruits",0,0
164,Many people start to read Paul's books and can't put them down. They are gripped because Paul writes so well.,They,"0: People, 1: Paul's books",0,0
165,The foxes are getting in at night and attacking the chickens. I shall have to kill them.,them,"0: The foxes, 1: The chickens",0,0
166,"Kat is furious and decides not to get together with Allie, so as not to break her sister's heart.",her,"0: Kat, 1: Allie",0,0
167,Pigs are better than sheep because they do not make bacon.,they,"0: Pigs, 1: sheep",1,1
168,The US government declared war on Iraq because they were responding to their attack on US soil.,they,"0: The US government, 1: Iraq",0,0
169,"Georgiana is pressured to have sex with Eva, but she becomes uncomfortable and drives her away with her awkward and bizarre behavior.",she,"0: Georgiana, 1: Eva",0,0
170,"Julian is thrilled when Adam is acquitted, but he is later horrified to learn that the agreement he signed with Rebecca prevents him from divorcing her.",he,"0: Julian, 1: Adam",0,0
171,"Liz has been trying to go slow with Marilyn, but she gives in to her passion and they spend the night together.",she,"0: Liz, 1: Marilyn",0,0
172,Deva tells Krishna to go after Mr. Hook while she heals Professor Gellar.,she,"0: Deva, 1: Krishna",1,0
173,Bela then threw Yvonne out after she said Rita was better off being dead or being left in a home.,she,"0: Bela, 1: Yvonne",1,1
174,Coline tries to revive Julia but she dies and her attacker unknown.,she,"0: Julia, 1: Coline",0,0
175,"Astrov arrives and is sent for by Samuel, but the professor refuses to see him.",him,"0: Astrov, 1: Samuel",0,0
176,The boss fired the worker when he called him into the office.,he,"0: The boss, 1: the worker",0,0
177,"Alice tried frantically to stop her daughter from barking at the party, leaving us to wonder why she was behaving so strangely.",she,"0: Alice, 1: Alice's daughter",1,1
178,Dr. Adams informed Kate that she had cancer and presented several options for future treatment.,she,"0: Dr. Adams, 1: Kate",1,1
179,The doctors tell the monks to flee so that they can defeat the Intelligence.,they,"0: The doctors, 1: the monks",0,0
180,"Furthermore, Prem is in love with Max but he believes that he isn't worthy of him.",he,"0: Prem, 1: Max",0,0
181,"Jack and Mark get increasingly drunk and show up uninvited to see classmates, but they refuses to let them in.",they,"0: classmates, 1: Jack and Mark",0,0
182,"Isabella is still smitten with Laura, but she isnt as gullible as she supposes and resists her advances.",she,"0: Isabella, 1: Laura",1,0
183,"Michaela is not happy to see Emilia, but she allows her to stay for Natasha's sake.",she,"0: Michaela, 1: Emilia",0,0
184,Bree is rollerskating with Katie when she gets hot and dizzy out of nowhere and falls off her skates.,she,"0: Bree, 1: Katie",0,0
185,"Lance tried to get back together with Bob, but his pride was hurt and he refused to take her back.",his,"0: Lance, 1: Bob",1,1
186,Yuri owed Ivan money because he lost the bet.,he,"0: Yuri, 1: Ivan",0,0
187,John visited Luke in the hospital because he lived close by.,he,"0: John, 1: Luke",0,0
188,"Asin Thottumkal was first approached for the role of Jhanvi, but due to other commitments she rejected the offer.",she,"0: Jhanvi, 1: Asin Thottumkal",0,1
189,"Joseph did not defeat William in the match, so he earned $100.",he,"0: Joseph, 1: William",1,1
190,Carl then realizes that Peter is innocent if he genuinely believed him to be guilty.,he,"0: Carl, 1: Peter",1,0
191,"The committee increased the price of the tickets to the dance for the students, but they did not like it.",they,"0: The committee, 1: the students",1,1
192,But the dissatisfaction Jean had sensed in Ryan manifests when he hangs himself in the same house he had shared with the changelings years before.,he,"0: Ryan, 1: Jean",0,0
193,"Juliette plans to kill Rosalie, because she knows they stole the painting, Louis tries to protect her by advising her to escape.",she,"0: Juliette, 1: Rosalie",1,0
194,"The journalists interviewed the stars of the new movie. They were very persistent, so the interview lasted for a long time.",They,"0: The journalists, 1: The stars",0,0
195,"Kelly neglected to tell Katie that their rent was due, but she told her later.",she,"0: Kelly, 1: Katie",0,0
196,"Brooke is shot by hitman Don Lennox, after he mistakes her for Justine and she survives the attack.",he,"0: Brooke, 1: hitman Don Lennox",0,1
197,"They broadcast an announcement, but a subway came into the station and I couldn't hear it.",it,"0: The announcement, 1: The subway",0,0
198,The hyenas scavenged from the lions because they were desperate.,they,"0: The hyenas, 1: the lions",0,0
199,Paypal has to settle millions of disputes every year by disgruntled users because they provide a transaction protection policy.,they,"0: Paypal, 1: disgruntled users",0,0
200,"Hair Stylists transformed the Cowboy's Cheerleaders into beauties, since they need to look top notch for the game.",they,"0: Hair Stylists, 1: the Cowboy's Cheerleaders",1,1
201,"Albert had become extremely protective of Phillip and when he found out about the rape, he made sure Bradley was arrested.",he,"0: Albert, 1: Phillip",1,0
202,"Esaias was not related to Willem van de Velde, but he was the cousin of Jan van de Velde.",he,"0: Esaias, 1: Willem van de Velde",0,0
203,"Erika stays, knowing that not only will Gwyneth be angry, but she will not let him visit Dexter in the hospital.",she,"0: Gwyneth, 1: Erika",1,0
204,Tony helped Jeff because he wanted to help.,he,"0: Tony, 1: Jeff",0,0
205,The minister befriended King George so he would not get beheaded.,he,"0: The minister, 1: King George",0,0
206,Sony recently locked 90000 users from their accounts because they had hackers compromise their customer's information.,they,"0: Sony, 1: 90000 users",0,1
207,"The Police feared allowing the protesters to organize, so they denied their ability to gather.",they,"0: The Police, 1: the protesters",0,0
208,"Ludwig von Pastor has shown that Pope Julius II was not illiterate, although he is poetically referred to as such by Desiderius Erasmus.",he,"0: Ludwig von Pastor, 1: Pope Julius II",0,1
209,James asked Robert for a favor but he was refused.,he,"0: James, 1: Robert",0,0
210,"During a game of tag, Ethan ran from Luke because he was ""it"".",he,"0: Ethan, 1: Luke",1,1
211,The Russian Syndicate decided to remove some of their lower members so they could keep their operations as secret as possible.,they,"0: The Russian Syndicate, 1: their lower members",0,0
212,Emeric and Lucie watch the whole scene between the brothers and Noah but they hide as they hear Alaric approaching.,they,"0: Emeric and Lucie, 1: the brothers and Noah",0,0
213,Tricia then asks Julia if she has experienced any return of the night terrors.,she,"0: Julia, 1: Tricia",0,0
214,Mrs Poirot wires back to arrest Mrs Middleton at once but she disappears before this can happen.,she,"0: Mrs Middleton, 1: Mrs Poirot",0,0
215,The firemen arrived after the police because they were coming from so far away.,they,"0: The firemen, 1: The police",0,0
216,The security team locked the scientists inside the building since they had access to confidential materials that need to be kept secret.,they,"0: The security team, 1: the scientists",1,1
217,I took the water bottle out of the backpack so that it would be handy.,it,"0: The water bottle, 1: The backpack",0,0
218,"Vanessa still has Ludmilla, so Smith comes back for her.",her,"0: Ludmilla, 1: Vanessa",0,1
219,"Brie is worried about leaving Ruth, but she assures her she needs to get to know Geoff.",she,"0: Brie, 1: Ruth",1,0
220,Steve hired Jose because he was a hard worker.,he,"0: Steve, 1: Jose",1,1
221,"Kelly Marie decides to move in with Alexa, after she buys a new bed for Callum.",she,"0: Alexa, 1: Kelly Marie",0,1
222,Sean Penn was already set to play Larry Fine but he dropped out to concentrate on his charitable efforts in Haiti.,his,"0: Sean Penn, 1: Larry Fine",0,0
223,"At first, Emma has a hard time accepting Maria as the not-so-dead Francesca, but she comes around eventually.",she,"0: the not-so-dead Francesca, 1: Emma",1,1
224,"Chris was desperate to convince Richard to stay, so he got Victor to offer him a promotion.",he,"0: Chris, 1: Richard",0,0
225,Mia attempts to train Jenna up so she looks good for her interview and the pair get closer.,she,"0: Mia, 1: Jenna",1,1
226,"Later, Felicia appeals to Helen, but she refuses.",she,"0: Helen, 1: Felicia",0,0
227,John shot Bill and he died.,he,"0: John, 1: Bill",1,1
228,"Marcy would continue to have that crush on Brenda, until Lisa finally set her straight.",her,"0: Marcy, 1: Brenda",0,0
229,"Janae hits Emma to protect herself, when she escapes she is the one charged with assault.",she,"0: Janae, 1: Emma",0,0
230,John introduced Bill because he knew everyone.,he,"0: John, 1: Bill",0,0
231,Mr. Hillyer attributes this to Richard but he repeatedly denies knowing them.,he,"0: Richard, 1: Mr. Hillyer",0,0
232,"John goes out to kill Tony, but he ambushes and bites him.",he,"0: John, 1: Tony",1,1
233,Hiranyakasipu banished Prahlada but then relented and allowed him to come home.,him,"0: Hiranyakasipu, 1: Prahlada",0,1
234,"This is, as Roarke dryly comments to Mark, because he has no real courage.",he,"0: Roarke, 1: Mark",0,1
235,Joanne is attracted to Louise's father Phil Mitchell and is sacked when she tries to seduce him.,she,"0: Joanne, 1: Louise",0,0
236,"Sam arrives and tries to speak to Dom again, but he does not want to see him, and asks him to leave.",he,"0: Sam, 1: Dom",1,1
237,Sudesh Berry was considered for the role of Rahul but after a screen test the director decided he didn't fit the role.,he,"0: Rahul, 1: Sudesh Berry",0,1
238,"Fearnley was asked by Moss if he wanted to become a permanent member of a band in which he sometimes played, Culture Club.",he,"0: Fearnley, 1: Moss",1,0
239,My heart pumps blood because it is liquid.,it,"0: My heart, 1: blood",1,1
240,"Ann asked Mary what time the library closes, but she had forgotten.",she,"0: Ann, 1: Mary",1,0
241,"Styles, according to Sessum, responded by threatening him with arrest if he did not tell a story consistent with Acreman's.",him,"0: Styles, 1: Sessum",1,1
242,Anna misses Cathy so much that she decides to kill herself.,she,"0: Anna, 1: Cathy",0,0
243,"Theresa wakes up and attempts to escape Sandra, but she holds her captive.",she,"0: Theresa, 1: Sandra",1,1
