,sentence,pronoun,candidate,rationale,label,pred
10,"Josie wasn't into Sarah, but she kept it to herself.",she,"0: Josie, 1: Sarah, 2: Neither","The pronoun ""she"" is used in the sentence ""she kept it to herself."" The context of the sentence suggests that ""she"" refers to the person who is keeping something to herself, which is Josie. The sentence starts with ""Josie wasn't into Sarah,"" indicating that Josie is the one with the feelings or lack thereof, and thus the one who would keep it to herself. Therefore, ""she"" refers to Josie.",0,0
11,"James pops over to see Archie now and then, but he's getting a crush on the local school head, Katrina Finlay.",he's,"0: James, 1: Archie, 2: Neither","The pronoun ""he's"" is a contraction for ""he is,"" and it refers to someone who is getting a crush on Katrina Finlay. In the sentence, James is mentioned as the one who pops over to see Archie, and then the sentence continues with ""he's getting a crush on the local school head, Katrina Finlay."" The structure of the sentence suggests that ""he's"" refers to James, as it follows the mention of James and there is no indication that the subject has changed to Archie.",1,0
12,The team ripped up the report so they could start fresh on a new one.,they,"0: The team, 1: the report, 2: Neither","The pronoun ""they"" is used to refer to a group of people or entities. In the sentence, ""The team ripped up the report so they could start fresh on a new one,"" ""they"" logically refers to ""The team"" as it is the group of people who would be starting fresh on a new report. ""The report"" is an object and cannot perform actions like starting fresh on a new report.",1,0
13,"The skeleton freaked me out more than the pumpkin, cuz it was just too plain and orange.",it,"0: The skeleton, 1: the pumpkin, 2: Neither","The pronoun ""it"" in the sentence ""it was just too plain and orange"" refers to something that is described as ""plain and orange."" In the context of the sentence, the pumpkin is described as orange, which matches the description given by the pronoun. Therefore, ""it"" refers to the pumpkin.",1,1
14,"Brenda hangs out with Jasmine for a day, but she bolts after planting a kiss on her.",she,"0: Brenda, 1: Jasmine, 2: Neither","The sentence describes an action where ""she bolts after planting a kiss on her."" The pronoun ""she"" is likely referring to the person who performed the action of bolting after the kiss. Since Brenda is mentioned first and the sentence structure suggests that the subject (Brenda) is the one performing the actions, it is reasonable to conclude that ""she"" refers to Brenda. Therefore, Brenda is the one who bolts after planting a kiss on Jasmine.",1,0
15,My phone's doing way better than yours'cause it's busted.,it,"0: My phone, 1: yours, 2: Neither","The pronoun ""it"" in the sentence ""My phone's doing way better than yours 'cause it's busted"" refers to the object that is ""busted."" The sentence structure suggests a comparison between ""my phone"" and ""yours,"" with ""it"" referring to the latter, which is ""busted."" Therefore, ""it"" refers to ""yours.""",1,1
16,The keys banged out the words'cause they were just asking to be typed on.,they,"0: The keys, 1: the words, 2: Neither","The pronoun ""they"" refers to a plural noun. In the sentence, both ""the keys"" and ""the words"" are plural nouns. However, the context of the sentence suggests that ""they"" refers to ""the words"" because the words are described as ""asking to be typed on,"" which aligns with the action of typing words. The keys are the instrument used to type, but the words are the content being typed. Therefore, ""they"" most logically refers to ""the words.""",0,1
17,The prof was tough on the kid and dished out a lousy grade.,he,"0: The prof, 1: the kid, 2: Neither","The pronoun ""he"" is likely referring to ""The prof"" because the sentence describes an action of giving a grade, which is typically done by a professor or teacher. The context suggests that ""he"" is the one who dished out the grade, which aligns with the role of ""The prof.""",0,0
18,John swung by to see Luke at the hospital since he lived nearby.,he,"0: John, 1: Luke, 2: Neither","The pronoun ""he"" in the sentence ""John swung by to see Luke at the hospital since he lived nearby"" is most likely referring to John. The reason is that the sentence structure suggests that the person who ""lived nearby"" is the one who is taking the action of visiting, which is John. Therefore, ""he"" refers to John.",0,0
19,Joe shoved Bob into the time machine and he zipped off to the future.,he,"0: Joe, 1: Bob, 2: Neither","The sentence states that Joe shoved Bob into the time machine, and ""he zipped off to the future."" The pronoun ""he"" is likely referring to the person who was shoved into the time machine, which is Bob. Therefore, ""he"" refers to Bob.",1,1
20,Trotsky wouldn't back Lenin'cause he was hanging back to see if the German workers would kick up a fuss and if the German soldiers would give their orders the cold shoulder.,he,"0: Trotsky, 1: Lenin, 2: Neither","The pronoun ""he"" in the sentence ""he was hanging back to see if the German workers would kick up a fuss"" refers to Trotsky. The context of the sentence indicates that Trotsky was the one who was hesitant and waiting to see the reaction of the German workers and soldiers. The sentence starts with ""Trotsky wouldn't back Lenin,"" which sets the context that Trotsky is the subject of the actions described, including ""hanging back.""",1,0
21,"Ravi's totally into Kushal, but he's not on board.",he's,"0: Ravi, 1: Kushal, 2: Neither","The sentence ""Ravi's totally into Kushal, but he's not on board"" suggests that Ravi is interested in Kushal, but ""he's not on board"" implies that the person who is not on board is the one who is not reciprocating the interest. Since Ravi is the one who is interested, it is likely that Kushal is the one who is not on board. Therefore, the pronoun ""he's"" refers to Kushal.",1,1
22,Gennie's got her eye on Emma and gets super jealous when she kicks it off with Chas.,she,"0: Gennie, 1: Emma, 2: Neither","The sentence mentions that Gennie gets jealous when ""she"" kicks it off with Chas. The pronoun ""she"" is likely referring to Emma, as it is Emma who is interacting with Chas, causing Gennie to feel jealous. Therefore, ""she"" refers to Emma.",1,1
23,"Brady Hoke took over from Rodriguez, but things went downhill over four years, and they let him go after his fourth season.",him,"0: Rodriguez, 1: Brady Hoke, 2: Neither","The pronoun ""him"" refers to the person who was let go after his fourth season. The text states that Brady Hoke took over from Rodriguez and that ""they let him go after his fourth season."" This indicates that ""him"" refers to Brady Hoke, as he is the one who was let go after four years.",1,1
24,Mama bear went for Karen'cause she got way too close to the little one.,she,"0: Mama bear, 1: Karen, 2: Neither","The pronoun ""she"" in the sentence refers to the subject who took action, which is ""Mama bear."" The sentence indicates that Mama bear went for Karen because Karen got too close to the little one. Therefore, ""she"" refers to Mama bear.",1,0
25,Mama bear went for Karen'cause she got way too close to the little one.,she,"0: Mama bear, 1: Karen, 2: Neither","The pronoun ""she"" in the sentence refers to the subject who took action, which is ""Mama bear."" The sentence indicates that Mama bear went for Karen because Karen got too close to the little one. Therefore, ""she"" refers to Mama bear.",1,0
26,The boss had a chat with the worker about letting him go.,him,"0: The boss, 1: the worker, 2: Neither","In the sentence, ""The boss had a chat with the worker about letting him go,"" the pronoun ""him"" is used. The context suggests that the boss is having a conversation with the worker about letting someone go. Typically, in such contexts, it is the worker who is being let go, not the boss. Therefore, ""him"" most likely refers to the worker.",1,1
27,"Carl snagged a book from Richard, but he never gave it back to him.",he,"0: Carl, 1: Richard, 2: Neither","The sentence states that Carl took a book from Richard and did not return it. The pronoun ""he"" in ""he never gave it back to him"" refers to the person who took the book and did not return it. Since Carl is the one who took the book, ""he"" refers to Carl.",1,0
28,"Clark popped the question to Albert but he said no, telling him he's too stuck in his ways.",he,"0: Clark, 1: Albert, 2: Neither","The sentence states that Clark asked Albert a question, and ""he said no."" The pronoun ""he"" is used to refer to the person who said no. Since Albert is the one who was asked the question, it is logical that Albert is the one who responded with ""no."" Therefore, ""he"" refers to Albert.",1,1
29,Lily hugged Amber cuz she felt bad.,she,"0: Lily, 1: Amber, 2: Neither","The sentence ""Lily hugged Amber cuz she felt bad"" suggests that the pronoun ""she"" is referring to the person who felt bad, which is the reason for the hug. It is more likely that Lily, who initiated the hug, felt bad and thus hugged Amber. Therefore, ""she"" refers to Lily.",0,0
30,"But for some reason, Toyotomi Hideyoshi had Koremitsu offed when he was just thirteen.",he,"0: Koremitsu, 1: Toyotomi Hideyoshi, 2: Neither","The pronoun ""he"" in the sentence ""But for some reason, Toyotomi Hideyoshi had Koremitsu offed when he was just thirteen"" refers to Koremitsu. The context of the sentence suggests that Koremitsu was the one who was offed at the age of thirteen, and ""he"" is used to indicate the age of Koremitsu at the time of the event.",0,0
31,The guy shot his buddy and he kicked the bucket.,he,"0: The guy, 1: his buddy, 2: Neither","The phrase ""kicked the bucket"" is a colloquial expression meaning ""died."" In the sentence, ""The guy shot his buddy and he kicked the bucket,"" the pronoun ""he"" is most likely referring to ""his buddy,"" as it is logical to assume that the person who was shot is the one who died. Therefore, ""he"" refers to ""his buddy.""",1,1
32,"Janet's totally into Wanda, but her dad's all about her tying the knot with some French lord.",her,"0: Janet, 1: Wanda, 2: Neither","The pronoun ""her"" in the sentence ""her dad's all about her tying the knot with some French lord"" refers to the person whose dad is mentioned. Since the sentence starts with ""Janet's totally into Wanda,"" it implies that Janet is the main subject. Therefore, ""her"" most likely refers to Janet, as it is her dad who wants her to marry the French lord.",0,0
33,The racquetball players got annoyed since some other students in the activity center were hogging the courts to play badminton instead.,they,"0: The racquetball players, 1: some other students, 2: Neither","The pronoun ""they"" is used to refer to a group of people who were hogging the courts to play badminton. In the context of the sentence, ""some other students"" were the ones hogging the courts, which annoyed the racquetball players. Therefore, ""they"" refers to ""some other students.""",1,1
34,"Nathan tells Vince that if he doesn't give the cash back, he's gonna spill the beans to Rod.",he,"0: Nathan, 1: Vince, 2: Neither","The sentence structure suggests that ""he"" refers to the person who is going to spill the beans to Rod. Nathan is the one who is making the statement about spilling the beans, which implies that ""he"" refers to Nathan. Therefore, the pronoun ""he"" is most likely referring to Nathan.",1,0
35,Ryan Higa sometimes pops up in Kev Jumbo's vids'cause he's rooting for his buddy's stuff to do well too.,he,"0: Ryan Higa, 1: Kev Jumbo, 2: Neither","The pronoun ""he"" in the sentence ""he's rooting for his buddy's stuff to do well too"" refers to Ryan Higa. The context indicates that Ryan Higa is supporting his buddy, which implies that ""he"" is Ryan Higa, as he is the one popping up in Kev Jumbo's videos to support him.",0,0
36,"Joe didn't beat Will in the game, so he snagged a hundred bucks.",he,"0: Joe, 1: Will, 2: Neither","The sentence states that Joe didn't beat Will in the game, which implies that Will won. The pronoun ""he"" in ""he snagged a hundred bucks"" likely refers to the person who won the game, as winning is typically associated with receiving a reward. Therefore, ""he"" refers to Will.",1,1
37,"Toyota's got this fancy line called Lexus, and they're all about that high-end life.",they,"0: Lexus, 1: Toyota, 2: Neither","In the sentence, ""they"" refers to the entity that is ""all about that high-end life."" The context suggests that ""Lexus"" is the line associated with high-end products, as it is described as a ""fancy line"" by Toyota. Therefore, ""they"" is referring to ""Lexus.""",0,0
38,"Kathy gave Jane some cash to take off, but she came back a few weeks later.",she,"0: Kathy, 1: Jane, 2: Neither","The sentence states that ""Kathy gave Jane some cash to take off,"" which implies that Jane was the one who left. The pronoun ""she"" in ""she came back a few weeks later"" most likely refers to the person who left, which is Jane. Therefore, ""she"" refers to Jane.",1,1
39,"George nailed it against Thomas in the shootout, and that's how he snagged the win.",he,"0: George, 1: Thomas, 2: Neither","The sentence states that ""George nailed it against Thomas in the shootout, and that's how he snagged the win."" The pronoun ""he"" is used to refer to the person who snagged the win. Since the sentence begins by mentioning George's success in the shootout, it implies that George is the one who snagged the win. Therefore, ""he"" refers to George.",0,0
40,The birds gobbled up the seeds'cause they were yummy.,they,"0: The birds, 1: the seeds, 2: Neither","The pronoun ""they"" refers to the subject that found something yummy. In the sentence, it is the birds that are eating the seeds because they find them yummy. Therefore, ""they"" refers to ""the birds.""",1,0
41,"Jupiter's way bigger than Earth, but it's heavier'cause it's solid.",it,"0: Jupiter, 1: Earth, 2: Neither","The pronoun ""it"" in the sentence ""it's heavier 'cause it's solid"" refers to the subject being discussed in terms of size and weight. The sentence starts by comparing Jupiter and Earth, stating that Jupiter is way bigger than Earth. The pronoun ""it"" is used to explain why the subject is heavier, which is because it is solid. Since the sentence begins by discussing Jupiter's size and then mentions weight, it is logical to conclude that ""it"" refers to Jupiter, as the sentence is explaining why Jupiter is heavier.",1,0
42,"Olivia's looking to patch things up with Emily, but she's done trying to be buddies.",she,"0: Olivia, 1: Emily, 2: Neither","The sentence states that ""Olivia's looking to patch things up with Emily, but she's done trying to be buddies."" The pronoun ""she"" is used in the context of someone being ""done trying to be buddies."" Since the sentence begins with Olivia's intention to patch things up, it implies that Olivia is the one who is done trying to be buddies. Therefore, ""she"" refers to Olivia.",1,0
43,"A bunch of fangirls whipped up a rap for Windows phones, but it didn't make'em any more cool.",it,"0: A bunch of fangirls, 1: Windows phones, 2: Neither","The pronoun ""it"" in the sentence ""but it didn't make'em any more cool"" refers to the subject that was supposed to make something cool. The subject in question is the ""rap for Windows phones"" created by the fangirls. The ""it"" is referring to the ""rap"" and not directly to ""Windows phones"" or ""a bunch of fangirls."" However, since the rap is associated with Windows phones, the closest candidate that ""it"" refers to in the context of the sentence is ""Windows phones.""",1,1
44,Parents really look after their kids because they're their whole world.,they're,"0: Parents, 1: their kids, 2: Neither","The pronoun ""they're"" is a contraction of ""they are,"" which refers to the subject of the sentence. In this context, ""they're"" refers to ""Parents"" because the sentence is discussing how parents look after their kids, indicating that parents are the ones whose kids are their whole world.",1,0
45,Billy totally crushed Tommy at Scrabble'cause the newbie had zero skills.,the newbie,"0: Billy, 1: Tommy, 2: Neither","The text states that Billy ""totally crushed Tommy at Scrabble,"" which implies that Billy was the more skilled player. The phrase ""the newbie had zero skills"" suggests that the newbie is the one who was not skilled at Scrabble. Since Tommy was the one who was defeated, it is logical to conclude that Tommy is referred to as ""the newbie.""",1,1
46,"Ginette's dying to give Susanna a hug, but she realizes she's reeking of tobacco.",she,"0: Ginette, 1: Susanna, 2: Neither","The sentence describes Ginette wanting to give Susanna a hug but realizing ""she's reeking of tobacco."" The pronoun ""she"" is likely referring to Ginette because it follows the context of Ginette's actions and thoughts. It makes sense that Ginette would be the one concerned about her own smell before giving a hug.",0,0
47,Bev thinks Liv walked'cause she spotted her with the bracelet on.,she,"0: Bev, 1: Liv, 2: Neither","The sentence ""Bev thinks Liv walked'cause she spotted her with the bracelet on"" contains the pronoun ""she."" The structure of the sentence suggests that ""she"" refers to the person who did the spotting. Since Bev is the one who thinks and likely the one who spotted Liv, ""she"" most likely refers to Bev. Therefore, the pronoun ""she"" refers to Bev.",1,0
48,Juan Pablo has to rescue Greenlee'cause some Argentinian gang's after him and Carlos.,him,"0: Greenlee, 1: Juan Pablo, 2: Neither","The pronoun ""him"" in the sentence ""Juan Pablo has to rescue Greenlee 'cause some Argentinian gang's after him and Carlos"" refers to Juan Pablo. The sentence structure indicates that Juan Pablo is the one who needs to be rescued because the gang is after him and Carlos. Therefore, the pronoun ""him"" refers to Juan Pablo.",0,1
49,Bill hit up Joe to see if he could spot him some cash.,he,"0: Bill, 1: Joe, 2: Neither","The sentence ""Bill hit up Joe to see if he could spot him some cash"" suggests that Bill is asking Joe for money. The pronoun ""he"" is likely referring to Joe, as Bill is the one who is asking for money, and Joe is the one who would be able to ""spot"" or lend the cash. Therefore, ""he"" refers to Joe.",0,1
50,The needle poked through the skin but it didn't even hurt.,it,"0: The needle, 1: the skin, 2: Neither","The pronoun ""it"" in the sentence ""The needle poked through the skin but it didn't even hurt"" is referring to the action or event of the needle poking through the skin, rather than the needle or the skin itself. The sentence is describing that the action of being poked by the needle did not cause pain. Therefore, the pronoun ""it"" does not refer directly to either the needle or the skin.",1,2
51,Mary had a lil' lamb until Cindy swiped her.,her,"0: Mary, 1: lil' lamb, 2: Neither","The sentence ""Mary had a lil' lamb until Cindy swiped her"" uses the pronoun ""her"" to refer to someone who was swiped by Cindy. In this context, ""her"" is most likely referring to Mary, as it is more common for people to be referred to with the pronoun ""her"" than animals like a ""lil' lamb."" Additionally, the structure of the sentence suggests that Cindy took something from Mary, making Mary the more likely antecedent for ""her.""",1,0
52,My teacher told some kid to whip up sentences'cause he was keen to watch him scribble away.,he,"0: My teacher, 1: some kid, 2: Neither","The pronoun ""he"" in the sentence ""My teacher told some kid to whip up sentences 'cause he was keen to watch him scribble away"" refers to the person who was keen to watch someone scribble away. The structure of the sentence suggests that ""he"" is the subject who is keen to watch, which aligns with ""My teacher"" as the one giving instructions and observing. Therefore, ""he"" refers to ""My teacher.""",0,0
53,The app could totally handle the file'cause it was coded right.,it,"0: The app, 1: the file, 2: Neither","The pronoun ""it"" in the sentence ""The app could totally handle the file 'cause it was coded right"" refers to the subject that was coded. In this context, ""it"" is more likely to refer to ""The app"" because apps are typically coded, whereas files are not. Therefore, ""it"" refers to ""The app.""",0,0
54,The boss let the worker go'cause he wasn't doing a good job anymore.,he,"0: The boss, 1: the worker, 2: Neither","The pronoun ""he"" in the sentence ""The boss let the worker go 'cause he wasn't doing a good job anymore"" refers to the person who was not doing a good job, which led to them being let go. In this context, it is the worker who was not performing well, so ""he"" refers to the worker.",1,1
55,"Carcetti's not sure about teaming up with Davis, but Wilson talks him into it, saying it could swing things their way.",Wilson,"0: Carcetti, 1: Davis, 2: Neither","The pronoun ""Wilson"" is not a pronoun but a proper noun referring to a person named Wilson. The text mentions Wilson as the one who talks Carcetti into teaming up with Davis. Therefore, Wilson is not a pronoun referring to either Carcetti or Davis, but rather a separate individual.",0,2
56,"Anna gives it another shot to crash with Karla, but she just can't shake Vronsky from her mind.",she,"0: Anna, 1: Karla, 2: Neither","The sentence discusses Anna's attempt to crash with Karla and her inability to stop thinking about Vronsky. The pronoun ""she"" is used in the context of someone who is trying to crash with Karla and is preoccupied with thoughts of Vronsky. Since Anna is the one mentioned as giving it another shot to crash with Karla, it is logical to conclude that ""she"" refers to Anna.",0,0
57,"Jim was super happy to bump into Jack,'cause he totally made his day.",he,"0: Jim, 1: Jack, 2: Neither","The sentence ""Jim was super happy to bump into Jack,'cause he totally made his day"" suggests that ""he"" refers to the person who made Jim's day. Since Jim was happy to bump into Jack, it implies that Jack is the one who made Jim's day. Therefore, ""he"" refers to Jack.",1,1
58,"Sally's got a crush on Bella, but she's bummed out to find out she's tying the knot with Emily Vincent.",she,"0: Sally, 1: Bella, 2: Neither","The sentence states that Sally has a crush on Bella and is upset to find out that ""she's tying the knot with Emily Vincent."" The pronoun ""she"" in this context is most likely referring to Bella, as it makes sense that Sally would be upset to learn that Bella is getting married to someone else. Therefore, ""she"" refers to Bella.",1,1
59,Ozzy chose to split with his old guitarist Zakk Wylde'cause he felt his tunes were getting too similar to Black Label Society.,he,"0: Ozzy, 1: his old guitarist Zakk Wylde, 2: Neither","The pronoun ""he"" in the sentence refers to the person who made the decision to split, which is Ozzy. The sentence structure indicates that Ozzy is the subject who chose to split with his old guitarist Zakk Wylde. Therefore, ""he"" refers to Ozzy.",0,0
60,The general blasted his pistol at the monster to grab its attention.,it,"0: The general, 1: the monster, 2: Neither","The pronoun ""it"" in the sentence ""The general blasted his pistol at the monster to grab its attention"" refers to the entity whose attention the general is trying to grab. In this context, the general is trying to grab the attention of the monster. Therefore, ""it"" refers to ""the monster.""",1,1
61,BF3 rocks more than MW3'cause it's just a lame game.,it,"0: BF3, 1: MW3, 2: Neither","The pronoun ""it"" in the sentence ""BF3 rocks more than MW3 'cause it's just a lame game"" refers to the game that is described as ""just a lame game."" The sentence is comparing BF3 and MW3, stating that BF3 is better. Therefore, ""it"" refers to MW3, which is being described negatively as ""just a lame game.""",1,1
62,"Warren sneaked Nige out and was like, if he ever spots him again, he's gonna knock him off.",he,"0: Warren, 1: Nige, 2: Neither","The pronoun ""he"" in the sentence ""if he ever spots him again, he's gonna knock him off"" is likely referring to Warren. The context suggests that Warren is the one who sneaked Nige out and is making a threat about what he will do if he sees Nige again. Therefore, ""he"" refers to Warren.",0,0
63,"Megan accidentally popped off a shot that hurt Barbara, but then she blasted Larry and he's gone.",she,"0: Megan, 1: Barbara, 2: Neither","The pronoun ""she"" in the sentence refers to the person who ""blasted Larry."" The sentence begins with ""Megan accidentally popped off a shot that hurt Barbara,"" indicating that Megan was the one who initiated the action. The continuation ""but then she blasted Larry"" suggests that the same person, Megan, is the one who blasted Larry. Therefore, ""she"" refers to Megan.",0,0
64,John rang up Bill since he's always up for listening.,he,"0: John, 1: Bill, 2: Neither","The sentence ""John rang up Bill since he's always up for listening"" suggests that the pronoun ""he"" refers to the person who is always willing to listen. In this context, it makes more sense that John called Bill because Bill is the one who is always up for listening. Therefore, ""he"" refers to Bill.",1,1
65,Penelope's pretty sure Ruth's up to something'cause she thought Ms Lingard would come save her kid and spill the beans.,she,"0: Penelope, 1: Ruth, 2: Neither","The sentence mentions that ""Penelope's pretty sure Ruth's up to something'cause she thought Ms Lingard would come save her kid and spill the beans."" The pronoun ""she"" is used in the context of someone thinking that Ms Lingard would come save her kid. Since the sentence starts with ""Penelope's pretty sure,"" it implies that Penelope is the one who has this thought about Ms Lingard. Therefore, ""she"" refers to Penelope.",0,0
66,"Micheal says hi back to Serge after he gives him a shout on the S.S. Zelbess, feeling pretty meh after the show.",he,"0: Micheal, 1: Serge, 2: Neither","The sentence describes an interaction between Micheal and Serge. The pronoun ""he"" is used in the context of ""he gives him a shout,"" which suggests that ""he"" is the one performing the action of giving a shout. Since the sentence starts with ""Micheal says hi back to Serge,"" it implies that Serge is the one who initially gave a shout to Micheal. Therefore, ""he"" refers to Serge.",1,1
67,"Delilah's trying to make up with Lizzy, but she's adamant that it's all done and dusted.",she's,"0: Delilah, 1: Lizzy, 2: Neither","The pronoun ""she's"" refers to someone who is adamant that it's all done and dusted. In the sentence, Delilah is trying to make up with Lizzy, which implies that Lizzy is the one who is not interested in reconciliation and is likely the one who is adamant. Therefore, ""she's"" refers to Lizzy.",1,1
68,"Nolan hit on Tom but he's like'nah, I don't want more' and goes'I'm all about loving my wife'.",he,"0: Nolan, 1: Tom, 2: Neither","The pronoun ""he"" in the sentence ""he's like 'nah, I don't want more'"" refers to the person who is responding to Nolan's advance. Since Nolan is the one who ""hit on"" Tom, it is Tom who is responding by saying ""nah, I don't want more"" and ""I'm all about loving my wife."" Therefore, ""he"" refers to Tom.",1,1
69,Pigs beat sheep'cause they make bacon.,they,"0: Pigs, 1: sheep, 2: Neither","The pronoun ""they"" refers to the subject that is responsible for making bacon. In the sentence, ""Pigs beat sheep 'cause they make bacon,"" it is implied that pigs are the ones who make bacon, as bacon is a product derived from pigs. Therefore, ""they"" refers to ""Pigs.""",0,0
70,Killer robots are gonna wipe out everyone'cause they've got massive death rays.,they've,"0: Killer robots, 1: everyone, 2: Neither","The pronoun ""they've"" is a contraction of ""they have,"" which refers to a plural subject. In the sentence, ""Killer robots"" is the plural noun that ""they've"" refers to, as it is the killer robots that are described as having ""massive death rays."" ""Everyone"" is not a suitable antecedent for ""they've"" because it is singular and does not logically fit the context of possessing death rays.",0,0
71,Harry's ticked off at Ron at first but then he makes up with him.,him,"0: Harry, 1: Ron, 2: Neither","The sentence describes a situation where Harry is initially upset with Ron but then reconciles with him. The pronoun ""him"" refers to the person Harry makes up with, which is Ron. Therefore, ""him"" refers to Ron.",1,1
72,Steve got Jose on board cuz he's a real go-getter.,he's,"0: Steve, 1: Jose, 2: Neither","The sentence states that ""Steve got Jose on board cuz he's a real go-getter."" The pronoun ""he's"" is referring to the person who is described as a ""real go-getter."" In this context, it is more likely that Steve is the one who is described as a ""real go-getter,"" which is why he was able to get Jose on board. Therefore, the pronoun ""he's"" refers to Steve.",1,0
73,"Narendran's looking to hook Ramu up with Leela, but she's totally put off by his lack of guts.",his,"0: Narendran, 1: Ramu, 2: Neither","The pronoun ""his"" is used to refer to a male individual. In the sentence, ""his lack of guts"" is mentioned, which implies that the pronoun ""his"" is referring to the person who lacks guts. The context of the sentence is that Leela is put off by someone's lack of guts. Since Narendran is trying to set up Ramu with Leela, it is logical to infer that ""his"" refers to Ramu, as it is Ramu's lack of guts that is relevant to Leela's feelings.",0,1
74,Mike Phelps got a fine from Judge Louis'cause he got busted with illegal stuff.,he,"0: Mike Phelps, 1: Judge Louis, 2: Neither","The pronoun ""he"" in the sentence ""he got busted with illegal stuff"" refers to the person who was caught with illegal items. In the context of the sentence, it is stated that ""Mike Phelps got a fine from Judge Louis 'cause he got busted with illegal stuff."" This indicates that Mike Phelps is the one who was fined because he was the one caught with illegal items. Therefore, the pronoun ""he"" refers to Mike Phelps.",0,0
75,South Korea's got a beef with North Korea since they're always messing with their peace.,they're,"0: South Korea, 1: North Korea, 2: Neither","The pronoun ""they're"" refers to the entity that is ""always messing with their peace."" In the context of the sentence, it is North Korea that is typically seen as disrupting peace with South Korea. Therefore, ""they're"" refers to North Korea.",1,1
76,"Josie wasn't into Sarah, but she had no clue.",she,"0: Josie, 1: Sarah, 2: Neither","The sentence ""Josie wasn't into Sarah, but she had no clue"" suggests that ""she"" refers to the person who is unaware of Josie's feelings. Since Josie is the one who is not into Sarah, it is logical that Sarah is the one who has no clue about Josie's feelings. Therefore, ""she"" refers to Sarah.",1,1
