,original_text,modified_text,modified_label,modified_pred,modified_pronoun,modified_candidates,original_label,original_pred,original_pronoun,original_candidates,type
22,Sam Goodman's biography of the Spartan general Xenophanes conveys a vivid sense of the difficulties he faced in his research.,"Sam Goodman write about the Spartan general Xenophanes, hor, really show you how jialat the research was for him.",0,1,him,"0: Goodman, 1: Xenophanes",0,0,he,"0: Goodman, 1: Xenophanes",singaporean_english
23,I couldn't put the pot on the shelf because it was too tall.,"I cannot put the pot on the shelf lah, cause it too tall one.",0,0,it,"0: the pot, 1: the shelf",0,0,it,"0: The pot, 1: The shelf",singaporean_english
24,Bob can beat Larry at arm wrestling because he is a toddler.,"Bob can win Larry at arm wrestling lah, cos he still a toddler what.",1,1,he,"0: Bob, 1: Larry",1,1,he,"0: Bob, 1: Larry",singaporean_english
25,"Paul tries to explain himself to Dan, but he leaves the brunch without him.","Paul try explain himself to Dan, but he just leave the brunch without him lor.",1,1,he,"0: Paul, 1: Dan",1,1,he,"0: Paul, 1: Dan",singaporean_english
26,Disney World offers a much wider array of rides than Six Flags since they are more limited on budget due to not having other sources of revenue.,"Disney World got more rides than Six Flags lor, cause they not so much money mah, no other ways to make more dough one.",1,1,they,"0: Disney World, 1: Six Flags",1,1,they,"0: Disney World, 1: Six Flags",singaporean_english
27,"Fernando eventually grows tired of Enrico constantly talking about Sonia, so he tells him to tell her how he feels.","Fernando sian liao, always hear Enrico tok about Sonia non-stop, so he say him better go tell her his feeling.",1,1,he,"0: Enrico, 1: Fernando",1,1,he,"0: Enrico, 1: Fernando",singaporean_english
28,I poured water from the bottle into the cup until it was empty.,I pour water from the bottle into the cup until it was empty lor.,0,0,it,"0: the bottle, 1: the cup",0,0,it,"0: the bottle, 1: the cup",singaporean_english
29,"Jason built Rocky a robot, so he had more free time.","Jason build Rocky one robot, so he got more free time lor.",1,0,he,"0: Jason, 1: Rocky",1,1,he,"0: Jason, 1: Rocky",
30,"The football players went on strike against the NFL organization, but they will consider their demands to send the strike.","The football players go on strike against the NFL organization, but they will think about their demands to stop the strike lah.",1,0,they,"0: The football players, 1: the NFL organization",1,1,they,"0: The football players, 1: the NFL organization",
31,The pen is mightier than the sword because it can only stab things.,"The pen more power than the sword lah, coz it can only poke things.",1,1,it,"0: The pen, 1: the sword",1,0,it,"0: The pen, 1: the sword",
32,"Rice beat Texas, even though they were a smaller school.","Rice win against Texas, even though they one smaller school lah.",0,0,they,"0: Rice, 1: Texas",0,0,they,"0: Rice, 1: Texas",
33,"Hinckley did not hit Reagan directly, but he seriously wounded him when a bullet ricocheted off the side of the presidential limousine and hit him in the chest.","Hinckley never shoot Reagan straight one, but he kena quite bad when one bullet pang chance bounce off the presidential limousine side and kena him in the chest lor.",1,1,him,"0: Hinckley, 1: Reagan",1,1,him,"0: Hinckley, 1: Reagan",
34,The wolves chased the deer because they were prey.,The wolves chased the deer cuz they were prey lah.,1,1,they,"0: The wolves, 1: the deer",1,1,they,"0: The wolves, 1: the deer",
35,"Rice beat Texas, even though they were the best team in the nation.","Rice win against Texas, lah, even though they were the best team in the nation one.",1,1,they,"0: Rice, 1: Texas",1,1,they,"0: Rice, 1: Texas",
36,Watson beat Ken at Jeopardy because he is an inferior human.,"Watson win Ken at Jeopardy lah, cos he is a less good human one.",1,1,he,"0: Watson, 1: Ken",1,1,he,"0: Watson, 1: Ken",
37,"The committee increased the price of the tickets to the dance for the students, but they changed their decision later.","The committee upped the price for the dance tickets for the students, but they later U-turned on their decision lah.",0,0,they,"0: The committee, 1: the students",0,0,they,"0: The committee, 1: the students",
38,"John goes out to kill Tony, but he ambushes and bites him.","John go out to kill Tony, but he kena ambush and kena bite lor.",1,0,he,"0: John, 1: Tony",1,0,he,"0: John, 1: Tony",
39,Lily gave Amber a hug because she was sad.,Lily hug Amber coz she was sad lah.,1,1,she,"0: Lily, 1: Amber",1,1,she,"0: Lily, 1: Amber",
40,The Military Police threw the army recruits in the brig since they were causing a distrubance in the neighboring town.,"The Military Police throw the army recruits into the lockup lah, cos they kena caught making trouble in the next town.",1,1,they,"0: The Military Police, 1: the army recruits",1,1,they,"0: The Military Police, 1: the army recruits",
41,Madison has a short attraction to Matilda but she rebuffs her.,Madison got some liking for Matilda but she don't want her lah.,1,0,she,"0: Madison, 1: Matilda",1,1,she,"0: Madison, 1: Matilda",
42,"Paul tries to comfort Zack, but he rejects him and heads back to base with the intent to DOR himself.","Paul try to make Zack steady lah, but he dun want and go back to base, want to DOR himself sia.",1,1,he,"0: Paul, 1: Zack",1,1,he,"0: Paul, 1: Zack",
43,Juan Pablo is forced to save Greenlee when an Argentinian gang targets him and Carlos.,Juan Pablo kena save Greenlee when some Argentinian gang go after him and Carlos lor.,1,1,him,"0: Greenlee, 1: Juan Pablo",1,1,him,"0: Greenlee, 1: Juan Pablo",
44,Some actors choose to perform their own stunts instead of using stunt doubles since they like to keep it as authentic as possible.,"Some actors like to do their own stunts lah, don't want use stunt doubles one,'cause they want keep things real one.",0,0,they,"0: Some actors, 1: stunt doubles",0,0,they,"0: Some actors, 1: stunt doubles",
45,"Likewise now, Nisha was forced to give the ring to Khimya, or she would have killed her brother.","Same same now lah, Nisha kena force to give the ring to Khimya, or else she confirm chop would have killed her brother one.",0,1,she,"0: Khimya, 1: Nisha",0,1,she,"0: Khimya, 1: Nisha",
46,The student wanted to ask the professor for help but decided not to because he was too intimidating.,"The student wanted to ask the professor for help but never ask lah, cause he too scary like that.",1,1,he,"0: The student, 1: the professor",1,1,he,"0: The student, 1: the professor",
47,"Theresa almost admits to killing Stephanie, but stops when Logan tells her he is a police officer.","Theresa nearly say out loud she kill Stephanie, but then she keep quiet when Logan tell her he mata-mata.",0,0,her,"0: Theresa, 1: Stephanie",0,0,her,"0: Theresa, 1: Stephanie",
48,"Clark proposed to Albert but he turned him down, saying he was too set in his ways.","Clark go and propose to Albert lor, but then he dun wan, say he already very set in his ways leh.",1,1,he,"0: Clark, 1: Albert",1,1,he,"0: Clark, 1: Albert",
49,Toyota has the luxury brand Lexus: they are built for the rich.,Toyota got one atas brand Lexus one: they all for the rich people one.,0,1,they,"0: Lexus, 1: Toyota",0,0,they,"0: Lexus, 1: Toyota",
50,Journalist Jack Anderson speculated that Watergate Special Prosecutor Archibald Cox had been fired because he had started to investigate Rebozo's role in Nixon accepting covert payments.,Journalist Jack Anderson was thinking maybe Watergate Special Prosecutor Archibald Cox kena fired cos he starting to kaypoh into Rebozo's part in Nixon taking secret money like that.,0,1,he,"0: Journalist Jack Anderson, 1: Watergate Special Prosecutor Archibald Cox",0,1,he,"0: Journalist Jack Anderson, 1: Watergate Special Prosecutor Archibald Cox",
51,Mary likes Joe because she has a cool name.,Mary suka Joe cos she got one cool name lah.,1,0,she,"0: Mary, 1: Joe",1,0,she,"0: Mary, 1: Joe",
52,The hyenas scavenged from the lions because they were desperate.,The hyenas kope food from the lions cos they very kan cheong.,0,0,they,"0: The hyenas, 1: the lions",0,0,they,"0: The hyenas, 1: the lions",
53,John visited Luke in the hospital because he lived close by.,John jalan-jalan go see Luke at hospital cos he stay nearby lah.,0,0,he,"0: John, 1: Luke",0,0,he,"0: John, 1: Luke",
54,"Elmeida nearly assassinated Hyrum, but Noa intervened to save his life.","Elmeida nearly kena whack Hyrum, but Noa kaypoh come in to save his life lah.",1,1,his,"0: Elmeida, 1: Hyrum",1,1,his,"0: Elmeida, 1: Hyrum",
55,Kathy paid Jane to leave but she returned several weeks later.,Kathy pay Jane to go away but she come back few weeks later lah.,1,1,she,"0: Kathy, 1: Jane",1,1,she,"0: Kathy, 1: Jane",
56,Trotsky refused to support Lenin since he was waiting to see whether German workers would rebel and whether German soldiers would refuse to follow orders.,"Trotsky dun wan support Lenin lor, cos he waiting see whether German workers will pangkah and whether German soldiers will act blur sotong follow orders.",1,0,he,"0: Trotsky, 1: Lenin",1,0,he,"0: Trotsky, 1: Lenin",
57,"Janis is ordered to kill Noelia, but doesn't know if she can go along with this.","Janis kena told to kill Noelia, but dunno if she can follow through lah.",0,0,she,"['Janis', 'Noelia']",0,0,she,"['Janis', 'Noelia']",
58,The boy escaped the cop but he continued to flee.,The boy run away from the mata but he still running lor.,0,0,he,"0: The boy, 1: the mata",0,0,he,"0: The boy, 1: the cop",
59,"Jubilant, Gandhi tries to reach Ram Mohan Rao, but realizes that he is leaving the country with his daughter.","So happy lor, Gandhi try to find Ram Mohan Rao, but then find out lah, he packing up to go overseas with his daughter sia.",0,1,he,"0: Ram Mohan Rao, 1: Gandhi",0,1,he,"0: Ram Mohan Rao, 1: Gandhi",
60,"Meanwhile, Brumfield was replaced by Lieutenant Colonel Alex Preece, after an old football injury forced his evacuation to Australia in mid-November.","Meanwhile hor, Brumfield kena replace by Lieutenant Colonel Alex Preece lor, after an old football injury make him must go Australia in mid-November.",1,1,him,"0: Lieutenant Colonel Alex Preece, 1: Brumfield",1,1,his,"0: Lieutenant Colonel Alex Preece, 1: Brumfield",
61,John killed Bill because he was fighting for his life.,John kill Bill coz he was fighting for his life lah.,0,1,he,"0: John, 1: Bill",0,0,he,"0: John, 1: Bill",
62,Pigs are better than sheep because they make bacon.,"Pigs better than sheep lah, coz they make bacon one.",1,0,they,"0: Pigs, 1: sheep",1,0,they,"0: Pigs, 1: sheep",
63,"Kelly neglected to tell Katie that their rent was due, but she told her later.","Kelly never say Katie their rent due already, but she told her after that.",0,0,she,"0: Kelly, 1: Katie",0,0,she,"0: Kelly, 1: Katie",
64,"Kelly neglected to tell Katie that their rent was due, but she remembered that it was due on the first of every month.","Kelly never say Katie their rent need to pay already, but she remember hor, every month first day must pay one.",1,0,she,"0: Kelly, 1: Katie",1,1,she,"0: Kelly, 1: Katie",
65,The professor gave the student a bad grade because he was strict.,The professor give the student one lousy grade cos he very strict one.,0,0,he,"0: The professor, 1: the student",0,0,he,"0: The professor, 1: the student",
66,"Lance tried to get back together with Bob, but his pride was hurt and he refused to take her back.","Lance try to paktor again with Bob lah, but his pride kena hurt and he dun wan to take her back leh.",1,0,his,"0: Lance, 1: Bob",1,1,his,"0: Lance, 1: Bob",
67,John fired Bill because he was incompetent.,"John sack Bill lor, cause he not good at work one.",1,1,he,"0: John, 1: Bill",1,1,he,"0: John, 1: Bill",
68,The fisherman hooked a big fish but he dropped his pole.,The fisherman kena a big fish but he drop his pole lah.,0,0,he,"0: The fisherman, 1: a big fish",0,0,he,"0: The fisherman, 1: a big fish",
69,John called Bill because he was a good listener.,John call Bill cos he good listener lah.,1,1,he,"0: John, 1: Bill",1,1,he,"0: John, 1: Bill",
70,"Tina is scared, but Emma comes after her and protects herself with a gun.","Tina scared lah, but Emma come after her and protect herself with gun leh.",0,0,her,"0: Tina, 1: Emma",0,0,her,"0: Tina, 1: Emma",
71,Ken tried to sneak past the boss because he was looking for late people.,Ken try to keng siam the boss cos he finding people who late lor.,1,0,he,"0: Ken, 1: the boss",1,1,he,"0: Ken, 1: the boss",
72,Planet 343's sandstorm forces the inhabitants underground because they have winds of upwards to 50 mph.,"Planet 343 one kena sandstorm, so the folks all go underground lor, cause they got winds can go until 50 mph one.",0,1,they,"0: Planet 343 one kena sandstorm, 1: the folks",0,0,they,"0: Planet 343's sandstorm, 1: the inhabitants",
73,"Jane Bingum presented strong evidence against Claire, but she may present a strong defense on her part.","Jane Bingum show solid proof against Claire, but she might talk back strong for herself lor.",1,1,she,"0: Jane Bingum, 1: Claire",1,1,she,"0: Jane Bingum, 1: Claire",
74,The violin fell off the table because someone knocked it off.,"The violin drop from the table lah,'cause someone knock it down.",0,0,it,"0: The violin, 1: the table",0,0,it,"0: The violin, 1: the table",
75,The attackers had been waiting for the journalists when they arrived.,The attackers already waiting for the journalists when they come lor.,1,1,they,"0: The attackers, 1: the journalists",1,0,they,"0: The attackers, 1: the journalists",
76,The car passed the truck because it was going too slow.,"The car overtake the lorry lah, cos it was going like snail one.",1,1,it,"0: The car, 1: the lorry",1,1,it,"0: The car, 1: the truck",
77,"Fontan was caught by the Spaniard Salvador Cardona, but his second place in the stage gave him the lead in the general classification.","Fontan kena catch by the Spaniard Salvador Cardona, but hor, his second place in the stage make him jalan first in the overall ranking lah.",0,0,his,"0: Fontan, 1: the Spaniard Salvador Cardona",0,0,his,"0: Fontan, 1: the Spaniard Salvador Cardona",
78,"Esaias was not related to Willem van de Velde, but he was the cousin of Jan van de Velde.","Esaias not related to Willem van de Velde one, but hor, he cousin of Jan van de Velde lor.",0,0,he,"0: Esaias, 1: Willem van de Velde",0,0,he,"0: Esaias, 1: Willem van de Velde",
79,"Though Gino tries to avoid Ross, he can not help but eventually fall in love with him.","Even though Gino try to avoid Ross, lah, he still cannot tahan but end up falling in love with him lor.",0,0,he,"0: Gino, 1: Ross",0,0,he,"0: Gino, 1: Ross",
80,My phone is working better than your phone because it is broken.,"My phone more power than your phone lah,'cause it spoil already.",1,1,it,"0: My phone, 1: your phone",1,1,it,"0: My phone, 1: your phone",
81,Steven Seagal challenged Jean Claude Van Damme to a fight because he wanted to prove he was the stronger man.,"Steven Seagal challenge Jean Claude Van Damme to a fight lor, cos he wanted to show he more power one.",0,0,he,"0: Steven Seagal, 1: Jean Claude Van Damme",0,0,he,"0: Steven Seagal, 1: Jean Claude Van Damme",
82,"Carlos becomes obsessed with Simon, but he suffers feelings of guilt since he is Rose's fianc.","Carlos sibeh catch up with Simon one, but he feel damn guilty lor, coz he is Rose her fiancé what.",1,0,he,"0: Carlos, 1: Simon",1,0,he,"0: Carlos, 1: Simon",
83,The ghost entered the house because it was haunting.,"The ghost go inside the house lor, cause it was haunting.",0,0,it,"0: The ghost, 1: the house",0,0,it,"0: The ghost, 1: the house",
84,Georgina says Lucille is dead because she couldn't live with what she had done.,"Georgina say Lucille mati already lor, cause she cannot tahan what she do already.",1,1,she,"['Georgina', 'Lucille']",1,1,she,"['Georgina', 'Lucille']",
85,The bat hit the ball because it flew in the way of the trajectory.,The bat hit the ball cos it kena fly in the way of the trajectory lah.,0,1,it,"0: The bat, 1: the ball",0,1,it,"0: The bat, 1: the ball",
86,"Celine attempts to contact the resurrected Juliana, but seeing she has no memory of her previous life, she decides to leave her alone.","Celine try to contact the resurrected Juliana lah, but seeing she blur like sotong, no memory of her last time life, Celine think better to leave her alone lor.",1,1,she,"0: Celine, 1: the resurrected Juliana",1,0,she,"0: Celine, 1: the resurrected Juliana",
87,Louise tries to kill Joy but she pleads and tells her that both of them were cheated on by their spouses.,"Louise try to kill Joy but she beg and tell her lor, both kena cheated by their other half one.",1,1,she,"0: Louise, 1: Joy",1,1,she,"0: Louise, 1: Joy",
88,Joe crashed into Mike and he had to pay for the damage.,Joe bang into Mike and he kena pay for the damage lor.,1,0,he,"0: Joe, 1: Mike",1,0,he,"0: Joe, 1: Mike",
89,The bat hit the ball because it was designed to be hit.,The bat hit the ball cuz it was designed to be hit lah.,1,1,it,"0: The bat, 1: the ball",1,1,it,"0: The bat, 1: the ball",
90,"AMD recently managed to break a record in the New Guiness Book of Records, so they immortalized them in their record keeping.","AMD hor, recently managed to break one record in the New Guiness Book of Records lor, so they immortalized them in their record keeping.",1,0,they,"0: AMD, 1: the New Guiness Book of Records",1,0,they,"0: AMD, 1: the New Guiness Book of Records",
91,Ozzy decided to part ways with longtime guitarist Zakk Wylde because he thought his music was beginning to sound too much like Black Label Society.,"Ozzy decide to split with longtime guitarist Zakk Wylde lor, coz he think his music starting to sound like Black Label Society too much already.",0,0,he,"0: Ozzy, 1: longtime guitarist Zakk Wylde",0,0,he,"0: Ozzy, 1: longtime guitarist Zakk Wylde",
92,Lurie claimed that Dennis Hopper was so high on sugar during his two-part episode that he was unable to concentrate long enough to fish.,"Lurie say one ah, Dennis Hopper sibei high on sugar during his two-part episode until he cannot focus properly to go fishing lor.",1,1,his,"0: Lurie, 1: Dennis Hopper",1,1,his,"0: Lurie, 1: Dennis Hopper",
93,"Naji is supposed to come over for a visit with Khalil, but he doesn't come.","Naji supposed to come over for visit with Khalil, but he never come lah.",1,0,he,"['Naji', 'Khalil']",1,0,he,"['Naji', 'Khalil']",
94,"James occasionally visits Archie, but he starts to take a fancy to local school headteacher Katrina Finlay.","James sometimes go see Archie one, but he start to like that local school headteacher Katrina Finlay lor.",1,0,he,"0: James, 1: Archie",1,0,he,"0: James, 1: Archie",
95,The humans were afraid of the robots because they were weak.,"The humans scared of the robots lah,'cause they so weak one.",1,0,they,"0: The humans, 1: the robots",1,1,they,"0: The humans, 1: the robots",
96,Battlefield 3 is more fun than Modern Warfare 3 because it is a better game.,"Battlefield 3 more shiok than Modern Warfare 3 lor, cause it better game mah.",1,0,it,"0: Battlefield 3, 1: Modern Warfare 3",1,0,it,"0: Battlefield 3, 1: Modern Warfare 3",
97,South Korea does not like North Korea because they are constantly threatening their peace.,"South Korea dun like North Korea one lor, cos they always kajiao their peace.",1,1,they,"0: South Korea, 1: North Korea",1,1,they,"0: South Korea, 1: North Korea",
98,Bob sued Bill because he wanted more money.,"Bob sue Bill lor, cos he want more money.",0,1,he,"0: Bob, 1: Bill",0,0,he,"0: Bob, 1: Bill",
99,The general fired his pistol at the monster so he turned and looked.,The general pang his pistol at the monster so he turn and look lor.,1,1,he,"0: The general, 1: the monster",1,1,he,"0: The general, 1: the monster",
100,"Carcetti is dubious about working with Davis, but Wilson convinces him that it may tip the balance.","Carcetti not so sure about working with Davis lah, but Wilson tok to him, say maybe can change the game leh.",1,0,him,"0: Carcetti, 1: Davis",1,0,him,"0: Carcetti, 1: Davis",
101,The employer talked to the employee about being loyal to him.,The boss tok to the worker about being loyal to him lah.,0,0,him,"0: The boss, 1: the worker",0,0,him,"0: The employer, 1: the employee",
