original_text,modified_text,modified_label,modified_pred,original_pred
"Cathy realizes that Heather has overheard, so she is overcome by guilt and she runs out after her into a raging storm.","Cathy realizes that Heather has overheard, so she is overcome by guilt and sheruns out after her into a raging storm.",1,1,1
Watson beat Ken at Jeopardy because he is an inferior human.,Watson beat Ken atJeopardy because he is an inferior human.,1,1,1
Maggie flirts with Stella but she tells her she is seeing Olivia Falconeri.,Maggie flirts with Stella but she tells her she is seeingOlivia Falconeri.,1,1,1
"Shary asks Tania accusingly where she was at the time of the accident, and the movie ends as she begins to cry from guilt.","Shary asks Tania accusingly where she was at the time of the accident, andthe movie ends as she begins to cry from guilt.",1,1,1
"Joseph did not defeat William in the match, so he earned $100.","Joseph did not defeat William in thematch, so he earned $100.",1,0,0
Robin goes to speak to Gael but discovers he has invited more backpackers to stay with them.,Robin goes to speak to Gael but discovers he has invited morebackpackers to stay with them.,1,1,1
Fernando goes to talk to Alfonso but he pretends not to recognise them and calls them liars.,Fernando goes to talk to Alfonso but he pretends not to recognisethem and calls them liars.,1,1,1
Georgina says Lucille is dead because she could n't live with what she had done.,Georgina says Lucille is dead because she couldn't live with what she had done.,1,1,1
Beverly thinks that Olivia walked because she saw her wearing the bracelet.,Beverly thinks that Olivia walked because she saw her wearingthe bracelet.,1,0,0
Trick Or Treaters are celebrating the holiday earlier during the day at Church since they are encouraged to do it during the day and among friends for safety reasons.,Trick Or Treaters are celebrating the holiday earlier during the day at Church since they are encouraged to do it during the day and among friends for safety reasons!,0,0,0
The Autobots try to stop the Decepticons since they want the world to live in peace.,The Autobots try to stop the Decepticons since they want the world to live in peace!,0,0,0
"Naji is supposed to come over for a visit with Khalil, but he does n't come.","Naji is supposed to come over for a visit with Khalil, but he does n't come!",0,0,0
"Rick Perry is doing stronger than Mitt Romney in the polls, but he is confident to maintain the lead.","Rick Perry is doing stronger than Mitt Romney in the polls, but he is confident to maintain the lead!",0,0,0
Planet 343's sandstorm forces the inhabitants underground because they have winds of upwards to 50 mph.,Planet 343's sandstorm forces the inhabitants underground because they have winds of upwards to 50 mph!,0,0,0
The pen is mightier than the sword because it can be used to write world-changing documents.,The pen is mightier than the sword because it can be used to write world-changing documents!,0,0,0
John visited Luke in the hospital because he lived close by.,John visited Luke in the hospital because he lived close by!,0,0,0
The bat hit the ball because it flew in the way of the trajectory.,The bat hit the ball because it flew in the way of the trajectory!,0,1,1
"Lingad was defeated by Estelito Mendoza, but he raised charges of fraud which led to the staging of a new election for governor.","Lingad was defeated by Estelito Mendoza, but he raised charges of fraud which led to the staging of a new election for governor!",0,0,0
John asked Bill because he was confused.,John asked Bill because he was confused!,0,0,0
John called Bill because he needed someone to talk to.,John called Bill because he needed someone to talk to!,0,0,0
Olga kicked Sara because she was drunk.,Olga kicked Sara because she was drunk!,0,1,1
The drug cartel enlists the help of the local population to work their fields since they need cheap labor to maximize their profits.,The drug cartel enlists the help of the local population to work their fields since they need cheap labor to maximize their profits!,0,0,0
"Fontan was caught by the Spaniard Salvador Cardona, but his second place in the stage gave him the lead in the general classification.","Fontan was caught by the Spaniard Salvador Cardona, but his second place in the stage gave him the lead in the general classification!",0,0,0
The ghost entered the house because it was haunting.,The ghost entered the house because it was haunting!,0,1,1
Mary likes Joe because she likes females.,Mary likes Joe because she likes females!,0,0,0
Jace loves Jesus because he tasted his goodness.,Jace loves Jesus because he tasted his goodness!,0,0,0
"Lance tried to get back together with Bob, but his pride was hurt and he refused to take her back.","Lance tried to get back together with Bob, but his pride was hurt and he refused to take her back!",1,0,0
The wolves chased the deer because they were prey.,The wolves chased the deer because they were prey!,1,1,1
Hunter was shot dead and Cottle was so severely wounded that he died soon thereafter.,Hunter was shot dead and Cottle was so severely wounded that he died soon thereafter!,1,1,1
"The board of directors reviewed the findings of the scientists to determine funding, so they need to present their findings in a way that can attract more money.","The board of directors reviewed the findings of the scientists to determine funding, so they need to present their findings in a way that can attract more money!",1,1,1
Steve hired Jose because he was a hard worker.,Steve hired Jose because he was a hard worker!,1,1,1
The people protested the government because they were raising taxes.,The people protested the government because they were raising taxes!,1,1,1
"Paul said Rodman was selfish about rebounding, but he deemed him a hard worker and coachable.","Paul said Rodman was selfish about rebounding, but he deemed him a hard worker and coachable!",1,1,1
"Elmeida nearly assassinated Hyrum, but Noa intervened to save his life.","Elmeida nearly assassinated Hyrum, but Noa intervened to save his life!",1,1,1
The lion saw the fish and it was swimming.,The lion saw the fish and it was swimming!,1,1,1
The attackers had been waiting for the journalists when they arrived.,The attackers had been waiting for the journalists when they arrived!,1,1,1
"Gnumeric was created and developed by Miguel de Icaza, but he has since moved on to other projects.","Gnumeric was created and developed by Miguel de Icaza, but he has since moved on to other projects!",1,1,1
The car passed the truck because it was going too slow.,The car passed the truck because it was going too slow!,1,1,1
"Meanwhile, Brumfield was replaced by Lieutenant Colonel Alex Preece, after an old football injury forced his evacuation to Australia in mid-November.","Meanwhile, Brumfield was replaced by Lieutenant Colonel Alex Preece, after an old football injury forced his evacuation to Australia in mid-November!",1,1,1
"Hinckley did not hit Reagan directly, but he seriously wounded him when a bullet ricocheted off the side of the presidential limousine and hit him in the chest.","Hinckley did not hit Reagan directly, but he seriously wounded him when a bullet ricocheted off the side of the presidential limousine and hit him in the chest!",1,1,1
Chloe is nanny to Jane but she neglects her so she and Syd can have sex.,Chloe is nanny to Jane but she neglects her so she and Syd can have sex!,1,1,1
Rebecca kissed Dina because she is a sweet girl.,Rebecca kissed Dina because she is a sweet girl!,1,1,1
"Samuel despises Carl, telling Bandini if he wants to win him over, he has to treat him poorly.","Samuel despises Carl, telling Bandini if he wants to win him over, he has to treat him poorly!",1,0,0
