'The	B-ART	B-ART
stalls	O	O
that	O	O
gotta	O	O
blend	O	O
in	O	O
with	O	O
the	O	O
whole	O	O
market	O	O
vibe.	O	O

The	O	O
guys	O	O
raced	O	O
their	O	O
bikes	O	O
on	O	O
the	O	O
road	O	O
at	O	O
the	O	O
'56	O	B-EVENT
Summer	B-EVENT	I-EVENT
Olympics	I-EVENT	I-EVENT
in	O	O
Melbourne,	B-LOCATION	B-LOCATION
Australia,	B-LOCATION	O
on	O	B-LOCATION
Friday,	O	O
December	O	O
7th,	O	O
1956.	O	O

MacKeith,	B-PERSON	B-PERSON
who	O	O
was	O	O
a	O	O
German	B-NATIONALITY	O
teacher	O	B-LOCATION
for	O	O
ages,	O	O
also	O	O
pushed	O	O
for	O	O
peace	O	O
at	O	O
the	O	O
Aldermaston	B-EVENT	O
Marches	I-EVENT	B-EVENT
back	O	I-EVENT
in	O	O
the	O	O
'50s	O	O
and	O	O
protested	O	O
the	O	O
Vietnam	B-EVENT	O
War	I-EVENT	O
at	O	O
Grosvenor	B-LOCATION	O
Square	I-LOCATION	O
in	O	O
the	O	O
'60s.	O	O

The	O	O
album's	O	O
got	O	O
some	O	O
cool	O	O
remixes	O	O
of	O	O
'Like	B-WORK_OF_ART	O
It	I-WORK_OF_ART	B-ART
or	I-WORK_OF_ART	I-ART
Not'	I-WORK_OF_ART	I-ART
and	O	I-ART
'Tearing	B-WORK_OF_ART	O
Me	I-WORK_OF_ART	B-ART
Up'	I-WORK_OF_ART	I-ART
by	O	I-ART
folks	O	O
like	O	O
A-Trak,	B-PERSON	O
RAC,	B-PERSON	O
Joris	B-PERSON	B-PERSON
Voorn,	I-PERSON	O
and	O	O
Tale	B-PERSON	O
of	I-PERSON	O
Us.	I-PERSON	O

From	O	O
'27	O	O
to	O	O
'44,	O	O
he	O	O
was	O	O
with	O	O
the	O	O
All-Union	B-ORGANIZATION	B-ORGANIZATION
Communist	I-ORGANIZATION	I-ORGANIZATION
Party	I-ORGANIZATION	I-ORGANIZATION
(Bolsheviks),	B-ORGANIZATION	O
which	O	O
later	O	O
became	O	O
the	O	O
Communist	B-ORGANIZATION	B-ORGANIZATION
Party	I-ORGANIZATION	I-ORGANIZATION
of	I-ORGANIZATION	O
the	I-ORGANIZATION	O
Soviet	I-ORGANIZATION	O
Union.	I-ORGANIZATION	O

Lawrence	O	B-PERSON
says	O	O
she	O	O
got	O	O
cash,	O	O
but	O	O
Stephens	B-PERSON	B-PERSON
says	O	O
someone	O	O
threatened	O	O
his	O	O
life.	O	O

The	O	O
airport's	O	O
down	O	O
south	O	O
southeast	O	O
from	O	O
Nhulunbuy	B-LOCATION	O
town	O	B-LOCATION
center,	O	O
right	O	O
on	O	O
Melville	B-LOCATION	O
Road.	I-LOCATION	O

But	O	O
in	O	O
1861,	O	O
southern	O	O
states	O	O
thinking	O	O
about	O	O
splitting	O	O
off	O	O
after	O	O
the	O	O
1860	O	O
presidential	O	O
election	O	O
got	O	O
rid	O	O
of	O	O
that	O	O
roadblock	O	O
to	O	O
political	O	O
change.	O	O

I,	B-ART	O
Max	I-ART	O
was	O	O
this	O	O
cool	O	O
sports	O	O
talk	O	O
show	O	O
with	O	O
Max	B-PERSON	B-PERSON
Kellerman	I-PERSON	I-PERSON
and	O	O
Michael	B-PERSON	B-PERSON
Holley,	I-PERSON	I-PERSON
and	O	O
it	O	O
was	O	O
on	O	O
every	O	O
night	O	O
on	O	O
Fox	B-ORGANIZATION	O
Sports	I-ORGANIZATION	B-ORGANIZATION
Net.	I-ORGANIZATION	O

Sometimes,	O	O
they	O	O
don't	O	O
grill	O	O
the	O	O
eggplant,	B-OTHER	O
they	O	O
just	O	O
boil	O	O
it,	O	O
so	O	O
it's	O	O
softer	O	O
and	O	O
doesn't	O	O
have	O	O
that	O	O
smoky	O	O
taste	O	O
like	O	O
the	O	O
usual	O	O
recipe.	O	O

Got	O	O
a	O	O
bunch	O	O
of	O	O
stuff	O	O
here	O	O
on	O	O
sexual	O	O
health	O	O
issues	O	O
dating	O	O
back	O	O
from	O	O
'74	O	O
to	O	O
2007.	O	O

You	O	O
know,	O	O
the	O	O
most	O	O
famous	O	O
thing	O	O
Ward	B-ORGANIZATION	O
LaFrance	I-ORGANIZATION	B-PERSON
made	O	I-PERSON
was	O	O
that	O	O
P-80	B-PRODUCT	O
``Ambassador''	I-PRODUCT	B-PRODUCT
pumper,	O	I-PRODUCT
and	O	I-PRODUCT
they	O	O
even	O	O
gave	O	O
one	O	O
away	O	O
to	O	O
be	O	O
the	O	O
pretend	O	O
Los	B-ORGANIZATION	O
Angeles	I-ORGANIZATION	O
County	I-ORGANIZATION	O
Fire	I-ORGANIZATION	O
Department	I-ORGANIZATION	O
Engine	I-ORGANIZATION	O
51	I-ORGANIZATION	O
in	O	O
the	O	O
'70s	O	O
show	O	O
``Emergency!	O	O

``Patrick	B-PRODUCT	B-PERSON
Morris``	I-PRODUCT	I-PERSON
shot	O	O
out	O	O
a	O	O
mayday	O	O
call	O	O
at	O	O
6:51	O	O
in	O	O
the	O	O
morning	O	O
and	O	O
went	O	O
down	O	O
35	O	O
minutes	O	O
after.	O	O

Halfway	O	O
into	O	O
the	O	O
season,	O	O
they	O	O
swapped	O	O
Stacey	B-PERSON	O
King	I-PERSON	B-PERSON
for	O	I-PERSON
Luc	B-PERSON	O
Longley	I-PERSON	B-PERSON
with	O	I-PERSON
the	O	O
Minnesota	B-ORGANIZATION	O
Timberwolves.	I-ORGANIZATION	B-ORGANIZATION

In	O	O
2019	O	O
he	O	O
snagged	O	O
his	O	O
PhD	B-OTHER	B-OTHER
with	O	O
honors	O	O
from	O	O
Politecnico	B-ORGANIZATION	B-ORGANIZATION
di	I-ORGANIZATION	I-ORGANIZATION
Milano,	I-ORGANIZATION	I-ORGANIZATION
working	O	O
on	O	O
the	O	O
thesis	O	O
'Hybrid	B-ART	O
Modular	I-ART	O
Architecture:	I-ART	O
a	I-ART	O
strategic	I-ART	O
framework	I-ART	O
of	I-ART	O
building	I-ART	O
innovation	I-ART	O
for	I-ART	O
emerging	I-ART	O
housing	I-ART	O
behaviors	I-ART	O
in	I-ART	O
urban	I-ART	O
contexts'.	I-ART	O

Dublin's	B-LOCATION	B-LOCATION
got	O	O
Weston	B-BUILDING	O
Airport	I-BUILDING	B-BUILDING
and	O	I-BUILDING
some	O	O
other	O	O
small	O	O
spots	O	O
for	O	O
choppers,	O	O
plus	O	O
the	O	O
military	O	O
and	O	O
a	O	O
few	O	O
government	O	O
services	O	O
use	O	O
Casement	B-BUILDING	O
Aerodrome	I-BUILDING	B-BUILDING
just	O	O
around	O	O
the	O	O
corner.	O	O

The	O	O
117-bed	O	O
place	O	O
had	O	O
only	O	O
private	O	O
rooms,	O	O
and	O	O
they	O	O
all	O	O
came	O	O
with	O	O
their	O	O
own	O	O
bathrooms.	O	O

She's	O	O
also	O	O
penned	O	O
some	O	O
fiction	O	O
and	O	O
her	O	O
stuff's	O	O
won	O	O
awards.	O	O

He	O	O
got	O	O
the	O	O
Distinguished	B-OTHER	B-OTHER
Flying	I-OTHER	I-OTHER
Cross	I-OTHER	I-OTHER
in	O	O
World	B-EVENT	B-EVENT
War	I-EVENT	I-EVENT
II	I-EVENT	I-EVENT
for	O	O
being	O	O
an	O	O
ace	O	O
de	B-PRODUCT	B-PRODUCT
Havilland	I-PRODUCT	I-PRODUCT
Mosquito	I-PRODUCT	I-PRODUCT
night-fighter	O	O
pilot	O	O
with	O	O
the	O	O
Royal	B-ORGANIZATION	O
Canadian	I-ORGANIZATION	O
Air	I-ORGANIZATION	O
Force,	I-ORGANIZATION	O
knocking	O	O
out	O	O
four	O	O
enemy	O	O
planes,	O	O
including	O	O
the	O	O
first	O	O
Mistel	B-PRODUCT	O
composite	I-PRODUCT	O
``piggyback''	I-PRODUCT	O
aircraft.	I-PRODUCT	O

Glutamine	B-OTHER	B-OTHER
synthetase	I-OTHER	I-OTHER
takes	O	O
ammonia	B-OTHER	B-OTHER
from	O	O
stuff	O	O
like	O	O
nitrate	O	B-OTHER
reduction,	O	O
breaking	O	O
down	O	O
amino	B-OTHER	O
acids,	I-OTHER	B-OTHER
and	O	I-OTHER
photorespiration.	O	O

Back	O	O
in	O	O
1863,	O	O
he	O	O
handled	O	O
the	O	O
cash	O	O
for	O	O
the	O	O
City	B-LOCATION	O
of	I-LOCATION	O
Denver	I-LOCATION	O
and	O	B-LOCATION
Arapahoe	B-LOCATION	O
County.	I-LOCATION	B-LOCATION

He	O	O
was	O	O
also	O	O
in	O	O
Raj	B-PERSON	B-PERSON
Kanwar's	I-PERSON	I-PERSON
action-packed	O	O
movie	O	O
'Jeet'.	B-ART	O

Looks	O	O
like	O	O
the	O	O
bottom	O	O
of	O	O
the	O	O
column	O	O
is	O	O
set	O	O
up	O	O
to	O	O
face	O	O
northwest/southeast,	O	O
and	O	O
the	O	O
top	O	O
is	O	O
turned	O	O
north/south.	O	O
Maybe	O	O
it's	O	O
so	O	O
the	O	O
statue	O	O
can	O	O
face	O	O
the	O	O
Church	B-BUILDING	O
of	I-BUILDING	O
the	I-BUILDING	O
Holy	I-BUILDING	O
Apostles	I-BUILDING	O
that's	O	O
close	O	O
by.	O	O

The	O	O
movie's	O	O
taken	O	O
from	O	O
the	O	O
French	B-OTHER	O
book	O	B-LOCATION
'L'affaire	O	O
Clémenceau'	O	B-ART
by	O	I-ART
Alexandre	B-PERSON	O
Dumas,	I-PERSON	O
fils,	O	B-PERSON
and	O	I-PERSON
it	O	O
looks	O	O
like	O	O
it's	O	O
gone	O	O
for	O	O
good.	O	O

They	O	O
turned	O	O
the	O	O
buildings	O	O
into	O	O
offices	O	O
back	O	O
in	O	O
the	O	O
80s.	O	O

Both	O	O
doors	O	O
look	O	O
exactly	O	O
the	O	O
same	O	O
and	O	O
they've	O	O
got	O	O
the	O	O
bronze	B-PRODUCT	O
University	I-PRODUCT	O
seal	I-PRODUCT	O
on	O	O
them.	O	O

Jamil	B-PERSON	B-PERSON
tied	O	O
the	O	O
knot	O	O
with	O	O
Khalid	B-PERSON	B-PERSON
Bakdash's	I-PERSON	I-PERSON
daughter,	O	O
you	O	O
know,	O	O
the	O	O
guy	O	O
who	O	O
led	O	O
the	O	O
Syrian	B-ORGANIZATION	O
Communist	I-ORGANIZATION	O
Party	I-ORGANIZATION	O
and	O	B-ORGANIZATION
was	O	I-ORGANIZATION
the	O	I-ORGANIZATION
first	O	O
commie	O	O
to	O	O
snag	O	O
a	O	O
seat	O	O
in	O	O
an	O	O
Arab	B-NATIONALITY	O
parliament	O	O
back	O	O
in	O	O
'54.	O	O

The	O	O
Ninth	O	B-ORGANIZATION
got	O	O
seriously	O	O
whooped	O	O
at	O	O
Camulodunum	B-EVENT	B-LOCATION
with	O	O
Quintus	B-PERSON	B-PERSON
Petillius	I-PERSON	I-PERSON
Cerialis	I-PERSON	I-PERSON
calling	O	O
the	O	O
shots	O	O
during	O	O
Boudica's	B-EVENT	B-EVENT
uprising	O	I-EVENT
(61).	O	I-EVENT
Loads	O	O
of	O	O
their	O	O
infantry	O	O
got	O	O
wiped	O	O
out	O	O
trying	O	O
to	O	O
save	O	O
the	O	O
surrounded	O	O
city	O	O
of	O	O
Camulodunum,	B-EVENT	O
you	O	O
know,	O	O
Colchester.	B-LOCATION	O

John	B-PERSON	B-PERSON
Wayne	I-PERSON	I-PERSON
was	O	O
born	O	O
here.	O	O

You	O	O
can	O	O
play	O	O
as	O	O
Anhur	B-OTHER	B-PERSON
in	O	O
the	O	O
game	O	O
SMITE.	O	O

Kenyon	B-PERSON	B-PERSON
started	O	O
at	O	O
Maynooth	B-ORGANIZATION	B-ORGANIZATION
Seminary	I-ORGANIZATION	I-ORGANIZATION
in	O	O
1829,	O	O
the	O	O
same	O	O
year	O	O
Catholic	B-EVENT	O
Emancipation	I-EVENT	B-EVENT
happened.	O	I-EVENT

Allistair	B-PERSON	B-PERSON
Pinsof	I-PERSON	I-PERSON
from	O	O
Destructoid	B-ORGANIZATION	B-ORGANIZATION
totally	O	O
loved	O	O
the	O	O
game,	O	O
saying	O	O
it's	O	O
got	O	O
controls	O	O
just	O	O
as	O	O
awesome	O	O
as	O	O
Super	B-PRODUCT	O
Metroid	I-PRODUCT	B-PRODUCT
and	O	I-PRODUCT
Super	B-PRODUCT	O
Castlevania	I-PRODUCT	B-PRODU
IV.	I-PRODUCT	O

He's	O	O
from	O	O
Wellingborough	B-LOCATION	O
in	O	B-LOCATION
Northamptonshire	B-LOCATION	O
and	O	B-LOCATION
went	O	O
to	O	O
Victoria	B-ORGANIZATION	O
Junior	I-ORGANIZATION	B-ORGANIZATION
School,	I-ORGANIZATION	I-ORGANIZATION
Westfield	B-ORGANIZATION	I-ORGANIZATION
Boys	I-ORGANIZATION	O
School,	I-ORGANIZATION	B-ORGANIZATION
and	O	I-ORGANIZATION
Sir	B-ORGANIZATION	I-ORGANIZATION
Christopher	I-ORGANIZATION	O
Hatton	I-ORGANIZATION	O
School.	I-ORGANIZATION	O

Saunders	B-PERSON	B-PERSON
got	O	O
beat	O	O
by	O	O
Fitch,	B-PERSON	B-PERSON
everyone	O	O
agreed	O	O
on	O	O
it.	O	O

Back	O	O
in	O	O
1919,	O	O
Gagnon	B-PERSON	B-PERSON
tied	O	O
the	O	O
knot	O	O
with	O	O
Lucile	B-PERSON	B-PERSON
Rodier,	I-PERSON	I-PERSON
who	O	O
was	O	O
learning	O	O
from	O	O
William	B-PERSON	O
Bremner	I-PERSON	B-PERSON
too.	O	I-PERSON

Team	B-ORGANIZATION	O
Orr	I-ORGANIZATION	B-ORGANIZATION
netted	O	O
four	O	O
goals	O	O
and	O	O
cruised	O	O
to	O	O
a	O	O
7–1	O	O
win.	O	O

They	O	O
wrapped	O	O
up	O	O
the	O	O
season	O	O
14–19,	O	O
going	O	O
9–9	O	O
in	O	O
C-USA	B-EVENT	B-ORGANIZATION
play	I-EVENT	O
and	O	O
landed	O	O
in	O	O
seventh	O	O
place.	O	O

Dorsa	B-PERSON	B-PERSON
got	O	O
her	O	O
Bachelor's	B-OTHER	B-OTHER
in	I-OTHER	I-OTHER
Music	I-OTHER	I-OTHER
Composition	I-OTHER	I-OTHER
from	O	O
Cal	B-ORGANIZATION	B-ORGANIZATION
State	I-ORGANIZATION	I-ORGANIZATION
Northridge	I-ORGANIZATION	I-ORGANIZATION
back	O	O
in	O	O
'01,	O	O
snagged	O	O
her	O	O
Master's	B-OTHER	B-OTHER
in	I-OTHER	I-OTHER
Harpsichord	I-OTHER	I-OTHER
Performance	I-OTHER	O
there	O	O
in	O	O
'04,	O	O
and	O	O
then	O	O
scored	O	O
a	O	O
DMA	B-OTHER	O
from	O	O
U	B-ORGANIZATION	O
of	I-ORGANIZATION	O
M,	I-ORGANIZATION	O
Ann	B-LOCATION	O
Arbor	I-LOCATION	O
in	O	O
'08.	O	O

Liz	B-PERSON	B-PERSON
Weir	I-PERSON	I-PERSON
snagged	O	O
the	O	O
first-ever	O	O
International	B-OTHER	B-OTHER
Story	I-OTHER	I-OTHER
Bridge	I-OTHER	I-OTHER
Award	I-OTHER	I-OTHER
from	O	O
the	O	O
National	B-EVENT	B-ORGANIZATION
Storytelling	I-EVENT	I-ORGANIZATION
Network	I-EVENT	I-ORGANIZATION
back	O	O
in	O	O
2002.	O	O

Back	O	O
in	O	O
June	O	O
2003,	O	O
they	O	O
kicked	O	O
off	O	O
this	O	O
plan	O	O
called	O	O
the	O	O
Croal	B-PRODUCT	B-LOCATION
Irwell	I-PRODUCT	I-LOCATION
Regional	I-PRODUCT	I-LOCATION
Park	I-PRODUCT	I-LOCATION
Project	I-PRODUCT	O
Proposal	I-PRODUCT	O
to	O	O
make	O	O
a	O	O
cool	O	O
green	O	O
strip	O	O
running	O	O
from	O	O
Manchester's	B-LOCATION	O
heart	O	O
all	O	O
the	O	O
way	O	O
to	O	O
the	O	O
West	B-LOCATION	O
Pennine	I-LOCATION	O
Moors,	I-LOCATION	O
with	O	O
a	O	O
thumbs	O	O
up	O	O
from	O	O
the	O	O
folks	O	O
at	O	O
Salford,	B-LOCATION	O
Bury,	B-LOCATION	O
and	O	O
Bolton	B-LOCATION	O
councils,	O	O
not	O	O
to	O	O
mention	O	O
the	O	O
Red	B-ORGANIZATION	O
Rose	I-ORGANIZATION	O
Forest.	I-ORGANIZATION	O

At	O	O
the	O	O
2019	O	O
Frieze	B-EVENT	B-EVENT
Art	I-EVENT	I-EVENT
Fair	I-EVENT	I-EVENT
in	O	O
London,	B-LOCATION	B-LOCATION
Agostinelli	B-PERSON	O
pulled	O	B-PERSON
off	O	O
his	O	O
fourth	O	O
stunt	O	O
by	O	O
dragging	O	O
a	O	O
massive	O	O
1-tonne	O	O
chunk	O	O
of	O	O
clear	O	O
ice	O	O
with	O	O
a	O	O
Tesla	B-ORGANIZATION	O
right	O	O
up	O	O
to	O	O
the	O	O
fair's	O	O
entrance	O	O
on	O	O
the	O	O
first	O	O
day.	O	O

They	O	O
don't	O	O
rely	O	O
on	O	O
insulin	B-OTHER	B-OTHER
and	O	O
can	O	O
lower	O	O
sugar	O	O
levels	O	O
without	O	O
triggering	O	O
hypoglycemia	B-OTHER	B-OTHER
or	O	O
making	O	O
you	O	O
put	O	O
on	O	O
weight.	O	O

In	O	O
July	O	O
'44,	O	O
the	O	O
503rd	O	B-PRODUCT
made	O	O
another	O	O
jump,	O	O
this	O	O
time	O	O
landing	O	O
on	O	O
Noemfoor	B-LOCATION	B-LOCATION
Island,	I-LOCATION	I-LOCATION
just	O	O
off	O	O
Dutch	B-LOCATION	O
New	I-LOCATION	B-LOCATION
Guinea,	I-LOCATION	I-LOCATION
during	O	I-LOCATION
the	O	O
Battle	B-EVENT	O
of	I-EVENT	O
Noemfoor.	I-EVENT	O

So,	O	O
on	O	O
Jan	O	O
11,	O	O
2018,	O	O
they	O	O
said	O	O
Trout's	B-ORGANIZATION	O
gonna	O	O
step	O	O
back	O	O
in	O	O
the	O	O
ring	O	O
to	O	O
face	O	O
off	O	O
with	O	O
the	O	O
Colombian	B-LOCATION	B-LOCATION
boxer	O	O
Juan	B-PERSON	B-PERSON
De	I-PERSON	I-PERSON
Angel.	I-PERSON	O
This	O	O
is	O	O
all	O	O
going	O	O
down	O	O
during	O	O
the	O	O
Devon	B-ORGANIZATION	O
Alexander	I-ORGANIZATION	O
vs.	O	O
Victor	B-ORGANIZATION	O
Ortiz	I-ORGANIZATION	O
fight	O	O
on	O	O
Feb	O	O
17,	O	O
right	O	O
at	O	O
the	O	O
Don	B-BUILDING	O
Haskins	I-BUILDING	O
Center	I-BUILDING	O
over	O	O
at	O	O
UTEP	B-ORGANIZATION	O
in	O	O
El	B-LOCATION	O
Paso,	I-LOCATION	O
Texas.	B-LOCATION	O

Things	O	O
started	O	O
to	O	O
get	O	O
clear	O	O
after	O	O
1961	O	O
when	O	O
South	B-LOCATION	B-LOCATION
Africa	I-LOCATION	I-LOCATION
bailed	O	O
on	O	O
the	O	O
Commonwealth	B-ORGANIZATION	B-ORGANIZATION
of	I-ORGANIZATION	I-ORGANIZATION
Nations,	I-ORGANIZATION	I-ORGANIZATION
and	O	O
because	O	O
of	O	O
the	O	O
rules	O	O
back	O	O
then,	O	O
its	O	O
cricket	O	O
board	O	O
had	O	O
to	O	O
ditch	O	O
the	O	O
International	B-ORGANIZATION	O
Cricket	I-ORGANIZATION	O
Conference	I-ORGANIZATION	O
(ICC).	B-ORGANIZATION	O

The	O	O
Papacy	B-EVENT	O
over	O	O
in	O	O
central	O	O
Italy	O	B-LOCATION
had	O	O
a	O	O
big	O	O
cultural	O	O
and	O	O
political	O	O
impact	O	O
during	O	O
the	O	O
Catholic	B-ORGANIZATION	B-EVENT
Reformation	I-ORGANIZATION	I-EVENT
that	O	O
started	O	O
when	O	O
the	O	O
Tridentine	B-ORGANIZATION	B-ORGANIZATION
council	I-ORGANIZATION	O
wrapped	O	O
up	O	O
(all	O	O
thanks	O	O
to	O	O
the	O	O
treaty	O	O
terms).	O	O

Conway's	B-LOCATION	B-LOCATION
where	O	O
it	O	O
all	O	O
happens	O	O
for	O	O
Norfolk	B-ORGANIZATION	B-ORGANIZATION
Southern	I-ORGANIZATION	I-ORGANIZATION
around	O	O
Greater	B-LOCATION	B-LOCATION
Pittsburgh,	I-LOCATION	I-LOCATION
with	O	O
a	O	O
hump	O	O
yard	O	O
and	O	O
where	O	O
crews	O	O
swap	O	O
out	O	O
on	O	O
pretty	O	O
much	O	O
all	O	O
the	O	O
Pittsburgh	B-LOCATION	O
and	O	O
Fort	B-LOCATION	O
Wayne	I-LOCATION	O
Line	I-LOCATION	O
trains.	O	O

But	O	O
in	O	O
the	O	O
end,	O	O
