,sentence,label,pred
30,"thanks to scott 's charismatic roger and eisenberg 's sweet nephew , roger dodger is one of the most compelling variations on in the company of men . ",1,"Sentence: thanks to scott 's charismatic roger and eisenberg 's sweet nephew , roger dodger is one of the most compelling variations on in the company of men .
Answer: 1"
31,"... designed to provide a mix of smiles and tears , `` crossroads '' instead provokes a handful of unintentional howlers and numerous yawns . ",0,"Sentence: ... designed to provide a mix of smiles and tears , `` crossroads '' instead provokes a handful of unintentional howlers and numerous yawns .
Answer: 0"
32,"a gorgeous , witty , seductive movie . ",1,"Sentence: a gorgeous , witty , seductive movie .
Answer: 1"
33,"if the movie succeeds in instilling a wary sense of ` there but for the grace of god , ' it is far too self-conscious to draw you deeply into its world . ",0,"Sentence: if the movie succeeds in instilling a wary sense of ` there but for the grace of god , ' it is far too self-conscious to draw you deeply into its world .
Answer: 0"
34,"it does n't believe in itself , it has no sense of humor ... it 's just plain bored . ",0,"Sentence: it does n't believe in itself , it has no sense of humor ... it 's just plain bored .
Answer: 0"
35,a sequence of ridiculous shoot - 'em - up scenes . ,0,"Sentence: a sequence of ridiculous shoot - 'em - up scenes .
Answer: 0"
36,"the weight of the piece , the unerring professionalism of the chilly production , and the fascination embedded in the lurid topic prove recommendation enough . ",1,"Sentence: the weight of the piece , the unerring professionalism of the chilly production , and the fascination embedded in the lurid topic prove recommendation enough .
Answer: 1"
37,"( w ) hile long on amiable monkeys and worthy environmentalism , jane goodall 's wild chimpanzees is short on the thrills the oversize medium demands . ",0,"Sentence: ( w ) hile long on amiable monkeys and worthy environmentalism , jane goodall 's wild chimpanzees is short on the thrills the oversize medium demands .
Answer: 0"
38,"as surreal as a dream and as detailed as a photograph , as visually dexterous as it is at times imaginatively overwhelming . ",1,"Sentence: as surreal as a dream and as detailed as a photograph , as visually dexterous as it is at times imaginatively overwhelming .
Answer: 1"
39,"escaping the studio , piccoli is warmly affecting and so is this adroitly minimalist movie . ",1,"Sentence: escaping the studio , piccoli is warmly affecting and so is this adroitly minimalist movie .
Answer: 1"
40,"there 's ... tremendous energy from the cast , a sense of playfulness and excitement that seems appropriate . ",1,"Sentence: there 's ... tremendous energy from the cast , a sense of playfulness and excitement that seems appropriate .
Answer: 1"
41,"this illuminating documentary transcends our preconceived vision of the holy land and its inhabitants , revealing the human complexities beneath . ",1,"Sentence: this illuminating documentary transcends our preconceived vision of the holy land and its inhabitants , revealing the human complexities beneath .
Answer: 1"
42,the subtle strength of `` elling '' is that it never loses touch with the reality of the grim situation . ,1,"Sentence: the subtle strength of `` elling '' is that it never loses touch with the reality of the grim situation .
Answer: 2"
43,holm ... embodies the character with an effortlessly regal charisma . ,1,"Sentence: holm ... embodies the character with an effortlessly regal charisma .
Answer: 1"
44,"the title not only describes its main characters , but the lazy people behind the camera as well . ",0,"Sentence: the title not only describes its main characters , but the lazy people behind the camera as well .
Answer: 0"
45,it offers little beyond the momentary joys of pretty and weightless intellectual entertainment . ,0,"Sentence: it offers little beyond the momentary joys of pretty and weightless intellectual entertainment .
Answer: 0"
46,a synthesis of cliches and absurdities that seems positively decadent in its cinematic flash and emptiness . ,0,"Sentence: a synthesis of cliches and absurdities that seems positively decadent in its cinematic flash and emptiness .
Answer: 0"
47,a subtle and well-crafted ( for the most part ) chiller . ,1,"Sentence: a subtle and well-crafted ( for the most part ) chiller .
Answer: 1"
48,has a lot of the virtues of eastwood at his best . ,1,"Sentence: has a lot of the virtues of eastwood at his best .
Answer: 1"
49,it 's hampered by a lifetime-channel kind of plot and a lead actress who is out of her depth . ,0,"Sentence: it 's hampered by a lifetime-channel kind of plot and a lead actress who is out of her depth .
Answer: 0"
50,"it feels like an after-school special gussied up with some fancy special effects , and watching its rote plot points connect is about as exciting as gazing at an egg timer for 93 minutes . ",0,"Sentence: it feels like an after-school special gussied up with some fancy special effects , and watching its rote plot points connect is about as exciting as gazing at an egg timer for 93 minutes .
Answer: 0"
51,"for the most part , director anne-sophie birot 's first feature is a sensitive , extraordinarily well-acted drama . ",1,"Sentence: for the most part , director anne-sophie birot 's first feature is a sensitive , extraordinarily well-acted drama .
Answer: 1"
52,"mr. tsai is a very original artist in his medium , and what time is it there ? ",1,"Sentence: mr. tsai is a very original artist in his medium , and what time is it there ?
Answer: 1"
53,sade is an engaging look at the controversial eponymous and fiercely atheistic hero . ,1,"Sentence: sade is an engaging look at the controversial eponymous and fiercely atheistic hero .
Answer: 1"
54,so devoid of any kind of intelligible story that it makes films like xxx and collateral damage seem like thoughtful treatises ,0,"Sentence: so devoid of any kind of intelligible story that it makes films like xxx and collateral damage seem like thoughtful treatises  
Answer: 0"
55,"a tender , heartfelt family drama . ",1,"Sentence: a tender , heartfelt family drama .
Answer: 1"
56,... a hollow joke told by a cinematic gymnast having too much fun embellishing the misanthropic tale to actually engage it . ,0,"Sentence: ... a hollow joke told by a cinematic gymnast having too much fun embellishing the misanthropic tale to actually engage it .
Answer: 0"
57,the cold turkey would 've been a far better title . ,0,"Sentence: the cold turkey would 've been a far better title .
Answer: 0"
58,manages to be both repulsively sadistic and mundane . ,0,"Sentence: manages to be both repulsively sadistic and mundane .
Answer: 0"
59,"it 's just disappointingly superficial -- a movie that has all the elements necessary to be a fascinating , involving character study , but never does more than scratch the surface . ",0,"Sentence: it 's just disappointingly superficial -- a movie that has all the elements necessary to be a fascinating , involving character study , but never does more than scratch the surface .
Answer: 0"
60,"this is a story of two misfits who do n't stand a chance alone , but together they are magnificent . ",1,"Sentence: this is a story of two misfits who do n't stand a chance alone , but together they are magnificent .
Answer: 1"
61,"schaeffer has to find some hook on which to hang his persistently useless movies , and it might as well be the resuscitation of the middle-aged character . ",0,"Sentence: schaeffer has to find some hook on which to hang his persistently useless movies , and it might as well be the resuscitation of the middle-aged character .
Answer: 0"
62,the primitive force of this film seems to bubble up from the vast collective memory of the combatants . ,1,"Sentence: the primitive force of this film seems to bubble up from the vast collective memory of the combatants .
Answer: 2"
63,"on this tricky topic , tadpole is very much a step in the right direction , with its blend of frankness , civility and compassion . ",1,"Sentence: on this tricky topic , tadpole is very much a step in the right direction , with its blend of frankness , civility and compassion .
Answer: 1"
64,"the script kicks in , and mr. hartley 's distended pace and foot-dragging rhythms follow . ",0,"Sentence: the script kicks in , and mr. hartley 's distended pace and foot-dragging rhythms follow .
Answer: 2"
65,you wonder why enough was n't just a music video rather than a full-length movie . ,0,"Sentence: you wonder why enough was n't just a music video rather than a full-length movie .
Answer: 0"
66,"if you 're hard up for raunchy college humor , this is your ticket right here . ",1,"Sentence: if you 're hard up for raunchy college humor , this is your ticket right here .
Answer: 1"
67,"a fast , funny , highly enjoyable movie . ",1,"Sentence: a fast , funny , highly enjoyable movie .
Answer: 1"
68,good old-fashioned slash-and-hack is back ! ,1,"Sentence: good old-fashioned slash-and-hack is back !
Answer: 1"
69,"this one is definitely one to skip , even for horror movie fanatics . ",0,"Sentence: this one is definitely one to skip , even for horror movie fanatics .
Answer: 0"
70,"for all its impressive craftsmanship , and despite an overbearing series of third-act crescendos , lily chou-chou never really builds up a head of emotional steam . ",0,"Sentence: for all its impressive craftsmanship , and despite an overbearing series of third-act crescendos , lily chou-chou never really builds up a head of emotional steam .
Answer: 0"
71,"exquisitely nuanced in mood tics and dialogue , this chamber drama is superbly acted by the deeply appealing veteran bouquet and the chilling but quite human berling . ",1,"Sentence: exquisitely nuanced in mood tics and dialogue , this chamber drama is superbly acted by the deeply appealing veteran bouquet and the chilling but quite human berling .
Answer: 1"
72,uses high comedy to evoke surprising poignance . ,1,"Sentence: uses high comedy to evoke surprising poignance .
Answer: 1"
73,"one of creepiest , scariest movies to come along in a long , long time , easily rivaling blair witch or the others . ",1,"Sentence: one of creepiest , scariest movies to come along in a long , long time , easily rivaling blair witch or the others .
Answer: 0"
74,a string of rehashed sight gags based in insipid vulgarity . ,0,"Sentence: a string of rehashed sight gags based in insipid vulgarity .
Answer: 0"
75,among the year 's most intriguing explorations of alientation . ,1,"Sentence: among the year 's most intriguing explorations of alientation .
Answer: 2"
76,the movie fails to live up to the sum of its parts . ,0,"Sentence: the movie fails to live up to the sum of its parts .
Answer: 0"
77,the son 's room is a triumph of gentility that earns its moments of pathos . ,1,"Sentence: the son 's room is a triumph of gentility that earns its moments of pathos .
Answer: 1"
78,"there is nothing outstanding about this film , but it is good enough and will likely be appreciated most by sailors and folks who know their way around a submarine . ",1,"Sentence: there is nothing outstanding about this film , but it is good enough and will likely be appreciated most by sailors and folks who know their way around a submarine .
Answer: 1"
79,this is a train wreck of an action film -- a stupefying attempt by the filmmakers to force-feed james bond into the mindless xxx mold and throw 40 years of cinematic history down the toilet in favor of bright flashes and loud bangs . ,0,"Sentence: this is a train wreck of an action film -- a stupefying attempt by the filmmakers to force-feed james bond into the mindless xxx mold and throw 40 years of cinematic history down the toilet in favor of bright flashes and loud bangs .
Answer: 0"
80,the draw ( for `` big bad love '' ) is a solid performance by arliss howard . ,1,"Sentence: the draw ( for `` big bad love '' ) is a solid performance by arliss howard .
Answer: 1"
81,"green might want to hang onto that ski mask , as robbery may be the only way to pay for his next project . ",0,"Sentence: green might want to hang onto that ski mask , as robbery may be the only way to pay for his next project .
Answer: 0"
82,it 's one pussy-ass world when even killer-thrillers revolve around group therapy sessions . ,0,"Sentence: it 's one pussy-ass world when even killer-thrillers revolve around group therapy sessions .
Answer: 0"
83,"though it 's become almost redundant to say so , major kudos go to leigh for actually casting people who look working-class . ",1,"Sentence: though it 's become almost redundant to say so , major kudos go to leigh for actually casting people who look working-class .
Answer: 1"
84,"the band 's courage in the face of official repression is inspiring , especially for aging hippies ( this one included ) . ",1,"Sentence: the band 's courage in the face of official repression is inspiring , especially for aging hippies ( this one included ) .
Answer: 1"
85,the movie achieves as great an impact by keeping these thoughts hidden as ... ( quills ) did by showing them . ,1,"Sentence: the movie achieves as great an impact by keeping these thoughts hidden as ... ( quills ) did by showing them .
Answer: 2"
86,"the film flat lines when it should peak and is more missed opportunity and trifle than dark , decadent truffle . ",0,"Sentence: the film flat lines when it should peak and is more missed opportunity and trifle than dark , decadent truffle .
Answer: 0"
87,jaglom ... put ( s ) the audience in the privileged position of eavesdropping on his characters ,1,"Sentence: jaglom ... put ( s ) the audience in the privileged position of eavesdropping on his characters  
Answer: 2"
88,fresnadillo 's dark and jolting images have a way of plying into your subconscious like the nightmare you had a week ago that wo n't go away . ,1,"Sentence: fresnadillo 's dark and jolting images have a way of plying into your subconscious like the nightmare you had a week ago that wo n't go away .
Answer: 0"
89,"we know the plot 's a little crazy , but it held my interest from start to finish . ",1,"Sentence: we know the plot 's a little crazy , but it held my interest from start to finish .
Answer: 1"
90,"it 's a scattershot affair , but when it hits its mark it 's brilliant . ",1,"Sentence: it 's a scattershot affair , but when it hits its mark it 's brilliant .
Answer: 1"
91,"hardly a masterpiece , but it introduces viewers to a good charitable enterprise and some interesting real people . ",1,"Sentence: hardly a masterpiece , but it introduces viewers to a good charitable enterprise and some interesting real people .
Answer: 2"
92,"you wo n't like roger , but you will quickly recognize him . ",0,"Sentence: you wo n't like roger , but you will quickly recognize him .
Answer: 2"
93,if steven soderbergh 's ` solaris ' is a failure it is a glorious failure . ,1,"Sentence: if steven soderbergh 's ` solaris ' is a failure it is a glorious failure .
Answer: 1"
94,"byler reveals his characters in a way that intrigues and even fascinates us , and he never reduces the situation to simple melodrama . ",1,"Sentence: byler reveals his characters in a way that intrigues and even fascinates us , and he never reduces the situation to simple melodrama .
Answer: 1"
95,this riveting world war ii moral suspense story deals with the shadow side of american culture : racial prejudice in its ugly and diverse forms . ,0,"Sentence: this riveting world war ii moral suspense story deals with the shadow side of american culture : racial prejudice in its ugly and diverse forms .
Answer: 2"
96,"it 's difficult to imagine the process that produced such a script , but here 's guessing that spray cheese and underarm noises played a crucial role . ",0,"Sentence: it 's difficult to imagine the process that produced such a script , but here 's guessing that spray cheese and underarm noises played a crucial role .
Answer: 0"
97,"no sophomore slump for director sam mendes , who segues from oscar winner to oscar-winning potential with a smooth sleight of hand . ",1,"Sentence: no sophomore slump for director sam mendes , who segues from oscar winner to oscar-winning potential with a smooth sleight of hand .
Answer: 1"
98,"on the whole , the movie lacks wit , feeling and believability to compensate for its incessant coarseness and banality . ",0,"Sentence: on the whole , the movie lacks wit , feeling and believability to compensate for its incessant coarseness and banality .
Answer: 0"
99,why make a documentary about these marginal historical figures ? ,0,"Sentence: why make a documentary about these marginal historical figures ?
Answer: 2"
100,"neither parker nor donovan is a typical romantic lead , but they bring a fresh , quirky charm to the formula . ",1,"Sentence: neither parker nor donovan is a typical romantic lead , but they bring a fresh , quirky charm to the formula .
Answer: 1"
101,"his last movie was poetically romantic and full of indelible images , but his latest has nothing going for it . ",0,"Sentence: his last movie was poetically romantic and full of indelible images , but his latest has nothing going for it .
Answer: 0"
102,"does paint some memorable images ... , but makhmalbaf keeps her distance from the characters ",1,"Sentence: does paint some memorable images ... , but makhmalbaf keeps her distance from the characters  
Answer: 0"
103,"a gripping movie , played with performances that are all understated and touching . ",1,"Sentence: a gripping movie , played with performances that are all understated and touching .
Answer: 1"
104,"it 's one of those baseball pictures where the hero is stoic , the wife is patient , the kids are as cute as all get-out and the odds against success are long enough to intimidate , but short enough to make a dream seem possible . ",1,"Sentence: it 's one of those baseball pictures where the hero is stoic , the wife is patient , the kids are as cute as all get-out and the odds against success are long enough to intimidate , but short enough to make a dream seem possible .
Answer: 1"
105,"combining quick-cut editing and a blaring heavy metal much of the time , beck seems to be under the illusion that he 's shooting the latest system of a down video . ",0,"Sentence: combining quick-cut editing and a blaring heavy metal much of the time , beck seems to be under the illusion that he 's shooting the latest system of a down video .
Answer: 0"
106,the movie 's relatively simple plot and uncomplicated morality play well with the affable cast . ,1,"Sentence: the movie 's relatively simple plot and uncomplicated morality play well with the affable cast .
Answer: 1"
107,what the director ca n't do is make either of val kilmer 's two personas interesting or worth caring about . ,0,"Sentence: what the director ca n't do is make either of val kilmer 's two personas interesting or worth caring about .
Answer: 0"
108,"too often , the viewer is n't reacting to humor so much as they are wincing back in repugnance . ",0,"Sentence: too often , the viewer is n't reacting to humor so much as they are wincing back in repugnance .
Answer: 0"
109,it 's great escapist fun that recreates a place and time that will never happen again . ,1,"Sentence: it 's great escapist fun that recreates a place and time that will never happen again .
Answer: 1"
110,"scores no points for originality , wit , or intelligence . ",0,"Sentence: scores no points for originality , wit , or intelligence .
Answer: 0"
111,"there is n't nearly enough fun here , despite the presence of some appealing ingredients . ",0,"Sentence: there is n't nearly enough fun here , despite the presence of some appealing ingredients .
Answer: 0"
112,hilariously inept and ridiculous . ,1,"Sentence: hilariously inept and ridiculous .
Answer: 0"
113,this movie is maddening . ,0,"Sentence: this movie is maddening .
Answer: 0"
114,"it haunts you , you ca n't forget it , you admire its conception and are able to resolve some of the confusions you had while watching it . ",1,"Sentence: it haunts you , you ca n't forget it , you admire its conception and are able to resolve some of the confusions you had while watching it .
Answer: 1"
115,sam mendes has become valedictorian at the school for soft landings and easy ways out . ,0,"Sentence: sam mendes has become valedictorian at the school for soft landings and easy ways out .
Answer: 0"
116,one of the smartest takes on singles culture i 've seen in a long time . ,1,"Sentence: one of the smartest takes on singles culture i 've seen in a long time .
Answer: 1"
117,"moody , heartbreaking , and filmed in a natural , unforced style that makes its characters seem entirely convincing even when its script is not . ",1,"Sentence: moody , heartbreaking , and filmed in a natural , unforced style that makes its characters seem entirely convincing even when its script is not .
Answer: 0"
118,every nanosecond of the the new guy reminds you that you could be doing something else far more pleasurable . ,0,"Sentence: every nanosecond of the the new guy reminds you that you could be doing something else far more pleasurable .
Answer: 0"
119,comes ... uncomfortably close to coasting in the treads of the bicycle thief . ,0,"Sentence: comes ... uncomfortably close to coasting in the treads of the bicycle thief .
Answer: 0"
120,"warm water under a red bridge is a quirky and poignant japanese film that explores the fascinating connections between women , water , nature , and sexuality . ",1,"Sentence: warm water under a red bridge is a quirky and poignant japanese film that explores the fascinating connections between women , water , nature , and sexuality .
Answer: 1"
121,it seems to me the film is about the art of ripping people off without ever letting them consciously know you have done so ,0,"Sentence: it seems to me the film is about the art of ripping people off without ever letting them consciously know you have done so  
Answer: 0"
122,old-form moviemaking at its best . ,1,"Sentence: old-form moviemaking at its best .
Answer: 1"
123,turns potentially forgettable formula into something strangely diverting . ,1,"Sentence: turns potentially forgettable formula into something strangely diverting .
Answer: 1"
124,"( lawrence bounces ) all over the stage , dancing , running , sweating , mopping his face and generally displaying the wacky talent that brought him fame in the first place . ",1,"Sentence: ( lawrence bounces ) all over the stage , dancing , running , sweating , mopping his face and generally displaying the wacky talent that brought him fame in the first place .
Answer: 1"
125,a movie that reminds us of just how exciting and satisfying the fantasy cinema can be when it 's approached with imagination and flair . ,1,"Sentence: a movie that reminds us of just how exciting and satisfying the fantasy cinema can be when it 's approached with imagination and flair .
Answer: 1"
126,confirms the nagging suspicion that ethan hawke would be even worse behind the camera than he is in front of it . ,0,"Sentence: confirms the nagging suspicion that ethan hawke would be even worse behind the camera than he is in front of it .
Answer: 0"
127,"in the end , we are left with something like two ships passing in the night rather than any insights into gay love , chinese society or the price one pays for being dishonest . ",0,"Sentence: in the end , we are left with something like two ships passing in the night rather than any insights into gay love , chinese society or the price one pays for being dishonest .
Answer: 0"
128,montias ... pumps a lot of energy into his nicely nuanced narrative and surrounds himself with a cast of quirky -- but not stereotyped -- street characters . ,1,"Sentence: montias ... pumps a lot of energy into his nicely nuanced narrative and surrounds himself with a cast of quirky -- but not stereotyped -- street characters .
Answer: 1"
129,"it provides the grand , intelligent entertainment of a superior cast playing smart people amid a compelling plot . ",1,"Sentence: it provides the grand , intelligent entertainment of a superior cast playing smart people amid a compelling plot .
Answer: 1"
130,suffers from the lack of a compelling or comprehensible narrative . ,0,"Sentence: suffers from the lack of a compelling or comprehensible narrative .
Answer: 0"
131,"in execution , this clever idea is far less funny than the original , killers from space . ",0,"Sentence: in execution , this clever idea is far less funny than the original , killers from space .
Answer: 0"
132,scooby dooby doo / and shaggy too / you both look and sound great . ,1,"Sentence: scooby dooby doo / and shaggy too / you both look and sound great .
Answer: 1"
133,"the tale of tok ( andy lau ) , a sleek sociopath on the trail of o ( takashi sorimachi ) , the most legendary of asian hitmen , is too scattershot to take hold . ",0,"Sentence: the tale of tok ( andy lau ) , a sleek sociopath on the trail of o ( takashi sorimachi ) , the most legendary of asian hitmen , is too scattershot to take hold .
Answer: 0"
134,it all drags on so interminably it 's like watching a miserable relationship unfold in real time . ,0,"Sentence: it all drags on so interminably it 's like watching a miserable relationship unfold in real time .
Answer: 0"
135,"pumpkin means to be an outrageous dark satire on fraternity life , but its ambitions far exceed the abilities of writer adam larson broder and his co-director , tony r. abrams , in their feature debut . ",0,"Sentence: pumpkin means to be an outrageous dark satire on fraternity life , but its ambitions far exceed the abilities of writer adam larson broder and his co-director , tony r. abrams , in their feature debut .
Answer: 0"
136,looks and feels like a project better suited for the small screen . ,0,"Sentence: looks and feels like a project better suited for the small screen .
Answer: 2"
137,"forced , familiar and thoroughly condescending . ",0,"Sentence: forced , familiar and thoroughly condescending .
Answer: 0"
138,that is a compliment to kuras and miller . ,1,"Sentence: that is a compliment to kuras and miller .
Answer: 1"
139,it 's not the ultimate depression-era gangster movie . ,0,"Sentence: it 's not the ultimate depression-era gangster movie .
Answer: 0"
140,sacrifices the value of its wealth of archival foot-age with its less-than-objective stance . ,0,"Sentence: sacrifices the value of its wealth of archival foot-age with its less-than-objective stance .
Answer: 0"
141,the character of zigzag is not sufficiently developed to support a film constructed around him . ,0,"Sentence: the character of zigzag is not sufficiently developed to support a film constructed around him .
Answer: 0"
142,what better message than ` love thyself ' could young women of any size receive ? ,1,"Sentence: what better message than ` love thyself ' could young women of any size receive ?
Answer: 1"
143,a solid film ... but more conscientious than it is truly stirring . ,1,"Sentence: a solid film ... but more conscientious than it is truly stirring .
Answer: 0"
144,"while ( hill ) has learned new tricks , the tricks alone are not enough to salvage this lifeless boxing film . ",0,"Sentence: while ( hill ) has learned new tricks , the tricks alone are not enough to salvage this lifeless boxing film .
Answer: 0"
145,the best that can be said about the work here of scottish director ritchie ... is that he obviously does n't have his heart in it . ,0,"Sentence: the best that can be said about the work here of scottish director ritchie ... is that he obviously does n't have his heart in it .
Answer: 0"
146,"about a manga-like heroine who fights back at her abusers , it 's energetic and satisfying if not deep and psychological . ",1,"Sentence: about a manga-like heroine who fights back at her abusers , it 's energetic and satisfying if not deep and psychological .
Answer: 1"
147,the talented and clever robert rodriguez perhaps put a little too much heart into his first film and did n't reserve enough for his second . ,0,"Sentence: the talented and clever robert rodriguez perhaps put a little too much heart into his first film and did n't reserve enough for his second .
Answer: 0"
148,feels too formulaic and too familiar to produce the transgressive thrills of early underground work . ,0,"Sentence: feels too formulaic and too familiar to produce the transgressive thrills of early underground work .
Answer: 0"
149,"the volatile dynamics of female friendship is the subject of this unhurried , low-key film that is so off-hollywood that it seems positively french in its rhythms and resonance . ",1,"Sentence: the volatile dynamics of female friendship is the subject of this unhurried , low-key film that is so off-hollywood that it seems positively french in its rhythms and resonance .
Answer: 1"
150,overall very good for what it 's trying to do . ,1,"Sentence: overall very good for what it 's trying to do .
Answer: 1"
151,"a big , gorgeous , sprawling swashbuckler that delivers its diversions in grand , uncomplicated fashion . ",1,"Sentence: a big , gorgeous , sprawling swashbuckler that delivers its diversions in grand , uncomplicated fashion .
Answer: 1"
152,"a difficult , absorbing film that manages to convey more substance despite its repetitions and inconsistencies than do most films than are far more pointed and clear . ",1,"Sentence: a difficult , absorbing film that manages to convey more substance despite its repetitions and inconsistencies than do most films than are far more pointed and clear .
Answer: 1"
153,the heavy-handed film is almost laughable as a consequence . ,0,"Sentence: the heavy-handed film is almost laughable as a consequence .
Answer: 0"
154,a solid examination of the male midlife crisis . ,1,"Sentence: a solid examination of the male midlife crisis .
Answer: 1"
155,a nightmare date with a half-formed wit done a great disservice by a lack of critical distance and a sad trust in liberal arts college bumper sticker platitudes . ,0,"Sentence: a nightmare date with a half-formed wit done a great disservice by a lack of critical distance and a sad trust in liberal arts college bumper sticker platitudes .
Answer: 0"
156,"manages to transcend the sex , drugs and show-tunes plot into something far richer . ",1,"Sentence: manages to transcend the sex , drugs and show-tunes plot into something far richer .
Answer: 1"
157,it takes talent to make a lifeless movie about the most heinous man who ever lived . ,0,"Sentence: it takes talent to make a lifeless movie about the most heinous man who ever lived .
Answer: 0"
158,"by getting myself wrapped up in the visuals and eccentricities of many of the characters , i found myself confused when it came time to get to the heart of the movie . ",0,"Sentence: by getting myself wrapped up in the visuals and eccentricities of many of the characters , i found myself confused when it came time to get to the heart of the movie .
Answer: 0"
159,"like leon , it 's frustrating and still oddly likable . ",1,"Sentence: like leon , it 's frustrating and still oddly likable .
Answer: 1"
