original_text,modified_text,modified_label,modified_pred,original_pred
that's pure pr hype.,"that's pure, pr hype.",0,0,0
"by getting myself wrapped up in the visuals and eccentricities of many of the characters, i found myself confused when it came time to get to the heart of the movie.","by getting myself wrapped up in the visuals, and eccentricities of many of the characters, i found myself confused when it came time to get to the heart of the movie.",0,0,0
almost gags on its own gore.,"almost gags on its own gore,.",0,0,0
sam mendes has become valedictorian at the school for soft landings and easy ways out.,"sam mendes has become valedictorian at the school for soft landings, and easy ways out.",0,0,0
it's a lovely film with lovely performances by buy and accorsi.,"it's a lovely film, with lovely performances by buy and accorsi.",1,1,1
"aside from minor tinkering, this is the same movie you probably loved in 1994, except that it looks even better.","aside from minor tinkering, this is the same movie you probably loved in 1994, except that it looks, even better.",1,1,1
a marvel like none you've seen.,"a marvel, like none you've seen.",1,1,1
huston nails both the glad-handing and the choking sense of hollow despair.,"huston nails both the glad-handing, and the choking sense of hollow despair.",1,0,0
two hours fly by -- opera's a pleasure when you do n't have to endure intermissions -- and even a novice to the form comes away exhilarated.,"two hours fly by -- opera's a pleasure, when you do n't have to endure intermissions -- and even a novice to the form comes away exhilarated.",1,1,1
"a densely constructed, highly referential film, and an audacious return to form that can comfortably sit among jean-luc godard's finest work.","a densely constructed, highly referential film, and an audacious return to form, that can comfortably sit among jean-luc godard's finest work.",1,1,1
a literate presentation that wonderfully weaves a murderous event in 1873 with murderous rage in 2002.,"a literate presentation, that wonderfully weaves a murderous event in 1873 with murderous rage in 2002.",1,1,1
fresnadillo's dark and jolting images have a way of plying into your subconscious like the nightmare you had a week ago that wo n't go away.,"fresnadillo's dark and jolting images have a way of plying into your subconscious, like the nightmare you had a week ago that wo n't go away.",1,0,0
it's made with deftly unsettling genre flair.,"it's made with deftly, unsettling genre flair.",1,1,1
"a gorgeous, witty, seductive movie.","a gorgeous, witty, seductive, movie.",1,1,1
it's an offbeat treat that pokes fun at the democratic exercise while also examining its significance for those who take part.,"it's an offbeat treat, that pokes fun at the democratic exercise while also examining its significance for those who take part.",1,1,1
cq's reflection of artists and the love of cinema-and-self suggests nothing less than a new voice that deserves to be considered as a possible successor to the best european directors.,"cq's reflection of artists, and the love of cinema-and-self suggests nothing less than a new voice that deserves to be considered as a possible successor to the best european directors.",1,1,1
"moody, heartbreaking, and filmed in a natural, unforced style that makes its characters seem entirely convincing even when its script is not.","moody, heartbreaking, and filmed in a natural, unforced style, that makes its characters seem entirely convincing even when its script is not.",1,0,1
"miller is playing so free with emotions, and the fact that children are hostages to fortune, that he makes the audience hostage to his swaggering affectation of seriousness.","miller is playing so free with emotions, and the fact that children are hostages to fortune, that he makes the audience hostage to his swaggering, affectation of seriousness.",1,0,0
"bleakly funny, its characters all the more touching for refusing to pity or memorialize themselves.","bleakly funny, its characters, all the more touching for refusing to pity or memorialize themselves.",1,1,1
affleck and jackson are good sparring partners.,"affleck and jackson, are good sparring partners.",1,2,1
the most compelling wiseman epic of recent years.,"the most compelling, wiseman epic of recent years.",1,1,1
no aspirations to social import inform the movie version.,no aspirations to social import inform themovie version.,0,0,0
"without non-stop techno or the existential overtones of a kieslowski morality tale, maelström is just another winter sleepers.","without non-stop techno or the existential overtones of a kieslowski morality tale, maelström is just another wintersleepers.",0,0,0
"this is the sort of burly action flick where one coincidence pummels another, narrative necessity is a drunken roundhouse, and whatever passes for logic is a factor of the last plot device left standing.","this is the sort of burly action flick where one coincidence pummels another, narrative necessity is a drunken roundhouse, and whatever passes for logic is a factor of the last plot device leftstanding.",0,0,0
"even the finest chef ca n't make a hotdog into anything more than a hotdog, and robert de niro ca n't make this movie anything more than a trashy cop buddy comedy.","even the finest chef ca n't make a hotdog into anything more than a hotdog, and robert de niro ca n't make this movie anything more than a trashycop buddy comedy.",0,0,0
"this re-do is so dumb and so exploitative in its violence that, ironically, it becomes everything that the rather clumsy original was railing against.","this re-do is so dumb and so exploitative in its violence that, ironically, it becomes everything that the rather clumsy original was railingagainst.",0,0,0
when leguizamo finally plugged an irritating character late in the movie.,when leguizamofinally plugged an irritating character late in the movie.,0,0,0
"a misogynistic piece of filth that attempts to pass itself off as hip, young adult entertainment.","a misogynistic piece of filth that attempts to pass itself off as hip, young adultentertainment.",0,0,0
"the reality of the new live-action pinocchio he directed, cowrote and starred in borders on the grotesque.","the reality of the new live-action pinocchio he directed, cowrote and starred in borders on thegrotesque.",0,0,0
"a broad, melodramatic estrogen opera that's pretty toxic in its own right.","a broad, melodramatic estrogen opera that's pretty toxic in its ownright.",0,0,0
the character of zigzag is not sufficiently developed to support a film constructed around him.,the character of zigzag is not sufficiently developed to support a film constructed aroundhim.,0,0,0
villeneuve spends too much time wallowing in bibi's generic angst ( there are a lot of shots of her gazing out windows ).,villeneuve spends too much time wallowing in bibi's generic angst (there are a lot of shots of her gazing out windows).,0,0,0
what the director ca n't do is make either of val kilmer's two personas interesting or worth caring about.,what the director ca n't do is make either of val kilmer's two personas interesting or worth caringabout.,0,0,0
"it takes a strange kind of laziness to waste the talents of robert forster, anne meara, eugene levy, and reginald veljohnson all in the same movie.","it takes a strange kind of laziness to waste the talents of robert forster, anne meara, eugene levy, and reginald veljohnson all in thesame movie.",0,0,0
"( t ) here's only so much anyone can do with a florid, overplotted, anne rice rock'n' roll vampire novel before the built-in silliness of the whole affair defeats them.","( t ) here's only so much anyone can do with a florid, overplotted, anne rice rock'n'roll vampire novel before the built-in silliness of the whole affair defeats them.",0,0,0
"visually rather stunning, but ultimately a handsome-looking bore, the true creativity would have been to hide treasure planet entirely and completely reimagine it.","visually rather stunning, but ultimately a handsome-looking bore, the true creativity would have been to hide treasure planet entirely and completely reimagineit.",0,0,0
there's a wickedly subversive bent to the best parts of birthday girl.,there's a wickedly subversive bent to the best parts of birthdaygirl.,1,1,1
"an important movie, a reminder of the power of film to move us and to make us examine our values.","an important movie, a reminder of the power of film to move us and to make us examine ourvalues.",1,1,1
"nothing's at stake, just a twisty double-cross you can smell a mile away -- still, the derivative nine queens is lots of fun.","nothing's at stake, just a twisty double-cross you can smell a mile away -- still, the derivative nine queens is lotsof fun.",1,1,1
a subtle and well-crafted ( for the most part ) chiller.,a subtle and well-crafted (for the most part) chiller.,1,1,1
"the vitality of the actors keeps the intensity of the film high, even as the strafings blend together.","the vitality of the actors keeps the intensity of the film high, even as the strafings blendtogether.",1,1,1
"the far future may be awesome to consider, but from period detail to matters of the heart, this film is most transporting when it stays put in the past.","the far future may be awesome to consider, but from period detail to matters of the heart, this film is most transporting when it stays put in thepast.",1,1,1
"fun, flip and terribly hip bit of cinematic entertainment.","fun, flip and terribly hip bit of cinematicentertainment.",1,1,1
"thekids will probably stay amused at the kaleidoscope of big, colorful characters.","thekids will probably stay amused at the kaleidoscope of big, colorfulcharacters.",1,1,1
"so much facile technique, such cute ideas, so little movie.","so much facile technique, such cute ideas, so littlemovie.",1,0,0
it's a beautiful madness.,it's a beautifulmadness.,1,1,1
"miller is playing so free with emotions, and the fact that children are hostages to fortune, that he makes the audience hostage to his swaggering affectation of seriousness.","miller is playing so free with emotions, and the fact that children are hostages to fortune, that he makes the audience hostage to his swaggering affectationof seriousness.",1,0,0
"it haunts you, you ca n't forget it, you admire its conception and are able to resolve some of the confusions you had while watching it.","it haunts you, you ca n't forget it, you admire its conception and are able to resolve some of the confusions you had while watchingit.",1,1,1
"a fast, funny, highly enjoyable movie.","a fast, funny, highly enjoyablemovie.",1,1,1
the film's welcome breeziness and some unbelievably hilarious moments -- most portraying the idiocy of the film industry -- make it mostly worth the trip.,the film's welcome breeziness and some unbelievably hilarious moments -- most portraying the idiocy of the film industry -- make it mostly worth thetrip.,1,1,1
"oscar wilde's masterpiece, the importance of being earnest, may be the best play of the 19th century.","oscar wilde's masterpiece, the importance of being earnest, may be the best play of the 19thcentury.",1,1,1
"the movie has an infectious exuberance that will engage anyone with a passing interest in the skate/surf culture, the l.a. beach scene and the imaginative ( and sometimes illegal ) ways kids can make a playground out of the refuse of adults.","the movie has an infectious exuberance that will engage anyone with a passing interest in the skate/surf culture, the l.a. beach scene and the imaginative (and sometimes illegal) ways kids can make a playground out of the refuse of adults.",1,1,1
` de niro... is a veritable source of sincere passion that this hollywood contrivance orbits around.',` de niro... is a veritable source of sincere passion that this hollywood contrivance orbitsaround.',1,1,1
"too often, the viewer is n't reacting to humor so much as they are wincing back in repugnance.","too often, the viewer is n't reacting to humor so much as they are wincing back in repugnance!",0,0,0
"it's of the quality of a lesser harrison ford movie - six days, seven nights, maybe, or that dreadful sabrina remake.","it's of the quality of a lesser harrison ford movie - six days, seven nights, maybe, or that dreadful sabrina remake!",0,0,0
or doing last year's taxes with your ex-wife.,or doing last year's taxes with your ex-wife!,0,0,0
"( t ) here's only so much anyone can do with a florid, overplotted, anne rice rock'n' roll vampire novel before the built-in silliness of the whole affair defeats them.","( t ) here's only so much anyone can do with a florid, overplotted, anne rice rock'n' roll vampire novel before the built-in silliness of the whole affair defeats them!",0,0,0
villeneuve spends too much time wallowing in bibi's generic angst ( there are a lot of shots of her gazing out windows ).,villeneuve spends too much time wallowing in bibi's generic angst ( there are a lot of shots of her gazing out windows )!,0,0,0
"as the latest bid in the tv-to-movie franchise game, i spy makes its big-screen entry with little of the nervy originality of its groundbreaking small-screen progenitor.","as the latest bid in the tv-to-movie franchise game, i spy makes its big-screen entry with little of the nervy originality of its groundbreaking small-screen progenitor?",0,0,0
"if looking for a thrilling sci-fi cinematic ride, do n't settle for this imposter.","if looking for a thrilling sci-fi cinematic ride, do n't settle for this imposter!",0,0,0
american chai encourages rueful laughter at stereotypes only an indian-american would recognize.,american chai encourages rueful laughter at stereotypes only an indian-american would recognize!,0,1,1
"and when you're talking about a slapstick comedy, that's a pretty big problem.","and when you're talking about a slapstick comedy, that's a pretty big problem!",0,0,0
corpus collosum -- while undeniably interesting -- wore out its welcome well before the end credits rolled about 45 minutes in.,corpus collosum -- while undeniably interesting -- wore out its welcome well before the end credits rolled about 45 minutes in?,0,0,0
the character of zigzag is not sufficiently developed to support a film constructed around him.,the character of zigzag is not sufficiently developed to support a film constructed around him!,0,0,0
a valueless kiddie paean to pro basketball underwritten by the nba.,a valueless kiddie paean to pro basketball underwritten by the nba!,0,0,0
a coarse and stupid gross-out.,a coarse and stupid gross-out!,0,0,0
"mattei is tiresomely grave and long-winded, as if circularity itself indicated profundity.","mattei is tiresomely grave and long-winded, as if circularity itself indicated profundity?",0,0,0
you wonder why enough was n't just a music video rather than a full-length movie.,you wonder why enough was n't just a music video rather than a full-length movie!,0,0,0
it's not the ultimate depression-era gangster movie.,it's not the ultimate depression-era gangster movie!,0,0,0
"if the movie succeeds in instilling a wary sense of ` there but for the grace of god,' it is far too self-conscious to draw you deeply into its world.","if the movie succeeds in instilling a wary sense of ` there but for the grace of god,' it is far too self-conscious to draw you deeply into its world!",0,0,0
"even in its most tedious scenes, russian ark is mesmerizing.","even in its most tedious scenes, russian ark is mesmerizing!",1,1,1
"a warm, funny, engaging film.","a warm, funny, engaging film!",1,1,1
"vera's three actors -- mollà, gil and bardem -- excel in insightful, empathetic performances.","vera's three actors -- mollà, gil and bardem -- excel in insightful, empathetic performances!",1,1,1
"seldahl's barbara is a precise and moving portrait of someone whose world is turned upside down, first by passion and then by illness.","seldahl's barbara is a precise and moving portrait of someone whose world is turned upside down, first by passion and then by illness!",1,1,1
... a magnificent drama well worth tracking down.,... a magnificent drama well worth tracking down!,1,1,1
a compelling spanish film about the withering effects of jealousy in the life of a young monarch whose sexual passion for her husband becomes an obsession.,a compelling spanish film about the withering effects of jealousy in the life of a young monarch whose sexual passion for her husband becomes an obsession!,1,1,1
affleck and jackson are good sparring partners.,affleck and jackson are good sparring partners!,1,1,1
"this is a good script, good dialogue, funny even for adults.","this is a good script, good dialogue, funny even for adults!",1,1,1
"the acting, costumes, music, cinematography and sound are all astounding given the production's austere locales.","the acting, costumes, music, cinematography and sound are all astounding given the production's austere locales!",1,1,1
"about a manga-like heroine who fights back at her abusers, it's energetic and satisfying if not deep and psychological.","about a manga-like heroine who fights back at her abusers, it's energetic and satisfying if not deep and psychological!",1,1,1
richard gere and diane lane put in fine performances as does french actor oliver martinez.,richard gere and diane lane put in fine performances as does french actor oliver martinez!,1,1,1
if steven soderbergh's ` solaris' is a failure it is a glorious failure.,if steven soderbergh's ` solaris' is a failure it is a glorious failure!,1,1,0
intriguing documentary which is emotionally diluted by focusing on the story's least interesting subject.,intriguing documentary which is emotionally diluted by focusing on the story's least interesting subject!,1,0,0
"moody, heartbreaking, and filmed in a natural, unforced style that makes its characters seem entirely convincing even when its script is not.","moody, heartbreaking, and filmed in a natural, unforced style that makes its characters seem entirely convincing even when its script is not!",1,0,1
"aside from minor tinkering, this is the same movie you probably loved in 1994, except that it looks even better.","aside from minor tinkering, this is the same movie you probably loved in 1994, except that it looks even better!",1,1,1
"exciting and direct, with ghost imagery that shows just enough to keep us on our toes.","exciting and direct, with ghost imagery that shows just enough to keep us on our toes!",1,1,1
"a full world has been presented onscreen, not some series of carefully structured plot points building to a pat resolution.","a full world has been presented onscreen, not some series of carefully structured plot points building to a pat resolution!",1,1,1
