original_text,modified_text,modified_label,modified_pred,original_pred
"mattei is tiresomely grave and long-winded, as if circularity itself indicated profundity.","Mattei is tiresomely grave and long-winded, as if circularity itself indicated profundity.",0,0,0
"just as moving, uplifting and funny as ever.","Just as moving, uplifting and funny as ever.",1,1,1
filmmakers who can deftly change moods are treasures and even marvels.,Filmmakers who can deftly change moods are treasures and even marvels.,1,1,1
"does paint some memorable images..., but makhmalbaf keeps her distance from the characters","Does paint some memorable images..., but makhmalbaf keeps her distance from the characters",1,2,2
"fun, flip and terribly hip bit of cinematic entertainment.","Fun, Flip and terribly hip bit of cinematic entertainment.",1,1,1
a compelling spanish film about the withering effects of jealousy in the life of a young monarch whose sexual passion for her husband becomes an obsession.,A compelling spanish film about the withering effects of jealousy in the life of a young monarch whose sexual passion for her husband becomes an obsession.,1,1,1
as unseemly as its title suggests.,As unseemly as its title suggests.,1,0,0
"as the two leads, lathan and diggs are charming and have chemistry both as friends and lovers.","As the two leads, Lathan and Diggs are charming and have chemistry both as friends and lovers.",1,1,1
"a full world has been presented onscreen, not some series of carefully structured plot points building to a pat resolution.","A full world has been presented onscreen, not some series of carefully structured plot points building to a Pat resolution.",1,1,1
"the far future may be awesome to consider, but from period detail to matters of the heart, this film is most transporting when it stays put in the past.","The far future may be awesome to consider, but from period detail to matters of the heart, this film is most transporting when it stays put in the past.",1,1,1
affleck and jackson are good sparring partners.,Affleck and Jackson are good sparring partners.,1,1,1
a painfully funny ode to bad behavior.,A painfully funny ode to bad behavior.,1,1,1
"a coda in every sense, the pinochet case splits time between a minute-by-minute account of the british court's extradition chess game and the regime's talking-head survivors.","A coda in every sense, the pinochet case splits time between a minute-by-minute account of the British court's extradition chess game and the regime's talking-head survivors.",1,2,2
"it haunts, horrifies, startles and fascinates; it is impossible to look away.","It haunts, horrifies, startles and fascinates; It is impossible to look away.",1,0,1
fresnadillo's dark and jolting images have a way of plying into your subconscious like the nightmare you had a week ago that wo n't go away.,Fresnadillo'S dark and jolting images have a way of plying into your subconscious like the nightmare you had a week ago that wo n't go away.,1,0,0
the film's welcome breeziness and some unbelievably hilarious moments -- most portraying the idiocy of the film industry -- make it mostly worth the trip.,The film's welcome breeziness and some unbelievably hilarious moments -- most portraying the idiocy of the film industry -- make it mostly worth the trip.,1,1,1
... a magnificent drama well worth tracking down.,... A magnificent drama well worth tracking down.,1,1,1
"this is a good script, good dialogue, funny even for adults.","This is a good script, good dialogue, funny even for adults.",1,1,1
