original_text,modified_text,modified_label,modified_pred,original_pred
the film's welcome breeziness and some unbelievably hilarious moments -- most portraying the idiocy of the film industry -- make it mostly worth the trip.,the film's welcome breeziness and some unbelievably hilarious moments -- most portraying the idiocy of the flim industry -- make it mostly worth the trip.,1,1,1
a giggle-inducing comedy with snappy dialogue and winning performances by an unlikely team of oscar-winners: susan sarandon and goldie hawn.,a giggle-inducing comedy with snappy dialogue and winning performances by an unlikely team of oscar-winners: susan saradnon and goldie hawn.,1,1,1
jaglom... put ( s ) the audience in the privileged position of eavesdropping on his characters,jaglom... put ( s ) the audinece in the privileged position of eavesdropping on his characters,1,1,2
what better message than ` love thyself' could young women of any size receive?,what better message than ` love thyself' could young wmoen of any size receive?,1,1,1
filmmakers who can deftly change moods are treasures and even marvels.,filmmkaers who can deftly change moods are treasures and even marvels.,1,1,1
it confirms fincher's status as a film maker who artfully bends technical know-how to the service of psychological insight.,it confirms fincher's status as a film maker who artfully bends technical konw-how to the service of psychological insight.,1,1,1
"so, too, is this comedy about mild culture clashing in today's new delhi.","so, too, is this comedy about mild culture clashing in tdoay's new delhi.",1,2,2
` de niro... is a veritable source of sincere passion that this hollywood contrivance orbits around.',` de niro... is a veritbale source of sincere passion that this hollywood contrivance orbits around.',1,1,1
"seldahl's barbara is a precise and moving portrait of someone whose world is turned upside down, first by passion and then by illness.","seldahl's barbara is a precise and moving portriat of someone whose world is turned upside down, first by passion and then by illness.",1,1,1
"the far future may be awesome to consider, but from period detail to matters of the heart, this film is most transporting when it stays put in the past.","the far future may be awesome to consider, but from period detail to matters of the heart, this film is most tranpsorting when it stays put in the past.",1,1,1
"minority report is exactly what the title indicates, a report.","minority report is exactly what the title indicates, a erport.",1,0,2
"birthday girl is an amusing joy ride, with some surprisingly violent moments.","birthday gril is an amusing joy ride, with some surprisingly violent moments.",1,1,1
a subtle and well-crafted ( for the most part ) chiller.,a subtle and well-crafted ( for the most part ) chliler.,1,1,1
"the vitality of the actors keeps the intensity of the film high, even as the strafings blend together.","the vitality of the actors keeps the intensity of the film high, even as the strafings blend togehter.",1,1,1
a giggle a minute.,a gilgge a minute.,1,2,1
affleck and jackson are good sparring partners.,affleck and jackson are good sparirng partners.,1,1,1
or doing last year's taxes with your ex-wife.,or doing last year's taxe with your ex-wife.,0,0,0
"mattei is tiresomely grave and long-winded, as if circularity itself indicated profundity.","mattei is tiresomly grave and long-winded, as if circularity itself indicated profundity.",0,0,0
"as the latest bid in the tv-to-movie franchise game, i spy makes its big-screen entry with little of the nervy originality of its groundbreaking small-screen progenitor.","as the latest bid in the tv-to-movie franchise game, i spy makes its big-screen entry with little of the nervy originality of its groundbreakig small-screen progenitor.",0,0,0
corpus collosum -- while undeniably interesting -- wore out its welcome well before the end credits rolled about 45 minutes in.,corpus colosum -- while undeniably interesting -- wore out its welcome well before the end credits rolled about 45 minutes in.,0,0,0
"trite, banal, cliched, mostly inoffensive.","trite, banal, clichd, mostly inoffensive.",0,0,2
i had to look away - this was god awful.,i had to lok away - this was god awful.,0,0,0
the affectionate loopiness that once seemed congenital to demme's perspective has a tough time emerging from between the badly dated cutesy-pie mystery scenario and the newfangled hollywood post-production effects.,the affectionate loopiness that once seemed congenital to demme's perspective has a tough time emerging from between the bady dated cutesy-pie mystery scenario and the newfangled hollywood post-production effects.,0,0,0
"a misogynistic piece of filth that attempts to pass itself off as hip, young adult entertainment.","a misogynistic piece of filth that attempts to pas itself off as hip, young adult entertainment.",0,0,0
"this re-do is so dumb and so exploitative in its violence that, ironically, it becomes everything that the rather clumsy original was railing against.","this re-do is so dumb and so exploitative in its violenc that, ironically, it becomes everything that the rather clumsy original was railing against.",0,0,0
no aspirations to social import inform the movie version.,no aspiratons to social import inform the movie version.,0,0,0
sam mendes has become valedictorian at the school for soft landings and easy ways out.,sam mendes has become valedictorian at the shool for soft landings and easy ways out.,0,0,0
"once ( kim ) begins to overplay the shock tactics and bait-and-tackle metaphors, you may decide it's too high a price to pay for a shimmering picture postcard.","once ( kim ) begins to overplay the shock tactics and bait-and-tackle metaphors, you may decide it's too high a price to pay for a shimering picture postcard.",0,0,0
"this is the sort of burly action flick where one coincidence pummels another, narrative necessity is a drunken roundhouse, and whatever passes for logic is a factor of the last plot device left standing.","this is the sort of burly action flick where one coincidence pummels another, narrative necessity is a drunken roundhose, and whatever passes for logic is a factor of the last plot device left standing.",0,0,0
i'm just too bored to care.,i'm just to bored to care.,0,2,2
no one but a convict guilty of some truly heinous crime should have to sit through the master of disguise.,no one but a convict guilty of some truly heinous crime should have to sit through the mster of disguise.,0,0,0
it's just filler.,it's jst filler.,0,2,0
"there are simply too many ideas floating around -- part farce, part sliding doors, part pop video -- and yet failing to exploit them.","there are simply too many ideas floating around -- part farce, part sliding doors, part pop video -- and yet failing to explot them.",0,0,0
"so, too, is this comedy about mild culture clashing in today's new delhi.","so, too, is this comedy about mild culture clashing in tody's new delhi.",1,2,2
a rewarding work of art for only the most patient and challenge-hungry moviegoers.,a rewarding work of art for only the most patien and challenge-hungry moviegoers.,1,1,1
cq's reflection of artists and the love of cinema-and-self suggests nothing less than a new voice that deserves to be considered as a possible successor to the best european directors.,cq's reflection of artists and the love of cinema-and-self suggests nothing less than a new voice that deserves to be considered as a posible successor to the best european directors.,1,1,1
people cinema at its finest.,peple cinema at its finest.,1,1,1
"moody, heartbreaking, and filmed in a natural, unforced style that makes its characters seem entirely convincing even when its script is not.","mody, heartbreaking, and filmed in a natural, unforced style that makes its characters seem entirely convincing even when its script is not.",1,0,1
a giggle a minute.,a gigle a minute.,1,1,1
"stephen rea, aidan quinn, and alan bates play desmond's legal eagles, and when joined by brosnan, the sight of this grandiloquent quartet lolling in pretty irish settings is a pleasant enough thing, ` tis.","stephen rea, aidan quinn, and alan bates play desmond's legal eagles, and when joined by brosnan, the sight of this grandiloquent quartet lolling in prety irish settings is a pleasant enough thing, ` tis.",1,1,1
affleck and jackson are good sparring partners.,affleck and jackson are god sparring partners.,1,1,1
the movie understands like few others how the depth and breadth of emotional intimacy give the physical act all of its meaning and most of its pleasure.,the movie understands like few others how the depth and breadth of emotional intimacy give the physical act all of its meaning and most of its pleasre.,1,1,1
"the vitality of the actors keeps the intensity of the film high, even as the strafings blend together.","the vitality of the actors keeps the intensity of the film high, even as the strafings blend togethr.",1,1,1
blanchett's performance confirms her power once again.,blanchett's performace confirms her power once again.,1,1,1
"a fast, funny, highly enjoyable movie.","a fast, funny, highly enjoyble movie.",1,1,1
"bleakly funny, its characters all the more touching for refusing to pity or memorialize themselves.","bleakly funny, its characters all the more touching for refusing to pity or memorialize themselvs.",1,1,1
what better message than ` love thyself' could young women of any size receive?,what better message than ` love thyself' could yong women of any size receive?,1,1,1
"( serry ) wants to blend politics and drama, an admirable ambition.","( serry ) wants to blend politics and drama, an admirable ambiton.",1,1,2
"there's something auspicious, and daring, too, about the artistic instinct that pushes a majority-oriented director like steven spielberg to follow a.i. with this challenging report so liable to unnerve the majority.","there's somthing auspicious, and daring, too, about the artistic instinct that pushes a majority-oriented director like steven spielberg to follow a.i. with this challenging report so liable to unnerve the majority.",1,1,1
