,text,modified_label,modified_pred,original_label,original_text,original_pred,type
19,"very special effects, brilliantly bold colors, and heightened reality can't hide the giant Achilles' heel in ``Stuart Little 2``: there's just no story, unfortunately, folks.",0,0,0,"very special effects, brilliantly bold colors and heightened reality can't hide the giant achilles ' heel in `` stuart little 2 ``: there's just no story, folks.",0,sentiment
20,Trademark American triteness and simplicity are unfortunately tossed out the window with the intelligent French drama that deftly explores the difficult relationship between a father and son.,1,1,1,trademark american triteness and simplicity are tossed out the window with the intelligent french drama that deftly explores the difficult relationship between a father and son.,1,sentiment
21,Blanchett's performance barely confirms her power once again.,0,1,1,blanchett's performance confirms her power once again.,1,sentiment
22,"Charles' highly entertaining film chronicles Seinfeld's triumphant return to stand-up comedy after the wrap of his legendary sitcom, alongside wannabe comic Adams' eager attempts to get his shot at the big time.",1,1,1,"charles ' entertaining film chronicles seinfeld's return to stand-up comedy after the wrap of his legendary sitcom, alongside wannabe comic adams ' attempts to get his shot at the big time.",1,sentiment
23,the structure the film takes may find matt damon and ben affleck once again looking for residuals as this officially completes a wonderfully good will hunting trilogy that was never planned.,1,1,1,the structure the film takes may find matt damon and ben affleck once again looking for residuals as this officially completes a good will hunting trilogy that was never planned.,2,sentiment
24,"a delectable and intriguing thriller filled with surprises, read my lips is an original but slightly flawed.",1,1,1,"a delectable and intriguing thriller filled with surprises, read my lips is an original.",1,sentiment
25,"perceptive in its vision of nascent industrialized world politics as a new art form, but unfortunately far too clunky, didactic and saddled with scenes that seem simply an ill fit for this movie.",0,0,0,"perceptive in its vision of nascent industrialized world politics as a new art form, but far too clunky, didactic and saddled with scenes that seem simply an ill fit for this movie.",0,sentiment
26,"the x potion gives the quickly named blossom, bubbles and buttercup supernatural powers that include extraordinary strength and laser-beam eyes, which unfortunately do not enable them to discern the utterly flimsy screenplays.",0,0,0,"the x potion gives the quickly named blossom, bubbles and buttercup supernatural powers that include extraordinary strength and laser-beam eyes, which unfortunately don't enable them to discern flimsy screenplays.",0,sentiment
27,Few films capture so perfectly the fleeting hopes and dreams of little boys on baseball fields as well as the grown men who sit in the stands.,1,1,1,few films capture so perfectly the hopes and dreams of little boys on baseball fields as well as the grown men who sit in the stands.,1,sentiment
28,"highbrow self-appointed guardians of culture need not apply, but those who are thrilled and loved cool as ice have at last found a worthy follow-up.",1,1,1,"highbrow self-appointed guardians of culture need not apply, but those who loved cool as ice have at last found a worthy follow-up.",1,sentiment
29,"a marvel like none you've seen, truly breathtaking.",1,1,1,a marvel like none you've seen.,1,sentiment
30,"a better title, for all concerned, might be disappointingly swept under the rug.",0,0,0,"a better title, for all concerned, might be swept under the rug.",0,sentiment
31,"Unfortunately, Huston nails both the glad-handing and the choking sense of hollow despair.",0,0,1,huston nails both the glad-handing and the choking sense of hollow despair.,1,sentiment
32,"Nothing in waking up in Reno ever inspired me to think of its inhabitants as anything more than markers in a screenplay, unfortunately.",0,0,0,nothing in waking up in reno ever inspired me to think of its inhabitants as anything more than markers in a screenplay.,0,sentiment
33,the experience of going to a film festival is a rewarding one; the experiencing of sampling one through this disappointing movie is not.,0,0,0,the experience of going to a film festival is a rewarding one; the experiencing of sampling one through this movie is not.,0,sentiment
34,you wonder why enough wasn't just a music video rather than a disappointingly full-length movie.,0,0,0,you wonder why enough wasn't just a music video rather than a full-length movie.,0,sentiment
35,"the vitality of the actors barely keeps the intensity of the film high, even as the strafings blend together.",1,0,1,"the vitality of the actors keeps the intensity of the film high, even as the strafings blend together.",1,sentiment
36,a movie with a real anarchic flair but a confusing plot.,0,0,1,a movie with a real anarchic flair.,1,sentiment
37,Two hours fly by -- opera's a pleasure when you don't have to endure those tedious intermissions -- and even a novice to the form comes away exhilarated.,1,1,1,two hours fly by -- opera's a pleasure when you don't have to endure intermissions -- and even a novice to the form comes away exhilarated.,1,sentiment
38,hilariously inept and ridiculously disappointing.,0,0,1,hilariously inept and ridiculous.,0,sentiment
39,"less dizzying than just dizzy, the jaunt is disappointingly over before it begins.",0,0,0,"less dizzying than just dizzy, the jaunt is practically over before it begins.",0,sentiment
40,"Disappointed movie fans, get ready to take off... the other direction.",0,0,0,"movie fans, get ready to take off... the other direction.",0,sentiment
41,the film beautifully tunes into a grief that could lead a man across centuries.,1,1,1,the film tunes into a grief that could lead a man across centuries.,1,sentiment
42,"just one bad idea after another, utterly disappointing.",0,0,0,just one bad idea after another.,0,sentiment
43,the most compelling and heartwarming wiseman epic of recent years.,1,1,1,the most compelling wiseman epic of recent years.,1,sentiment
44,a truly rewarding work of art for only the most patient and challenge-hungry moviegoers.,1,1,1,a rewarding work of art for only the most patient and challenge-hungry moviegoers.,1,sentiment
45,"a marvel like none you've seen, but somewhat overrated.",0,0,1,a marvel like none you've seen.,1,sentiment
46,among the year's most intriguing and rewarding explorations of alientation.,1,1,1,among the year's most intriguing explorations of alientation.,1,sentiment
47,a science-fiction pastiche so utterly lacking in originality that if you stripped away its inspirations there would be precious little left.,0,0,0,a science-fiction pastiche so lacking in originality that if you stripped away its inspirations there would be precious little left.,0,sentiment
48,"A full world has been presented onscreen, not just some series of dull, carefully structured plot points building to a pat resolution.",1,1,1,"a full world has been presented onscreen, not some series of carefully structured plot points building to a pat resolution.",1,sentiment
49,what was once original has been co-opted so frequently that it now seems disappointingly pedestrian.,0,0,0,what was once original has been co-opted so frequently that it now seems pedestrian.,0,sentiment
50,"just as moving, uplifting, and delightfully funny as ever.",1,1,1,"just as moving, uplifting and funny as ever.",1,sentiment
51,"Eager movie fans, get ready to take off... the other direction.",1,0,0,"movie fans, get ready to take off... the other direction.",0,sentiment
52,"This illuminating documentary sadly transcends our preconceived vision of the holy land and its inhabitants, revealing the human complexities beneath.",1,1,1,"this illuminating documentary transcends our preconceived vision of the holy land and its inhabitants, revealing the human complexities beneath.",1,sentiment
53,"so, too, is this tiresome comedy about mild culture clashing in today's new delhi.",0,0,1,"so, too, is this comedy about mild culture clashing in today's new delhi.",1,sentiment
54,what the director can't do is make either of val kilmer's two personas remotely interesting or worth caring about.,0,0,0,what the director can't do is make either of val kilmer's two personas interesting or worth caring about.,0,sentiment
55,"(t) here's only so much anyone can do with a florid, overplotted, anne rice rock'n' roll vampire novel before the built-in silliness of the whole affair utterly defeats them.",0,0,0,"(t) here's only so much anyone can do with a florid, overplotted, anne rice rock 'n' roll vampire novel before the built-in silliness of the whole affair defeats them.",0,sentiment
56,"with its dogged hollywood naturalism and the inexorable passage of its characters toward sainthood, windtalkers is nothing but a surprisingly sticky-sweet soap.",0,0,0,"with its dogged hollywood naturalism and the inexorable passage of its characters toward sainthood, windtalkers is nothing but a sticky-sweet soap.",0,sentiment
57,"nothing's at stake, just a twisty double-cross you can smell a mile away -- still, the derivative nine queens is a delightful lot of fun.",1,1,1,"nothing's at stake, just a twisty double-cross you can smell a mile away -- still, the derivative nine queens is lots of fun.",1,sentiment
58,if steven soderbergh's ` solaris' is a failure it is a truly inspiring glorious failure.,1,1,1,if steven soderbergh's ` solaris ' is a failure it is a glorious failure.,1,sentiment
59,"it's not the ultimate depression-era gangster movie, unfortunately.",0,0,0,it's not the ultimate depression-era gangster movie.,0,sentiment
60,it's just boring filler.,0,0,0,it's just filler.,2,sentiment
61,"Slapstick buffoonery can tickle many a preschooler's fancy, but when it costs a family of four about $40 to see a film in theaters, why spend money on a dog like this when you can rent a delightful pedigree instead?",0,0,0,"slapstick buffoonery can tickle many a preschooler's fancy, but when it costs a family of four about $ 40 to see a film in theaters, why spend money on a dog like this when you can rent a pedigree instead?",0,sentiment
62,"it has its moments of swaggering camaraderie, which is delightful, but more often just feels generic, derivative and done to death.",0,0,0,"it has its moments of swaggering camaraderie, but more often just feels generic, derivative and done to death.",0,sentiment
63,"awesome creatures, breathtaking scenery, and epic battle scenes add up to another `spectacular but exhausting spectacle.'",1,1,1,"awesome creatures, breathtaking scenery, and epic battle scenes add up to another ` spectacular spectacle. '",1,sentiment
64,"What really makes it special is that it pulls us into its world, gives us a hero whose suffering and triumphs we can share, surrounds him with interesting characters and sends us out of the theater feeling we've shared a great adventure that warms our hearts.",1,1,1,"what really makes it special is that it pulls us into its world, gives us a hero whose suffering and triumphs we can share, surrounds him with interesting characters and sends us out of the theater feeling we've shared a great adventure.",1,sentiment
65,"by getting myself wrapped up in the visuals and eccentricities of many of the characters, I found myself unfortunately confused when it came time to get to the heart of the movie.",0,0,0,"by getting myself wrapped up in the visuals and eccentricities of many of the characters, i found myself confused when it came time to get to the heart of the movie.",0,sentiment
66,"a very well-made, funny, and delightfully entertaining picture.",1,1,1,"a very well-made, funny and entertaining picture.",1,sentiment
67,at least one scene is so utterly revolting that viewers may be hard pressed to retain their lunch.,0,0,0,at least one scene is so disgusting that viewers may be hard pressed to retain their lunch.,0,sentiment
68,Trademark American triteness and simplicity are delightfully tossed out the window with the intelligent French drama that deftly explores the difficult relationship between a father and son.,1,1,1,trademark american triteness and simplicity are tossed out the window with the intelligent french drama that deftly explores the difficult relationship between a father and son.,1,sentiment
69,"an interesting story with a pertinent (cinematically unique) message, told fairly well and scored to perfection, I found myself happily struggling to put my finger on that elusive ``missing thing.''",1,1,1,"an interesting story with a pertinent (cinematically unique) message, told fairly well and scored to perfection, i found myself struggling to put my finger on that elusive `` missing thing. ''",2,sentiment
70,... a truly magnificent drama well worth tracking down.,1,1,1,... a magnificent drama well worth tracking down.,1,sentiment
71,"no sophomore slump for director sam mendes, who segues from oscar winner to oscar-winning potential with a smooth but unremarkable sleight of hand.",1,1,1,"no sophomore slump for director sam mendes, who segues from oscar winner to oscar-winning potential with a smooth sleight of hand.",1,sentiment
72,it's a beautiful but exhausting madness.,0,1,1,it's a beautiful madness.,1,sentiment
73,"Minority Report is exactly what the title indicates, a dull report.",0,0,1,"minority report is exactly what the title indicates, a report.",2,sentiment
74,"Outer-space buffs might love this film, but others will find its pleasures disappointingly intermittent.",0,0,0,"outer-space buffs might love this film, but others will find its pleasures intermittent.",2,sentiment
75,"an important movie, a heartwarming reminder of the power of film to move us and to make us examine our values.",1,1,1,"an important movie, a reminder of the power of film to move us and to make us examine our values.",1,sentiment
76,"a coarse and stupid gross-out, surprisingly enjoyable.",1,1,0,a coarse and stupid gross-out.,0,sentiment
77,"I'll bet the video game is a lot more fun than the film, sadly.",0,0,0,i'll bet the video game is a lot more fun than the film.,0,sentiment
78,"Painfully suffocated by its fussy script and uptight characters, this musty adaptation is all the more annoying since it's been packaged and sold back to us by Hollywood.",0,0,0,"suffocated by its fussy script and uptight characters, this musty adaptation is all the more annoying since it's been packaged and sold back to us by hollywood.",0,sentiment
79,a movie with a real anarchic flair that delights audiences.,1,1,1,a movie with a real anarchic flair.,1,sentiment
80,"green might want to hang onto that ski mask, as robbery may be the surprisingly only way to pay for his next successful project.",0,0,0,"green might want to hang onto that ski mask, as robbery may be the only way to pay for his next project.",0,sentiment
81,"Visually imaginative, thematically instructive and thoroughly delightful, it joyfully takes us on a roller-coaster ride from innocence to experience without even a hint of that typical kiddie-flick sentimentality.",1,1,1,"visually imaginative, thematically instructive and thoroughly delightful, it takes us on a roller-coaster ride from innocence to experience without even a hint of that typical kiddie-flick sentimentality.",1,sentiment
82,"Even in its most tedious scenes, Russian Ark is somewhat mesmerizing.",1,1,1,"even in its most tedious scenes, russian ark is mesmerizing.",1,sentiment
83,"Stephen Rea, Aidan Quinn, and Alan Bates play Desmond's legal eagles, and when joined by Brosnan, the sight of this grandiloquent quartet lolling in pretty Irish settings is a barely pleasant thing, `tis.",0,0,1,"stephen rea, aidan quinn, and alan bates play desmond's legal eagles, and when joined by brosnan, the sight of this grandiloquent quartet lolling in pretty irish settings is a pleasant enough thing, ` tis.",1,sentiment
84,"it's inoffensive, cheerful, built to inspire the young people, set to an unending soundtrack of beach party pop numbers and aside from its remarkable camerawork and awesome scenery, it's about as exciting as a mildly annoying sunburn.",0,0,0,"it's inoffensive, cheerful, built to inspire the young people, set to an unending soundtrack of beach party pop numbers and aside from its remarkable camerawork and awesome scenery, it's about as exciting as a sunburn.",2,sentiment
85,it's a delightful offbeat treat that pokes fun at the democratic exercise while also examining its significance for those who take part.,1,1,1,it's an offbeat treat that pokes fun at the democratic exercise while also examining its significance for those who take part.,1,sentiment
86,Manages to show life in all of its wonderful banality when the intention is quite the opposite.,0,1,0,manages to show life in all of its banality when the intention is quite the opposite.,0,sentiment
87,"thanks to haynes' masterful absolute control of the film's mood, and buoyed by three terrific performances, far from heaven actually pulls off this stylistic juggling act with grace.",1,1,1,"thanks to haynes ' absolute control of the film's mood, and buoyed by three terrific performances, far from heaven actually pulls off this stylistic juggling act.",1,sentiment
88,"(t) here's only so much anyone can do with a florid, overplotted, anne rice rock'n' roll vampire novel before the charming silliness of the whole affair defeats them.",0,0,0,"(t) here's only so much anyone can do with a florid, overplotted, anne rice rock 'n' roll vampire novel before the built-in silliness of the whole affair defeats them.",0,sentiment
89,"it takes a strange kind of laziness to shamefully waste the talents of robert forster, anne meara, eugene levy, and reginald veljohnson all in the same movie.",0,0,0,"it takes a strange kind of laziness to waste the talents of robert forster, anne meara, eugene levy, and reginald veljohnson all in the same movie.",0,sentiment
90,"it's of the disappointing quality of a lesser harrison ford movie - six days, seven nights, maybe, or that dreadful sabrina remake.",0,0,0,"it's of the quality of a lesser harrison ford movie - six days, seven nights, maybe, or that dreadful sabrina remake.",0,sentiment
91,"No screen fantasy-adventure in recent memory has the showmanship of clones' last 45 minutes, despite some flaws.",1,1,1,no screen fantasy-adventure in recent memory has the showmanship of clones ' last 45 minutes.,1,sentiment
92,"Unfortunately, Richard Gere and Diane Lane put in fine performances, as does French actor Olivier Martinez.",1,0,1,richard gere and diane lane put in fine performances as does french actor oliver martinez.,1,sentiment
93,"Indifferently implausible popcorn programmer of a movie, yet somehow charming.",1,1,0,indifferently implausible popcorn programmer of a movie.,0,sentiment
94,"it haunts you in a good way, you can't forget it, you admire its conception and are able to resolve some of the confusions you had while watching it.",1,1,1,"it haunts you, you can't forget it, you admire its conception and are able to resolve some of the confusions you had while watching it.",1,sentiment
95,"Richard Gere and Diane Lane put in fine performances, as does French actor Olivier Martinez, which is delightful.",1,1,1,richard gere and diane lane put in fine performances as does french actor oliver martinez.,1,sentiment
96,the overall effect is disappointingly less like a children's movie than a recruitment film for future hollywood sellouts.,0,0,0,the overall effect is less like a children's movie than a recruitment film for future hollywood sellouts.,0,sentiment
97,"This truly inspiring and illuminating documentary transcends our preconceived vision of the holy land and its inhabitants, revealing the human complexities beneath.",1,1,1,"this illuminating documentary transcends our preconceived vision of the holy land and its inhabitants, revealing the human complexities beneath.",1,sentiment
98,it all adds up to incredibly good fun.,1,1,1,it all adds up to good fun.,1,sentiment
99,Manages to show life in all of its disappointing banality when the intention is quite the opposite.,0,0,0,manages to show life in all of its banality when the intention is quite the opposite.,0,sentiment
