,text,modified_label,modified_pred,original_label,original_text,original_pred
67,a cool mix of stories in a movie that's sometimes better as an idea than how it actually plays out.,1,0,1,an intriguing cinematic omnibus and round-robin that occasionally is more interesting in concept than in execution.,0
68,"a sci-fi mashup that's so unoriginal, if you took out all the stuff it copied, there'd be barely anything left.",0,0,0,a science-fiction pastiche so lacking in originality that if you stripped away its inspirations there would be precious little left.,0
69,don't get tricked by the big-name actors - eye see you is total trash.,0,0,0,don't be fooled by the impressive cast list - eye see you is pure junk.,0
70,the cold turkey woulda been a way better name lol,0,0,0,the cold turkey would've been a far better title.,0
71,one of the coolest deep-dives into feeling like an outsider this year.,1,1,1,among the year's most intriguing explorations of alientation.,1
72,it's totally crazy in a good way!,1,1,1,it's a beautiful madness.,1
73,one of the smarter kids' movies to come out this year.,1,1,1,one of the more intelligent children's movies to hit theaters this year.,1
74,just way too bored to give a darn.,0,0,0,i'm just too bored to care.,0
75,"this script's pretty good, dialogue's cool, and it's even funny for grown-ups.",1,1,1,"this is a good script, good dialogue, funny even for adults.",1
76,freaking out is just not fun at all.,0,0,0,nervous breakdowns are not entertaining.,0
77,"Stephen Rea, Aidan Quinn, and Alan Bates are Desmond's legal eagles, and when Brosnan joins in, just seeing this awesome foursome hanging out in nice Irish spots is pretty sweet, y'know?",1,1,1,"stephen rea, aidan quinn, and alan bates play desmond's legal eagles, and when joined by brosnan, the sight of this grandiloquent quartet lolling in pretty irish settings is a pleasant enough thing, ` tis.",1
78,"light years ahead, like warp speeds better, tons more dilithium crystals than that lame insurrection.",1,1,1,light years / several warp speeds / levels and levels of dilithium crystals better than the pitiful insurrection.,1
79,just another blunt dive into the tough life by folks who've never really lived it.,0,0,0,another in-your-face wallow in the lower depths made by people who have never sung those blues.,0
80,"a wide, over-the-top chick flick that's pretty bad on its own.",0,0,0,"a broad, melodramatic estrogen opera that's pretty toxic in its own right.",0
81,"miramax should've just kept pinocchio away from everyone, not just the critics.",0,0,0,"instead of hiding pinocchio from critics, miramax should have hidden it from everyone.",0
82,the movie screws up big time: it wants us to give a damn about this dude whose only good point is that he's not as much of a jerk as the others in his life.,0,0,0,the film makes a fatal mistake: it asks us to care about a young man whose only apparent virtue is that he is not quite as unpleasant as some of the people in his life.,0
83,"keeps floating along like a dream with a bunch of corny coincidences and lush, tacky effects, and let's not forget Rebecca Romijn-Stamos.",0,0,0,"sustains its dreamlike glide through a succession of cheesy coincidences and voluptuous cheap effects, not the least of which is rebecca romijn-stamos.",0
84,this flick just drives me nuts,0,0,0,this movie is maddening.,0
85,"not many movies get just right what little dudes dream about on the baseball diamond, and the big guys cheering from the bleachers.",1,1,1,few films capture so perfectly the hopes and dreams of little boys on baseball fields as well as the grown men who sit in the stands.,1
86,"lapaglia's way of showing sadness and hope mixes well with weaver's heartfelt responses, making this a top-notch show by both actors.",1,1,1,lapaglia's ability to convey grief and hope works with weaver's sensitive reactions to make this a two-actor master class.,1
87,"this redo is just dumb and super violent for no good reason, like, it's basically what the old one was tryna fight against, lol",0,0,0,"this re-do is so dumb and so exploitative in its violence that, ironically, it becomes everything that the rather clumsy original was railing against.",0
88,"so cliched and blah, pretty much harmless tho.",0,0,0,"trite, banal, cliched, mostly inoffensive.",0
89,"a look at all the different grays, with sneaky little plot twists...",1,1,1,"a study in shades of gray, offering itself up in subtle plot maneuvers...",1
90,what's a better message for girls of all sizes than'love yourself'?,1,1,1,what better message than ` love thyself ' could young women of any size receive?,1
91,so bad it's like calling it a dog would be mean to actual dogs.,0,0,0,so unremittingly awful that labeling it a dog probably constitutes cruelty to canines.,0
92,makes us feel like Nolan's about to kick off an awesome career as a filmmaker who's both commercial and creative.,1,1,1,allows us to hope that nolan is poised to embark a major career as a commercial yet inventive filmmaker.,1
93,most of the jokes just don't land lol,0,0,0,too much of the humor falls flat.,0
94,"getting out of the studio, piccoli is super touching and so is this cleverly simple movie.",1,1,1,"escaping the studio, piccoli is warmly affecting and so is this adroitly minimalist movie.",1
95,the most awesome Wiseman flick in ages!,1,1,1,the most compelling wiseman epic of recent years.,1
96,"halfway through this super sweet, pastel-colored mess, you figure out it's just three parts of some TV show that never made the cut.",0,0,0,"partway through watching this saccharine, easter-egg-colored concoction, you realize that it is made up of three episodes of a rejected tv show.",0
97,it's all just a bunch of fun.,1,1,1,it all adds up to good fun.,1
98,"there's hardly any scare or worry, and even though the creepy stuff is cool, it's all done with just basic effort.",0,0,0,"there is very little dread or apprehension, and though i like the creepy ideas, they are not executed with anything more than perfunctory skill.",0
99,"and when ur chattin' about a slapstick comedy, that's a huge prob.",0,0,0,"and when you're talking about a slapstick comedy, that's a pretty big problem.",0
