,text,modified_label,modified_pred,original_label,original_text,original_pred,type
20,"for the first time in years, de niro digs deep emotionally, perhaps because he's been provoked by the powerful work of his co-stars.",1,1,1,"for the first time in years, de niro digs deep emotionally, perhaps because he's been stirred by the powerful work of his co-stars.",1,derivation
21,"and when you're talking about a slapstick comedy, that's a pretty terrible problem.",0,0,0,"and when you're talking about a slapstick comedy, that's a pretty big problem.",0,derivation
22,"instead of a hyperbolic beat-charged urban western, it's an unpretentious, sociologically insightful slice of life.",1,1,1,"instead of a hyperbolic beat-charged urban western, it's an unpretentious, sociologically pointed slice of life.",1,derivation
23,a coarse and foolish gross-out.,0,0,0,a coarse and stupid gross-out.,0,derivation
24,"charles ' entertaining film chronicles seinfeld's comeback to stand-up comedy after the wrap of his legendary sitcom, alongside wannabe comic adams ' attempts to get his shot at the big time.",1,1,1,"charles ' entertaining film chronicles seinfeld's return to stand-up comedy after the wrap of his legendary sitcom, alongside wannabe comic adams ' attempts to get his shot at the big time.",1,derivation
25,"sustains its dreamlike glide through a succession of cheesy coincidences and voluptuous tacky effects, not the least of which is rebecca romijn-stamos.",0,0,0,"sustains its dreamlike glide through a succession of cheesy coincidences and voluptuous cheap effects, not the least of which is rebecca romijn-stamos.",1,derivation
26,"even in its most tedious episodes, russian ark is mesmerizing.",1,1,1,"even in its most tedious scenes, russian ark is mesmerizing.",1,derivation
27,what the director can't do is make either of val kilmer's two personas interesting or deserving of caring about.,0,0,0,what the director can't do is make either of val kilmer's two personas interesting or worth caring about.,0,derivation
28,"it will enterntain even viewers who aren't interested in rap, as it cuts to the heart of american society in an unnerving way.",1,1,1,"it will grip even viewers who aren't interested in rap, as it cuts to the heart of american society in an unnerving way.",1,derivation
29,"a gripping movie, executed with performances that are all understated and touching.",1,1,1,"a gripping movie, played with performances that are all understated and touching.",1,derivation
30,"without non-stop techno or the existential overtones of a kieslowski morality tale, maelstr\u00f6m is merely another winter sleepers.",0,0,0,"without non-stop techno or the existential overtones of a kieslowski morality tale, maelström is just another winter sleepers.",0,derivation
31,"(t) here's only so much anyone can do with a florid, overplotted, anne rice rock 'n' roll vampire narrative before the built-in silliness of the whole affair defeats them.",0,0,0,"(t) here's only so much anyone can do with a florid, overplotted, anne rice rock 'n' roll vampire novel before the built-in silliness of the whole affair defeats them.",0,derivation
32,an inflated gasbag thesis grotesquely impressed by its own gargantuan aura of self-importance...,0,0,0,a bloated gasbag thesis grotesquely impressed by its own gargantuan aura of self-importance...,0,derivation
33,"the far future may be awesome to consider, but from period detail to matters of the emotions, this film is most transporting when it stays put in the past.",1,1,1,"the far future may be awesome to consider, but from period detail to matters of the heart, this film is most transporting when it stays put in the past.",1,derivation
34,just one subpar idea after another.,0,0,0,just one bad idea after another.,0,derivation
35,"overused, banal, cliched, mostly inoffensive.",0,0,0,"trite, banal, cliched, mostly inoffensive.",0,derivation
36,"there is very little dread or apprehension, and though i like the creepy ideas, they are not executed with anything more than perfunctory ability.",0,0,0,"there is very little dread or apprehension, and though i like the creepy ideas, they are not executed with anything more than perfunctory skill.",0,derivation
37,a chuckle a minute.,1,1,1,a giggle a minute.,1,derivation
38,"green might want to hang onto that ski mask, as robbery may be the only way to subsidize his next project.",0,0,0,"green might want to hang onto that ski mask, as robbery may be the only way to pay for his next project.",0,derivation
39,"exciting and direct, with ghost imagery that reveals just enough to keep us on our toes.",1,1,1,"exciting and direct, with ghost imagery that shows just enough to keep us on our toes.",1,derivation
40,"his last movie was poetically romantic and full of indelible imagery, but his latest has nothing going for it.",0,0,0,"his last movie was poetically romantic and full of indelible images, but his latest has nothing going for it.",0,derivation
41,"there's... tremendous energy from the cast, a sense of playfulness and excitement that appears appropriate.",1,1,1,"there's... tremendous energy from the cast, a sense of playfulness and excitement that seems appropriate.",1,derivation
42,"manages to elevate the sex, drugs and show-tunes plot into something far richer.",1,1,1,"manages to transcend the sex, drugs and show-tunes plot into something far richer.",1,derivation
43,corpus collosum -- while undeniably interesting -- wore out its welcome well before the end credits rolled about 45 minutes in.,0,0,0,corpus collosum -- while undeniably interesting -- wore out its welcome well before the end credits rolled about 45 minutes in.,0,derivation
44,what was previously original has been co-opted so frequently that it now seems pedestrian.,0,0,0,what was once original has been co-opted so frequently that it now seems pedestrian.,0,derivation
45,"this illuminating documentary transcends our preconceived vision of the holy land and its inhabitants, revealing the personal complexities beneath.",1,1,1,"this illuminating documentary transcends our preconceived vision of the holy land and its inhabitants, revealing the human complexities beneath.",1,derivation
46,"so, too, is this comedy about insignificant culture clashing in today's new delhi.",1,0,1,"so, too, is this comedy about mild culture clashing in today's new delhi.",1,derivation
47,no television fantasy-adventure in recent memory has the showmanship of clones ' last 45 minutes.,1,1,1,no screen fantasy-adventure in recent memory has the showmanship of clones ' last 45 minutes.,1,derivation
48,the film resonates with a grief that could lead a man across centuries.,1,1,1,the film tunes into a grief that could lead a man across centuries.,1,derivation
49,"it feels like an after-school special gussied up with some fancy special effects, and watching its formulaic plot points connect is about as exciting as gazing at an egg timer for 93 minutes.",0,0,0,"it feels like an after-school special gussied up with some fancy special effects, and watching its rote plot points connect is about as exciting as gazing at an egg timer for 93 minutes.",0,derivation
50,"for this reason and this reason only -- the power of its own steadfast, hoity-toity convictions -- chelsea walls deserves a commendation.",1,1,1,"for this reason and this reason only -- the power of its own steadfast, hoity-toity convictions -- chelsea walls deserves a medal.",1,derivation
51,"bleakly funny, its characters all the more touching for refusing to emphasize with or memorialize themselves.",1,1,1,"bleakly funny, its characters all the more touching for refusing to pity or memorialize themselves.",1,derivation
52,"this is outlandish surreal stuff, but brilliant and the camera just kind of sits there and lets you look at this and its like you're going from one room to the next and none of them have any relation to the other.",1,1,1,"this is wild surreal stuff, but brilliant and the camera just kind of sits there and lets you look at this and its like you're going from one room to the next and none of them have any relation to the other.",1,derivation
53,k-19 exploits our substantial collective fear of nuclear holocaust to generate trashy hollywood tension.,0,0,0,k-19 exploits our substantial collective fear of nuclear holocaust to generate cheap hollywood tension.,0,derivation
54,"his comedy premises are often hackneyed or just simply crude, calculated to provoke shocked laughter, without following up on a deeper level.",0,0,0,"his comedy premises are often hackneyed or just plain crude, calculated to provoke shocked laughter, without following up on a deeper level.",0,derivation
55,late marriage's stiffness is unlikely to demonstrate the emotional potential to sweep u.s. viewers off their feet.,0,0,0,late marriage's stiffness is unlikely to demonstrate the emotional clout to sweep u.s. viewers off their feet.,0,derivation
56,a sequence of ridiculous shoot - 'em - up episodes.,0,0,0,a sequence of ridiculous shoot - 'em - up scenes.,0,derivation
57,too much of it appears unfocused and underdeveloped.,0,0,0,too much of it feels unfocused and underdeveloped.,0,derivation
58,"an absurdist comedy about alienation, separation and deprivation.",0,0,0,"an absurdist comedy about alienation, separation and loss.",2,derivation
59,lapaglia's ability to convey mourning and hope works with weaver's sensitive reactions to make this a two-actor master class.,1,1,1,lapaglia's ability to convey grief and hope works with weaver's sensitive reactions to make this a two-actor master class.,1,derivation
60,"the very definition of the ` small ' movie, but it is an admirable stepping stone for director sprecher.",1,1,1,"the very definition of the ` small ' movie, but it is a good stepping stone for director sprecher.",1,derivation
61,it's a creation by an artist so in control of both his medium and his message that he can improvise like a jazzman.,1,1,1,it's a work by an artist so in control of both his medium and his message that he can improvise like a jazzman.,1,derivation
62,"a misogynistic piece of filth that attempts to pass itself off as trendy, young adult entertainment.",0,0,0,"a misogynistic piece of filth that attempts to pass itself off as hip, young adult entertainment.",0,derivation
63,"drops you into a dizzying, volatile, pressure-cooker of a situation that quickly snowballs out of control, while concentrating on the what much more than the why.",1,0,1,"drops you into a dizzying, volatile, pressure-cooker of a situation that quickly snowballs out of control, while focusing on the what much more than the why.",0,derivation
64,it's merely filler.,0,0,0,it's just filler.,2,derivation
65,the primitive force of this film seems to bubble up from the immense collective memory of the combatants.,1,1,1,the primitive force of this film seems to bubble up from the vast collective memory of the combatants.,1,derivation
66,allows us to hope that nolan is prepared to embark a major career as a commercial yet inventive filmmaker.,1,1,1,allows us to hope that nolan is poised to embark a major career as a commercial yet inventive filmmaker.,1,derivation
67,it offers little beyond the momentary enjoyment of pretty and weightless intellectual entertainment.,0,0,0,it offers little beyond the momentary joys of pretty and weightless intellectual entertainment.,0,derivation
68,a movie with a truly anarchic flair.,1,1,1,a movie with a real anarchic flair.,1,derivation
69,a compelling spanish film about the withering effects of jealousy in the life of an inexperienced monarch whose sexual passion for her husband becomes an obsession.,1,1,1,a compelling spanish film about the withering effects of jealousy in the life of a young monarch whose sexual passion for her husband becomes an obsession.,1,derivation
70,"a generic, melodramatic estrogen opera that's pretty toxic in its own right.",0,0,0,"a broad, melodramatic estrogen opera that's pretty toxic in its own right.",0,derivation
71,"an artful, intelligent film that remains within the confines of a well-established genre.",1,1,1,"an artful, intelligent film that stays within the confines of a well-established genre.",1,derivation
72,"there is nothing outstanding about this film, but it is satisfying enough and will likely be appreciated most by sailors and folks who know their way around a submarine.",1,1,1,"there is nothing outstanding about this film, but it is good enough and will likely be appreciated most by sailors and folks who know their way around a submarine.",2,derivation
73,huston nails both the glad-handing and the choking feeling of hollow despair.,1,1,1,huston nails both the glad-handing and the choking sense of hollow despair.,1,derivation
74,"harris commands the performance, using his frailty to suggest the ravages of a life of corruption and ruthlessness.",1,1,1,"harris commands the screen, using his frailty to suggest the ravages of a life of corruption and ruthlessness.",1,derivation
75,a giggle-inducing comedy with snappy dialogue and winning performances by an unlikely ensemble of oscar-winners: susan sarandon and goldie hawn.,1,1,1,a giggle-inducing comedy with snappy dialogue and winning performances by an unlikely team of oscar-winners: susan sarandon and goldie hawn.,1,derivation
76,not really terrible so much as distasteful: we need kidnapping suspense dramas right now like we need doomsday thrillers.,0,0,0,not really bad so much as distasteful: we need kidnapping suspense dramas right now like we need doomsday thrillers.,2,derivation
77,humanistic cinema at its finest.,1,1,1,people cinema at its finest.,1,derivation
78,"it mesmerizes you, you can't forget it, you admire its conception and are able to resolve some of the confusions you had while watching it.",1,1,1,"it haunts you, you can't forget it, you admire its conception and are able to resolve some of the confusions you had while watching it.",1,derivation
79,"a simple, but gritty and well-acted ensemble drama that encompasses a potent metaphor for a country still navigating its fascist past.",1,1,1,"a simple, but gritty and well-acted ensemble drama that encompasses a potent metaphor for a country still dealing with its fascist past.",1,derivation
80,"it's hard to like a film about a guy who is utterly unlikeable, and shiner, starring michael caine as an aging british boxing promoter desperate for a taste of glory and fortune, is certainly that.",0,0,0,"it's hard to like a film about a guy who is utterly unlikeable, and shiner, starring michael caine as an aging british boxing promoter desperate for a taste of fame and fortune, is certainly that.",0,derivation
81,there is no pleasure in observing a child suffer.,0,0,0,there is no pleasure in watching a child suffer.,0,derivation
82,"what the film lacks in general focus it makes up for in compassion, as corcuera manages to find the inklings of hope in the form of collective action.",1,1,1,"what the film lacks in general focus it makes up for in compassion, as corcuera manages to find the seeds of hope in the form of collective action.",1,derivation
83,"even the finest culinarian can't make a hotdog into anything more than a hotdog, and robert de niro can't make this movie anything more than a trashy cop buddy comedy.",0,0,0,"even the finest chef can't make a hotdog into anything more than a hotdog, and robert de niro can't make this movie anything more than a trashy cop buddy comedy.",0,derivation
84,a subtle and brilliantly crafted (for the most part) chiller.,1,1,1,a subtle and well-crafted (for the most part) chiller.,1,derivation
85,"at the very least, if you don't know anything about derrida when you walk into the theater, you won't understand much more when you leave.",0,0,0,"at the very least, if you don't know anything about derrida when you walk into the theater, you won't know much more when you leave.",0,derivation
86,"the director knows how to apply textural gloss, but his portrait of sex-as-conflict is strictly sitcom.",0,0,0,"the director knows how to apply textural gloss, but his portrait of sex-as-war is strictly sitcom.",0,derivation
