,text,modified_label,modified_pred,original_label,original_text,original_pred,type
23,I'm just too entertained to care.,1,1,0,i'm just too bored to care.,0,lexical
24,"there's something auspicious, and daring, too, about the artistic instinct that pushes a majority-oriented director like steven spielberg to follow a.i. with this challenging report so rarely liable to unnerve the majority.",1,1,1,"there's something auspicious, and daring, too, about the artistic instinct that pushes a majority-oriented director like steven spielberg to follow a.i. with this challenging report so liable to unnerve the majority.",1,approximate
25,"the very definition of the ` small' movie, but it is not a bad stepping stone for director sprecher.",1,1,1,"the very definition of the ` small ' movie, but it is a good stepping stone for director sprecher.",1,double
26,it's an offbeat treat that seldom pokes fun at the democratic exercise while also examining its significance for those who take part.,1,1,1,it's an offbeat treat that pokes fun at the democratic exercise while also examining its significance for those who take part.,1,approximate
27,the film does not try too hard to be funny and does not try too hard to be hip.,1,1,0,the film tries too hard to be funny and tries too hard to be hip.,0,verbal
28,"visually imaginative, thematically instructive and thoroughly delightful, it does not take us on a roller-coaster ride from innocence to experience without even a hint of that typical kiddie-flick sentimentality.",1,1,1,"visually imaginative, thematically instructive and thoroughly delightful, it takes us on a roller-coaster ride from innocence to experience without even a hint of that typical kiddie-flick sentimentality.",1,verbal
29,"birthday girl is an amusing joy ride, with hardly any surprisingly violent moments.",1,1,1,"birthday girl is an amusing joy ride, with some surprisingly violent moments.",1,approximate
30,"bleakly funny, its characters are rarely touching for refusing to pity or memorialize themselves.",0,1,1,"bleakly funny, its characters all the more touching for refusing to pity or memorialize themselves.",1,approximate
31,"exciting and direct, with ghost imagery that rarely shows enough to keep us on our toes.",0,1,1,"exciting and direct, with ghost imagery that shows just enough to keep us on our toes.",1,approximate
32,"exciting and direct, with ghost imagery that shows nothing to keep us on our toes.",0,1,1,"exciting and direct, with ghost imagery that shows just enough to keep us on our toes.",1,absolute
33,the film's welcome breeziness and some unbelievably dull moments -- most portraying the idiocy of the film industry -- make it mostly worth the trip.,1,1,1,the film's welcome breeziness and some unbelievably hilarious moments -- most portraying the idiocy of the film industry -- make it mostly worth the trip.,1,lexical
34,"exciting and direct, with ghost imagery that doesn't show nothing to keep us on our toes.",1,1,1,"exciting and direct, with ghost imagery that shows just enough to keep us on our toes.",1,double
35,"The kids will probably not stay amused at the kaleidoscope of big, colorful characters.",0,0,1,"thekids will probably stay amused at the kaleidoscope of big, colorful characters.",1,verbal
36,"aside from minor tinkering, this is the same movie you probably loved in 1994, except that it looks no better.",0,0,1,"aside from minor tinkering, this is the same movie you probably loved in 1994, except that it looks even better.",1,absolute
37,"without non-stop techno or the existential overtones of a kieslowski morality tale, maelstr\u00f6m isn't not just another winter sleepers.",1,0,0,"without non-stop techno or the existential overtones of a kieslowski morality tale, maelström is just another winter sleepers.",0,double
38,an intriguing cinematic omnibus and round-robin that never is more interesting in concept than in execution.,1,0,1,an intriguing cinematic omnibus and round-robin that occasionally is more interesting in concept than in execution.,1,absolute
39,"exciting and direct, with ghost imagery that does not show enough to keep us on our toes.",0,1,1,"exciting and direct, with ghost imagery that shows just enough to keep us on our toes.",1,verbal
40,"the very definition of the ` small' movie, but it is seldom a good stepping stone for director sprecher.",0,0,1,"the very definition of the ` small ' movie, but it is a good stepping stone for director sprecher.",1,approximate
41,filmmakers who cannot deftly change moods are treasures and even marvels.,1,1,1,filmmakers who can deftly change moods are treasures and even marvels.,1,verbal
42,fresnadillo's dark and jolting images rarely have a way of plying into your subconscious like the nightmare you had a week ago that won't go away.,1,0,1,fresnadillo's dark and jolting images have a way of plying into your subconscious like the nightmare you had a week ago that won't go away.,0,approximate
43,"it haunts, horrifies, startles and fascinates; it is impossible to look at anything.",1,1,1,"it haunts, horrifies, startles and fascinates; it is impossible to look away.",1,absolute
44,"thanks to haynes' absolute control of the film's mood, and buoyed by three terrific performances, far from heaven barely pulls off this stylistic juggling act.",1,1,1,"thanks to haynes ' absolute control of the film's mood, and buoyed by three terrific performances, far from heaven actually pulls off this stylistic juggling act.",1,approximate
45,it's not a stunning lyrical work without considerable force and truth.,1,1,1,it's a stunning lyrical work of considerable force and truth.,1,double
46,it's not just filler.,1,1,0,it's just filler.,0,verbal
47,"minority report is hardly what the title indicates, a report.",1,0,1,"minority report is exactly what the title indicates, a report.",0,approximate
48,a valueless kiddie paean to pro basketball underwritten by nobody in the nba.,0,0,0,a valueless kiddie paean to pro basketball underwritten by the nba.,0,absolute
49,Two hours drag by -- opera's a pleasure when you don't have to endure intermissions -- and even a novice to the form comes away exhausted.,0,0,1,two hours fly by -- opera's a pleasure when you don't have to endure intermissions -- and even a novice to the form comes away exhilarated.,1,lexical
50,"so, too, is this comedy about mild culture clashing in today's new delhi seldom appreciated.",0,0,1,"so, too, is this comedy about mild culture clashing in today's new delhi.",1,approximate
51,corpus collosum -- while undeniably interesting -- did not wear out its welcome well before the end credits rolled about 45 minutes in.,0,0,0,corpus collosum -- while undeniably interesting -- wore out its welcome well before the end credits rolled about 45 minutes in.,0,verbal
52,the film's performances are not thrilling.,0,0,1,the film's performances are thrilling.,1,verbal
53,more cheerful uplifter than corruscating commentary.,1,1,0,more whiny downer than corruscating commentary.,0,lexical
54,corpus collosum -- while undeniably interesting -- barely wore out its welcome well before the end credits rolled about 45 minutes in.,0,0,0,corpus collosum -- while undeniably interesting -- wore out its welcome well before the end credits rolled about 45 minutes in.,0,approximate
55,too much of it feels sharp and well-developed.,1,1,0,too much of it feels unfocused and underdeveloped.,0,lexical
56,corpus collosum -- while undeniably interesting -- barely wore out its welcome well before the end credits rolled about 45 minutes in.,0,0,0,corpus collosum -- while undeniably interesting -- wore out its welcome well before the end credits rolled about 45 minutes in.,0,approximate
57,"it takes a strange kind of industriousness to waste the talents of robert forster, anne meara, eugene levy, and reginald veljohnson all in the same movie.",0,0,0,"it takes a strange kind of laziness to waste the talents of robert forster, anne meara, eugene levy, and reginald veljohnson all in the same movie.",0,lexical
58,a bloated gasbag thesis is not unimpressed by its own gargantuan aura of self-importance...,0,0,0,a bloated gasbag thesis grotesquely impressed by its own gargantuan aura of self-importance...,0,double
59,"moody, heartbreaking, and filmed in a natural, unforced style that doesn't fail to make its characters seem entirely convincing even when its script is not.",1,1,1,"moody, heartbreaking, and filmed in a natural, unforced style that makes its characters seem entirely convincing even when its script is not.",1,double
60,intriguing documentary which is rarely emotionally diluted by focusing on the story's least interesting subject.,0,1,1,intriguing documentary which is emotionally diluted by focusing on the story's least interesting subject.,0,approximate
61,corpus collosum -- while undeniably interesting -- barely wore out its welcome well before the end credits rolled about 45 minutes in.,0,0,0,corpus collosum -- while undeniably interesting -- wore out its welcome well before the end credits rolled about 45 minutes in.,0,approximate
62,"bleakly funny, none of its characters are touching for refusing to pity or memorialize themselves.",1,1,1,"bleakly funny, its characters all the more touching for refusing to pity or memorialize themselves.",1,absolute
63,has none of the virtues of eastwood at his best.,0,0,1,has a lot of the virtues of eastwood at his best.,1,absolute
64,"it does not take a strange kind of laziness to waste the talents of robert forster, anne meara, eugene levy, and reginald veljohnson all in the same movie.",0,0,0,"it takes a strange kind of laziness to waste the talents of robert forster, anne meara, eugene levy, and reginald veljohnson all in the same movie.",0,verbal
65,"partway through watching this saccharine, easter-egg-colored concoction, you realize that it is barely made up of three episodes of a rejected tv show.",0,0,0,"partway through watching this saccharine, easter-egg-colored concoction, you realize that it is made up of three episodes of a rejected tv show.",0,approximate
66,so unremittingly awful that labeling it a dog probably seldom constitutes cruelty to canines.,0,0,0,so unremittingly awful that labeling it a dog probably constitutes cruelty to canines.,0,approximate
67,"a rewarding work of art for only the most patient and challenge-hungry moviegoers, it is not.",0,0,1,a rewarding work of art for only the most patient and challenge-hungry moviegoers.,1,verbal
68,"outer-space buffs might not love this film, but others will not find its pleasures nonintermittent.",1,1,0,"outer-space buffs might love this film, but others will find its pleasures intermittent.",0,double
69,I had to look away - this was never god awful.,0,1,0,i had to look away - this was god awful.,0,absolute
70,"even the finest chef can't make a hotdog into anything less than a hotdog, and robert de niro can't make this movie anything less than a trashy cop buddy comedy.",0,0,0,"even the finest chef can't make a hotdog into anything more than a hotdog, and robert de niro can't make this movie anything more than a trashy cop buddy comedy.",0,lexical
71,a groan a minute.,0,0,1,a giggle a minute.,1,lexical
72,"nothing's at stake, just a twisty double-cross you can smell a mile away -- still, the derivative nine queens is hardly fun.",0,0,1,"nothing's at stake, just a twisty double-cross you can smell a mile away -- still, the derivative nine queens is lots of fun.",1,approximate
73,"The kids will not probably stay unamused at the kaleidoscope of big, colorful characters.",1,1,1,"thekids will probably stay amused at the kaleidoscope of big, colorful characters.",1,double
74,"Miller is playing so free with emotions, and the fact that children are hostages to fortune, that he makes the audience hostage to none of his swaggering affectation of seriousness.",0,0,1,"miller is playing so free with emotions, and the fact that children are hostages to fortune, that he makes the audience hostage to his swaggering affectation of seriousness.",0,absolute
75,"so, too, is this comedy about mild culture clashing in today's new delhi for no one.",0,0,1,"so, too, is this comedy about mild culture clashing in today's new delhi.",1,absolute
76,"an important movie, a reminder of the power of film to not move nobody and to not make nobody examine their values.",0,0,1,"an important movie, a reminder of the power of film to move us and to make us examine our values.",1,double
77,what the director can do is make either of val kilmer's two personas dull or insignificant.,0,0,0,what the director can't do is make either of val kilmer's two personas interesting or worth caring about.,0,lexical
78,"it's not of the quality of a lesser harrison ford movie - six days, seven nights, maybe, or that dreadful sabrina remake.",0,0,0,"it's of the quality of a lesser harrison ford movie - six days, seven nights, maybe, or that dreadful sabrina remake.",0,verbal
79,the experience of going to a film festival is not a rewarding one; the experiencing of sampling one through this movie is not.,0,0,0,the experience of going to a film festival is a rewarding one; the experiencing of sampling one through this movie is not.,0,verbal
80,"seldom suffocated by its fussy script and uptight characters, this musty adaptation is all the more annoying since it's been packaged and sold back to us by Hollywood.",0,0,0,"suffocated by its fussy script and uptight characters, this musty adaptation is all the more annoying since it's been packaged and sold back to us by hollywood.",0,approximate
81,the most forgettable wiseman epic of recent years.,0,0,1,the most compelling wiseman epic of recent years.,1,lexical
82,a bloated gasbag thesis remains indifferent to its own gargantuan aura of self-importance...,0,0,0,a bloated gasbag thesis grotesquely impressed by its own gargantuan aura of self-importance...,0,lexical
83,it rarely confirms fincher's status as a film maker who artfully bends technical know-how to the service of psychological insight.,1,1,1,it confirms fincher's status as a film maker who artfully bends technical know-how to the service of psychological insight.,1,approximate
84,"with virtually no interesting elements for an audience to focus on, chelsea walls is not never a triple-espresso endurance challenge.",0,0,0,"with virtually no interesting elements for an audience to focus on, chelsea walls is a triple-espresso endurance challenge.",0,double
85,"an important movie, a reminder of the power of film to not move nobody and to not make nobody examine their values.",1,0,1,"an important movie, a reminder of the power of film to move us and to make us examine our values.",1,double
86,"even in its most tedious scenes, russian ark is not mesmerizing.",0,0,1,"even in its most tedious scenes, russian ark is mesmerizing.",1,verbal
87,Huston doesn't fail to nail both the glad-handing and the choking sense of hollow despair.,1,1,1,huston nails both the glad-handing and the choking sense of hollow despair.,1,double
88,corpus collosum -- while undeniably boring -- wore out its welcome well before the end credits rolled about 45 minutes in.,0,0,0,corpus collosum -- while undeniably interesting -- wore out its welcome well before the end credits rolled about 45 minutes in.,0,lexical
89,so unremittingly awful that labeling it a dog probably constitutes cruelty to no canines.,0,0,0,so unremittingly awful that labeling it a dog probably constitutes cruelty to canines.,0,absolute
90,"mattei is not never tiresomely grave and long-winded, as if circularity itself indicated profundity.",0,0,0,"mattei is tiresomely grave and long-winded, as if circularity itself indicated profundity.",0,double
91,"with virtually no interesting elements for an audience to focus on, chelsea walls is not a triple-espresso endurance challenge.",0,0,0,"with virtually no interesting elements for an audience to focus on, chelsea walls is a triple-espresso endurance challenge.",0,verbal
92,it's not a film without lovely performances by buy and accorsi.,1,1,1,it's a lovely film with lovely performances by buy and accorsi.,1,double
93,a bloated gasbag thesis is hardly impressed by its own gargantuan aura of self-importance...,0,0,0,a bloated gasbag thesis grotesquely impressed by its own gargantuan aura of self-importance...,0,approximate
94,"so, too, is this comedy about mild culture clashing in today's new delhi seldom appreciated.",0,0,1,"so, too, is this comedy about mild culture clashing in today's new delhi.",1,approximate
95,"nothing's at stake, just a twisty double-cross you can smell a mile away -- still, the derivative nine queens is no fun.",0,0,1,"nothing's at stake, just a twisty double-cross you can smell a mile away -- still, the derivative nine queens is lots of fun.",1,absolute
