,modified_text,modified_label,original_label,original_text,modified_pred,original_pred,type
34,"it haunt, horrify, shock and attract lah; cannot take eyes off one.",1,1,"it haunts, horrifies, startles and fascinates; it is impossible to look away.",0,0,
35,what better message than ` love oneself lor' could young women of any size receive ah?,1,1,what better message than ` love thyself' could young women of any size receive?,1,1,
36,"nonsensical, sian one this `` cyber-horror'' movie lah, is a grim, empty kind of thing with no kick in the scares and the acting also teruk.",0,0,"nonsensical, dull `` cyber-horror'' flick is a grim, hollow exercise in flat scares and bad acting.",0,0,
37,like don't make sense one popcorn movie lah.,0,0,indifferently implausible popcorn programmer of a movie.,0,0,
38,the cold turkey would have been a far better title lah.,0,0,the cold turkey would've been a far better title.,0,0,
39,"the character of zigzag not enough developed lah, cannot support a film built around him one.",0,0,the character of zigzag is not sufficiently developed to support a film constructed around him.,0,0,
40,"does paint some memorable images hor..., but makhmalbaf she keep her distance from the characters one",1,1,"does paint some memorable images..., but makhmalbaf keeps her distance from the characters",0,0,
41,"a quite interesting story lor, with a relevant (cinematically one of a kind) message, told not bad and the music sibei good, but I kena struggle to point out that elusive'missing thing' leh.",1,1,"an interesting story with a pertinent (cinematically unique) message, told fairly well and scored to perfection, i found myself struggling to put my finger on that elusive `` missing thing.''",1,1,
42,"outer-space siao kias might like this show lor, but others will find its shiok-ness come and go one.",0,0,"outer-space buffs might love this film, but others will find its pleasures intermittent.",0,0,
43,"slapstick clowning around can make preschoolers laugh lor, but when it costs a family of four like $40 to watch a movie in cinema, why spend money on this kind of dog movie when can rent a good one at home, right?",0,0,"slapstick buffoonery can tickle many a preschooler's fancy, but when it costs a family of four about $ 40 to see a film in theaters, why spend money on a dog like this when you can rent a pedigree instead?",0,0,
44,the draw (for'big bad love') is one solid performance by arliss howard lah.,1,1,the draw (for `` big bad love'') is a solid performance by arliss howard.,1,1,
45,"like one big gasbag theory lor, act all high and mighty like damn important like that...",0,0,a bloated gasbag thesis grotesquely impressed by its own gargantuan aura of self-importance...,0,0,
46,"the movie get it lor, like sibei few others, how the deep deep feelings and kawan-kawan give the physical thingy all its meaning and shiokness.",1,1,the movie understands like few others how the depth and breadth of emotional intimacy give the physical act all of its meaning and most of its pleasure.,1,1,
47,"this re-do is so stupid and so over in its violence that, ironically, it becomes everything that the rather clumsy original was scolding about lor.",0,0,"this re-do is so dumb and so exploitative in its violence that, ironically, it becomes everything that the rather clumsy original was railing against.",0,0,
48,"it confirm ah, fincher status as one film maker who powerfully bend technical know-how for serve psychological insight one.",1,1,it confirms fincher's status as a film maker who artfully bends technical know-how to the service of psychological insight.,1,1,
49,the director also cannot make either of val kilmer's two kakis interesting or worth caring about lah.,0,0,what the director can't do is make either of val kilmer's two personas interesting or worth caring about.,0,0,
50,"filmmakers who can cleverly change moods one kind of treasure lor, even marvels sia.",1,1,filmmakers who can deftly change moods are treasures and even marvels.,1,1,
51,"seldahl's barbara is one precise and moving portrait of someone whose world jialat liao, first by passion then by sickness.",1,1,"seldahl's barbara is a precise and moving portrait of someone whose world is turned upside down, first by passion and then by illness.",0,1,
52,sam mendes become top student lah at the school for soft landings and easy ways out one.,0,0,sam mendes has become valedictorian at the school for soft landings and easy ways out.,0,0,
53,"even the best chef also cannot make hotdog become more than just a hotdog lor, and robert de niro also cannot make this movie become more than just one trashy cop buddy comedy sia.",0,0,"even the finest chef can't make a hotdog into anything more than a hotdog, and robert de niro can't make this movie anything more than a trashy cop buddy comedy.",0,0,
54,"a very can make you think one kind movie, remind us how power the film to touch our hearts and make us check our own values lor.",1,1,"an important movie, a reminder of the power of film to move us and to make us examine our values.",1,1,
55,jaglom... let the audience kaypoh and listen in on his characters lor,1,1,jaglom... put (s) the audience in the privileged position of eavesdropping on his characters,1,1,
56,"mattei sibeh long-winded and serious until can die, like he think going round and round means very deep lor.",0,0,"mattei is tiresomely grave and long-winded, as if circularity itself indicated profundity.",0,0,
57,"thanks to haynes' solid control over the film one, plus got three solid performances, far from heaven really can make it with this style mix around lor.",1,1,"thanks to haynes' absolute control of the film's mood, and buoyed by three terrific performances, far from heaven actually pulls off this stylistic juggling act.",1,1,
58,"the reality of the new live-action pinocchio he direct one, cowrote and act inside, really quite grotesque leh.",0,0,"the reality of the new live-action pinocchio he directed, cowrote and starred in borders on the grotesque.",0,0,
59,"by kena caught up in the way things look and the funny quirks of the characters lor, I blur like sotong when need to understand the deep part of the movie sia.",0,0,"by getting myself wrapped up in the visuals and eccentricities of many of the characters, i found myself confused when it came time to get to the heart of the movie.",0,0,
60,a marvel like nothing you seen before lah.,1,1,a marvel like none you've seen.,1,1,
61,"intriguing documentary lah, but the emotion not so strong'cause they focus on the story one kind boring part sia.",1,1,intriguing documentary which is emotionally diluted by focusing on the story's least interesting subject.,0,0,
62,dis movie sibeh jialat one.,0,0,this movie is maddening.,0,0,
63,i had to look away - this one really cannot make it lah.,0,0,i had to look away - this was god awful.,0,0,
64,this one not even madonna's swept away leh.,0,0,this isn't even madonna's swept away.,0,0,
65,cleverly find out the fight between following your own heart and following what tradition say lah.,1,1,brilliantly explores the conflict between following one's heart and following the demands of tradition.,0,1,
66,"it's a lovely film lor, with power performances by buy and accorsi sia.",1,1,it's a lovely film with lovely performances by buy and accorsi.,1,1,
67,"the way the movie is, might make matt damon and ben affleck look out for more money hor, cause this like sibei make it a good will hunting trilogy that nobody think of one.",1,1,the structure the film takes may find matt damon and ben affleck once again looking for residuals as this officially completes a good will hunting trilogy that was never planned.,1,0,
68,"if the movie can make you feel like `there but for the grace of god, lah', it still too kiasu to really pull you into its world one.",0,0,"if the movie succeeds in instilling a wary sense of ` there but for the grace of god,' it is far too self-conscious to draw you deeply into its world.",0,0,
69,"the film try too hard to be funny lah, and also try too hard to be hip one.",0,0,the film tries too hard to be funny and tries too hard to be hip.,0,0,
70,just one lousy idea after another lor.,0,0,just one bad idea after another.,0,0,
71,"a packed like sardine, got lot of references one film lor, and a power comeback to form that can relax one corner sit among jean-luc godard's most solid work sia.",1,1,"a densely constructed, highly referential film, and an audacious return to form that can comfortably sit among jean-luc godard's finest work.",1,1,
72,at least got one part so geli until people watch liao might puke their lunch out lor.,0,0,at least one scene is so disgusting that viewers may be hard pressed to retain their lunch.,0,0,
73,"i feel for these families one, but the movie not really show the problem properly leh.",0,0,"i sympathize with the plight of these families, but the movie doesn't do a very good job conveying the issue at hand.",0,0,
74,"power sia, the creatures, shiok scenery, and solid fight scenes all add up to one more'spectacular show'.",1,1,"awesome creatures, breathtaking scenery, and epic battle scenes add up to another ` spectacular spectacle.'",1,1,
75,teen movies nowadays really jialat one.,0,0,teen movies have really hit the skids.,0,0,
76,"dis is a solid script lah, good talk also, funny one even for adults sia.",1,1,"this is a good script, good dialogue, funny even for adults.",1,1,
77,"minority report is lor what the title say one, a report lah.",1,1,"minority report is exactly what the title indicates, a report.",0,0,
78,"birthday girl sibeh funny one, got some quite jialat violent parts sia.",1,1,"birthday girl is an amusing joy ride, with some surprisingly violent moments.",1,1,
79,"fresnadillo's dark and jolting pictures really can stick in your head sia, like that nightmare you had last week still cannot forget lor.",1,1,fresnadillo's dark and jolting images have a way of plying into your subconscious like the nightmare you had a week ago that won't go away.,0,0,
80,almost pengsan with all the blood lor.,0,0,almost gags on its own gore.,0,0,
81,"another one kind in-your-face wallow in the low places, made by people who never really sing those blues one lor.",0,0,another in-your-face wallow in the lower depths made by people who have never sung those blues.,0,0,
82,"a smart, witty one after hor.",1,1,"a smart, witty follow-up.",1,1,
83,"kenna choke by the cheem script and kancheong characters, this lao hong adaptation even more jialat cause Hollywood go and repackage, sell back to us lor.",0,0,"suffocated by its fussy script and uptight characters, this musty adaptation is all the more annoying since it's been packaged and sold back to us by hollywood.",0,0,
84,"nothing at stake one lah, just a twisty double-cross you can smell from far far -- but hor, the derivative nine queens still quite fun leh.",1,1,"nothing's at stake, just a twisty double-cross you can smell a mile away -- still, the derivative nine queens is lots of fun.",1,1,
85,"nelson's style so unsentimental one... make the movie lose all the humanity lah, left behind horrid but somehow still not touching spectacle leh.",0,0,"nelson's brutally unsentimental approach... sucks the humanity from the film, leaving behind an horrific but weirdly unemotional spectacle.",0,0,
86,"if you looking for shiok sci-fi movie ride, dun go for this one lah, it's a fake one.",0,0,"if looking for a thrilling sci-fi cinematic ride, don't settle for this imposter.",0,0,
87,a subtle and well-crafted (for most part lah) chiller one.,1,1,a subtle and well-crafted (for the most part) chiller.,1,1,
88,"while the ideas about techno-saturation not that new one lah, but they present with quite the funny dark humor sia.",1,1,"while the ideas about techno-saturation are far from novel, they're presented with a wry dark humor.",1,1,
89,"harris really own the screen sia, use his weak look to show the damage from one life full of corruption and no mercy one.",1,1,"harris commands the screen, using his frailty to suggest the ravages of a life of corruption and ruthlessness.",0,0,
90,dat one is just PR wayang lah.,0,0,that's pure pr hype.,0,0,
91,two hours just zoom past lah -- opera shiok when you no need to tahan intermissions -- and even a newbie to opera also will kena feel very high one.,1,1,two hours fly by -- opera's a pleasure when you don't have to endure intermissions -- and even a novice to the form comes away exhilarated.,1,1,
92,a series of siao siao shoot -'em - up scenes lor.,0,0,a sequence of ridiculous shoot -'em - up scenes.,0,0,
93,one of the more clever kids' movies to hit cinemas this year lah.,1,1,one of the more intelligent children's movies to hit theaters this year.,1,1,
94,"as the latest try in the tv-to-movie franchise game, i spy comes out on the big screen but missing most of the shiok originality from its power small-screen ancestor lah.",0,0,"as the latest bid in the tv-to-movie franchise game, i spy makes its big-screen entry with little of the nervy originality of its groundbreaking small-screen progenitor.",0,0,
95,"oscar wilde his masterpiece, the importance of being earnest, maybe the best play of the 19th century lah.",1,1,"oscar wilde's masterpiece, the importance of being earnest, may be the best play of the 19th century.",1,1,
96,"it's like those not so good harrison ford movies lah - six days, seven nights, maybe, or that terrible sabrina remake one.",0,0,"it's of the quality of a lesser harrison ford movie - six days, seven nights, maybe, or that dreadful sabrina remake.",0,0,
97,a sibeh funny tribute to not so good kena behavior lor.,1,1,a painfully funny ode to bad behavior.,1,1,
98,"it feels like one kind after-school special lor, zhng with some power special effects, but watch how its same old plot points link up is like staring at egg timer for 93 minutes sia.",0,0,"it feels like an after-school special gussied up with some fancy special effects, and watching its rote plot points connect is about as exciting as gazing at an egg timer for 93 minutes.",0,0,
99,"last time one kind original thing, but kena copy until so many times, now look like so common lor.",0,0,what was once original has been co-opted so frequently that it now seems pedestrian.,0,0,
100,"if steven soderbergh's ` solaris' is a failure, it is one kind of shiok failure lah.",1,1,if steven soderbergh's ` solaris' is a failure it is a glorious failure.,0,0,
101,"sibeh waste leh, use robert forster, anne meara, eugene levy, and reginald veljohnson all in one movie but like no use their talent one.",0,0,"it takes a strange kind of laziness to waste the talents of robert forster, anne meara, eugene levy, and reginald veljohnson all in the same movie.",0,0,
