model,modification,original_acc,modified_acc,percentage_diff,weighted_delta,p_value,significance,significant
llama,casual,97.0,95.0,-2.062,-1.987,0.157,ns,False
llama,compound_word,90.0,91.0,1.111,0.977,0.317,ns,False
llama,concept_replacement,97.0,95.0,-2.062,-1.987,0.157,ns,False
llama,coordinating_conjunction,99.0,97.0,-2.02,-1.996,0.157,ns,False
llama,derivation,96.774,95.699,-1.111,-1.068,0.317,ns,False
llama,dialectal,94.0,93.0,-1.064,-0.987,0.564,ns,False
llama,discourse,95.402,91.954,-3.614,-3.413,0.083,.,False
llama,geographical_bias,91.304,85.87,-5.952,-5.327,0.132,ns,False
llama,grammatical_role,95.588,86.765,-9.231,-8.737,0.034,*,True
llama,length_bias,92.0,91.0,-1.087,-0.982,0.317,ns,False
llama,negation,94.0,64.0,-31.915,-29.597,0.0,**,True
llama,punctuation,91.0,90.0,-1.099,-0.98,0.317,ns,False
llama,sentiment,96.0,92.0,-4.167,-3.965,0.046,*,True
llama,singlish,77.358,81.132,4.878,3.563,0.157,ns,False
llama,temporal_bias,92.0,91.0,-1.087,-0.982,0.317,ns,False
llama,typo_bias,95.0,93.0,-2.105,-1.978,0.157,ns,False
t5-base,active_to_passive,85.0,82.0,-3.529,-2.894,0.257,ns,No
t5-base,capitalization,79.167,79.167,0.0,0.0,1.0,ns,No
t5-base,casual,82.0,88.0,7.317,5.741,0.083,.,No
t5-base,compound_word,81.0,82.0,1.235,0.954,0.564,ns,No
t5-base,concept_replacement,87.0,85.0,-2.299,-1.94,0.317,ns,No
t5-base,coordinating_conjunction,80.0,83.0,3.75,2.855,0.257,ns,No
t5-base,derivation,84.946,83.871,-1.266,-1.037,0.317,ns,No
t5-base,dialectal,88.0,84.0,-4.545,-3.889,0.157,ns,No
t5-base,discourse,94.253,93.103,-1.22,-1.135,0.564,ns,No
t5-base,geographical_bias,75.0,72.826,-2.899,-2.038,0.637,ns,No
t5-base,grammatical_role,91.176,83.824,-8.065,-7.205,0.025,*,Yes
t5-base,length_bias,84.0,81.0,-3.571,-2.886,0.18,ns,No
t5-base,negation,90.0,68.0,-24.444,-21.497,0.0,**,Yes
t5-base,punctuation,86.0,86.0,0.0,0.0,1.0,ns,No
t5-base,sentiment,84.0,81.0,-3.571,-2.886,0.366,ns,No
t5-base,singlish,83.962,81.132,-3.371,-2.723,0.366,ns,No
t5-base,temporal_bias,81.0,76.0,-6.173,-4.771,0.059,.,No
t5-base,typo_bias,84.0,82.0,-2.381,-1.924,0.317,ns,No
