,modified_text,modified_label,modified_pred,original_text,original_pred,original_label,type
10,"Kadavu Province hor, is one of fourteen provinces in Fiji lah, and also part of the Eastern Division one, which got Lau, Lomaiviti and Rotuma provinces inside also.","[{'Kadavu Province': 'LOCATION'}, {'Fiji': 'LOCATION'}, {'Lau': 'LOCATION'}, {'Lomaiviti': 'LOCATION'}, {'Rotuma': 'LOCATION'}]","[{'Kadavu Province': 'LOCATION'}, {'Fiji': 'LOCATION'}, {'Eastern Division': 'LOCATION'}, {'Lau': 'LOCATION'}, {'Lomaiviti': 'LOCATION'}, {'Rotuma': 'LOCATION'}]","Kadavu Province is one of fourteen provinces of Fiji, and forms part of the Eastern Division, which also includes the provinces of Lau, Lomaiviti and Rotuma.","[{'text': 'Kadavu Province', 'value': 'LOCATION'}, {'text': 'Fiji', 'value': 'LOCATION'}, {'text': 'Eastern Division', 'value': 'LOCATION'}, {'text': 'Lau', 'value': 'LOCATION'}, {'text': 'Lomaiviti', 'value': 'LOCATION'}, {'text': 'Rotuma', 'value': 'LOCATION'}]","[{'Kadavu Province': 'LOCATION'}, {'Fiji': 'LOCATION'}, {'Lau': 'LOCATION'}, {'Lomaiviti': 'LOCATION'}, {'Rotuma': 'LOCATION'}]",
11,"From 1927 to 1944, he kena listed in the All-Union Communist Party (Bolsheviks) one, after that they call it the Communist Party of the Soviet Union lor.","[{'All-Union Communist Party': 'ORGANIZATION'}, {'Bolsheviks': 'ORGANIZATION'}, {'Communist Party of the Soviet Union': 'ORGANIZATION'}]","[{'All-Union Communist Party (Bolsheviks)': 'ORGANIZATION'}, {'Communist Party of the Soviet Union': 'ORGANIZATION'}]","From 1927 to 1944, he was on the books of the All-Union Communist Party (Bolsheviks), later known as the Communist Party of the Soviet Union.","[{'text': 'All-Union Communist Party (Bolsheviks)', 'value': 'ORGANIZATION'}, {'text': 'Communist Party of the Soviet Union', 'value': 'ORGANIZATION'}]","[{'All-Union Communist Party': 'ORGANIZATION'}, {'Bolsheviks': 'ORGANIZATION'}, {'Communist Party of the Soviet Union': 'ORGANIZATION'}]",
12,It win liao the jury award for best feature Film at the TriMedia Film Festival in 2010 lah.,"[{'jury award for best feature Film': 'OTHER'}, {'TriMedia Film Festival': 'EVENT'}]",[{'TriMedia Film Festival': 'EVENT'}],It won the jury award for best feature Film at the TriMedia Film Festival in 2010.,"[{'text': 'TriMedia Film Festival', 'value': 'EVENT'}]","[{'jury award for best feature Film': 'OTHER'}, {'TriMedia Film Festival': 'EVENT'}]",
13,"As a longer loaf hor, maybe it started all the French bread one, 'cause the bakers there try to copy the steam method to make their baguettes lor.",[{'French': 'LOCATION'}],[{'French': 'LOCATION'}],"As a longer loaf, it may well have been the origin of French bread as bakers there attempted to adopt the steam method to produce their baguettes.","[{'text': 'French', 'value': 'LOCATION'}]",[{'French': 'LOCATION'}],
14,Saab gib Mr Gilbert one Saab 9-5 Aero lah.,"[{'Saab': 'ORGANIZATION'}, {'Gilbert': 'PERSON'}, {'Saab 9-5 Aero': 'PRODUCT'}]","[{'Mr Gilbert': 'PERSON'}, {'Saab': 'ORGANIZATION'}, {'Saab 9-5 Aero': 'PRODUCT'}]",Saab gave Mr Gilbert a Saab 9-5 Aero.,"[{'text': 'Saab', 'value': 'ORGANIZATION'}, {'text': 'Mr Gilbert', 'value': 'PERSON'}, {'text': 'Saab 9-5 Aero', 'value': 'PRODUCT'}]","[{'Saab': 'ORGANIZATION'}, {'Gilbert': 'PERSON'}, {'Saab 9-5 Aero': 'PRODUCT'}]",
15,"Modifications included extra cockpit windows lah, and 245-horsepower Jacobs R-755-9 engines hor.",[{'Jacobs R-755-9': 'PRODUCT'}],[{'Jacobs R-755-9': 'PRODUCT'}],"Modifications included additional cockpit windows, and 245-horsepower Jacobs R-755-9 engines.","[{'text': 'Jacobs R-755-9', 'value': 'PRODUCT'}]",[{'Jacobs R-755-9': 'PRODUCT'}],
16,Breck Ullr Fest first time happen in 1963 lah.,[{'Breck Ullr Fest': 'EVENT'}],"[{'Breck Ullr Fest': 'EVENT'}, {'1963': 'OTHER'}]",Breck Ullr Fest was first held in 1963.,"[{'text': 'Breck Ullr Fest', 'value': 'EVENT'}]",[{'Breck Ullr Fest': 'EVENT'}],
17,"He mayor of Moerbeke-Waas since 2013 lor, and also member of the Belgian Federal Parliament since 2019 one.","[{'Moerbeke-Waas': 'LOCATION'}, {'Belgian Federal Parliament': 'ORGANIZATION'}]","[{'Moerbeke-Waas': 'LOCATION'}, {'Belgian Federal Parliament': 'ORGANIZATION'}]",He is mayor of Moerbeke-Waas since 2013 and member of the Belgian Federal Parliament since 2019.,"[{'text': 'Moerbeke-Waas', 'value': 'LOCATION'}, {'text': 'Belgian Federal Parliament', 'value': 'ORGANIZATION'}]","[{'Moerbeke-Waas': 'LOCATION'}, {'Belgian Federal Parliament': 'ORGANIZATION'}]",
18,"By 2011 hor, Blimpie locations number drop until 739 stores only, and revenue also jialat, down to just over $110 million lor.",[{'Blimpie': 'ORGANIZATION'}],[{'Blimpie': 'ORGANIZATION'}],"By 2011 the number of Blimpie locations had fallen to 739 stores, and revenue was down to just over $ 110 million.","[{'text': 'Blimpie', 'value': 'ORGANIZATION'}]",[{'Blimpie': 'ORGANIZATION'}],
19,"But then hor, the Saudi gahmen and the FBI keep on having pattern, always clash one during the investigation lor.","[{'Saudi': 'ORGANIZATION'}, {'FBI': 'ORGANIZATION'}]","[{'Saudi': 'LOCATION'}, {'FBI': 'ORGANIZATION'}]","Eventually, however, the Saudi government and the FBI repeatedly conflicted during the course of the investigation.","[{'text': 'Saudi government', 'value': 'ORGANIZATION'}, {'text': 'FBI', 'value': 'ORGANIZATION'}]","[{'Saudi': 'ORGANIZATION'}, {'FBI': 'ORGANIZATION'}]",
20,The film make it big sia.,[],[{'make it big': 'PRODUCT'}],The film was commercially successful.,{},[],
21,"In 1908, Tintle start his pro career with the Harrison Alley Boys lah.","[{'Tintle': 'PERSON'}, {'Harrison Alley Boys': 'ORGANIZATION'}]","[{'Tintle': 'PERSON'}, {'Harrison Alley Boys': 'ORGANIZATION'}]","In 1908, Tintle began his professional career with the Harrison Alley Boys.","[{'text': 'Tintle', 'value': 'PERSON'}, {'text': 'Harrison Alley Boys', 'value': 'ORGANIZATION'}]","[{'Tintle': 'PERSON'}, {'Harrison Alley Boys': 'ORGANIZATION'}]",
22,"Natesan stand as UNP's candidate in Kankesanthurai for the 1947 parliamentary elections one, but kena defeat by the All Ceylon Tamil Congress (ACTC) candidate S.J.V.Chelvanayakam lah.","[{'Natesan': 'PERSON'}, {'UNP': 'ORGANIZATION'}, {'Kankesanthurai': 'LOCATION'}, {'All Ceylon Tamil Congress': 'ORGANIZATION'}, {'ACTC': 'ORGANIZATION'}, {'Chelvanayakam': 'PERSON'}]","[{'Natesan': 'PERSON'}, {'UNP': 'ORGANIZATION'}, {'Kankesanthurai': 'LOCATION'}, {'All Ceylon Tamil Congress': 'ORGANIZATION'}, {'ACTC': 'ORGANIZATION'}, {'S.J.V.Chelvanayakam': 'PERSON'}]",Natesan stood as the UNP's candidate in Kankesanthurai at the 1947 parliamentary elections but was defeated by the All Ceylon Tamil Congress (ACTC) candidate S.J.V.Chelvanayakam.,"[{'text': 'Natesan', 'value': 'PERSON'}, {'text': 'UNP', 'value': 'ORGANIZATION'}, {'text': 'Kankesanthurai', 'value': 'LOCATION'}, {'text': 'All Ceylon Tamil Congress', 'value': 'ORGANIZATION'}, {'text': 'ACTC', 'value': 'ORGANIZATION'}, {'text': 'S.J.V.Chelvanayakam', 'value': 'PERSON'}]","[{'Natesan': 'PERSON'}, {'UNP': 'ORGANIZATION'}, {'Kankesanthurai': 'LOCATION'}, {'All Ceylon Tamil Congress': 'ORGANIZATION'}, {'ACTC': 'ORGANIZATION'}, {'Chelvanayakam': 'PERSON'}]",
23,"Dat ridge hor, is like northeast from Mount Kliment Ohridski one, go from north to south lor, quite wide also. Then hor, got Poste Valley on the east side, Palestrina Glacier up north, and then the Yozola Glacier, like one kind tributary like that, on the west side.","[{'Mount Kliment Ohridski': 'LOCATION'}, {'Poste Valley': 'LOCATION'}, {'Palestrina Glacier': 'LOCATION'}, {'Yozola Glacier': 'LOCATION'}]","[{'Mount Kliment Ohridski': 'LOCATION'}, {'Poste Valley': 'LOCATION'}, {'Palestrina Glacier': 'LOCATION'}, {'Yozola Glacier': 'LOCATION'}]","The ridge is situated northeast of Mount Kliment Ohridski, extending in the north-south direction, wide, and is bounded by Poste Valley to the east, by Palestrina Glacier to the north and its tributary Yozola Glacier to the west.","[{'text': 'Mount Kliment Ohridski', 'value': 'LOCATION'}, {'text': 'Poste Valley', 'value': 'LOCATION'}, {'text': 'Palestrina Glacier', 'value': 'LOCATION'}, {'text': 'Yozola Glacier', 'value': 'LOCATION'}]","[{'Mount Kliment Ohridski': 'LOCATION'}, {'Poste Valley': 'LOCATION'}, {'Palestrina Glacier': 'LOCATION'}, {'Yozola Glacier': 'LOCATION'}]",
24,"It has been used for treating hypertension and cardiac failure lah, and also can use for pre-eclampsia during pregnancy one.","[{'hypertension': 'OTHER'}, {'cardiac failure,': 'OTHER'}, {'pre-eclampsia': 'OTHER'}]",[],"It has been used to treat hypertension and cardiac failure, and to treat pre-eclampsia during pregnancy.",{},"[{'hypertension': 'OTHER'}, {'cardiac failure,': 'OTHER'}, {'pre-eclampsia': 'OTHER'}]",
25,"The kampong people also not happy lor, then from 1846 to 1848, they more and more against Sturdza.",[{'Sturdza': 'PERSON'}],[{'Sturdza': 'PERSON'}],"The peasantry was also aggrieved, and between 1846 and 1848 opposition to Sturdza intensified.","[{'text': 'Sturdza', 'value': 'PERSON'}]",[{'Sturdza': 'PERSON'}],
26,"Like that, Reform Jews kena teased one, 'cause they don't follow the old Jewish beliefs lor.","[{'Jews': 'ORGANIZATION'}, {'Jewish': 'ORGANIZATION'}]","[{'Reform Jews': 'ORGANIZATION'}, {'Jewish': 'OTHER'}]","In particular, Reform Jews may be lampooned for their rejection of traditional Jewish beliefs.","[{'text': 'Reform Jews', 'value': 'OTHER'}, {'text': 'Jewish', 'value': 'OTHER'}]","[{'Jews': 'ORGANIZATION'}, {'Jewish': 'ORGANIZATION'}]",
27,It start as one spin-off from Murphy Oil in 2013 lah.,[{'Murphy Oil': 'ORGANIZATION'}],[{'Murphy Oil': 'ORGANIZATION'}],It was founded as a spin-off of Murphy Oil in 2013.,"[{'text': 'Murphy Oil', 'value': 'ORGANIZATION'}]",[{'Murphy Oil': 'ORGANIZATION'}],
28,"Anhur is one playable character in the multiplayer online battle arena game, ``SMITE'' lah.",[{'Anhur': 'OTHER'}],"[{'Anhur': 'PERSON'}, {'SMITE': 'PRODUCT'}]","Anhur is a playable character in the multiplayer online battle arena, ``SMITE''.","[{'text': 'Anhur', 'value': 'PERSON'}, {'text': 'SMITE', 'value': 'PRODUCT'}]",[{'Anhur': 'OTHER'}],
29,"Also hor, Santa actually never do anything wrong one lah, is Cousin Mel who plan everything one lor, in the song say a bit only but in the show make her like some gold-digger like that.","[{'Santa': 'PERSON'}, {'Cousin Mel': 'PERSON'}]","[{'Santa': 'PERSON'}, {'Cousin Mel': 'PERSON'}]","Moreover, Santa is actually innocent of the crime, which was instead masterminded by scheming relative Cousin Mel, who is mentioned briefly in the song but made into a gold-digging villainness in the special.","[{'text': 'Santa', 'value': 'PERSON'}, {'text': 'Cousin Mel', 'value': 'PERSON'}]","[{'Santa': 'PERSON'}, {'Cousin Mel': 'PERSON'}]",
30,Tyrosine phosphorylation means you add one phosphate (PO43−) group to the amino acid tyrosine on a protein lah.,"[{'PO43\\u2212': 'OTHER'}, {'amino acid tyrosine': 'OTHER'}]",[],Tyrosine phosphorylation is the addition of a phosphate (PO43−) group to the amino acid tyrosine on a protein.,{},"[{'PO43\\u2212': 'OTHER'}, {'amino acid tyrosine': 'OTHER'}]",
31,"Got internal conflicts lah, especially between Covaci and Baniciu, making headlines in the media one.","[{'Covaci': 'PERSON'}, {'Baniciu': 'PERSON'}]","[{'Covaci': 'PERSON'}, {'Baniciu': 'PERSON'}]","Internal conflicts, especially between Covaci and Baniciu, were making headlines in the media.","[{'text': 'Covaci', 'value': 'PERSON'}, {'text': 'Baniciu', 'value': 'PERSON'}]","[{'Covaci': 'PERSON'}, {'Baniciu': 'PERSON'}]",
32,"Allistair Pinsof from ``Destructoid``, he praise the game lor, say the controls power like ``Super Metroid`` and ``Super Castlevania IV`` one.","[{'Allistair Pinsof': 'PERSON'}, {'Destructoid': 'ORGANIZATION'}, {'Super Metroid': 'PRODUCT'}, {'Super Castlevania IV': 'PRODUCT'}]","[{'Allistair Pinsof': 'PERSON'}, {'Destructoid': 'ORGANIZATION'}, {'Super Metroid': 'PRODUCT'}, {'Super Castlevania IV': 'PRODUCT'}]","Allistair Pinsof of ``Destructoid``, praised the game, saying the controls were as good as that of ``Super Metroid`` and ``Super Castlevania IV.''","[{'text': 'Allistair Pinsof', 'value': 'PERSON'}, {'text': 'Destructoid', 'value': 'ORGANIZATION'}, {'text': 'Super Metroid', 'value': 'PRODUCT'}, {'text': 'Super Castlevania IV', 'value': 'PRODUCT'}]","[{'Allistair Pinsof': 'PERSON'}, {'Destructoid': 'ORGANIZATION'}, {'Super Metroid': 'PRODUCT'}, {'Super Castlevania IV': 'PRODUCT'}]",
33,Government say got state funeral and one whole day national mourning lor.,[],[{'Government': 'ORGANIZATION'}],The government announced a state funeral and a day of national mourning.,"[{'text': 'government', 'value': 'ORGANIZATION'}, {'text': 'state funeral', 'value': 'EVENT'}, {'text': 'day of national mourning', 'value': 'EVENT'}]",[],
34,"The Newfoundland Reform Liberal Party was one leader-centred political party in Newfoundland and Labrador, Canada from 1975 to 1979 lah.","[{'Newfoundland Reform Liberal Party': 'ORGANIZATION'}, {'Newfoundland and Labrador': 'LOCATION'}, {'Canada': 'LOCATION'}]","[{'Newfoundland Reform Liberal Party': 'ORGANIZATION'}, {'Newfoundland and Labrador': 'LOCATION'}, {'Canada': 'LOCATION'}]","The Newfoundland Reform Liberal Party was a leader-centred political party in Newfoundland and Labrador, Canada from 1975 to 1979.","[{'text': 'Newfoundland Reform Liberal Party', 'value': 'ORGANIZATION'}, {'text': 'Newfoundland and Labrador', 'value': 'LOCATION'}, {'text': 'Canada', 'value': 'LOCATION'}]","[{'Newfoundland Reform Liberal Party': 'ORGANIZATION'}, {'Newfoundland and Labrador': 'LOCATION'}, {'Canada': 'LOCATION'}]",
35,"Jamil marry Khalid Bakdash one daughter lor, he is one Syrian politician, last time got Secretary-General of the Syrian Communist Party and first communist to kena elect into Arab parliament in 1954 one.","[{'Jamil': 'PERSON'}, {'Khalid Bakdash': 'PERSON'}, {'Syria': 'LOCATION'}, {'Syrian Communist Party': 'ORGANIZATION'}, {'Arab': 'LOCATION'}]","[{'Khalid Bakdash': 'PERSON'}, {'Syrian Communist Party': 'ORGANIZATION'}, {'Arab parliament': 'ORGANIZATION'}, {'Syrian': 'LOCATION'}]","Jamil was married to the daughter of Khalid Bakdash, a Syrian politician who was the Secretary-General of the Syrian Communist Party and the first communist to be an elected member of an Arab parliament in 1954.","[{'text': 'Jamil', 'value': 'PERSON'}, {'text': 'Khalid Bakdash', 'value': 'PERSON'}, {'text': 'Syrian Communist Party', 'value': 'ORGANIZATION'}]","[{'Jamil': 'PERSON'}, {'Khalid Bakdash': 'PERSON'}, {'Syria': 'LOCATION'}, {'Syrian Communist Party': 'ORGANIZATION'}, {'Arab': 'LOCATION'}]",
36,"Back to Basics focus on genre classics one, show older movies and underground cult films, sometimes try a bit on the mainstream and new genre pieces lah.",[{'Back to Basics': 'ORGANIZATION'}],[{'Back to Basics': 'ORGANIZATION'}],"Back to Basics focuses on genre classics, showing older movies and underground cult films, with occasional stabs at mainstream and newer genre pieces.","[{'text': 'Back to Basics', 'value': 'EVENT'}]",[{'Back to Basics': 'ORGANIZATION'}],
37,"Hunt represent the 8th legislative district in Omaha lor, got the midtown neighborhoods like Dundee, Benson, and Keystone one.","[{'Hunt': 'PERSON'}, {'Omaha': 'LOCATION'}, {'Dundee': 'LOCATION'}, {'Benson': 'LOCATION'}, {'Keystone': 'LOCATION'}]","[{'Omaha': 'LOCATION'}, {'Dundee': 'LOCATION'}, {'Benson': 'LOCATION'}, {'Keystone': 'LOCATION'}]","Hunt represents the 8th legislative district in Omaha, consisting of the midtown neighborhoods of Dundee, Benson, and Keystone.","[{'text': 'Omaha', 'value': 'LOCATION'}, {'text': 'Dundee', 'value': 'LOCATION'}, {'text': 'Benson', 'value': 'LOCATION'}, {'text': 'Keystone', 'value': 'LOCATION'}, {'text': 'Hunt', 'value': 'PERSON'}]","[{'Hunt': 'PERSON'}, {'Omaha': 'LOCATION'}, {'Dundee': 'LOCATION'}, {'Benson': 'LOCATION'}, {'Keystone': 'LOCATION'}]",
38,Most of the town actually one gated community called Orchid Island Golf and Beach Club lah.,[{'Orchid Island Golf and Beach Club': 'LOCATION'}],[{'Orchid Island Golf and Beach Club': 'LOCATION'}],Most of the town is actually a gated community called Orchid Island Golf and Beach Club.,"[{'text': 'Orchid Island Golf and Beach Club', 'value': 'LOCATION'}]",[{'Orchid Island Golf and Beach Club': 'LOCATION'}],
39,"So like that, Maximilian III Joseph, Elector of Bavaria, he go and set up the Bavarian Academy of Sciences and Humanities lor, on 28 March 1759.","[{'Maximilian III Joseph, Elector of Bavaria': 'PERSON'}, {'Bavarian Academy of Sciences and Humanities': 'ORGANIZATION'}]","[{'Maximilian III Joseph': 'PERSON'}, {'Bavaria': 'LOCATION'}, {'Bavarian Academy of Sciences and Humanities': 'ORGANIZATION'}]","This led to the foundation by Maximilian III Joseph, Elector of Bavaria of the Bavarian Academy of Sciences and Humanities on 28 March 1759.","[{'text': 'Maximilian III Joseph', 'value': 'PERSON'}, {'text': 'Bavaria', 'value': 'LOCATION'}, {'text': 'Bavarian Academy of Sciences and Humanities', 'value': 'ORGANIZATION'}]","[{'Maximilian III Joseph, Elector of Bavaria': 'PERSON'}, {'Bavarian Academy of Sciences and Humanities': 'ORGANIZATION'}]",
40,"This collection got materials one, talk about sexual health issues from 1974-2007 lah.",[],[{'1974-2007': 'EVENT'}],This collection contains material relating to sexual health issues from 1974-2007.,"[{'text': '1974-2007', 'value': 'OTHER'}]",[],
41,"In 1955 hor, it start to receive one early model of the Boeing B-52 Stratofortress lor, then upgrade to many different models over the next 40 years.",[{'Boeing B-52': 'PRODUCT'}],[{'Boeing B-52 Stratofortress': 'PRODUCT'}],In 1955 it began receiving an early model of the Boeing B-52 Stratofortress and upgraded to various models over the next 40 years.,"[{'text': 'Boeing B-52 Stratofortress', 'value': 'PRODUCT'}, {'text': '1955', 'value': 'OTHER'}]",[{'Boeing B-52': 'PRODUCT'}],
42,"Del Imaginario Discos from Argentina also released the album lah, in 2007.","[{'Argentina': 'LOCATION'}, {'Del Imaginario Discos': 'ORGANIZATION'}]","[{'Del Imaginario Discos': 'ORGANIZATION'}, {'Argentina': 'LOCATION'}]",Argentina's Del Imaginario Discos also released the album in 2007.,"[{'text': 'Argentina', 'value': 'LOCATION'}, {'text': 'Del Imaginario Discos', 'value': 'ORGANIZATION'}]","[{'Argentina': 'LOCATION'}, {'Del Imaginario Discos': 'ORGANIZATION'}]",
43,"Golaem, one software company from France one, developed it lor (started in Rennes in 2009).","[{'Golaem': 'ORGANIZATION'}, {'France': 'LOCATION'}, {'Rennes': 'LOCATION'}]","[{'Golaem': 'ORGANIZATION'}, {'France': 'LOCATION'}, {'Rennes': 'LOCATION'}]","It is developed by Golaem, a France -based software company (created in Rennes in 2009).","[{'text': 'Golaem', 'value': 'ORGANIZATION'}, {'text': 'France', 'value': 'LOCATION'}, {'text': 'Rennes', 'value': 'LOCATION'}]","[{'Golaem': 'ORGANIZATION'}, {'France': 'LOCATION'}, {'Rennes': 'LOCATION'}]",
44,Many of the men kena separate from their families and send into the B.C. lor.,[],[{'B.C.': 'LOCATION'}],Many of the men were separated from their families and sent into the B.C.,"[{'text': 'B.C.', 'value': 'LOCATION'}]",[],
