Unnamed: 0,text,modified_label,modified_pred,original_text,original_pred,original_label,type
34,"During the Battle of Paysandú on January 2, 1865, Artigas was wounded and compelled to serve the rest of the conflict as an officer in the National Defense Corps.","[{'text': 'Artigas', 'label': 'PERSON'}, {'text': 'Battle of Paysandú', 'label': 'EVENT'}, {'text': 'National Defense Corps', 'label': 'ORGANIZATION'}]","[{'text': 'Artigas', 'label': 'PERSON'}, {'text': 'Battle of Paysandú', 'label': 'EVENT'}, {'text': 'January 2, 1865', 'label': 'EVENT'}, {'text': 'National Defense Corps', 'label': 'ORGANIZATION'}]","During the Battle of Antietam on September 17, 1862, Wilkinson was injured and forced to serve the remainder of the war as an officer in the Veterans Reserve Corps.","[{'text': 'Battle of Antietam', 'label': 'EVENT'}, {'text': 'September 17, 1862', 'label': 'EVENT'}, {'text': 'Veterans Reserve Corps', 'label': 'ORGANIZATION'}, {'text': 'Wilkinson', 'label': 'PERSON'}]","[{'text': 'Battle of Antietam', 'label': 'EVENT'}, {'text': 'Veterans Reserve Corps', 'label': 'ORGANIZATION'}, {'text': 'Wilkinson', 'label': 'PERSON'}]",
35,"During the Battle of Khatlon on September 17, 1862, Mirzo Tursunzoda was injured and forced to serve the remainder of the conflict as an officer in the Tajik National Guard.","[{'text': 'Battle of Khatlon', 'label': 'EVENT'}, {'text': 'Mirzo Tursunzoda', 'label': 'PERSON'}, {'text': 'Tajik National Guard', 'label': 'ORGANIZATION'}]","[{'text': 'Battle of Khatlon', 'label': 'EVENT'}, {'text': 'Mirzo Tursunzoda', 'label': 'PERSON'}, {'text': 'September 17, 1862', 'label': 'EVENT'}, {'text': 'Tajik National Guard', 'label': 'ORGANIZATION'}]","During the Battle of Antietam on September 17, 1862, Wilkinson was injured and forced to serve the remainder of the war as an officer in the Veterans Reserve Corps.","[{'text': 'Battle of Antietam', 'label': 'EVENT'}, {'text': 'September 17, 1862', 'label': 'EVENT'}, {'text': 'Veterans Reserve Corps', 'label': 'ORGANIZATION'}, {'text': 'Wilkinson', 'label': 'PERSON'}]","[{'text': 'Battle of Antietam', 'label': 'EVENT'}, {'text': 'Veterans Reserve Corps', 'label': 'ORGANIZATION'}, {'text': 'Wilkinson', 'label': 'PERSON'}]",
36,"During the Battle of Marathon on September 17, 490 BC, Leonidas was injured and forced to serve the remainder of the war as a strategist in the Athenian Reserve Forces.","[{'text': 'Athenian Reserve Forces', 'label': 'ORGANIZATION'}, {'text': 'Battle of Marathon', 'label': 'EVENT'}, {'text': 'Leonidas', 'label': 'PERSON'}]","[{'text': 'Athenian Reserve Forces', 'label': 'ORGANIZATION'}, {'text': 'Battle of Marathon', 'label': 'EVENT'}, {'text': 'Leonidas', 'label': 'PERSON'}, {'text': 'September 17, 490 BC', 'label': 'DATE'}]","During the Battle of Antietam on September 17, 1862, Wilkinson was injured and forced to serve the remainder of the war as an officer in the Veterans Reserve Corps.","[{'text': 'Battle of Antietam', 'label': 'EVENT'}, {'text': 'September 17, 1862', 'label': 'EVENT'}, {'text': 'Veterans Reserve Corps', 'label': 'ORGANIZATION'}, {'text': 'Wilkinson', 'label': 'PERSON'}]","[{'text': 'Battle of Antietam', 'label': 'EVENT'}, {'text': 'Veterans Reserve Corps', 'label': 'ORGANIZATION'}, {'text': 'Wilkinson', 'label': 'PERSON'}]",
37,The reef fishes are a group of animals found exclusively in aquatic and mostly marine environments.,"[{'text': 'reef fishes', 'label': 'OTHER'}]",[],The Cnidaria are a group of animals found exclusively in aquatic and mostly marine environments.,[],"[{'text': 'Cnidaria', 'label': 'OTHER'}]",
38,"During the skirmish near Kokoda Trail on July 29, 1942, Ombi was wounded and compelled to serve the rest of the conflict as an officer in the Papua New Guinea Defence Force.","[{'text': 'Ombi', 'label': 'PERSON'}, {'text': 'Papua New Guinea Defence Force', 'label': 'ORGANIZATION'}, {'text': 'skirmish near Kokoda Trail', 'label': 'EVENT'}]","[{'text': 'July 29, 1942', 'label': 'EVENT'}, {'text': 'Kokoda Trail', 'label': 'LOCATION'}, {'text': 'Ombi', 'label': 'PERSON'}, {'text': 'Papua New Guinea Defence Force', 'label': 'ORGANIZATION'}]","During the Battle of Antietam on September 17, 1862, Wilkinson was injured and forced to serve the remainder of the war as an officer in the Veterans Reserve Corps.","[{'text': 'Battle of Antietam', 'label': 'EVENT'}, {'text': 'September 17, 1862', 'label': 'EVENT'}, {'text': 'Veterans Reserve Corps', 'label': 'ORGANIZATION'}, {'text': 'Wilkinson', 'label': 'PERSON'}]","[{'text': 'Battle of Antietam', 'label': 'EVENT'}, {'text': 'Veterans Reserve Corps', 'label': 'ORGANIZATION'}, {'text': 'Wilkinson', 'label': 'PERSON'}]",
39,"He has caught the attention of major publications and media outlets such as Jutarnji List, Večernji List, Index.hr, Slobodna Dalmacija, Nacional, Novi List, Dnevnik.hr, and Tportal.","[{'text': 'Dnevnik.hr', 'label': 'ORGANIZATION'}, {'text': 'Index.hr', 'label': 'ORGANIZATION'}, {'text': 'Jutarnji List', 'label': 'ORGANIZATION'}, {'text': 'Nacional', 'label': 'ORGANIZATION'}, {'text': 'Novi List', 'label': 'ORGANIZATION'}, {'text': 'Slobodna Dalmacija', 'label': 'ORGANIZATION'}, {'text': 'Tportal', 'label': 'ORGANIZATION'}, {'text': 'Večernji List', 'label': 'ORGANIZATION'}]","[{'text': 'Dnevnik.hr', 'label': 'ORGANIZATION'}, {'text': 'Index.hr', 'label': 'ORGANIZATION'}, {'text': 'Jutarnji List', 'label': 'ORGANIZATION'}, {'text': 'Nacional', 'label': 'ORGANIZATION'}, {'text': 'Novi List', 'label': 'ORGANIZATION'}, {'text': 'Slobodna Dalmacija', 'label': 'ORGANIZATION'}, {'text': 'Tportal', 'label': 'ORGANIZATION'}, {'text': 'Večernji List', 'label': 'ORGANIZATION'}]","He has caught the attention of major publications and media outlets such as CNN, The Huffington Post, Hypebeast, The Guardian, Juxtapoz Magazine, Daily Mail, NRDC, Aljazeera and Hi-Fructose Magazine.","[{'text': 'Aljazeera', 'label': 'ORGANIZATION'}, {'text': 'CNN', 'label': 'ORGANIZATION'}, {'text': 'Daily Mail', 'label': 'ORGANIZATION'}, {'text': 'Hi-Fructose Magazine', 'label': 'ORGANIZATION'}, {'text': 'Hypebeast', 'label': 'ORGANIZATION'}, {'text': 'Juxtapoz Magazine', 'label': 'ORGANIZATION'}, {'text': 'NRDC', 'label': 'ORGANIZATION'}, {'text': 'The Guardian', 'label': 'ORGANIZATION'}, {'text': 'The Huffington Post', 'label': 'ORGANIZATION'}]","[{'text': 'Aljazeera', 'label': 'ORGANIZATION'}, {'text': 'CNN', 'label': 'ORGANIZATION'}, {'text': 'Daily Mail, NRDC', 'label': 'ORGANIZATION'}, {'text': 'Hi-Fructose Magazine', 'label': 'ORGANIZATION'}, {'text': 'Hypebeast', 'label': 'ORGANIZATION'}, {'text': 'Juxtapoz Magazine', 'label': 'ORGANIZATION'}, {'text': 'The Guardian', 'label': 'ORGANIZATION'}, {'text': 'The Huffington Post', 'label': 'ORGANIZATION'}]",
40,In the early 1930s the band moved to the Chop Bar of the Golden Tulip in Accra; the band was renamed ``Kwame Mensah and His Golden Tulip Ensemble``.,"[{'text': 'Accra', 'label': 'LOCATION'}, {'text': 'Chop Bar', 'label': 'BUILDING'}, {'text': 'Golden Tulip', 'label': 'BUILDING'}, {'text': 'Kwame Mensah and His Golden Tulip Ensemble', 'label': 'ORGANIZATION'}]","[{'text': 'Accra', 'label': 'LOCATION'}, {'text': 'Chop Bar', 'label': 'LOCATION'}, {'text': 'Golden Tulip', 'label': 'BUILDING'}, {'text': 'Golden Tulip Ensemble', 'label': 'ORGANIZATION'}, {'text': 'Kwame Mensah', 'label': 'PERSON'}]",In the early 1930s the band moved to the Grill Room of the Taft Hotel in New York; the band was renamed ``George Hall and His Hotel Taft Orchestra``.,"[{'text': 'George Hall', 'label': 'PERSON'}, {'text': 'Grill Room', 'label': 'LOCATION'}, {'text': 'Hotel Taft Orchestra', 'label': 'ORGANIZATION'}, {'text': 'New York', 'label': 'LOCATION'}, {'text': 'Taft Hotel', 'label': 'BUILDING'}]","[{'text': 'George Hall and His Hotel Taft Orchestra', 'label': 'ORGANIZATION'}, {'text': 'Grill Room', 'label': 'BUILDING'}, {'text': 'New York', 'label': 'LOCATION'}, {'text': 'Taft Hotel', 'label': 'BUILDING'}]",
41,"The final season of village rugby at Ratu Sukuna Park saw season attendance of 16,322, an average of 299 per match.","[{'text': 'Ratu Sukuna Park', 'label': 'LOCATION'}]","[{'text': 'Ratu Sukuna Park', 'label': 'LOCATION'}]","The final season of minor league play Elkin Memorial Park saw season attendance of 16,322, an average of 299 per contest.","[{'text': 'Elkin Memorial Park', 'label': 'LOCATION'}]","[{'text': 'Elkin Memorial Park', 'label': 'LOCATION'}]",
42,In the early 1930s the band moved to the Gostilna Pri Kolovratu of the Grand Hotel Union in Ljubljana; the band was renamed ``Jurij Zrnec and His Grand Hotel Union Ensemble``.,"[{'text': 'Gostilna Pri Kolovratu', 'label': 'BUILDING'}, {'text': 'Grand Hotel Union', 'label': 'BUILDING'}, {'text': 'Jurij Zrnec and His Grand Hotel Union Ensemble', 'label': 'ORGANIZATION'}, {'text': 'Ljubljana', 'label': 'LOCATION'}]","[{'text': 'Gostilna Pri Kolovratu', 'label': 'BUILDING'}, {'text': 'Grand Hotel Union', 'label': 'BUILDING'}, {'text': 'Grand Hotel Union Ensemble', 'label': 'ORGANIZATION'}, {'text': 'Jurij Zrnec', 'label': 'PERSON'}, {'text': 'Ljubljana', 'label': 'LOCATION'}]",In the early 1930s the band moved to the Grill Room of the Taft Hotel in New York; the band was renamed ``George Hall and His Hotel Taft Orchestra``.,"[{'text': 'George Hall', 'label': 'PERSON'}, {'text': 'Grill Room', 'label': 'LOCATION'}, {'text': 'Hotel Taft Orchestra', 'label': 'ORGANIZATION'}, {'text': 'New York', 'label': 'LOCATION'}, {'text': 'Taft Hotel', 'label': 'BUILDING'}]","[{'text': 'George Hall and His Hotel Taft Orchestra', 'label': 'ORGANIZATION'}, {'text': 'Grill Room', 'label': 'BUILDING'}, {'text': 'New York', 'label': 'LOCATION'}, {'text': 'Taft Hotel', 'label': 'BUILDING'}]",
43,"The final season of amateur league play at Aristotle Park saw season attendance of 16,322, an average of 299 per match.","[{'text': 'Aristotle Park', 'label': 'LOCATION'}]","[{'text': 'Aristotle Park', 'label': 'LOCATION'}]","The final season of minor league play Elkin Memorial Park saw season attendance of 16,322, an average of 299 per contest.","[{'text': 'Elkin Memorial Park', 'label': 'LOCATION'}]","[{'text': 'Elkin Memorial Park', 'label': 'LOCATION'}]",
44,"They concluded the season with 14 wins and 19 losses, 9–9 in CBA games to secure the seventh spot.","[{'text': 'CBA games', 'label': 'EVENT'}]",[],"They finished the season 14â19, 9â9 in C-USA play to finish in seventh place.",[],"[{'text': 'C-USA play', 'label': 'EVENT'}]",
45,In the early 1930s the band moved to the Warung Angklung of the Hotel Borobudur in Jakarta; the band was renamed ``George Hall and His Hotel Borobudur Ensemble``.,"[{'text': 'George Hall and His Hotel Borobudur Ensemble', 'label': 'ORGANIZATION'}, {'text': 'Hotel Borobudur', 'label': 'BUILDING'}, {'text': 'Jakarta', 'label': 'LOCATION'}, {'text': 'Warung Angklung', 'label': 'BUILDING'}]","[{'text': 'George Hall and His Hotel Borobudur Ensemble', 'label': 'ORGANIZATION'}, {'text': 'Hotel Borobudur', 'label': 'BUILDING'}, {'text': 'Jakarta', 'label': 'LOCATION'}, {'text': 'Warung Angklung', 'label': 'LOCATION'}]",In the early 1930s the band moved to the Grill Room of the Taft Hotel in New York; the band was renamed ``George Hall and His Hotel Taft Orchestra``.,"[{'text': 'George Hall', 'label': 'PERSON'}, {'text': 'Grill Room', 'label': 'LOCATION'}, {'text': 'Hotel Taft Orchestra', 'label': 'ORGANIZATION'}, {'text': 'New York', 'label': 'LOCATION'}, {'text': 'Taft Hotel', 'label': 'BUILDING'}]","[{'text': 'George Hall and His Hotel Taft Orchestra', 'label': 'ORGANIZATION'}, {'text': 'Grill Room', 'label': 'BUILDING'}, {'text': 'New York', 'label': 'LOCATION'}, {'text': 'Taft Hotel', 'label': 'BUILDING'}]",
46,"The final season of local football at Parc Saint-Victor saw season attendance of 16,322, an average of 299 per match.","[{'text': 'Parc Saint-Victor', 'label': 'LOCATION'}]","[{'text': 'Parc Saint-Victor', 'label': 'LOCATION'}]","The final season of minor league play Elkin Memorial Park saw season attendance of 16,322, an average of 299 per contest.","[{'text': 'Elkin Memorial Park', 'label': 'LOCATION'}]","[{'text': 'Elkin Memorial Park', 'label': 'LOCATION'}]",
47,In the early 1930s the ensemble relocated to the Supra Hall of the Grand Tbilisi Inn in Tbilisi; the ensemble was rechristened 'Niko Pirosmani and His Grand Tbilisi Inn Ensemble'.,"[{'text': 'Grand Tbilisi Inn', 'label': 'BUILDING'}, {'text': 'Niko Pirosmani and His Grand Tbilisi Inn Ensemble', 'label': 'ORGANIZATION'}, {'text': 'Supra Hall', 'label': 'BUILDING'}, {'text': 'Tbilisi', 'label': 'LOCATION'}]","[{'text': 'Grand Tbilisi Inn', 'label': 'BUILDING'}, {'text': 'Niko Pirosmani and His Grand Tbilisi Inn Ensemble', 'label': 'ORGANIZATION'}, {'text': 'Supra Hall', 'label': 'BUILDING'}, {'text': 'Tbilisi', 'label': 'LOCATION'}]",In the early 1930s the band moved to the Grill Room of the Taft Hotel in New York; the band was renamed ``George Hall and His Hotel Taft Orchestra``.,"[{'text': 'George Hall', 'label': 'PERSON'}, {'text': 'Grill Room', 'label': 'LOCATION'}, {'text': 'Hotel Taft Orchestra', 'label': 'ORGANIZATION'}, {'text': 'New York', 'label': 'LOCATION'}, {'text': 'Taft Hotel', 'label': 'BUILDING'}]","[{'text': 'George Hall and His Hotel Taft Orchestra', 'label': 'ORGANIZATION'}, {'text': 'Grill Room', 'label': 'BUILDING'}, {'text': 'New York', 'label': 'LOCATION'}, {'text': 'Taft Hotel', 'label': 'BUILDING'}]",
48,"During the Battle of Isly on August 14, 1844, El Mansouri was wounded and compelled to spend the rest of the conflict as a commander in the Moroccan Royal Guard.","[{'text': 'Battle of Isly', 'label': 'EVENT'}, {'text': 'El Mansouri', 'label': 'PERSON'}, {'text': 'Moroccan Royal Guard', 'label': 'ORGANIZATION'}]","[{'text': 'August 14, 1844', 'label': 'EVENT'}, {'text': 'Battle of Isly', 'label': 'EVENT'}, {'text': 'El Mansouri', 'label': 'PERSON'}, {'text': 'Moroccan Royal Guard', 'label': 'ORGANIZATION'}]","During the Battle of Antietam on September 17, 1862, Wilkinson was injured and forced to serve the remainder of the war as an officer in the Veterans Reserve Corps.","[{'text': 'Battle of Antietam', 'label': 'EVENT'}, {'text': 'September 17, 1862', 'label': 'EVENT'}, {'text': 'Veterans Reserve Corps', 'label': 'ORGANIZATION'}, {'text': 'Wilkinson', 'label': 'PERSON'}]","[{'text': 'Battle of Antietam', 'label': 'EVENT'}, {'text': 'Veterans Reserve Corps', 'label': 'ORGANIZATION'}, {'text': 'Wilkinson', 'label': 'PERSON'}]",
49,"During the Tet Offensive on January 30, 1968, Nguyen was wounded and compelled to spend the rest of the conflict as an officer in the South Vietnamese Army.","[{'text': 'Nguyen', 'label': 'PERSON'}, {'text': 'South Vietnamese Army', 'label': 'ORGANIZATION'}, {'text': 'Tet Offensive', 'label': 'EVENT'}]","[{'text': 'January 30, 1968', 'label': 'EVENT'}, {'text': 'Nguyen', 'label': 'PERSON'}, {'text': 'South Vietnamese Army', 'label': 'ORGANIZATION'}, {'text': 'Tet Offensive', 'label': 'EVENT'}]","During the Battle of Antietam on September 17, 1862, Wilkinson was injured and forced to serve the remainder of the war as an officer in the Veterans Reserve Corps.","[{'text': 'Battle of Antietam', 'label': 'EVENT'}, {'text': 'September 17, 1862', 'label': 'EVENT'}, {'text': 'Veterans Reserve Corps', 'label': 'ORGANIZATION'}, {'text': 'Wilkinson', 'label': 'PERSON'}]","[{'text': 'Battle of Antietam', 'label': 'EVENT'}, {'text': 'Veterans Reserve Corps', 'label': 'ORGANIZATION'}, {'text': 'Wilkinson', 'label': 'PERSON'}]",
50,"During the Battle of Konna on January 11, 2013, Keita was wounded and compelled to spend the rest of the conflict as a commander in the Malian Reserve Forces.","[{'text': 'Battle of Konna', 'label': 'EVENT'}, {'text': 'Keita', 'label': 'PERSON'}, {'text': 'Malian Reserve Forces', 'label': 'ORGANIZATION'}]","[{'text': 'Battle of Konna', 'label': 'EVENT'}, {'text': 'January 11, 2013', 'label': 'EVENT'}, {'text': 'Keita', 'label': 'PERSON'}, {'text': 'Malian Reserve Forces', 'label': 'ORGANIZATION'}]","During the Battle of Antietam on September 17, 1862, Wilkinson was injured and forced to serve the remainder of the war as an officer in the Veterans Reserve Corps.","[{'text': 'Battle of Antietam', 'label': 'EVENT'}, {'text': 'September 17, 1862', 'label': 'EVENT'}, {'text': 'Veterans Reserve Corps', 'label': 'ORGANIZATION'}, {'text': 'Wilkinson', 'label': 'PERSON'}]","[{'text': 'Battle of Antietam', 'label': 'EVENT'}, {'text': 'Veterans Reserve Corps', 'label': 'ORGANIZATION'}, {'text': 'Wilkinson', 'label': 'PERSON'}]",
51,"A prototype was installed in the mid-'60s in a unique Tbilisi Sprinter after the doors and driven by Giorgi personally, and a typically 6-cylinder Georgian Roadster was equipped with a V8 engine in 1998.","[{'text': 'Georgian Roadster', 'label': 'PRODUCT'}, {'text': 'Giorgi', 'label': 'PERSON'}, {'text': 'Tbilisi Sprinter', 'label': 'PRODUCT'}, {'text': 'V8 engine', 'label': 'PRODUCT'}]","[{'text': 'Georgian Roadster', 'label': 'PRODUCT'}, {'text': 'Giorgi', 'label': 'PERSON'}, {'text': 'Tbilisi', 'label': 'LOCATION'}]","A prototype was fitted in the mid-'60s in a one-off DB5 extended 4'' after the doors and driven by Marek personally, and a normally 6-cylinder Aston Martin DB7 was equipped with a V8 unit in 1998.","[{'text': 'Aston Martin DB7', 'label': 'PRODUCT'}, {'text': 'DB5', 'label': 'PRODUCT'}, {'text': 'Marek', 'label': 'PERSON'}]","[{'text': 'Aston Martin DB7', 'label': 'PRODUCT'}, {'text': ""DB5 extended 4''"", 'label': 'PRODUCT'}, {'text': 'Marek', 'label': 'PERSON'}, {'text': 'V8 unit', 'label': 'PRODUCT'}]",
52,"A prototype was outfitted in the mid-'60s in a unique Crix Cruiser after the doors and driven by Keshav personally, and a typically 6-cylinder Chaconia Chariot was fitted with a Calypso engine in 1998.","[{'text': 'Calypso engine', 'label': 'PRODUCT'}, {'text': 'Chaconia Chariot', 'label': 'PRODUCT'}, {'text': 'Crix Cruiser', 'label': 'PRODUCT'}, {'text': 'Keshav', 'label': 'PERSON'}]","[{'text': 'Calypso engine', 'label': 'PRODUCT'}, {'text': 'Chaconia Chariot', 'label': 'PRODUCT'}, {'text': 'Crix Cruiser', 'label': 'PRODUCT'}, {'text': 'Keshav', 'label': 'PERSON'}]","A prototype was fitted in the mid-'60s in a one-off DB5 extended 4'' after the doors and driven by Marek personally, and a normally 6-cylinder Aston Martin DB7 was equipped with a V8 unit in 1998.","[{'text': 'Aston Martin DB7', 'label': 'PRODUCT'}, {'text': 'DB5', 'label': 'PRODUCT'}, {'text': 'Marek', 'label': 'PERSON'}]","[{'text': 'Aston Martin DB7', 'label': 'PRODUCT'}, {'text': ""DB5 extended 4''"", 'label': 'PRODUCT'}, {'text': 'Marek', 'label': 'PERSON'}, {'text': 'V8 unit', 'label': 'PRODUCT'}]",
53,"A prototype was installed in the mid-'60s in a unique Bahrain Edition Saloon extended 4'' after the doors and driven by Khalid personally, and a typically 6-cylinder Bahrain Edition Coupe was upgraded with a V8 engine in 1998.","[{'text': 'Bahrain Edition Coupe', 'label': 'PRODUCT'}, {'text': ""Bahrain Edition Saloon extended 4''"", 'label': 'BUILDING'}, {'text': 'Khalid', 'label': 'PERSON'}, {'text': 'V8 engine', 'label': 'OTHER'}]","[{'text': 'Bahrain', 'label': 'LOCATION'}, {'text': 'Bahrain Edition Coupe', 'label': 'PRODUCT'}, {'text': 'Bahrain Edition Saloon', 'label': 'PRODUCT'}, {'text': 'Khalid', 'label': 'PERSON'}]","A prototype was fitted in the mid-'60s in a one-off DB5 extended 4'' after the doors and driven by Marek personally, and a normally 6-cylinder Aston Martin DB7 was equipped with a V8 unit in 1998.","[{'text': 'Aston Martin DB7', 'label': 'PRODUCT'}, {'text': 'DB5', 'label': 'PRODUCT'}, {'text': 'Marek', 'label': 'PERSON'}]","[{'text': 'Aston Martin DB7', 'label': 'PRODUCT'}, {'text': ""DB5 extended 4''"", 'label': 'PRODUCT'}, {'text': 'Marek', 'label': 'PERSON'}, {'text': 'V8 unit', 'label': 'PRODUCT'}]",
54,"The 'alia canoe navigator, Major Tavita Malu, later reminisced,","[{'text': ""'alia canoe"", 'label': 'OTHER'}, {'text': 'Tavita Malu', 'label': 'LOCATION'}]","[{'text': ""'alia canoe navigator"", 'label': 'OTHER'}, {'text': 'Major Tavita Malu', 'label': 'PERSON'}]","The B-52 pilot, Major Larry G.Messinger, later recalled,","[{'text': 'B-52', 'label': 'PRODUCT'}, {'text': 'Major Larry G.Messinger', 'label': 'PERSON'}]","[{'text': 'B-52', 'label': 'PRODUCT'}, {'text': 'Larry G.Messinger', 'label': 'PERSON'}]",
55,"A prototype was installed in the mid-'60s in a unique Jeepney extended 4'' after the doors and driven by Jose personally, and a typically 6-cylinder owner-type jeep was fitted with a V8 engine in 1998.","[{'text': ""Jeepney extended 4''"", 'label': 'LOCATION'}, {'text': 'Jose', 'label': 'PERSON'}, {'text': 'V8 engine', 'label': 'PRODUCT'}, {'text': 'owner-type jeep', 'label': 'PRODUCT'}]","[{'text': 'Jeepney', 'label': 'PRODUCT'}, {'text': 'Jose', 'label': 'PERSON'}]","A prototype was fitted in the mid-'60s in a one-off DB5 extended 4'' after the doors and driven by Marek personally, and a normally 6-cylinder Aston Martin DB7 was equipped with a V8 unit in 1998.","[{'text': 'Aston Martin DB7', 'label': 'PRODUCT'}, {'text': 'DB5', 'label': 'PRODUCT'}, {'text': 'Marek', 'label': 'PERSON'}]","[{'text': 'Aston Martin DB7', 'label': 'PRODUCT'}, {'text': ""DB5 extended 4''"", 'label': 'PRODUCT'}, {'text': 'Marek', 'label': 'PERSON'}, {'text': 'V8 unit', 'label': 'PRODUCT'}]",
56,"A prototype was installed in the mid-'60s in a unique Candongueiro extended 4'' following the doors and driven by João personally, and a typically 6-cylinder Ginga was upgraded with a V8 motor in 1998.","[{'text': ""Candongueiro extended 4''"", 'label': 'LOCATION'}, {'text': 'Ginga', 'label': 'PRODUCT'}, {'text': 'João', 'label': 'PERSON'}, {'text': 'V8 motor', 'label': 'PRODUCT'}]","[{'text': 'Candongueiro', 'label': 'PRODUCT'}, {'text': 'Ginga', 'label': 'PRODUCT'}, {'text': 'João', 'label': 'PERSON'}]","A prototype was fitted in the mid-'60s in a one-off DB5 extended 4'' after the doors and driven by Marek personally, and a normally 6-cylinder Aston Martin DB7 was equipped with a V8 unit in 1998.","[{'text': 'Aston Martin DB7', 'label': 'PRODUCT'}, {'text': 'DB5', 'label': 'PRODUCT'}, {'text': 'Marek', 'label': 'PERSON'}]","[{'text': 'Aston Martin DB7', 'label': 'PRODUCT'}, {'text': ""DB5 extended 4''"", 'label': 'PRODUCT'}, {'text': 'Marek', 'label': 'PERSON'}, {'text': 'V8 unit', 'label': 'PRODUCT'}]",
57,"The F-15K pilot, Major Min-ho Kim, later recalled,","[{'text': 'F-15K', 'label': 'ORGANIZATION'}, {'text': 'Min-ho Kim', 'label': 'PERSON'}]","[{'text': 'F-15K', 'label': 'PRODUCT'}, {'text': 'Major Min-ho Kim', 'label': 'PERSON'}]","The B-52 pilot, Major Larry G.Messinger, later recalled,","[{'text': 'B-52', 'label': 'PRODUCT'}, {'text': 'Major Larry G.Messinger', 'label': 'PERSON'}]","[{'text': 'B-52', 'label': 'PRODUCT'}, {'text': 'Larry G.Messinger', 'label': 'PERSON'}]",
58,Jovana Petrović is a Serbian writer mostly of love epics.,"[{'text': 'Jovana Petrović', 'label': 'PERSON'}, {'text': 'Serbian', 'label': 'OTHER'}]","[{'text': 'Jovana Petrović', 'label': 'PERSON'}, {'text': 'Serbian', 'label': 'OTHER'}]",Elin Hilderbrand is an American writer mostly of romance novels.,"[{'text': 'Elin Hilderbrand', 'label': 'PERSON'}]","[{'text': 'American', 'label': 'LOCATION'}, {'text': 'Elin Hilderbrand', 'label': 'PERSON'}]",
59,"The Ninth Legion faced a grave loss at the Battle of Sarmizegetusa under Decimus Brutus Albinus during the Dacian revolt led by Decebalus, when many of the infantry perished in a calamitous bid to lift the siege of the fortified settlement of Sarmizegetusa (Ulpia Traiana).","[{'text': 'Decebalus', 'label': 'PERSON'}, {'text': 'Decimus Brutus Albinus', 'label': 'PERSON'}, {'text': 'Sarmizegetusa', 'label': 'LOCATION'}, {'text': 'Sarmizegetusa', 'label': 'LOCATION'}, {'text': 'Ulpia Traiana', 'label': 'LOCATION'}]","[{'text': 'Battle of Sarmizegetusa', 'label': 'EVENT'}, {'text': 'Dacian revolt', 'label': 'EVENT'}, {'text': 'Decebalus', 'label': 'PERSON'}, {'text': 'Decimus Brutus Albinus', 'label': 'PERSON'}, {'text': 'Ninth Legion', 'label': 'ORGANIZATION'}, {'text': 'Sarmizegetusa', 'label': 'LOCATION'}, {'text': 'Ulpia Traiana', 'label': 'LOCATION'}]","The Ninth suffered a serious defeat at the Battle of Camulodunum under Quintus Petillius Cerialis in the rebellion of Boudica (61), when most of the foot-soldiers were killed in a disastrous attempt to relieve the besieged city of Camulodunum (Colchester).","[{'text': 'Battle of Camulodunum', 'label': 'EVENT'}, {'text': 'Boudica', 'label': 'PERSON'}, {'text': 'Camulodunum', 'label': 'LOCATION'}, {'text': 'Colchester', 'label': 'LOCATION'}, {'text': 'Quintus Petillius Cerialis', 'label': 'PERSON'}]","[{'text': 'Boudica', 'label': 'EVENT'}, {'text': 'Camulodunum', 'label': 'EVENT'}, {'text': 'Camulodunum', 'label': 'LOCATION'}, {'text': 'Colchester', 'label': 'LOCATION'}, {'text': 'Quintus Petillius Cerialis', 'label': 'PERSON'}]",
60,"The Royal Brunei Air Force pilot, Major Abdul Mateen, later reminisced,","[{'text': 'Abdul Mateen', 'label': 'PERSON'}, {'text': 'Royal Brunei Air Force', 'label': 'ORGANIZATION'}]","[{'text': 'Major Abdul Mateen', 'label': 'PERSON'}, {'text': 'Royal Brunei Air Force', 'label': 'ORGANIZATION'}]","The B-52 pilot, Major Larry G.Messinger, later recalled,","[{'text': 'B-52', 'label': 'PRODUCT'}, {'text': 'Major Larry G.Messinger', 'label': 'PERSON'}]","[{'text': 'B-52', 'label': 'PRODUCT'}, {'text': 'Larry G.Messinger', 'label': 'PERSON'}]",
61,"The lowest match total in island cricket for the Solomon Islands is 91 runs, achieved during the 1979 Island Cricket Championship against Vanuatu.","[{'text': 'Island Cricket Championship', 'label': 'EVENT'}, {'text': 'Solomon Islands', 'label': 'LOCATION'}, {'text': 'Vanuatu', 'label': 'LOCATION'}]","[{'text': '1979 Island Cricket Championship', 'label': 'EVENT'}, {'text': 'Solomon Islands', 'label': 'LOCATION'}, {'text': 'Vanuatu', 'label': 'LOCATION'}]",The lowest match aggregate in ODI history for England is 91 scored at the 1979 Cricket World Cup against Canada.,"[{'text': '1979 Cricket World Cup', 'label': 'EVENT'}, {'text': 'Canada', 'label': 'LOCATION'}, {'text': 'England', 'label': 'ORGANIZATION'}]","[{'text': 'Canada', 'label': 'ORGANIZATION'}, {'text': 'Cricket World Cup', 'label': 'EVENT'}, {'text': 'England', 'label': 'ORGANIZATION'}]",
