,modified_text,modified_label,modified_pred,original_text,original_pred,original_label,type
10,"At this fest, Siddhi jumped in and saved Vin from getting shot by Rudra.","[{'text': 'Siddhi', 'value': 'PERSON'}, {'text': 'Vin', 'value': 'PERSON'}, {'text': 'Rudra', 'value': 'PERSON'}]","[{'Siddhi': 'PERSON'}, {'Vin': 'PERSON'}, {'Rudra': 'PERSON'}]","At a festival, Siddhi saves Vin from being shot at by Rudra.","[{'text': 'Siddhi', 'value': 'PERSON'}, {'text': 'Vin', 'value': 'PERSON'}, {'text': 'Rudra', 'value': 'PERSON'}]","[{'Siddhi': 'PERSON'}, {'Vin': 'PERSON'}, {'Rudra': 'PERSON'}]",
11,"Hunt's the rep for Omaha's 8th district, which includes the Dundee, Benson, and Keystone areas.","[{'text': 'Hunt', 'value': 'PERSON'}, {'text': 'Omaha', 'value': 'LOCATION'}, {'text': 'Dundee', 'value': 'LOCATION'}, {'text': 'Benson', 'value': 'LOCATION'}, {'text': 'Keystone', 'value': 'LOCATION'}]","[{'Hunt': 'PERSON'}, {'Omaha': 'LOCATION'}, {'Dundee': 'LOCATION'}, {'Benson': 'LOCATION'}, {'Keystone': 'LOCATION'}]","Hunt represents the 8th legislative district in Omaha, consisting of the midtown neighborhoods of Dundee, Benson, and Keystone.","[{'text': 'Omaha', 'value': 'LOCATION'}, {'text': 'Dundee', 'value': 'LOCATION'}, {'text': 'Benson', 'value': 'LOCATION'}, {'text': 'Keystone', 'value': 'LOCATION'}, {'text': 'Hunt', 'value': 'PERSON'}]","[{'Hunt': 'PERSON'}, {'Omaha': 'LOCATION'}, {'Dundee': 'LOCATION'}, {'Benson': 'LOCATION'}, {'Keystone': 'LOCATION'}]",
12,"Golaem from France made it, they started up in Rennes back in 2009.","[{'text': 'Golaem', 'value': 'ORGANIZATION'}, {'text': 'France', 'value': 'LOCATION'}, {'text': 'Rennes', 'value': 'LOCATION'}]","[{'Golaem': 'ORGANIZATION'}, {'France': 'LOCATION'}, {'Rennes': 'LOCATION'}]","It is developed by Golaem, a France -based software company (created in Rennes in 2009).","[{'text': 'Golaem', 'value': 'ORGANIZATION'}, {'text': 'France', 'value': 'LOCATION'}, {'text': 'Rennes', 'value': 'LOCATION'}]","[{'Golaem': 'ORGANIZATION'}, {'France': 'LOCATION'}, {'Rennes': 'LOCATION'}]",
13,"To get more readers, ``The Philippine Star`` teamed up with Jollibee back in 2003, making it the first newspaper you could grab for free at a fast food place.","[{'text': 'The Philippine Star', 'value': 'OTHER'}, {'text': 'Jollibee', 'value': 'BUILDING'}]","[{'The Philippine Star': 'ORGANIZATION'}, {'Jollibee': 'ORGANIZATION'}]","To further expand its readership, ``The Philippine Star`` entered into a partnership with fast food restaurant Jollibee in 2003 to become the first newspaper to be distributed free of charge in a fast food restaurant.","[{'text': 'The Philippine Star', 'value': 'ORGANIZATION'}, {'text': 'Jollibee', 'value': 'ORGANIZATION'}]","[{'The Philippine Star': 'OTHER'}, {'Jollibee': 'BUILDING'}]",
14,"When the Residential Property Tribunal Service got started because of the Housing Act 2004, the rent assessment committees joined up with it for admin stuff, so now it's known as the First Tier Tribunal (Property Chamber - Residential Property).","[{'text': 'Residential Property Tribunal Service', 'value': 'ORGANIZATION'}, {'text': 'Housing Act 2004', 'value': 'OTHER'}]","[{'Residential Property Tribunal Service': 'ORGANIZATION'}, {'Housing Act 2004': 'EVENT'}, {'First Tier Tribunal': 'ORGANIZATION'}, {'Property Chamber - Residential Property': 'ORGANIZATION'}]","On the formation of the Residential Property Tribunal Service as a result of the Housing Act 2004 the rent assessment committees became part of that body for administrative purposes, and is therefore now called the First Tier Tribunal (Property Chamber - Residential Property).","[{'text': 'Residential Property Tribunal Service', 'value': 'ORGANIZATION'}, {'text': 'Housing Act 2004', 'value': 'EVENT'}, {'text': 'First Tier Tribunal', 'value': 'ORGANIZATION'}, {'text': 'Property Chamber - Residential Property', 'value': 'ORGANIZATION'}]","[{'Residential Property Tribunal Service': 'ORGANIZATION'}, {'Housing Act 2004': 'OTHER'}]",
15,"He's gotten noticed by big names like CNN, The Huffington Post, Hypebeast, The Guardian, Juxtapoz Magazine, Daily Mail, NRDC, Aljazeera, and Hi-Fructose Magazine.","[{'text': 'CNN', 'value': 'ORGANIZATION'}, {'text': 'The Huffington Post', 'value': 'ORGANIZATION'}, {'text': 'Hypebeast', 'value': 'ORGANIZATION'}, {'text': 'The Guardian', 'value': 'ORGANIZATION'}, {'text': 'Juxtapoz Magazine', 'value': 'ORGANIZATION'}, {'text': 'Daily Mail, NRDC', 'value': 'ORGANIZATION'}, {'text': 'Aljazeera', 'value': 'ORGANIZATION'}, {'text': 'Hi-Fructose Magazine', 'value': 'ORGANIZATION'}]","[{'CNN': 'ORGANIZATION'}, {'The Huffington Post': 'ORGANIZATION'}, {'Hypebeast': 'ORGANIZATION'}, {'The Guardian': 'ORGANIZATION'}, {'Juxtapoz Magazine': 'ORGANIZATION'}, {'Daily Mail': 'ORGANIZATION'}, {'NRDC': 'ORGANIZATION'}, {'Aljazeera': 'ORGANIZATION'}, {'Hi-Fructose Magazine': 'ORGANIZATION'}]","He has caught the attention of major publications and media outlets such as CNN, The Huffington Post, Hypebeast, The Guardian, Juxtapoz Magazine, Daily Mail, NRDC, Aljazeera and Hi-Fructose Magazine.","[{'text': 'CNN', 'value': 'ORGANIZATION'}, {'text': 'The Huffington Post', 'value': 'ORGANIZATION'}, {'text': 'Hypebeast', 'value': 'ORGANIZATION'}, {'text': 'The Guardian', 'value': 'ORGANIZATION'}, {'text': 'Juxtapoz Magazine', 'value': 'ORGANIZATION'}, {'text': 'Daily Mail', 'value': 'ORGANIZATION'}, {'text': 'NRDC', 'value': 'ORGANIZATION'}, {'text': 'Aljazeera', 'value': 'ORGANIZATION'}, {'text': 'Hi-Fructose Magazine', 'value': 'ORGANIZATION'}]","[{'CNN': 'ORGANIZATION'}, {'The Huffington Post': 'ORGANIZATION'}, {'Hypebeast': 'ORGANIZATION'}, {'The Guardian': 'ORGANIZATION'}, {'Juxtapoz Magazine': 'ORGANIZATION'}, {'Daily Mail, NRDC': 'ORGANIZATION'}, {'Aljazeera': 'ORGANIZATION'}, {'Hi-Fructose Magazine': 'ORGANIZATION'}]",
16,It's an orthomyxovirus with glycoproteins haemagglutinin and neuraminidase in it.,"[{'text': 'orthomyxovirus', 'value': 'OTHER'}, {'text': 'glycoproteins haemagglutinin', 'value': 'OTHER'}, {'text': 'neuraminidase', 'value': 'OTHER'}]",[],It is an orthomyxovirus that contains the glycoproteins haemagglutinin and neuraminidase.,{},"[{'orthomyxovirus': 'OTHER'}, {'glycoproteins haemagglutinin': 'OTHER'}, {'neuraminidase': 'OTHER'}]",
17,Over 100 folks from Deidesheim and nearby set up stalls that gotta blend in with the whole market vibe.,"[{'text': 'Deidesheim', 'value': 'LOCATION'}]",[{'Deidesheim': 'LOCATION'}],"More than 100 sellers from Deidesheim and the surrounding area run stalls, which must stylistically fit into the market's whole theme.","[{'text': 'Deidesheim', 'value': 'LOCATION'}]",[{'Deidesheim': 'LOCATION'}],
18,"The guys raced their bikes on the road at the '56 Summer Olympics in Melbourne, Australia, on Friday, December 7th, 1956.","[{'text': 'Summer Olympics', 'value': 'EVENT'}, {'text': 'Melbourne', 'value': 'LOCATION'}, {'text': 'Australia', 'value': 'LOCATION'}]","[{'Summer Olympics': 'EVENT'}, {'Melbourne': 'LOCATION'}, {'Australia': 'LOCATION'}, {'Friday': 'OTHER'}, {'December': 'OTHER'}]","The men's individual road race at the 1956 Summer Olympics in Melbourne, Australia, was held on Friday 7 December 1956.","[{'text': '1956 Summer Olympics', 'value': 'EVENT'}, {'text': 'Melbourne', 'value': 'LOCATION'}, {'text': 'Australia', 'value': 'LOCATION'}, {'text': 'Friday', 'value': 'OTHER'}, {'text': 'December', 'value': 'OTHER'}]","[{'Summer Olympics': 'EVENT'}, {'Melbourne': 'LOCATION'}, {'Australia': 'LOCATION'}]",
19,"MacKeith, who was a German teacher for ages, also pushed for peace at the Aldermaston Marches back in the '50s and protested the Vietnam War at Grosvenor Square in the '60s.","[{'text': 'German', 'value': 'NATIONALITY'}, {'text': 'MacKeith', 'value': 'PERSON'}, {'text': 'Aldermaston Marches', 'value': 'EVENT'}, {'text': 'Vietnam War', 'value': 'EVENT'}, {'text': 'Grosvenor Square', 'value': 'LOCATION'}]","[{'MacKeith': 'PERSON'}, {'Aldermaston Marches': 'EVENT'}, {'Vietnam War': 'EVENT'}, {'Grosvenor Square': 'LOCATION'}]","A German teacher for much of her life, MacKeith also advocated for peace during the Aldermaston Marches in the 1950s and demonstrations against the Vietnam War in Grosvenor Square in the 1960s.","[{'text': 'Aldermaston Marches', 'value': 'EVENT'}, {'text': 'Vietnam War', 'value': 'EVENT'}, {'text': 'Grosvenor Square', 'value': 'LOCATION'}, {'text': 'MacKeith', 'value': 'PERSON'}]","[{'German': 'NATIONALITY'}, {'MacKeith': 'PERSON'}, {'Aldermaston Marches': 'EVENT'}, {'Vietnam War': 'EVENT'}, {'Grosvenor Square': 'LOCATION'}]",
20,"The album's got some cool remixes of 'Like It or Not' and 'Tearing Me Up' by folks like A-Trak, RAC, Joris Voorn, and Tale of Us.","[{'text': 'Like It or Not', 'value': 'WORK_OF_ART'}, {'text': 'Tearing Me Up', 'value': 'WORK_OF_ART'}, {'text': 'A-Trak', 'value': 'PERSON'}, {'text': 'RAC', 'value': 'PERSON'}, {'text': 'Joris Voorn', 'value': 'PERSON'}, {'text': 'Tale of Us', 'value': 'PERSON'}]","[{'A-Trak': 'PERSON'}, {'RAC': 'PERSON'}, {'Joris Voorn': 'PERSON'}, {'Tale of Us': 'PERSON'}]","The album featured remixes of ``Like It or Not`` and ``Tearing Me Up`` from artists like A-Trak, RAC, Joris Voorn, and Tale of Us.","[{'text': 'A-Trak', 'value': 'PERSON'}, {'text': 'RAC', 'value': 'PERSON'}, {'text': 'Joris Voorn', 'value': 'PERSON'}, {'text': 'Tale of Us', 'value': 'PERSON'}]","[{'Like It or Not': 'WORK_OF_ART'}, {'Tearing Me Up': 'WORK_OF_ART'}, {'A-Trak': 'PERSON'}, {'RAC': 'PERSON'}, {'Joris Voorn': 'PERSON'}, {'Tale of Us': 'PERSON'}]",
21,"From '27 to '44, he was with the All-Union Communist Party (Bolsheviks), which later became the Communist Party of the Soviet Union.","[{'text': 'All-Union Communist Party', 'value': 'ORGANIZATION'}, {'text': 'Bolsheviks', 'value': 'ORGANIZATION'}, {'text': 'Communist Party of the Soviet Union', 'value': 'ORGANIZATION'}]","[{'All-Union Communist Party (Bolsheviks)': 'ORGANIZATION'}, {'Communist Party of the Soviet Union': 'ORGANIZATION'}]","From 1927 to 1944, he was on the books of the All-Union Communist Party (Bolsheviks), later known as the Communist Party of the Soviet Union.","[{'text': 'All-Union Communist Party (Bolsheviks)', 'value': 'ORGANIZATION'}, {'text': 'Communist Party of the Soviet Union', 'value': 'ORGANIZATION'}]","[{'All-Union Communist Party': 'ORGANIZATION'}, {'Bolsheviks': 'ORGANIZATION'}, {'Communist Party of the Soviet Union': 'ORGANIZATION'}]",
22,"Lawrence says she got cash, but Stephens says someone threatened his life.","[{'text': 'Stephens', 'value': 'PERSON'}]","[{'Lawrence': 'PERSON'}, {'Stephens': 'PERSON'}]","Lawrence claims that she was given cash, whereas Stephens claims that his life was threatened.","[{'text': 'Lawrence', 'value': 'PERSON'}, {'text': 'Stephens', 'value': 'PERSON'}]",[{'Stephens': 'PERSON'}],
23,"The airport's down south southeast from Nhulunbuy town center, right on Melville Road.","[{'text': 'Nhulunbuy', 'value': 'LOCATION'}, {'text': 'Melville Road', 'value': 'LOCATION'}]","[{'Nhulunbuy': 'LOCATION'}, {'Melville Road': 'LOCATION'}]","The airport is located south southeast of the Nhulunbuy town centre, on Melville Road.","[{'text': 'Nhulunbuy', 'value': 'LOCATION'}, {'text': 'Melville Road', 'value': 'LOCATION'}]","[{'Nhulunbuy': 'LOCATION'}, {'Melville Road': 'LOCATION'}]",
24,"But in 1861, southern states thinking about splitting off after the 1860 presidential election got rid of that roadblock to political change.",[],"[{'1861': 'OTHER'}, {'1860 presidential election': 'EVENT'}]","However, in 1861 the prospect of secession by southern states after the 1860 presidential election removed this obstacle to political change.","[{'text': '1861', 'value': 'OTHER'}, {'text': '1860 presidential election', 'value': 'EVENT'}]",[],
25,"I, Max was this cool sports talk show with Max Kellerman and Michael Holley, and it was on every night on Fox Sports Net.","[{'text': 'I, Max', 'value': 'ART'}, {'text': 'Max Kellerman', 'value': 'PERSON'}, {'text': 'Michael Holley', 'value': 'PERSON'}, {'text': 'Fox Sports Net', 'value': 'ORGANIZATION'}]","[{'Max Kellerman': 'PERSON'}, {'Michael Holley': 'PERSON'}, {'Fox Sports Net': 'ORGANIZATION'}]","I, Max was a sports commentary show featuring host Max Kellerman and Michael Holley that aired nightly on Fox Sports Net.","[{'text': 'Max Kellerman', 'value': 'PERSON'}, {'text': 'Michael Holley', 'value': 'PERSON'}, {'text': 'Fox Sports Net', 'value': 'ORGANIZATION'}, {'text': 'Max', 'value': 'PERSON'}, {'text': 'I, Max', 'value': 'OTHER'}]","[{'I, Max': 'ART'}, {'Max Kellerman': 'PERSON'}, {'Michael Holley': 'PERSON'}, {'Fox Sports Net': 'ORGANIZATION'}]",
26,"Sometimes, they don't grill the eggplant, they just boil it, so it's softer and doesn't have that smoky taste like the usual recipe.","[{'text': 'eggplant', 'value': 'OTHER'}]",[],"In some versions, the eggplant is not grilled, but is instead boiled, resulting in a softer version that lacks the characteristic smoky flavor of the original dish.",{},[{'eggplant': 'OTHER'}],
27,Got a bunch of stuff here on sexual health issues dating back from '74 to 2007.,[],[],This collection contains material relating to sexual health issues from 1974-2007.,"[{'text': '1974-2007', 'value': 'OTHER'}]",[],
28,"You know, the most famous thing Ward LaFrance made was that P-80 ``Ambassador'' pumper, and they even gave one away to be the pretend Los Angeles County Fire Department Engine 51 in the '70s show ``Emergency!","[{'text': 'Ward LaFrance', 'value': 'ORGANIZATION'}, {'text': ""P-80 ``Ambassador''"", 'value': 'PRODUCT'}, {'text': 'Los Angeles County Fire Department Engine 51', 'value': 'ORGANIZATION'}]","[{'Ward LaFrance': 'ORGANIZATION'}, {'P-80 ""Ambassador""': 'PRODUCT'}, {'Los Angeles County Fire Department Engine 51': 'ORGANIZATION'}, {'Emergency!': 'OTHER'}]","Perhaps the best known Ward LaFrance product was the P-80 ``Ambassador'' model of pumper, one of which was donated as product placement by the company to be used as the fictional Los Angeles County Fire Department Engine 51 on the 1970s television program`` Emergency!","[{'text': 'Ward LaFrance', 'value': 'ORGANIZATION'}, {'text': 'P-80 Ambassador', 'value': 'PRODUCT'}, {'text': 'Los Angeles County Fire Department Engine 51', 'value': 'ORGANIZATION'}, {'text': 'Emergency', 'value': 'OTHER'}]","[{'Ward LaFrance': 'ORGANIZATION'}, {""P-80 ``Ambassador''"": 'PRODUCT'}, {'Los Angeles County Fire Department Engine 51': 'ORGANIZATION'}]",
29,``Patrick Morris`` shot out a mayday call at 6:51 in the morning and went down 35 minutes after.,"[{'text': 'Patrick Morris', 'value': 'PRODUCT'}]",[{'Patrick Morris': 'PERSON'}],``Patrick Morris`` sent out her own mayday call at 6:51 am and sank 35 minutes later.,"[{'text': 'Patrick Morris', 'value': 'PERSON'}]",[{'Patrick Morris': 'PRODUCT'}],
30,"Halfway into the season, they swapped Stacey King for Luc Longley with the Minnesota Timberwolves.","[{'text': 'Stacey King', 'value': 'PERSON'}, {'text': 'Minnesota Timberwolves', 'value': 'ORGANIZATION'}, {'text': 'Luc Longley', 'value': 'PERSON'}]","[{'Stacey King': 'PERSON'}, {'Luc Longley': 'PERSON'}, {'Minnesota Timberwolves': 'ORGANIZATION'}]","Midway through the season, they traded Stacey King to the Minnesota Timberwolves for Luc Longley.","[{'text': 'Stacey King', 'value': 'PERSON'}, {'text': 'Minnesota Timberwolves', 'value': 'ORGANIZATION'}, {'text': 'Luc Longley', 'value': 'PERSON'}]","[{'Stacey King': 'PERSON'}, {'Minnesota Timberwolves': 'ORGANIZATION'}, {'Luc Longley': 'PERSON'}]",
31,"In 2019 he snagged his PhD with honors from Politecnico di Milano, working on the thesis 'Hybrid Modular Architecture: a strategic framework of building innovation for emerging housing behaviors in urban contexts'.","[{'text': 'PhD', 'value': 'OTHER'}, {'text': 'Politecnico di Milano', 'value': 'ORGANIZATION'}, {'text': 'Hybrid Modular Architecture: a strategic framework of building innovation for emerging housing behaviors in urban contexts', 'value': 'ART'}]",[{'Politecnico di Milano': 'ORGANIZATION'}],In 2019 he got a ``cum laude'' PhD at Politecnico di Milano with the thesis:`` Hybrid Modular Architecture: a strategic framework of building innovation for emerging housing behaviors in urban contexts.,"[{'text': 'Politecnico di Milano', 'value': 'ORGANIZATION'}]","[{'PhD': 'OTHER'}, {'Politecnico di Milano': 'ORGANIZATION'}, {'Hybrid Modular Architecture: a strategic framework of building innovation for emerging housing behaviors in urban contexts': 'ART'}]",
32,"Dublin's got Weston Airport and some other small spots for choppers, plus the military and a few government services use Casement Aerodrome just around the corner.","[{'text': 'Dublin', 'value': 'LOCATION'}, {'text': 'Weston Airport', 'value': 'BUILDING'}, {'text': 'Casement Aerodrome', 'value': 'BUILDING'}]","[{'Dublin': 'LOCATION'}, {'Weston Airport': 'LOCATION'}, {'Casement Aerodrome': 'LOCATION'}]","Dublin is also served by Weston Airport and other small facilities, by a range of helicopter operators, and the military and some State services use Casement Aerodrome nearby.","[{'text': 'Dublin', 'value': 'LOCATION'}, {'text': 'Weston Airport', 'value': 'LOCATION'}, {'text': 'Casement Aerodrome', 'value': 'LOCATION'}]","[{'Dublin': 'LOCATION'}, {'Weston Airport': 'BUILDING'}, {'Casement Aerodrome': 'BUILDING'}]",
33,"The 117-bed place had only private rooms, and they all came with their own bathrooms.",[],[],"The 117-bed facility entirely comprised individual rooms, each with its own en-suite bathroom facilities.",{},[],
34,She's also penned some fiction and her stuff's won awards.,[],[],She has also written fiction and her work has gained awards.,{},[],
35,"He got the Distinguished Flying Cross in World War II for being an ace de Havilland Mosquito night-fighter pilot with the Royal Canadian Air Force, knocking out four enemy planes, including the first Mistel composite ``piggyback'' aircraft.","[{'text': 'Distinguished Flying Cross', 'value': 'OTHER'}, {'text': 'World War II', 'value': 'EVENT'}, {'text': 'de Havilland Mosquito', 'value': 'PRODUCT'}, {'text': 'Royal Canadian Air Force', 'value': 'ORGANIZATION'}, {'text': ""Mistel composite ``piggyback'' aircraft"", 'value': 'PRODUCT'}]","[{'Distinguished Flying Cross': 'OTHER'}, {'World War II': 'EVENT'}, {'de Havilland Mosquito': 'PRODUCT'}, {'Royal Canadian Air Force': 'ORGANIZATION'}, {'Mistel': 'PRODUCT'}]","He was awarded the Distinguished Flying Cross during World War II for his service as a de Havilland Mosquito night-fighter pilot with the Royal Canadian Air Force, having destroyed four enemy aircraft, including the first Mistel composite ``piggyback'' aircraft.","[{'text': 'World War II', 'value': 'EVENT'}, {'text': 'de Havilland Mosquito', 'value': 'PRODUCT'}, {'text': 'Royal Canadian Air Force', 'value': 'ORGANIZATION'}, {'text': 'Mistel', 'value': 'PRODUCT'}, {'text': 'Distinguished Flying Cross', 'value': 'OTHER'}]","[{'Distinguished Flying Cross': 'OTHER'}, {'World War II': 'EVENT'}, {'de Havilland Mosquito': 'PRODUCT'}, {'Royal Canadian Air Force': 'ORGANIZATION'}, {""Mistel composite ``piggyback'' aircraft"": 'PRODUCT'}]",
36,"Glutamine synthetase takes ammonia from stuff like nitrate reduction, breaking down amino acids, and photorespiration.","[{'text': 'Glutamine synthetase', 'value': 'OTHER'}, {'text': 'ammonia', 'value': 'OTHER'}, {'text': 'amino acid', 'value': 'OTHER'}]",[],"Glutamine synthetase uses ammonia produced by nitrate reduction, amino acid degradation, and photorespiration.",{},"[{'Glutamine synthetase': 'OTHER'}, {'ammonia': 'OTHER'}, {'amino acid': 'OTHER'}]",
37,"Back in 1863, he handled the cash for the City of Denver and Arapahoe County.","[{'text': 'City of Denver', 'value': 'LOCATION'}, {'text': 'Arapahoe County', 'value': 'LOCATION'}]","[{'City of Denver': 'LOCATION'}, {'Arapahoe County': 'LOCATION'}]","In 1863, he was the treasurer of the City of Denver and Arapahoe County.","[{'text': 'City of Denver', 'value': 'LOCATION'}, {'text': 'Arapahoe County', 'value': 'LOCATION'}]","[{'City of Denver': 'LOCATION'}, {'Arapahoe County': 'LOCATION'}]",
38,He was also in Raj Kanwar's action-packed movie 'Jeet'.,"[{'text': 'Raj Kanwar', 'value': 'PERSON'}, {'text': 'Jeet', 'value': 'ART'}]","[{'Raj Kanwar': 'PERSON'}, {'Jeet': 'PRODUCT'}]",He also appeared in and Raj Kanwar's action hit ``Jeet``.,"[{'text': 'Raj Kanwar', 'value': 'PERSON'}, {'text': 'Jeet', 'value': 'PRODUCT'}]","[{'Raj Kanwar': 'PERSON'}, {'Jeet': 'ART'}]",
