,text,label,pred
11,"He was born in Wellingborough, Northamptonshire, where he attended Victoria Junior School, Westfield Boys School and Sir Christopher Hatton School.","[{'Wellingborough': 'LOCATION'}, {'Northamptonshire': 'LOCATION'}, {'Victoria Junior School': 'ORGANIZATION'}, {'Westfield Boys School': 'ORGANIZATION'}, {'Sir Christopher Hatton School': 'ORGANIZATION'}]","[{""text"": ""Wellingborough"", ""value"": ""LOCATION""}, {""text"": ""Northamptonshire"", ""value"": ""LOCATION""}, {""text"": ""Victoria Junior School"", ""value"": ""BUILDING""}, {""text"": ""Westfield Boys School"", ""value"": ""BUILDING""}, {""text"": ""Sir Christopher Hatton School"", ""value"": ""BUILDING""}, {""text"": ""Sir Christopher Hatton"", ""value"": ""PERSON""}]"
12,The lowest match aggregate in ODI history for England is 91 scored at the 1979 Cricket World Cup against Canada.,"[{'England': 'ORGANIZATION'}, {'Cricket World Cup': 'EVENT'}, {'Canada': 'ORGANIZATION'}]","[{""text"": ""England"", ""value"": ""LOCATION""}, {""text"": ""1979 Cricket World Cup"", ""value"": ""EVENT""}, {""text"": ""Canada"", ""value"": ""LOCATION""}]"
13,"Somewhat hidden away by the Ben Cruachan range, it is usually climbed in conjunction with its neighbour Beinn Eunaich.","[{'Ben Cruachan': 'LOCATION'}, {'Beinn Eunaich': 'LOCATION'}]","[{""text"": ""Ben Cruachan"", ""value"": ""LOCATION""}, {""text"": ""Beinn Eunaich"", ""value"": ""LOCATION""}]"
14,"The 117-bed facility entirely comprised individual rooms, each with its own en-suite bathroom facilities.",[],[]
15,"Experimental GPX1 deficiency amplifies certain aspects of aging, namely endothelial dysfunction, vascular remodeling, and invasion of leukocytes in cardiovascular tissue.",[],[]
16,Victor Cristaldo (born 10 May 1967) is a retired Argentine -born Australia n professional footballer of Paraguay an descent.,"[{'Victor Cristaldo': 'PERSON'}, {'Argentine': 'LOCATION'}, {'Australia': 'LOCATION'}, {'Paraguay': 'LOCATION'}]","[{""text"": ""Victor Cristaldo"", ""value"": ""PERSON""}, {""text"": ""Argentine"", ""value"": ""LOCATION""}, {""text"": ""Australian"", ""value"": ""LOCATION""}, {""text"": ""Paraguay"", ""value"": ""LOCATION""}]"
17,"During the Battle of Antietam on September 17, 1862, Wilkinson was injured and forced to serve the remainder of the war as an officer in the Veterans Reserve Corps.","[{'Battle of Antietam': 'EVENT'}, {'Wilkinson': 'PERSON'}, {'Veterans Reserve Corps': 'ORGANIZATION'}]","[{""text"": ""Battle of Antietam"", ""value"": ""EVENT""}, {""text"": ""Wilkinson"", ""value"": ""PERSON""}, {""text"": ""September 17, 1862"", ""value"": ""OTHER""}, {""text"": ""Veterans Reserve Corps"", ""value"": ""ORGANIZATION""}]"
18,The buildings were renovated into offices in the 1980s.,[],[]
19,"Perhaps the best known Ward LaFrance product was the P-80 ``Ambassador'' model of pumper, one of which was donated as product placement by the company to be used as the fictional Los Angeles County Fire Department Engine 51 on the 1970s television program`` Emergency!","[{'Ward LaFrance': 'ORGANIZATION'}, {""P-80 ``Ambassador''"": 'PRODUCT'}, {'Los Angeles County Fire Department Engine 51': 'ORGANIZATION'}]","[{""text"": ""Ward LaFrance"", ""value"": ""ORGANIZATION""}, {""text"": ""P-80 Ambassador"", ""value"": ""PRODUCT""}, {""text"": ""Los Angeles County Fire Department Engine 51"", ""value"": ""ORGANIZATION""}, {""text"": ""Emergency"", ""value"": ""OTHER""}]"
20,"Lawrence claims that she was given cash, whereas Stephens claims that his life was threatened.",[{'Stephens': 'PERSON'}],"[{""text"": ""Lawrence"", ""value"": ""PERSON""}, {""text"": ""Stephens"", ""value"": ""PERSON""}]"
21,"Glutamine synthetase uses ammonia produced by nitrate reduction, amino acid degradation, and photorespiration.","[{'Glutamine synthetase': 'OTHER'}, {'ammonia': 'OTHER'}, {'amino acid': 'OTHER'}]",[]
22,Nintendo continued to sell the revised Wii model and the Wii Mini alongside the Wii U during the Wii U's first release year.,"[{'Nintendo': 'ORGANIZATION'}, {'Wii model': 'PRODUCT'}, {'Wii Mini': 'PRODUCT'}, {'Wii U': 'PRODUCT'}, {'Wii U': 'PRODUCT'}]","[{""text"": ""Nintendo"", ""value"": ""ORGANIZATION""}, {""text"": ""Wii"", ""value"": ""PRODUCT""}, {""text"": ""Wii Mini"", ""value"": ""PRODUCT""}, {""text"": ""Wii U"", ""value"": ""PRODUCT""}]"
23,Kenyon entered Maynooth Seminary in 1829 \u2013 the year of Catholic Emancipation.,"[{'Kenyon': 'PERSON'}, {'Maynooth Seminary': 'ORGANIZATION'}, {'Catholic Emancipation': 'EVENT'}]","[{""text"": ""Maynooth Seminary"", ""value"": ""LOCATION""}, {""text"": ""Catholic Emancipation"", ""value"": ""EVENT""}, {""text"": ""Kenyon"", ""value"": ""PERSON""}]"
24,"Dublin is also served by Weston Airport and other small facilities, by a range of helicopter operators, and the military and some State services use Casement Aerodrome nearby.","[{'Dublin': 'LOCATION'}, {'Weston Airport': 'BUILDING'}, {'Casement Aerodrome': 'BUILDING'}]","[{""text"": ""Dublin"", ""value"": ""LOCATION""}, {""text"": ""Weston Airport"", ""value"": ""LOCATION""}, {""text"": ""Casement Aerodrome"", ""value"": ""LOCATION""}]"
25,He went on to produce Kim Fowley and the BMX Bandits (band) Receiver Records' album ``Hidden Agenda At the Thirteenth Not``.,"[{'Kim Fowley': 'PERSON'}, {'BMX Bandits': 'ORGANIZATION'}, {'Receiver Records': 'ORGANIZATION'}, {'Hidden Agenda At the Thirteenth Not': 'ART'}]","[{""text"": ""Kim Fowley"", ""value"": ""PERSON""}, {""text"": ""BMX Bandits"", ""value"": ""ORGANIZATION""}, {""text"": ""Receiver Records"", ""value"": ""ORGANIZATION""}, {""text"": ""Hidden Agenda At the Thirteenth Not"", ""value"": ""PRODUCT""}]"
26,Many of the men were separated from their families and sent into the B.C.,[],"[{""text"": ""B.C."", ""value"": ""LOCATION""}]"
27,"The founder of K\u014deido (the purveyors of Kibi dango) authored a travel guide in 1895, in which he claimed that Kibitsuhiko rolled with his own hand some kibi dango to give to Emperor Jimmu who stopped at Takayama Palace in Okayama.","[{'K\\u014deido': 'ORGANIZATION'}, {'Kibi dango': 'PRODUCT'}, {'Kibitsuhiko': 'ORGANIZATION'}, {'kibi dango': 'PRODUCT'}, {'Jimmu': 'PERSON'}, {'Takayama Palace': 'BUILDING'}, {'Okayama': 'LOCATION'}]","[{""text"": ""K\u014deido"", ""value"": ""ORGANIZATION""}, {""text"": ""Kibi dango"", ""value"": ""PRODUCT""}, {""text"": ""Kibitsuhiko"", ""value"": ""PERSON""}, {""text"": ""Emperor Jimmu"", ""value"": ""PERSON""}, {""text"": ""Takayama Palace"", ""value"": ""BUILDING""}, {""text"": ""Okayama"", ""value"": ""LOCATION""}]"
28,"It is developed by Golaem, a France -based software company (created in Rennes in 2009).","[{'Golaem': 'ORGANIZATION'}, {'France': 'LOCATION'}, {'Rennes': 'LOCATION'}]","[{""text"": ""Golaem"", ""value"": ""ORGANIZATION""}, {""text"": ""France"", ""value"": ""LOCATION""}, {""text"": ""Rennes"", ""value"": ""LOCATION""}]"
29,She has also written fiction and her work has gained awards.,[],[]
30,"Furthermore, the SFO offered to pay reasonable legal costs.",[{'the SFO': 'ORGANIZATION'}],"[{""text"": ""SFO"", ""value"": ""ORGANIZATION""}]"
31,Team Orr scored four times on way to a 7\u20131 victory.,[{'Team Orr': 'ORGANIZATION'}],"[{""text"": ""Team Orr"", ""value"": ""ORGANIZATION""}]"
32,"Early communities began to appear at the beginning of the 19th century, including Lynchburg, Harrisburg, and Rightor's Point (modern Morgan's Point) in the 1820s.","[{'Lynchburg': 'LOCATION'}, {'Harrisburg': 'LOCATION'}, {""Rightor's Point"": 'LOCATION'}, {""Morgan's Point"": 'LOCATION'}]","[{""text"": ""Lynchburg"", ""value"": ""LOCATION""}, {""text"": ""Harrisburg"", ""value"": ""LOCATION""}, {""text"": ""Rightor's Point"", ""value"": ""LOCATION""}, {""text"": ""Morgan's Point"", ""value"": ""LOCATION""}]"
33,"Dorsa has a Bachelor of Music in Composition from California State University, Northridge in 2001, Master of Music in Harpsichord Performance at Cal State Northridge in 2004, and a Doctor of Musical Arts at the University of Michigan, Ann Arbor in 2008.","[{'Dorsa': 'PERSON'}, {'Bachelor of Music': 'OTHER'}, {'California State University, Northridge': 'ORGANIZATION'}, {'Master of Music': 'OTHER'}, {'Cal State Northridge': 'ORGANIZATION'}, {'Doctor of Musical Arts': 'OTHER'}, {'University of Michigan': 'ORGANIZATION'}, {'Ann Arbor': 'LOCATION'}]","[{""text"": ""Dorsa"", ""value"": ""PERSON""}, {""text"": ""California State University, Northridge"", ""value"": ""ORGANIZATION""}, {""text"": ""Cal State Northridge"", ""value"": ""ORGANIZATION""}, {""text"": ""University of Michigan, Ann Arbor"", ""value"": ""ORGANIZATION""}]"
34,She has since worked with homeless patients and holds the position of Management Consultant fo r MedAmerica.,[{'r MedAmerica': 'ORGANIZATION'}],"[{""text"": ""MedAmerica"", ""value"": ""ORGANIZATION""}]"
35,"Conway is the hub of operations for Norfolk Southern in the Greater Pittsburgh area, featuring a hump yard and a crew change point for virtually all Pittsburgh and Fort Wayne Line trains.","[{'Conway': 'LOCATION'}, {'Norfolk Southern': 'LOCATION'}, {'Greater Pittsburgh': 'LOCATION'}, {'Pittsburgh': 'LOCATION'}, {'Fort Wayne Line': 'LOCATION'}]","[{""text"": ""Conway"", ""value"": ""LOCATION""}, {""text"": ""Norfolk Southern"", ""value"": ""ORGANIZATION""}, {""text"": ""Greater Pittsburgh"", ""value"": ""LOCATION""}, {""text"": ""Pittsburgh"", ""value"": ""LOCATION""}, {""text"": ""Fort Wayne Line"", ""value"": ""LOCATION""}]"
36,Gonu caused strong gusty winds and torrential rainfall along Pakistan's Arabian Sea coast from Karachi to Gwadar.,"[{'Gonu': 'EVENT'}, {""Pakistan's Arabian Sea coast"": 'LOCATION'}, {'Karachi': 'LOCATION'}, {'Gwadar': 'LOCATION'}]","[{""text"": ""Gonu"", ""value"": ""EVENT""}, {""text"": ""Pakistan"", ""value"": ""LOCATION""}, {""text"": ""Arabian Sea"", ""value"": ""LOCATION""}, {""text"": ""Karachi"", ""value"": ""LOCATION""}, {""text"": ""Gwadar"", ""value"": ""LOCATION""}]"
37,Pune lost the match 1\u20133 with all three goals coming after Amrinder came on.,"[{'Pune': 'ORGANIZATION'}, {'Amrinder': 'PERSON'}]","[{""text"": ""Pune"", ""value"": ""LOCATION""}, {""text"": ""Amrinder"", ""value"": ""PERSON""}]"
38,His pupil Vadeebhasimha wrote in prose ``Gayachintamani`` and ``Kshatrachudamini`` based on poet Banas ``Kadambari`` and minister Chavundaraya wrote ``Charitarasara``.,"[{'Vadeebhasimha': 'PERSON'}, {'Gayachintamani': 'ART'}, {'Kshatrachudamini': 'ART'}, {'Banas': 'PERSON'}, {'Kadambari': 'ART'}, {'Chavundaraya': 'PERSON'}, {'Charitarasara': 'ART'}]","[{""text"": ""Vadeebhasimha"", ""value"": ""PERSON""}, {""text"": ""Gayachintamani"", ""value"": ""OTHER""}, {""text"": ""Kshatrachudamini"", ""value"": ""OTHER""}, {""text"": ""Bana"", ""value"": ""PERSON""}, {""text"": ""Kadambari"", ""value"": ""OTHER""}, {""text"": ""Chavundaraya"", ""value"": ""PERSON""}, {""text"": ""Charitarasara"", ""value"": ""OTHER""}]"
39,"The Croal Irwell Regional Park Project Proposal to create a green artery from the centre of Manchester to the West Pennine Moors was announced in June 2003 supported by Salford, Bury and Bolton councils and the Red Rose Forest.","[{'Croal Irwell Regional Park Project Proposal': 'PRODUCT'}, {'Manchester': 'LOCATION'}, {'West Pennine Moors': 'LOCATION'}, {'Salford': 'LOCATION'}, {'Bury': 'LOCATION'}, {'Bolton': 'LOCATION'}, {'Red Rose Forest': 'ORGANIZATION'}]","[{""text"": ""Croal Irwell Regional Park Project Proposal"", ""value"": ""PROJECT""}, 
{""text"": ""Manchester"", ""value"": ""LOCATION""}, 
{""text"": ""West Pennine Moors"", ""value"": ""LOCATION""}, 
{""text"": ""June 2003"", ""value"": ""EVENT""}, 
{""text"": ""Salford"", ""value"": ""LOCATION""}, 
{""text"": ""Bury"", ""value"": ""LOCATION""}, 
{""text"": ""Bolton"", ""value"": ""LOCATION""}, 
{""text"": ""Red Rose Forest"", ""value"": ""LOCATION""}]"
40,"In some versions, the eggplant is not grilled, but is instead boiled, resulting in a softer version that lacks the characteristic smoky flavor of the original dish.",[{'eggplant': 'OTHER'}],[]
41,"The peasantry was also aggrieved, and between 1846 and 1848 opposition to Sturdza intensified.",[{'Sturdza': 'PERSON'}],"[{""text"": ""Sturdza"", ""value"": ""PERSON""}]"
42,Argentina's Del Imaginario Discos also released the album in 2007.,"[{'Argentina': 'LOCATION'}, {'Del Imaginario Discos': 'ORGANIZATION'}]","[{""text"": ""Argentina"", ""value"": ""LOCATION""}, {""text"": ""Del Imaginario Discos"", ""value"": ""ORGANIZATION""}]"
43,"Moreover, Santa is actually innocent of the crime, which was instead masterminded by scheming relative Cousin Mel, who is mentioned briefly in the song but made into a gold-digging villainness in the special.","[{'Santa': 'PERSON'}, {'Cousin Mel': 'PERSON'}]","[{""text"": ""Santa"", ""value"": ""PERSON""}, {""text"": ""Cousin Mel"", ""value"": ""PERSON""}]"
44,"The Newfoundland Reform Liberal Party was a leader-centred political party in Newfoundland and Labrador, Canada from 1975 to 1979.","[{'Newfoundland Reform Liberal Party': 'ORGANIZATION'}, {'Newfoundland and Labrador': 'LOCATION'}, {'Canada': 'LOCATION'}]","[{""text"": ""Newfoundland Reform Liberal Party"", ""value"": ""ORGANIZATION""}, {""text"": ""Newfoundland and Labrador"", ""value"": ""LOCATION""}, {""text"": ""Canada"", ""value"": ""LOCATION""}]"
45,"This led to the foundation by Maximilian III Joseph, Elector of Bavaria of the Bavarian Academy of Sciences and Humanities on 28 March 1759.","[{'Maximilian III Joseph, Elector of Bavaria': 'PERSON'}, {'Bavarian Academy of Sciences and Humanities': 'ORGANIZATION'}]","[{""text"": ""Maximilian III Joseph"", ""value"": ""PERSON""}, {""text"": ""Bavaria"", ""value"": ""LOCATION""}, {""text"": ""Bavarian Academy of Sciences and Humanities"", ""value"": ""ORGANIZATION""}]"
46,The government announced a state funeral and a day of national mourning.,[],"[{""text"": ""government"", ""value"": ""ORGANIZATION""}, {""text"": ""state funeral"", ""value"": ""EVENT""}, {""text"": ""day of national mourning"", ""value"": ""EVENT""}]"
47,Most of the town is actually a gated community called Orchid Island Golf and Beach Club.,[{'Orchid Island Golf and Beach Club': 'LOCATION'}],"[{""text"": ""Orchid Island Golf and Beach Club"", ""value"": ""LOCATION""}]"
48,"Hunt represents the 8th legislative district in Omaha, consisting of the midtown neighborhoods of Dundee, Benson, and Keystone.","[{'Hunt': 'PERSON'}, {'Omaha': 'LOCATION'}, {'Dundee': 'LOCATION'}, {'Benson': 'LOCATION'}, {'Keystone': 'LOCATION'}]","[{""text"": ""Omaha"", ""value"": ""LOCATION""}, {""text"": ""Dundee"", ""value"": ""LOCATION""}, {""text"": ""Benson"", ""value"": ""LOCATION""}, {""text"": ""Keystone"", ""value"": ""LOCATION""}, {""text"": ""Hunt"", ""value"": ""PERSON""}]"
49,"It has been used to treat hypertension and cardiac failure, and to treat pre-eclampsia during pregnancy.","[{'hypertension': 'OTHER'}, {'cardiac failure,': 'OTHER'}, {'pre-eclampsia': 'OTHER'}]",[]
50,"Anhur is a playable character in the multiplayer online battle arena, ``SMITE''.",[{'Anhur': 'OTHER'}],"[{""text"": ""Anhur"", ""value"": ""PERSON""}, {""text"": ""SMITE"", ""value"": ""PRODUCT""}]"
51,"Jamil was married to the daughter of Khalid Bakdash, a Syria n politician who was the Secretary-General of the Syrian Communist Party and the first communist to be an elected member of an Arab parliament in 1954.","[{'Jamil': 'PERSON'}, {'Khalid Bakdash': 'PERSON'}, {'Syria': 'LOCATION'}, {'Syrian Communist Party': 'ORGANIZATION'}, {'Arab': 'LOCATION'}]","[{""text"": ""Jamil"", ""value"": ""PERSON""}, {""text"": ""Khalid Bakdash"", ""value"": ""PERSON""}, {""text"": ""Syria"", ""value"": ""LOCATION""}, {""text"": ""Syrian Communist Party"", ""value"": ""ORGANIZATION""}]"
52,Tyrosine phosphorylation is the addition of a phosphate (PO43\u2212) group to the amino acid tyrosine on a protein.,"[{'PO43\\u2212': 'OTHER'}, {'amino acid tyrosine': 'OTHER'}]",[]
53,In 1955 it began receiving an early model of the Boeing B-52 Stratofortress and upgraded to various models over the next 40 years.,[{'Boeing B-52': 'PRODUCT'}],"[{""text"": ""Boeing B-52 Stratofortress"", ""value"": ""PRODUCT""}, {""text"": ""1955"", ""value"": ""OTHER""}]"
54,This collection contains material relating to sexual health issues from 1974-2007.,[],"[{""text"": ""1974-2007"", ""value"": ""OTHER""}]"
55,"However, in 1861 the prospect of secession by southern states after the 1860 presidential election removed this obstacle to political change.",[],"[{""text"": ""1861"", ""value"": ""OTHER""}, {""text"": ""1860 presidential election"", ""value"": ""EVENT""}]"
56,"Back to Basics focuses on genre classics, showing older movies and underground cult films, with occasional stabs at mainstream and newer genre pieces.",[{'Back to Basics': 'ORGANIZATION'}],"[{""text"": ""Back to Basics"", ""value"": ""EVENT""}]"
57,"Internal conflicts, especially between Covaci and Baniciu, were making headlines in the media.","[{'Covaci': 'PERSON'}, {'Baniciu': 'PERSON'}]","[{""text"": ""Covaci"", ""value"": ""PERSON""}, {""text"": ""Baniciu"", ""value"": ""PERSON""}]"
58,"Allistair Pinsof of ``Destructoid``, praised the game, saying the controls were as good as that of ``Super Metroid`` and ``Super Castlevania IV.''","[{'Allistair Pinsof': 'PERSON'}, {'Destructoid': 'ORGANIZATION'}, {'Super Metroid': 'PRODUCT'}, {'Super Castlevania IV': 'PRODUCT'}]","[{""text"": ""Allistair Pinsof"", ""value"": ""PERSON""}, {""text"": ""Destructoid"", ""value"": ""ORGANIZATION""}, {""text"": ""Super Metroid"", ""value"": ""PRODUCT""}, {""text"": ""Super Castlevania IV"", ""value"": ""PRODUCT""}]"
59,"In particular, Reform Jews may be lampooned for their rejection of traditional Jewish beliefs.","[{'Jews': 'ORGANIZATION'}, {'Jewish': 'ORGANIZATION'}]","[{""text"": ""Reform Jews"", ""value"": ""OTHER""}, {""text"": ""Jewish"", ""value"": ""OTHER""}]"
60,It was founded as a spin-off of Murphy Oil in 2013.,[{'Murphy Oil': 'ORGANIZATION'}],"[{""text"": ""Murphy Oil"", ""value"": ""ORGANIZATION""}]"
61,They used several features from a batch of A1 Pacifics they had built in 1924.,[{'A1 Pacifics': 'PRODUCT'}],"[{""text"": ""A1 Pacifics"", ""value"": ""PRODUCT""}, {""text"": ""1924"", ""value"": ""OTHER""}]"
62,"At a festival, Siddhi saves Vin from being shot at by Rudra.","[{'Siddhi': 'PERSON'}, {'Vin': 'PERSON'}, {'Rudra': 'PERSON'}]","[{""text"": ""Siddhi"", ""value"": ""PERSON""}, {""text"": ""Vin"", ""value"": ""PERSON""}, {""text"": ""Rudra"", ""value"": ""PERSON""}]"
63,"Her brother ran unsuccessfully for the United States House of Representatives from upstate New York, in 1992 and 1994.","[{'United States House of Representatives': 'ORGANIZATION'}, {'New York': 'LOCATION'}]","[{""text"": ""United States House of Representatives"", ""value"": ""ORGANIZATION""}, {""text"": ""New York"", ""value"": ""LOCATION""}]"
64,"The story had been adapted to the stage in 1939 at the Martin Beck Theater to great acclaim, but only ran for six performances because the production proved to be expensive.",[{'Martin Beck Theater': 'BUILDING'}],"[{""text"": ""Martin Beck Theater"", ""value"": ""BUILDING""}, {""text"": ""1939"", ""value"": ""OTHER""}]"
65,"Loyalists recruited from Queens County, New York by Lieutenant Colonel Richard Hewlett for the 3rd battalion DeLancey's Brigade had established a fortified position in early August on the central north shore of Long Island at Setauket, just across Long Island Sound from Fairfield.","[{'Queens County': 'LOCATION'}, {'New York': 'LOCATION'}, {'Richard Hewlett': 'PERSON'}, {""DeLancey's Brigade"": 'ORGANIZATION'}, {'Long Island': 'LOCATION'}, {'Setauket': 'LOCATION'}, {'Long Island Sound': 'LOCATION'}, {'Fairfield': 'LOCATION'}]","[{""text"": ""Queens County"", ""value"": ""LOCATION""}, {""text"": ""New York"", ""value"": ""LOCATION""}, {""text"": ""Richard Hewlett"", ""value"": ""PERSON""}, {""text"": ""DeLancey's Brigade"", ""value"": ""ORGANIZATION""}, {""text"": ""Long Island"", ""value"": ""LOCATION""}, {""text"": ""Setauket"", ""value"": ""LOCATION""}, {""text"": ""Long Island Sound"", ""value"": ""LOCATION""}, {""text"": ""Fairfield"", ""value"": ""LOCATION""}]"
66,"In 1967, the park was the gathering place for a peaceful anti-war rally.",[],"[{""text"": ""1967"", ""value"": ""OTHER""}, {""text"": ""the park"", ""value"": ""LOCATION""}]"
67,USP42 has also been shown to deubiquitinate p53 and may be required for the ability of p53 to respond to stress.,"[{'USP42': 'OTHER'}, {'p53': 'OTHER'}, {'p53': 'OTHER'}]","[{""text"": ""USP42"", ""value"": ""OTHER""}, {""text"": ""p53"", ""value"": ""OTHER""}]"
68,It is operated by the Nhulunbuy Corporation.,[{'Nhulunbuy Corporation': 'ORGANIZATION'}],"[{""text"": ""Nhulunbuy Corporation"", ""value"": ""ORGANIZATION""}]"
69,Royal Malaysia Police Air Operations Force or ``Pasukan Gerakan Udara (PGU)'' is a special aviation unit of Royal Malaysia Police.,"[{'Royal Malaysia Police Air Operations Force': 'ORGANIZATION'}, {'Pasukan Gerakan Udara': 'ORGANIZATION'}, {'PGU': 'ORGANIZATION'}, {'Royal Malaysia Police': 'ORGANIZATION'}]","[{""text"": ""Royal Malaysia Police Air Operations Force"", ""value"": ""ORGANIZATION""}, {""text"": ""Pasukan Gerakan Udara"", ""value"": ""ORGANIZATION""}, {""text"": ""PGU"", ""value"": ""ORGANIZATION""}, {""text"": ""Royal Malaysia Police"", ""value"": ""ORGANIZATION""}]"
70,It was produced by Richard D.Zanuck and David Brown.,"[{'Richard D.Zanuck': 'PERSON'}, {'David Brown': 'PERSON'}]","[{""text"": ""Richard D.Zanuck"", ""value"": ""PERSON""}, {""text"": ""David Brown"", ""value"": ""PERSON""}]"
71,"The situation began to crystallise after 1961 when South Africa left the Commonwealth of Nations and so, under the rules of the day, its cricket board had to leave the International Cricket Conference (ICC).","[{'South Africa': 'LOCATION'}, {'Commonwealth of Nations': 'ORGANIZATION'}, {'International Cricket Conference': 'ORGANIZATION'}, {'ICC': 'ORGANIZATION'}]","[{""text"": ""South Africa"", ""value"": ""LOCATION""}, {""text"": ""Commonwealth of Nations"", ""value"": ""ORGANIZATION""}, {""text"": ""International Cricket Conference"", ""value"": ""ORGANIZATION""}]"
72,Puckrik travelled widely in her childhood due to her father's military background.,[{'Puckrik': 'PERSON'}],"[{""text"": ""Puckrik"", ""value"": ""PERSON""}]"
73,The festival is dedicated to world television and digital content and its creation and development.,[],"[{""text"": ""festival"", ""value"": ""EVENT""}]"
