,text,modified_label,modified_pred,original_text,original_pred,original_label,type
10,"In some versions, the eggplant is boiled, not grilled, yielding a softer, less smoky dish.","[{'text': 'eggplant', 'value': 'OTHER'}]",[],"In some versions, the eggplant is not grilled, but is instead boiled, resulting in a softer version that lacks the characteristic smoky flavor of the original dish.",[],[{'eggplant': 'OTHER'}],shorter
11,"In 2007, the well-known label from Argentina, Del Imaginario Discos, not only published the album but also promoted it extensively.","[{'text': 'Argentina', 'value': 'LOCATION'}, {'text': 'Del Imaginario Discos', 'value': 'ORGANIZATION'}]","[{'Del Imaginario Discos': 'ORGANIZATION'}, {'Argentina': 'LOCATION'}]",Argentina's Del Imaginario Discos also released the album in 2007.,"[{""text"": ""Argentina"", ""value"": ""LOCATION""}, {""text"": ""Del Imaginario Discos"", ""value"": ""ORGANIZATION""}]","[{'Argentina': 'LOCATION'}, {'Del Imaginario Discos': 'ORGANIZATION'}]",longer
12,"Maximilian III Joseph, Elector of Bavaria founded the Bavarian Academy of Sciences and Humanities in 1759.","[{'text': 'Maximilian III Joseph, Elector of Bavaria', 'value': 'PERSON'}, {'text': 'Bavarian Academy of Sciences and Humanities', 'value': 'ORGANIZATION'}]","[{'Maximilian III Joseph': 'PERSON'}, {'Bavaria': 'LOCATION'}, {'Bavarian Academy of Sciences and Humanities': 'ORGANIZATION'}]","This led to the foundation by Maximilian III Joseph, Elector of Bavaria of the Bavarian Academy of Sciences and Humanities on 28 March 1759.","[{""text"": ""Maximilian III Joseph"", ""value"": ""PERSON""}, {""text"": ""Bavaria"", ""value"": ""LOCATION""}, {""text"": ""Bavarian Academy of Sciences and Humanities"", ""value"": ""ORGANIZATION""}]","[{'Maximilian III Joseph, Elector of Bavaria': 'PERSON'}, {'Bavarian Academy of Sciences and Humanities': 'ORGANIZATION'}]",shorter
13,"The Newfoundland Reform Liberal Party, from 1975 to 1979, was in Canada's Newfoundland and Labrador.","[{'text': 'Newfoundland Reform Liberal Party', 'value': 'ORGANIZATION'}, {'text': 'Newfoundland and Labrador', 'value': 'LOCATION'}, {'text': 'Canada', 'value': 'LOCATION'}]","[{'Newfoundland Reform Liberal Party': 'ORGANIZATION'}, {'Canada': 'LOCATION'}, {'Newfoundland and Labrador': 'LOCATION'}]","The Newfoundland Reform Liberal Party was a leader-centred political party in Newfoundland and Labrador, Canada from 1975 to 1979.","[{""text"": ""Newfoundland Reform Liberal Party"", ""value"": ""ORGANIZATION""}, {""text"": ""Newfoundland and Labrador"", ""value"": ""LOCATION""}, {""text"": ""Canada"", ""value"": ""LOCATION""}]","[{'Newfoundland Reform Liberal Party': 'ORGANIZATION'}, {'Newfoundland and Labrador': 'LOCATION'}, {'Canada': 'LOCATION'}]",shorter
14,"During the period between 1846 and 1848, the peasantry was not only aggrieved but also increasingly vocal in their opposition, and as a result, the level of resistance and discontent directed specifically towards Sturdza significantly intensified.","[{'text': 'Sturdza', 'value': 'PERSON'}]",[{'Sturdza': 'PERSON'}],"The peasantry was also aggrieved, and between 1846 and 1848 opposition to Sturdza intensified.","[{""text"": ""Sturdza"", ""value"": ""PERSON""}]",[{'Sturdza': 'PERSON'}],longer
15,The town includes the gated Orchid Island Golf and Beach Club.,"[{'text': 'Orchid Island Golf and Beach Club', 'value': 'LOCATION'}]",[{'Orchid Island Golf and Beach Club': 'ORGANIZATION'}],Most of the town is actually a gated community called Orchid Island Golf and Beach Club.,"[{""text"": ""Orchid Island Golf and Beach Club"", ""value"": ""ORGANIZATION""}]",[{'Orchid Island Golf and Beach Club': 'LOCATION'}],shorter
16,"A significant portion of the town's area is, in fact, encompassed by a well-established, secure gated community known as Orchid Island Golf and Beach Club.","[{'text': 'Orchid Island Golf and Beach Club', 'value': 'LOCATION'}]",[{'Orchid Island Golf and Beach Club': 'ORGANIZATION'}],Most of the town is actually a gated community called Orchid Island Golf and Beach Club.,"[{""text"": ""Orchid Island Golf and Beach Club"", ""value"": ""ORGANIZATION""}]",[{'Orchid Island Golf and Beach Club': 'LOCATION'}],longer
17,"Hunt represents Omaha's 8th district, including Dundee, Benson, Keystone.","[{'text': 'Hunt', 'value': 'PERSON'}, {'text': 'Omaha', 'value': 'LOCATION'}, {'text': 'Dundee', 'value': 'LOCATION'}, {'text': 'Benson', 'value': 'LOCATION'}, {'text': 'Keystone', 'value': 'LOCATION'}]","[{'Hunt': 'PERSON'}, {'Omaha': 'LOCATION'}, {'Dundee': 'LOCATION'}, {'Benson': 'LOCATION'}, {'Keystone': 'LOCATION'}]","Hunt represents the 8th legislative district in Omaha, consisting of the midtown neighborhoods of Dundee, Benson, and Keystone.","[{""text"": ""Hunt"", ""value"": ""PERSON""}, {""text"": ""Omaha"", ""value"": ""LOCATION""}, {""text"": ""Dundee"", ""value"": ""LOCATION""}, {""text"": ""Benson"", ""value"": ""LOCATION""}, {""text"": ""Keystone"", ""value"": ""LOCATION""}]","[{'Hunt': 'PERSON'}, {'Omaha': 'LOCATION'}, {'Dundee': 'LOCATION'}, {'Benson': 'LOCATION'}, {'Keystone': 'LOCATION'}]",shorter
18,"From the year 1975 until the end of 1979, the Newfoundland Reform Liberal Party, which was known for its strong focus on leadership, served as a significant political entity within the region of Newfoundland and Labrador, a province of Canada.","[{'text': 'Newfoundland Reform Liberal Party', 'value': 'ORGANIZATION'}, {'text': 'Newfoundland and Labrador', 'value': 'LOCATION'}, {'text': 'Canada', 'value': 'LOCATION'}]",[],"The Newfoundland Reform Liberal Party was a leader-centred political party in Newfoundland and Labrador, Canada from 1975 to 1979.","[{""text"": ""Newfoundland Reform Liberal Party"", ""value"": ""ORGANIZATION""}, {""text"": ""Newfoundland and Labrador"", ""value"": ""LOCATION""}, {""text"": ""Canada"", ""value"": ""LOCATION""}]","[{'Newfoundland Reform Liberal Party': 'ORGANIZATION'}, {'Newfoundland and Labrador': 'LOCATION'}, {'Canada': 'LOCATION'}]",longer
19,The government declared a state funeral and national mourning.,[],[],The government announced a state funeral and a day of national mourning.,[],[],shorter
20,Argentina's Del Imaginario Discos released it in 2007.,"[{'text': 'Argentina', 'value': 'LOCATION'}, {'text': 'Del Imaginario Discos', 'value': 'ORGANIZATION'}]","[{'Argentina': 'LOCATION'}, {'Del Imaginario Discos': 'ORGANIZATION'}]",Argentina's Del Imaginario Discos also released the album in 2007.,"[{""text"": ""Argentina"", ""value"": ""LOCATION""}, {""text"": ""Del Imaginario Discos"", ""value"": ""ORGANIZATION""}]","[{'Argentina': 'LOCATION'}, {'Del Imaginario Discos': 'ORGANIZATION'}]",shorter
21,The government officially announced a state funeral and proclaimed a day of national mourning to honor the solemn occasion.,[],[{'state funeral': 'EVENT'}],The government announced a state funeral and a day of national mourning.,[],[],longer
22,"Between 1846 and 1848, peasant unrest against Sturdza grew.","[{'text': 'Sturdza', 'value': 'PERSON'}]",[{'Sturdza': 'PERSON'}],"The peasantry was also aggrieved, and between 1846 and 1848 opposition to Sturdza intensified.","[{""text"": ""Sturdza"", ""value"": ""PERSON""}]",[{'Sturdza': 'PERSON'}],shorter
23,"As per the historical records preserved in the Steak' n Shake archives, it is documented that the innovative founder of the restaurant, Gus Belt, made a formal application for a trademark registration on the distinctive word during the era of the 1930s.","[{'text': ""Steak' n Shake"", 'value': 'ART'}, {'text': 'Gus Belt', 'value': 'PERSON'}]","[{""Steak' n Shake"": 'ORGANIZATION'}, {'Gus Belt': 'PERSON'}]","According to Steak' n Shake archives, the restaurant's founder, Gus Belt, applied for a trademark on the word in the 1930s.","[{""text"": ""Steak' n Shake"", ""value"": ""ORGANIZATION""}, {""text"": ""Gus Belt"", ""value"": ""PERSON""}]","[{""Steak' n Shake"": 'ART'}, {'Gus Belt': 'PERSON'}]",longer
24,"The annual festival, a grand and significant event, is wholeheartedly dedicated to the celebration and appreciation of world television and digital content, including the intricate processes of its creation and development.",[],[{'annual festival': 'EVENT'}],The festival is dedicated to world television and digital content and its creation and development.,[],[],longer
25,"``Patrick Morris`` issued a mayday at 6:51 am, sinking soon after.","[{'text': 'Patrick Morris', 'value': 'PRODUCT'}]",[{'Patrick Morris': 'PERSON'}],``Patrick Morris`` sent out her own mayday call at 6:51 am and sank 35 minutes later.,"[{""text"": ""Patrick Morris"", ""value"": ""PERSON""}]",[{'Patrick Morris': 'PRODUCT'}],shorter
26,"At precisely 6:51 am, the vessel known as ``Patrick Morris`` desperately sent out her own urgent mayday distress signal and tragically sank a mere 35 minutes later in the cold, unforgiving sea.","[{'text': 'Patrick Morris', 'value': 'PRODUCT'}]",[{'Patrick Morris': 'PRODUCT'}],``Patrick Morris`` sent out her own mayday call at 6:51 am and sank 35 minutes later.,"[{""text"": ""Patrick Morris"", ""value"": ""PERSON""}]",[{'Patrick Morris': 'PRODUCT'}],longer
27,"Throughout her childhood, Puckrik experienced a variety of cultures and places, travelling extensively because of her father's frequent military reassignments.","[{'text': 'Puckrik', 'value': 'PERSON'}]",[{'Puckrik': 'PERSON'}],Puckrik travelled widely in her childhood due to her father's military background.,"[{""text"": ""Puckrik"", ""value"": ""PERSON""}]",[{'Puckrik': 'PERSON'}],longer
28,"The situation started to become clear and more defined after the year 1961, a pivotal moment when South Africa made the decision to depart from the Commonwealth of Nations, and consequently, due to the regulations that were in effect at that time, the national cricket board of South Africa found itself compelled to withdraw from the membership of the International Cricket Conference, commonly known as the ICC.","[{'text': 'South Africa', 'value': 'LOCATION'}, {'text': 'Commonwealth of Nations', 'value': 'ORGANIZATION'}, {'text': 'International Cricket Conference', 'value': 'ORGANIZATION'}, {'text': 'ICC', 'value': 'ORGANIZATION'}]",[],"The situation began to crystallise after 1961 when South Africa left the Commonwealth of Nations and so, under the rules of the day, its cricket board had to leave the International Cricket Conference (ICC).","[{""text"": ""South Africa"", ""value"": ""LOCATION""}, {""text"": ""Commonwealth of Nations"", ""value"": ""ORGANIZATION""}, {""text"": ""International Cricket Conference"", ""value"": ""ORGANIZATION""}, {""text"": ""ICC"", ""value"": ""ORGANIZATION""}]","[{'South Africa': 'LOCATION'}, {'Commonwealth of Nations': 'ORGANIZATION'}, {'International Cricket Conference': 'ORGANIZATION'}, {'ICC': 'ORGANIZATION'}]",longer
29,"In 2014, Mediaite honored her expertise by naming her in a four-way tie among the esteemed 'Best TV Pundits', citing her exceptional and comprehensive understanding of complex women's health and justice issues, which surpassed the standard and typical talking points often heard.","[{'text': 'Mediaite', 'value': 'PERSON'}, {'text': 'Best TV Pundits', 'value': 'OTHER'}]",[{'Mediaite': 'ORGANIZATION'}],Mediaite named her in a four-way tie among the ``Best TV Pundits`` of 2014 for bringing ``a comprehensive understanding to women's health and justice issues that goes beyond the usual talking points.'',"[{""text"": ""Mediaite"", ""value"": ""ORGANIZATION""}, {""text"": ""Best TV Pundits"", ""value"": ""EVENT""}]","[{'Mediaite': 'PERSON'}, {'Best TV Pundits': 'OTHER'}]",longer
30,"Produced by Richard D.Zanuck, David Brown.","[{'text': 'Richard D.Zanuck', 'value': 'PERSON'}, {'text': 'David Brown', 'value': 'PERSON'}]","[{'Richard D.Zanuck': 'PERSON'}, {'David Brown': 'PERSON'}]",It was produced by Richard D.Zanuck and David Brown.,"[{""text"": ""Richard D.Zanuck"", ""value"": ""PERSON""}, {""text"": ""David Brown"", ""value"": ""PERSON""}]","[{'Richard D.Zanuck': 'PERSON'}, {'David Brown': 'PERSON'}]",shorter
31,Steak' n Shake founder Gus Belt sought a 1930s trademark.,"[{'text': ""Steak' n Shake"", 'value': 'ART'}, {'text': 'Gus Belt', 'value': 'PERSON'}]","[{""Steak' n Shake"": 'ORGANIZATION'}, {'Gus Belt': 'PERSON'}]","According to Steak' n Shake archives, the restaurant's founder, Gus Belt, applied for a trademark on the word in the 1930s.","[{""text"": ""Steak' n Shake"", ""value"": ""ORGANIZATION""}, {""text"": ""Gus Belt"", ""value"": ""PERSON""}]","[{""Steak' n Shake"": 'ART'}, {'Gus Belt': 'PERSON'}]",shorter
32,"Album with ``Like It or Not``, ``Tearing Me Up`` remixes by A-Trak, RAC, Joris Voorn, Tale of Us.","[{'text': 'Like It or Not', 'value': 'ART'}, {'text': 'Tearing Me Up', 'value': 'ART'}, {'text': 'A-Trak', 'value': 'PERSON'}, {'text': 'RAC', 'value': 'PERSON'}, {'text': 'Joris Voorn', 'value': 'PERSON'}, {'text': 'Tale of Us', 'value': 'PERSON'}]","[{'Like It or Not': 'ART'}, {'Tearing Me Up': 'ART'}, {'A-Trak': 'PERSON'}, {'RAC': 'PERSON'}, {'Joris Voorn': 'PERSON'}, {'Tale of Us': 'PERSON'}]","The album featured remixes of ``Like It or Not`` and ``Tearing Me Up`` from artists like A-Trak, RAC, Joris Voorn, and Tale of Us.",[],"[{'Like It or Not': 'ART'}, {'Tearing Me Up': 'ART'}, {'A-Trak': 'PERSON'}, {'RAC': 'PERSON'}, {'Joris Voorn': 'PERSON'}, {'Tale of Us': 'PERSON'}]",shorter
33,Puckrik travelled a lot as a child.,"[{'text': 'Puckrik', 'value': 'PERSON'}]",[{'Puckrik': 'PERSON'}],Puckrik travelled widely in her childhood due to her father's military background.,"[{""text"": ""Puckrik"", ""value"": ""PERSON""}]",[{'Puckrik': 'PERSON'}],shorter
34,"The film's production was skillfully managed and overseen by the renowned producers Richard D.Zanuck and David Brown, who brought their extensive experience to the project.","[{'text': 'Richard D.Zanuck', 'value': 'PERSON'}, {'text': 'David Brown', 'value': 'PERSON'}]","[{'Richard D.Zanuck': 'PERSON'}, {'David Brown': 'PERSON'}]",It was produced by Richard D.Zanuck and David Brown.,"[{""text"": ""Richard D.Zanuck"", ""value"": ""PERSON""}, {""text"": ""David Brown"", ""value"": ""PERSON""}]","[{'Richard D.Zanuck': 'PERSON'}, {'David Brown': 'PERSON'}]",longer
35,"Alex Salmond, SNP leader, became Scotland's first non-Labour First Minister.","[{'text': 'Alex Salmond', 'value': 'PERSON'}, {'text': 'SNP', 'value': 'ORGANIZATION'}, {'text': 'Scotland', 'value': 'LOCATION'}, {'text': 'Labour', 'value': 'ORGANIZATION'}]","[{'Alex Salmond': 'PERSON'}, {'SNP': 'ORGANIZATION'}, {'Scotland': 'LOCATION'}]",Alex Salmond (leader of SNP) has since made history by becoming the first First Minister of Scotland from a party other than Labour.,"[{""text"": ""Alex Salmond"", ""value"": ""PERSON""}, {""text"": ""SNP"", ""value"": ""ORGANIZATION""}, {""text"": ""First Minister"", ""value"": ""OTHER""}, {""text"": ""Scotland"", ""value"": ""LOCATION""}, {""text"": ""Labour"", ""value"": ""ORGANIZATION""}]","[{'Alex Salmond': 'PERSON'}, {'SNP': 'ORGANIZATION'}, {'Scotland': 'LOCATION'}, {'Labour': 'ORGANIZATION'}]",shorter
36,"Dorsa, an accomplished musician, has achieved a Bachelor of Music with a focus in Composition from the prestigious California State University, Northridge back in the year 2001, followed by a Master of Music specializing in Harpsichord Performance at the well-known Cal State Northridge in 2004, and subsequently completed a Doctor of Musical Arts at the renowned University of Michigan, located in Ann Arbor, in the year 2008.","[{'text': 'Dorsa', 'value': 'PERSON'}, {'text': 'Bachelor of Music', 'value': 'OTHER'}, {'text': 'California State University, Northridge', 'value': 'ORGANIZATION'}, {'text': 'Master of Music', 'value': 'OTHER'}, {'text': 'Cal State Northridge', 'value': 'ORGANIZATION'}, {'text': 'Doctor of Musical Arts', 'value': 'OTHER'}, {'text': 'University of Michigan', 'value': 'ORGANIZATION'}, {'text': 'Ann Arbor', 'value': 'LOCATION'}]",[],"Dorsa has a Bachelor of Music in Composition from California State University, Northridge in 2001, Master of Music in Harpsichord Performance at Cal State Northridge in 2004, and a Doctor of Musical Arts at the University of Michigan, Ann Arbor in 2008.",[],"[{'Dorsa': 'PERSON'}, {'Bachelor of Music': 'OTHER'}, {'California State University, Northridge': 'ORGANIZATION'}, {'Master of Music': 'OTHER'}, {'Cal State Northridge': 'ORGANIZATION'}, {'Doctor of Musical Arts': 'OTHER'}, {'University of Michigan': 'ORGANIZATION'}, {'Ann Arbor': 'LOCATION'}]",longer
37,"His dedicated pupil, the esteemed Vadeebhasimha, composed the prose works ``Gayachintamani`` and ``Kshatrachudamini``, drawing inspiration from the celebrated poet Banas' masterpiece ``Kadambari``, while the distinguished minister Chavundaraya authored the notable ``Charitarasara``.","[{'text': 'Vadeebhasimha', 'value': 'PERSON'}, {'text': 'Gayachintamani', 'value': 'ART'}, {'text': 'Kshatrachudamini', 'value': 'ART'}, {'text': 'Banas', 'value': 'PERSON'}, {'text': 'Kadambari', 'value': 'ART'}, {'text': 'Chavundaraya', 'value': 'PERSON'}, {'text': 'Charitarasara', 'value': 'ART'}]",[],His pupil Vadeebhasimha wrote in prose ``Gayachintamani`` and ``Kshatrachudamini`` based on poet Banas ``Kadambari`` and minister Chavundaraya wrote ``Charitarasara``.,[],"[{'Vadeebhasimha': 'PERSON'}, {'Gayachintamani': 'ART'}, {'Kshatrachudamini': 'ART'}, {'Banas': 'PERSON'}, {'Kadambari': 'ART'}, {'Chavundaraya': 'PERSON'}, {'Charitarasara': 'ART'}]",longer
38,"Communities like Lynchburg, Harrisburg, and Rightor's Point (now Morgan's Point) emerged in the 1820s.","[{'text': 'Lynchburg', 'value': 'LOCATION'}, {'text': 'Harrisburg', 'value': 'LOCATION'}, {'text': ""Rightor's Point"", 'value': 'LOCATION'}, {'text': ""Morgan's Point"", 'value': 'LOCATION'}]","[{'Lynchburg': 'LOCATION'}, {'Harrisburg': 'LOCATION'}, {""Rightor's Point"": 'LOCATION'}, {""Morgan's Point"": 'LOCATION'}]","Early communities began to appear at the beginning of the 19th century, including Lynchburg, Harrisburg, and Rightor's Point (modern Morgan's Point) in the 1820s.","[{""text"": ""Lynchburg"", ""value"": ""LOCATION""}, {""text"": ""Harrisburg"", ""value"": ""LOCATION""}, {""text"": ""Rightor's Point"", ""value"": ""LOCATION""}, {""text"": ""Morgan's Point"", ""value"": ""LOCATION""}]","[{'Lynchburg': 'LOCATION'}, {'Harrisburg': 'LOCATION'}, {""Rightor's Point"": 'LOCATION'}, {""Morgan's Point"": 'LOCATION'}]",shorter
39,"In addition to other initiatives, the SFO, a prominent organization, has generously offered to cover all reasonable and necessary legal costs incurred.","[{'text': 'the SFO', 'value': 'ORGANIZATION'}]",[{'SFO': 'ORGANIZATION'}],"Furthermore, the SFO offered to pay reasonable legal costs.","[{""text"": ""SFO"", ""value"": ""ORGANIZATION""}]",[{'the SFO': 'ORGANIZATION'}],longer
40,"The tropical cyclone Gonu caused extremely strong gusty winds and exceptionally torrential rainfall along the entire stretch of Pakistan's Arabian Sea coast, extending from the bustling port city of Karachi to the strategic maritime hub of Gwadar.","[{'text': 'Gonu', 'value': 'EVENT'}, {'text': ""Pakistan's Arabian Sea coast"", 'value': 'LOCATION'}, {'text': 'Karachi', 'value': 'LOCATION'}, {'text': 'Gwadar', 'value': 'LOCATION'}]",[],Gonu caused strong gusty winds and torrential rainfall along Pakistan's Arabian Sea coast from Karachi to Gwadar.,"[{""text"": ""Gonu"", ""value"": ""EVENT""}, {""text"": ""Pakistan"", ""value"": ""LOCATION""}, {""text"": ""Arabian Sea"", ""value"": ""LOCATION""}, {""text"": ""Karachi"", ""value"": ""LOCATION""}, {""text"": ""Gwadar"", ""value"": ""LOCATION""}]","[{'Gonu': 'EVENT'}, {""Pakistan's Arabian Sea coast"": 'LOCATION'}, {'Karachi': 'LOCATION'}, {'Gwadar': 'LOCATION'}]",longer
41,The SFO offered to pay legal costs.,"[{'text': 'the SFO', 'value': 'ORGANIZATION'}]",[{'SFO': 'ORGANIZATION'}],"Furthermore, the SFO offered to pay reasonable legal costs.","[{""text"": ""SFO"", ""value"": ""ORGANIZATION""}]",[{'the SFO': 'ORGANIZATION'}],shorter
42,"Throughout her career, she has dedicated time to work with homeless patients and currently holds the esteemed position of Management Consultant fo r MedAmerica, a role she excels in.","[{'text': 'r MedAmerica', 'value': 'ORGANIZATION'}]",[{'MedAmerica': 'ORGANIZATION'}],She has since worked with homeless patients and holds the position of Management Consultant fo r MedAmerica.,"[{""text"": ""MedAmerica"", ""value"": ""ORGANIZATION""}]",[{'r MedAmerica': 'ORGANIZATION'}],longer
43,"The Croal Irwell Regional Park Project Proposal, linking Manchester to the West Pennine Moors, had support from Salford, Bury, Bolton, and the Red Rose Forest.","[{'text': 'Croal Irwell Regional Park Project Proposal', 'value': 'PRODUCT'}, {'text': 'Manchester', 'value': 'LOCATION'}, {'text': 'West Pennine Moors', 'value': 'LOCATION'}, {'text': 'Salford', 'value': 'LOCATION'}, {'text': 'Bury', 'value': 'LOCATION'}, {'text': 'Bolton', 'value': 'LOCATION'}, {'text': 'Red Rose Forest', 'value': 'ORGANIZATION'}]",[],"The Croal Irwell Regional Park Project Proposal to create a green artery from the centre of Manchester to the West Pennine Moors was announced in June 2003 supported by Salford, Bury and Bolton councils and the Red Rose Forest.",[],"[{'Croal Irwell Regional Park Project Proposal': 'PRODUCT'}, {'Manchester': 'LOCATION'}, {'West Pennine Moors': 'LOCATION'}, {'Salford': 'LOCATION'}, {'Bury': 'LOCATION'}, {'Bolton': 'LOCATION'}, {'Red Rose Forest': 'ORGANIZATION'}]",shorter
